Pseudomonas aeruginosa	Sutterella wadsworthensis	Akkermansia muciniphila	Firmicutes bacterium CAG:94	uncultured Clostridium sp.	Clostridium sp. CAG:138	Clostridium sp. CAG:356	Clostridium sp. 28_12	Butyrivibrio crossotus	Roseburia intestinalis	Roseburia inulinivorans	Roseburia sp. CAG:50	Coprococcus eutactus	Coprococcus catus	Coprococcus comes	Coprococcus sp. CAG:131	Coprococcus sp.	Coprococcus sp. AF16-22	Coprococcus sp. AF16-5	Coprococcus sp. AF38-1	[Eubacterium] rectale	Lachnospiraceae bacterium	Dorea longicatena	Anaerostipes hadrus	[Ruminococcus] gnavus	[Ruminococcus] torques	Blautia obeum	Blautia wexlerae	uncultured Blautia sp.	Blautia sp. BIOML-A1	Fusicatenibacter saccharivorans	[Eubacterium] eligens	Eubacterium ramulus	Eubacterium sp.	Oscillibacter sp.	Ruminococcus callidus	Ruminococcus bicirculans	uncultured Ruminococcus sp.	Ruminococcus sp. AM28-13	Gemmiger formicilis	Faecalibacterium prausnitzii	Faecalibacterium sp.	Faecalibacterium sp. AF27-11BH	Faecalibacterium sp. BIOML-A1	Subdoligranulum sp. 60_17	Ruminococcaceae bacterium	Clostridiales bacterium	Clostridiales bacterium UBA7739	Coprobacillus sp. AF21-8LB	Erysipelotrichaceae bacterium	Megamonas funiformis	Megamonas rupellensis	Megamonas sp. Calf98-2	Megasphaera massiliensis	Dialister sp. Marseille-P5638	Firmicutes bacterium CAG:65_45_313	Firmicutes bacterium AF22-6AC	Bifidobacterium adolescentis	Bifidobacterium longum	Collinsella aerofaciens	Collinsella stercoris	Bacteroides thetaiotaomicron	Bacteroides uniformis	Bacteroides vulgatus	Bacteroides eggerthii	Bacteroides ovatus	Bacteroides stercoris	Bacteroides caccae	Bacteroides massiliensis	Bacteroides cellulosilyticus	Bacteroides coprocola	Bacteroides intestinalis	Bacteroides dorei	Bacteroides xylanisolvens	Bacteroides mediterraneensis	Bacteroides coprocola CAG:162	Bacteroides sp.	Bacteroides sp. NMBE5	Bacteroides sp. AF39-10AT	Bacteroidaceae bacterium	Alistipes putredinis	Alistipes onderdonkii	Alistipes sp. 3BBH6	Prevotella copri	Prevotella sp.	Prevotella sp. AM23-5	Parabacteroides distasonis	Parabacteroides merdae
XT_D02-NFlex-R1-A	-3.2247	-11.6633	-3.0174	-5.5504	4.1572	-5.2566	-5.5012	-6.1146	-2.8235	4.5967	1.1598	-0.535	-1.6302	1.4265	0.2355	-7.1849	-2.7831	-5.8992	-3.1577	-5.8692	2.1602	5.8807	2.1265	2.4954	2.1724	2.5416	2.4486	2.6426	3.1855	4.461	2.5707	0.1183	-0.3134	0.9301	3.5877	4.2015	-4.543	5.9721	-5.8762	4.3938	6.7817	0.8802	-0.35	0.2502	2.4846	4.2461	6.2209	3.3138	-1.1694	-3.6455	-10.8416	-11.8604	-12.996	-10.3016	-9.3354	4.751	5.0816	-6.2666	-4.3533	-0.2801	-7.2518	4.2141	4.4256	6.998	-1.1834	6.6371	7.2416	5.1848	0.5313	4.7305	4.2737	4.0018	6.2274	3.1494	-0.1676	6.7116	5.0141	-0.9474	1.7839	1.3036	-3.7913	1.6902	-2.9854	-4.4104	-1.9933	-5.8262	5.7542	3.5524
XT_D09-NFlex-R1-A	3.5958	4.476	-4.6722	-4.8757	3.0468	-6.0304	-12.4578	-11.4413	-3.3054	-0.0869	-1.1446	-0.0306	-2.5658	2.0152	2.7712	-7.9103	-4.1059	-4.5386	-4.6921	-4.4732	5.8128	3.7016	4.0288	4.8093	0.4516	4.3704	3.0351	3.1718	4.1427	1.0712	1.5769	1.0439	0.629	2.7662	1.9115	-4.2477	0.1901	3.4914	0.4651	3.5584	7.3642	3.2674	2.0738	2.6729	1.7884	4.4375	3.3455	-2.2253	2.2599	-4.7003	-3.8094	-9.8604	-13.1058	-8.9824	3.5657	-3.9249	-4.348	5.3367	3.5277	2.7105	-6.6702	2.3312	5.8631	4.3055	-1.2728	4.5574	-0.8223	-0.0494	-1.4108	3.2304	-3.1667	2.1263	5.5679	1.5758	4.0401	-2.9585	1.4876	-3.5247	0.3583	4.9851	1.8807	2.1222	0.0701	-2.4693	-3.198	-5.84	4.4792	1.4537
XT_D04-NFlex-R1-B	-3.974	-2.9965	-5.4683	-5.6421	3.3169	4.354	-7.5334	-8.2841	4.1455	2.0506	3.673	-3.1502	4.9765	3.6392	2.4613	4.6437	5.2849	4.5908	4.563	4.7465	6.2445	4.8022	3.5156	3.3221	0.0296	3.5417	2.1596	2.4812	4.1704	-1.1965	1.6708	4.0199	0.401	4.4778	4.2659	3.9912	-6.0164	3.5656	-6.8774	1.887	6.7107	3.9542	2.0867	1.6959	-0.3837	4.9352	3.9321	0.6931	-3.6632	4.2233	-5.9516	-12.4477	-13.0374	-9.0575	-3.608	0.7648	0.9193	6.2461	3.5636	1.5261	-5.9161	0.8346	1.9136	1.7103	-2.5195	1.2464	-2.3746	1.3389	-4.5656	-3.8439	-13.9034	-2.2045	-2.0116	3.6295	-6.0761	-8.3057	0.9686	-4.3269	-6.4831	-2.6665	-5.152	-0.7964	-1.5358	5.4234	3.8804	4.0563	0.2459	-1.5215
XT_D08-NFlex-R1-A	-3.3164	-8.3466	-2.0554	-2.3667	3.2379	-5.8391	-12.8631	-12.7546	-2.5303	5.1999	-0.0729	-5.2907	-2.6282	2.6001	1.1998	-10.9569	-1.3498	-7.5776	-5.5758	-6.5387	5.4145	4.9627	3.5948	4.0109	1.9387	4.1437	5.0493	4.0277	5.0689	2.9401	3.453	2.8621	-2.6613	3.8622	0.9724	3.1829	5.6976	5.3555	3.5634	3.0273	7.6484	2.0082	2.7301	1.6929	3.8978	4.5726	3.8481	-0.2318	-4.5975	-4.0855	-8.1582	-10.8226	-12.8307	-7.5978	-8.8794	3.1599	2.1431	1.7895	2.3815	2.9579	-5.3752	3.8848	6.2358	5.5569	7.2826	5.2659	6.8681	4.9419	-1.2113	3.4107	-7.5542	-0.4483	4.5483	2.4186	-3.6859	-6.5691	-1.6578	-2.9114	8.0922	-2.1386	4.1547	4.8518	-1.1752	-3.3553	-5.1921	-8.9433	5.2463	3.1915
XT_D06-NFlex-R1-C	-2.3488	-3.6519	-4.7628	0.3895	3.8236	-6.9368	-12.7406	-12.5559	-2.5423	0.4606	2.9234	-5.1037	-1.9988	3.2821	0.2684	-7.9584	-2.1947	-5.0794	-4.7952	-4.9809	6.9646	5.9942	4.9587	4.9918	3.2185	5.5455	4.7987	5.0488	3.2913	0.4915	4.6807	3.0533	-1.1977	2.0718	2.0763	4.6599	4.3162	5.495	4.1651	2.4309	8.589	3.1739	4.8678	4.7717	0.4952	4.0533	3.9543	-0.0378	-4.953	-3.6599	-10.472	-10.779	-11.7971	-9.622	-6.7914	-0.535	-1.1529	5.7646	5.9251	3.7694	-5.5003	2.7506	7.4475	8.317	7.9367	6.6368	-0.5889	3.5466	-3.9206	0.2514	-7.5638	-0.3058	4.5942	0.8255	-5.7039	-7.2181	0.1722	0.7437	-3.5465	-2.7823	4.5537	2.8528	4.1009	-4.6341	-4.9164	-7.7467	2.7727	0.8083
XT_D02-NFlex-R1-C	-3.8059	-9.8883	-2.6075	-5.8446	4.1008	-5.2874	-5.6179	-5.8806	-2.9397	4.5572	1.122	-0.5746	-1.6289	1.3496	0.1752	-7.4431	-2.8441	-5.7559	-3.1719	-5.7951	2.1273	5.8261	2.0794	2.4864	2.1305	2.4863	2.3973	2.6303	3.1115	4.4108	2.52	0.0925	-0.3608	0.9127	3.5268	4.1245	-3.7381	5.9467	-5.6455	4.3357	6.7295	0.8301	-0.38	0.193	2.4257	4.1947	6.1642	3.268	-1.0971	-3.7263	-10.9638	-13.7127	-11.1471	-10.9304	-9.3979	4.6906	5.0184	-6.2342	-3.7916	-0.3556	-7.0212	4.1797	4.3628	6.961	-1.2431	6.5905	7.1834	5.148	0.4793	4.6854	4.2466	3.9628	6.1787	3.1171	-0.2023	6.6723	4.981	-1.2735	1.7249	1.2619	-2.9959	1.72	-2.688	-4.3514	-1.937	-6.3542	5.7188	3.495
XT_D01-NFlex-R1-C	-3.3258	-7.4044	5.2015	-1.2253	4.201	-5.5679	-8.1893	-9.7029	-2.8137	3.3374	1.8135	0.4352	-1.1678	1.6647	2.4371	-12.1284	-2.5936	-0.7784	-2.1665	-4.0633	4.9847	5.0115	4.4456	3.7895	1.0692	4.0453	4.3204	5.5549	5.0861	-1.7092	4.8398	3.2362	0.5099	3.453	1.0075	-4.023	5.6542	5.4881	2.8997	3.9008	8.1086	2.0998	3.3373	3.1073	1.5858	6.7932	4.1874	4.7538	-6.1632	-3.6982	-7.2833	-10.7237	-7.5923	-9.5251	-8.3051	-0.2451	-1.1348	-3.6703	4.4578	-3.7592	-5.261	3.5315	3.4822	1.0455	-1.4728	4.5471	-2.0009	5.2173	-4.4587	6.1737	-5.3171	4.4732	2.5136	5.6597	-5.2048	-6.7868	-1.7937	-5.7164	-4.4945	0.5899	4.9723	6.664	4.8628	-5.4585	-4.9082	-7.8018	6.5999	2.4839
XT_D07-NFlex-R1-A	-2.9617	-9.7828	-3.6198	-5.2576	3.7148	-5.3735	-6.9565	-9.1344	-3.6584	-1.7813	-1.9594	1.2324	2.6036	2.4628	2.8301	2.6923	2.6185	2.4672	1.9421	0.2291	6.9039	4.0539	2.9903	3.8967	0.8051	2.9271	2.1131	3.4409	4.806	0.4338	3.9212	4.2756	1.3986	3.0074	3.0387	4.1931	2.6389	3.7015	7.3452	4.2394	7.3948	2.4905	1.3545	1.4681	2.2504	6.3895	3.6867	-0.9809	3.3118	-4.7453	-7.4516	-13.5249	-13.3828	-7.9117	-9.558	-4.0886	-3.8709	4.1943	3.0948	-3.59	-7.9505	1.1717	6.801	6.8634	-3.2535	1.5303	-1.8888	4.602	-3.3914	3.4139	-10.5041	3.4533	3.0773	2.1786	-4.6199	-8.0234	-0.4965	-1.2291	-1.9826	-0.3684	4.0168	3.693	4.2083	-4.4862	-4.6874	-8.9037	2.6147	5.1928
XT_D03-NFlex-R1-A	-4.631	-2.3509	-0.7263	-4.8196	2.5794	-2.064	-14.1755	-13.101	-3.7416	0.5456	2.5153	0.2778	-0.2178	0.655	1.9617	-1.0141	-0.0105	-0.6371	-0.4001	-1.2608	5.4372	3.5171	3.6588	1.8248	0.0809	2.7769	2.0923	3.0815	2.9667	-0.3706	2.5103	0.3036	0.6808	1.5786	1.4471	0.76	-3.4382	2.349	-2.757	1.6958	6.1139	0.081	2.359	2.6069	-0.6555	5.4918	2.5223	1.1054	-6.4156	1.9334	4.4638	3.4054	5.8167	-9.3234	-9.2413	0.766	-0.0318	2.8394	-2.3999	3.9274	-5.8562	-0.3969	3.664	4.1262	-4.9034	1.0148	-2.7298	0.9023	1.0511	-4.0091	-8.0754	-2.8623	1.406	2.7427	0.5828	-5.2344	-2.9367	0.175	-3.5294	0.6303	1.57	2.8043	0.8707	6.924	5.2542	0.3311	-0.6056	2.1446
XT_D01-NFlex-R1-B	-3.1809	-5.3523	5.2426	-1.2188	4.2345	-5.4707	-8.8566	-11.2405	-2.8891	3.3527	1.8232	0.4521	-1.1508	1.6938	2.461	-11.5014	-2.5443	-0.5961	-2.1984	-3.9762	4.9937	5.0298	4.4538	3.7618	1.0636	4.057	4.3197	5.5595	5.1027	-1.7174	4.8874	3.2326	0.4996	3.4436	1.052	-3.881	5.691	5.4972	2.927	3.9185	8.1342	2.1367	3.375	3.1167	1.583	6.8242	4.1995	4.7582	-5.7052	-3.7287	-8.3788	-10.4858	-13.4633	-9.3774	-5.823	-0.1992	-1.0834	-3.1989	4.4878	-3.804	-5.4133	3.5489	3.5053	1.0915	-1.4772	4.57	-1.9219	5.23	-4.2036	6.2001	-5.1356	4.4934	2.5535	5.6725	-4.5165	-6.8726	-1.7759	-5.0412	-3.9498	0.6482	4.995	6.7051	4.8877	-5.3345	-4.9824	-8.7422	6.6319	2.29
Flex_D10-NF-R1	-5.395	-8.8856	-2.1139	-2.3687	3.2492	-7.2163	-13.0716	-11.2933	-2.5113	6.4936	-0.3453	5.5909	-2.4703	5.1083	5.3379	-4.6882	-3.8558	-3.5555	-2.5244	-5.4401	1.7141	4.6003	1.4282	5.238	5.1532	4.7024	4.5169	6.372	6.1106	-0.1204	0.8617	-0.1042	5.3895	-1.6241	0.4196	-6.2291	-13.3234	4.7525	-5.9742	0.8964	1.5501	-6.1485	-5.6567	-5.4097	-1.885	6.2604	4.3691	-6.3089	-7.7566	-3.005	4.3104	3.1431	5.4466	-8.8227	-9.728	-3.8863	-7.6835	-4.025	3.1679	6.6075	5.3359	1.1399	7.2428	8.5512	-1.4658	6.3865	0.0589	5.2421	5.1759	6.3157	1.7505	5.3276	6.4389	3.2261	-1.8998	4.2009	3.3768	1.9417	1.8284	-0.233	3.5152	2.842	-5.0848	-5.9201	-2.3939	-9.3382	4.333	2.7421
Flex_D07-NF-R1	-5.2811	-10.0958	-3.8062	-4.9163	4.1158	-5.0693	-5.4692	-8.7975	-3.6267	-1.7808	-1.7598	1.7716	2.2416	2.7056	3.2636	2.1636	2.1592	2.1034	1.5581	-0.1408	6.7685	4.1053	3.5081	4.5545	0.9256	2.9417	2.6678	3.7046	5.2792	0.6352	3.8652	3.4957	1.9623	2.6896	2.6655	4.3126	1.3207	3.8639	6.2192	4.7923	7.1857	2.0626	1.3569	1.4967	2.9231	6.6454	3.5819	-1.0975	4.6931	-4.1314	-6.8855	-11.4862	-10.9453	-7.9664	-8.54	-4.3781	-4.2559	5.2724	4.0095	-3.2504	-7.1974	0.9597	6.3308	6.5613	-3.5908	0.8429	-2.2569	4.2696	-3.8184	3.2118	-10.3651	3.3821	2.5018	1.7715	-4.8264	-9.2603	-1.0274	-1.686	-2.1636	-0.1223	3.6374	3.2227	3.8018	-4.7091	-4.6356	-9.305	1.9694	4.5943
Flex_D08-NF-R1	-3.8877	-8.1114	-1.6236	-1.5894	3.3069	-5.2026	-13.543	-13.6467	-2.566	5.2358	-0.0908	-5.1902	-2.545	2.6218	1.3905	-9.4415	-1.5635	-8.0181	-5.5637	-6.1316	5.1739	4.9589	3.6627	3.8983	1.8543	4.052	5.2095	4.0512	5.2278	2.9381	3.6535	2.1173	-2.4009	2.747	1.654	3.3811	5.6679	5.5665	3.6114	3.6211	7.9255	2.0294	2.9864	2.0517	4.7131	5.0489	4.5651	0.6641	-4.2906	-4.0422	-9.0973	-10.5053	-11.3326	-8.1254	-8.4725	2.9389	1.998	2.639	3.1239	3.6158	-4.4907	3.6868	6.1481	5.2615	7.2652	4.7737	6.9672	4.6766	-1.3969	3.2938	-8.2553	-0.5581	4.2927	2.3825	-3.8993	-9.0571	-2.4991	-4.6539	7.9235	-2.5819	4.81	5.1971	-0.6911	-3.259	-5.3877	-11.6371	5.322	3.4467
Flex_D05-NF-R1	-0.3755	4.8427	2.9357	6.2104	3.0508	-4.6126	4.3898	4.4268	-3.3207	2.954	0.4973	-5.2499	-2.3738	1.2136	0.7273	-8.1444	-6.5804	-2.578	-4.678	-7.7803	2.6795	3.7744	2.9756	5.3292	0.7827	0.3005	1.7622	3.4019	4.3475	-2.2315	4.942	1.5056	-2.0245	1.3317	2.2174	-4.3898	-0.0461	3.5563	0.3732	3.2487	6.7887	0.4795	4.0399	4.1909	1.2084	4.5621	2.4723	-4.4074	-3.1108	-4.2293	-6.5778	-6.6713	-14.1441	4.6373	-7.2767	-2.965	-3.0309	5.5504	5.3786	2.5083	-1.2785	4.7626	5.913	7.6981	-2.6476	6.1565	5.1851	0.5544	-4.4188	-2.1525	-11.3491	-2.6738	2.0602	2.4351	-5.7895	-8.3588	0.0136	5.0016	-2.0363	-1.1823	-2.2569	0.8087	-2.3101	-3.3576	-4.0979	-6.8769	6.4987	4.9041
Flex_D02-NF-R1	-3.8213	-10.6861	-3.0281	-5.8487	3.9782	-4.8123	-4.8482	-4.7207	-2.4961	4.7437	1.2898	-0.4541	-1.5194	1.5876	0.6697	-7.1166	-2.689	-5.7165	-3.1992	-5.1243	2.1788	5.8689	2.1533	2.9807	2.2382	2.7865	2.7331	2.7125	3.3429	4.4109	2.8509	0.0848	-0.1679	0.5669	3.5652	4.4405	-4.6007	6.0012	-5.8187	4.3208	6.3955	0.2779	-0.6025	-0.067	2.4426	4.0703	6.023	3.7043	0.099	-3.3576	-9.3731	-13.4548	-12.8606	-10.6402	-9.9069	4.4349	4.8066	-6.155	-4.4024	-0.0992	-6.9021	4.0256	4.2315	6.7199	-1.3918	6.4479	7.0825	5.0824	0.1149	4.5989	3.9726	3.833	6.1102	3.0112	-0.398	6.2689	4.7921	-1.2463	1.6564	0.8005	-3.564	1.4561	-3.0773	-4.4776	-1.9835	-6.3729	5.5334	3.5031
Flex_D03-NF-R1	-4.306	-3.8566	-0.2303	-4.0546	2.892	-3.6678	-12.699	-11.4611	-3.6543	0.7384	2.8421	0.7999	-0.2428	0.986	2.5866	-1.1791	-0.1662	-0.8166	-0.4457	-1.4374	5.6473	3.7078	4.2156	2.384	0.4792	3.1791	2.7097	3.5662	3.5121	0.2513	3.1212	0.4048	1.1989	1.6709	1.2283	1.0454	-3.6795	2.9002	-2.7657	2.3584	6.4025	0.2374	2.8198	3.0744	0.1755	5.9559	2.5985	1.2513	-5.3174	2.7559	5.1843	3.9698	6.359	-8.6474	-8.6374	0.2877	-0.3155	3.7964	-1.5557	4.7704	-5.0961	-1.0728	2.9336	3.7774	-5.4367	0.2457	-3.1544	0.1669	0.4207	-4.7793	-9.9445	-3.6257	0.8912	2.0555	0.0115	-7.4589	-3.9211	-0.3374	-4.1532	0.2425	0.8205	2.0132	0.1241	6.0254	4.3581	-0.4864	-1.1302	1.5826
Flex_D09-NF-R1	4.7109	4.2591	-4.609	-4.3339	2.9835	-5.6027	-12.6597	-12.3919	-3.1287	-0.1473	-1.1576	0.2923	-2.3933	2.1479	3.1066	-8.7688	-3.9037	-4.5414	-4.7167	-4.3059	5.6876	3.6943	4.2155	5.0204	0.4494	4.3161	3.2619	3.2172	4.2702	0.9772	1.5394	0.9656	0.9649	1.9734	2.0779	-4.4006	0.1424	3.6493	0.4887	4.1344	7.6885	3.3393	2.4216	3.0553	2.4034	4.8504	3.8402	-1.3801	3.3786	-4.3886	-3.7347	-9.2164	-14.0582	-9.3689	4.2066	-4.3886	-4.5567	5.9224	3.9161	3.4205	-5.5794	2.11	5.79	3.7433	-1.7337	4.2386	-1.3034	-0.3243	-2.0291	3.0759	-3.7407	2.0264	5.1515	1.4014	4.1052	-3.5189	1.4094	-3.7078	-0.147	4.6155	2.2678	1.758	-0.0926	-3.5863	-3.8202	-6.7549	4.3663	1.4435
Flex_D01-NF-R1	-3.8429	-6.8976	5.9248	-0.3879	4.2248	-5.4699	-8.2596	-8.7914	-2.7031	3.6035	2.0698	0.8631	-0.9302	1.8812	2.8267	-12.4318	-2.5207	-0.5036	-2.2171	-3.6917	4.8617	5.0977	4.7581	4.1736	1.1858	4.2405	4.7643	5.8291	5.4004	-1.4102	5.1264	2.6175	0.9647	2.6284	1.1607	-3.9739	5.2723	5.7291	2.6132	4.4762	8.2078	1.9129	3.4758	3.2267	2.3099	7.0718	4.3007	4.9858	-5.0419	-3.6963	-7.7926	-8.4425	-13.4797	-9.6728	-8.3709	-0.3746	-1.2437	-2.5785	5.3495	-3.5182	-4.1342	3.2792	2.9429	0.7249	-1.6256	4.0353	-2.1429	4.8887	-4.5671	5.8008	-5.5292	4.2342	2.0576	5.4748	-5.3166	-7.3581	-1.9989	-6.1908	-5.4861	-0.0314	5.1782	6.5243	4.7796	-5.7197	-5.1901	-7.9585	6.3535	2.0841
Flex_D06-NF-R1	-3.3797	-3.9041	-4.832	0.8766	3.6249	-7.6989	-6.2918	-6.1118	-2.516	0.197	2.9295	-4.9056	-1.8256	3.2353	0.4768	-8.5807	-2.4335	-4.4281	-4.7232	-4.5978	6.8797	5.9866	5.0687	5.2678	3.4009	5.4662	4.9731	5.1245	3.3009	0.6626	5.087	2.0824	-0.9759	1.6231	2.7859	4.4742	3.7058	5.6158	3.6646	3.0845	8.7062	3.1728	5.1278	5.0056	1.2671	4.3667	4.4575	0.8153	-3.6393	-3.7319	-11.5067	-12.7158	-12.8816	-7.8871	-6.6319	-0.8088	-1.531	6.61	6.6612	4.6101	-4.8213	2.4041	7.0401	7.6888	7.6944	6.1724	-0.8935	3.1516	-4.2235	0.1671	-9.2727	-0.5946	4.0683	0.1752	-7.5129	-8.5691	-0.6516	-0.0938	-4.8386	-3.5216	4.6874	2.9224	4.1534	-4.7538	-4.929	-10.8603	2.6143	0.7408
Flex_D04-NF-R1	-4.4173	-2.8242	-5.3533	-5.4618	3.3578	4.6948	-5.4043	-6.7286	4.2632	2.1094	3.8019	-3.1376	4.5018	3.6111	2.5386	3.9954	4.7084	4.0606	4.0194	4.3303	6.0358	4.8063	3.5609	3.6383	-0.0194	3.4692	2.2746	2.4028	4.204	-1.0356	1.769	3.8812	0.4925	4.3144	4.477	3.9668	-5.9026	3.7149	-6.5893	2.0892	6.7841	3.8751	2.1231	1.8012	-0.0428	5.0487	4.0918	1.1569	-2.2466	4.6326	-5.967	-14.308	-15.2466	-8.8614	-3.5651	0.6602	0.8542	6.5163	3.6939	1.7435	-5.6645	0.9434	1.8894	1.7497	-2.4508	1.2651	-2.4231	1.47	-4.5956	-3.7077	-15.0777	-2.2154	-2.1855	3.6529	-6.1142	-8.5076	1.0946	-4.2604	-7.655	-2.5007	-4.686	-0.6538	-1.429	5.1436	3.5255	3.8221	0.1316	-1.5208
