Pseudomonas aeruginosa	Sutterella wadsworthensis	Akkermansia muciniphila	Firmicutes bacterium CAG:94	uncultured Clostridium sp.	Clostridium sp. CAG:138	Clostridium sp. CAG:356	Clostridium sp. 28_12	Butyrivibrio crossotus	Roseburia intestinalis	Roseburia inulinivorans	Roseburia sp. CAG:50	Coprococcus eutactus	Coprococcus catus	Coprococcus comes	Coprococcus sp. CAG:131	Coprococcus sp.	Coprococcus sp. AF16-22	Coprococcus sp. AF16-5	Coprococcus sp. AF38-1	[Eubacterium] rectale	Lachnospiraceae bacterium	Dorea longicatena	Anaerostipes hadrus	[Ruminococcus] gnavus	[Ruminococcus] torques	Blautia obeum	Blautia wexlerae	uncultured Blautia sp.	Blautia sp. BIOML-A1	Fusicatenibacter saccharivorans	[Eubacterium] eligens	Eubacterium ramulus	Eubacterium sp.	Oscillibacter sp.	Ruminococcus callidus	Ruminococcus bicirculans	uncultured Ruminococcus sp.	Ruminococcus sp. AM28-13	Gemmiger formicilis	Faecalibacterium prausnitzii	Faecalibacterium sp.	Faecalibacterium sp. AF27-11BH	Faecalibacterium sp. BIOML-A1	Subdoligranulum sp. 60_17	Ruminococcaceae bacterium	Clostridiales bacterium	Clostridiales bacterium UBA7739	Coprobacillus sp. AF21-8LB	Erysipelotrichaceae bacterium	Megamonas funiformis	Megamonas rupellensis	Megamonas sp. Calf98-2	Megasphaera massiliensis	Dialister sp. Marseille-P5638	Firmicutes bacterium CAG:65_45_313	Firmicutes bacterium AF22-6AC	Bifidobacterium adolescentis	Bifidobacterium longum	Collinsella aerofaciens	Collinsella stercoris	Bacteroides thetaiotaomicron	Bacteroides uniformis	Bacteroides vulgatus	Bacteroides eggerthii	Bacteroides ovatus	Bacteroides stercoris	Bacteroides caccae	Bacteroides massiliensis	Bacteroides cellulosilyticus	Bacteroides coprocola	Bacteroides intestinalis	Bacteroides dorei	Bacteroides xylanisolvens	Bacteroides mediterraneensis	Bacteroides coprocola CAG:162	Bacteroides sp.	Bacteroides sp. NMBE5	Bacteroides sp. AF39-10AT	Bacteroidaceae bacterium	Alistipes putredinis	Alistipes onderdonkii	Alistipes sp. 3BBH6	Prevotella copri	Prevotella sp.	Prevotella sp. AM23-5	Parabacteroides distasonis	Parabacteroides merdae
XT_D07-NFlex-R1-B	-3.9617	-9.9992	-3.7539	-5.1224	3.7284	-5.7401	-6.579	-10.8707	-3.6617	-1.8218	-1.9355	1.244	2.574	2.4363	2.8367	2.6421	2.5687	2.4391	1.9131	0.222	6.8944	4.0292	3.0038	3.9879	0.7614	2.9411	2.1156	3.4344	4.7953	0.4217	3.8763	4.1877	1.4212	2.9786	2.9963	4.1572	2.5394	3.6777	7.2504	4.215	7.3383	2.4263	1.3162	1.3937	2.2318	6.3634	3.6424	-0.9943	3.4858	-4.5349	-7.2696	-11.0903	-13.7238	-8.2917	-8.6679	-4.1523	-3.959	4.1923	3.0782	-3.6771	-8.02	1.1246	6.7411	6.821	-3.1432	1.5038	-1.9277	4.57	-3.5692	3.3752	-9.1926	3.4209	3.0565	2.1007	-4.5404	-7.4822	-0.4708	-1.493	-2.2557	-0.3866	3.9834	3.6675	4.1691	-4.4655	-4.6323	-8.6521	2.6087	5.1388
XT_D09-NFlex-R1-B	3.6852	4.5142	-4.6601	-4.8342	3.055	-6.0101	-12.9955	-12.5495	-3.2091	-0.0882	-1.1254	-0.0611	-2.5495	2.004	2.7593	-7.8138	-3.9968	-4.8085	-4.459	-4.4612	5.8324	3.7086	4.0091	4.8057	0.4276	4.3722	3.0246	3.1859	4.1602	1.0994	1.5832	1.0616	0.6226	2.8047	1.9502	-4.2658	0.2069	3.5016	0.4049	3.571	7.387	3.31	2.1043	2.6846	1.8117	4.4411	3.3669	-2.1902	2.3693	-4.4621	-3.7601	-9.4095	-13.9069	-8.7227	3.5417	-4.0834	-4.39	5.3284	3.5118	2.7158	-6.5168	2.3355	5.8784	4.3315	-1.4153	4.573	-0.9002	-0.0493	-1.3835	3.2436	-3.1393	2.12	5.6046	1.5838	4.0752	-2.9384	1.4736	-2.9055	0.2838	5.0328	1.9082	2.1067	0.1266	-2.3638	-3.1918	-5.9656	4.4597	1.5224
XT_D03-NFlex-R1-C	-4.6152	-2.3055	-0.6598	-4.6831	2.5889	-2.0328	-13.3517	-11.6022	-3.7602	0.5101	2.5106	0.2838	-0.2287	0.6467	1.9767	-1.0134	0.0032	-0.7298	-0.3517	-1.2835	5.4242	3.5202	3.6398	1.7564	0.0628	2.77	2.0873	3.0745	2.9826	-0.3268	2.5014	0.2309	0.6821	1.556	1.5049	0.7836	-3.4751	2.338	-2.6427	1.7349	6.1725	0.1202	2.4287	2.6572	-0.5979	5.5235	2.5789	1.1917	-6.7517	1.8294	4.4036	3.3462	5.741	-9.699	-9.1684	0.809	0.0339	2.8921	-2.3272	3.9874	-5.7419	-0.4475	3.6632	4.1504	-4.8188	1.0454	-3.0094	0.8881	1.0073	-4.1156	-9.069	-2.913	1.4339	2.7467	0.6083	-6.6275	-3.1867	0.18	-3.2177	0.672	1.6073	2.8723	0.9415	6.9351	5.2865	0.332	-0.6502	2.1488
XT_D01-NFlex-R1-A	-3.4141	-7.6771	5.2963	-1.1411	4.3385	-5.5131	-8.508	-11.6275	-2.6782	3.4888	1.9979	0.624	-1.0707	1.842	2.6463	-13.6646	-2.4595	-0.4312	-2.1538	-3.792	5.1468	5.1792	4.6572	4.0285	1.2809	4.2745	4.5144	5.7662	5.2885	-1.5683	5.0046	3.4829	0.6742	3.6834	1.0641	-3.7565	5.8207	5.6544	3.0286	3.9919	8.1595	2.1539	3.3967	3.1475	1.644	6.8902	4.2366	4.7574	-6.0782	-3.567	-8.1053	-10.5237	-13.6582	-9.6445	-8.1572	-0.1291	-0.9303	-3.6377	4.5648	-3.8034	-5.3042	3.7042	3.673	1.2277	-1.3942	4.6976	-1.8876	5.3622	-4.5964	6.3325	-5.0355	4.6189	2.7928	5.832	-5.1707	-7.0632	-1.6211	-4.6617	-4.2807	0.8019	5.0115	6.7098	4.8923	-5.4216	-4.6165	-7.8907	6.7001	2.5523
XT_D04-NFlex-R1-C	-2.9849	-3.1043	-5.6119	-5.7411	3.3106	4.321	-7.2842	-7.6933	4.172	2.0683	3.6779	-3.17	4.979	3.6478	2.4338	4.6615	5.2991	4.5755	4.5684	4.7773	6.2568	4.8081	3.5318	3.3659	0.0619	3.5576	2.1603	2.5006	4.1881	-1.2253	1.6334	4.0687	0.3783	4.5061	4.174	3.9577	-5.843	3.5711	-6.5522	1.8083	6.6402	3.8834	2.0072	1.6417	-0.4874	4.9009	3.8776	0.5572	-3.7237	4.2845	-6.0156	-12.0508	-11.4641	-9.3211	-3.6725	0.7462	0.9065	6.1503	3.4647	1.434	-6.1409	0.8385	1.8998	1.6747	-2.6482	1.2543	-2.4648	1.3061	-4.7412	-3.6925	-14.1298	-2.2802	-1.9839	3.5867	-5.9943	-8.5625	0.9383	-4.941	-7.2052	-2.7582	-4.9942	-0.9087	-1.5344	5.4021	3.8194	4.0192	0.2209	-1.5499
XT_D10-NFlex-R1-A	-2.8336	-3.2456	-2.9523	-3.3404	2.7867	-7.7373	-12.7236	-10.6039	-3.3872	6.0813	-1.0536	4.7797	-2.851	4.5047	4.7577	-5.1748	-4.1131	-3.6434	-3.6771	-5.7974	1.44	3.8164	0.7828	4.2897	4.4623	4.3539	3.7153	5.6672	5.3777	-0.8157	0.2721	-0.6654	4.5259	-1.9479	0.0901	-7.4277	-6.2624	4.0553	-5.9023	0.4199	1.5081	-4.0857	-4.6002	-4.405	-2.3135	5.5399	3.9204	-6.8651	-5.584	-3.8161	3.3577	2.3669	4.7333	-8.8002	-3.8466	-4.4774	-7.0695	-1.554	2.1839	5.6289	3.9378	0.9335	7.0568	8.3794	-1.701	6.1634	-0.1032	5.1876	4.9673	5.9658	1.578	5.0252	6.2553	3.1162	-1.6645	4.1335	3.1145	1.6254	1.5775	-0.006	3.4977	3.2749	-4.2553	-5.6439	-2.5213	-9.276	4.809	2.7279
XT_D06-NFlex-R1-B	-2.159	-3.516	-4.9897	0.3549	3.8413	-7.9643	-12.1519	-12.018	-2.4828	0.3975	2.9531	-4.9538	-2.055	3.2996	0.2888	-7.7118	-2.2077	-4.9819	-4.9361	-4.8684	6.9947	6.0173	4.9905	5.0308	3.2478	5.6001	4.8334	5.0974	3.3159	0.5037	4.6895	3.0819	-1.2099	2.0917	2.0872	4.6771	4.344	5.529	4.203	2.4339	8.5765	3.161	4.8532	4.7707	0.4958	4.0894	3.9384	-0.0619	-5.0768	-3.8159	-11.1369	-11.1124	-11.1588	-9.3361	-7.0358	-0.4619	-1.2255	5.7671	5.9367	3.7817	-5.7269	2.7632	7.4642	8.3273	7.9479	6.6472	-0.663	3.5565	-4.0987	0.2676	-7.7881	-0.2629	4.6303	0.8413	-6.1057	-7.0483	0.1194	0.7032	-3.3434	-2.6678	4.5329	2.8343	4.0594	-4.5695	-5.079	-7.674	2.8268	0.8596
XT_D03-NFlex-R1-B	-4.8417	-2.367	-0.7444	-4.6952	2.5824	-2.1485	-13.9386	-11.3084	-3.6895	0.512	2.5253	0.2935	-0.2059	0.685	1.9964	-1.0263	0.021	-0.6485	-0.3692	-1.254	5.4611	3.5172	3.6662	1.8523	0.0824	2.8103	2.1153	3.1151	2.9793	-0.3154	2.4871	0.2987	0.6826	1.5973	1.4379	0.7677	-3.4929	2.3615	-2.7324	1.6792	6.1036	0.042	2.3568	2.6123	-0.6949	5.4919	2.5089	1.0889	-6.5572	1.9622	4.5452	3.4583	5.8738	-9.4928	-7.7579	0.7628	-0.0479	2.8229	-2.3252	3.9161	-5.9496	-0.4396	3.649	4.1222	-4.6663	1.0393	-2.984	0.8732	0.9678	-4.327	-9.2582	-2.9759	1.4632	2.7322	0.5805	-6.9734	-3.0693	0.1759	-3.3118	0.6495	1.5554	2.7866	0.8422	6.923	5.2513	0.3488	-0.5276	2.1036
XT_D10-NFlex-R1-B	-3.9176	-6.5129	-2.7068	-3.176	3.0639	-6.96	-12.7372	-9.6941	-3.1556	6.3908	-0.7109	5.0651	-2.6035	4.7956	5.0686	-4.7542	-3.849	-3.7125	-3.5042	-5.8217	1.6078	4.0921	0.9992	4.6204	4.78	4.6531	3.9991	5.9746	5.6584	-0.554	0.5912	-0.3491	4.8163	-1.7404	0.3994	-7.3658	-10.992	4.3568	-6.2607	0.6488	1.2699	-5.8087	-5.8273	-5.4096	-2.246	5.8316	4.2125	-6.623	-8.3329	-3.6199	3.7902	2.7687	5.1391	-8.1989	-7.0447	-4.1802	-6.955	-3.1173	2.4596	5.9283	4.2549	1.2235	7.3526	8.6808	-1.418	6.465	0.1887	5.4778	5.2759	6.2636	1.8754	5.3213	6.5635	3.4144	-1.8486	4.4298	3.4186	2.0019	1.8252	0.0563	3.8107	3.5575	-4.114	-5.3952	-2.1577	-9.1704	5.1095	2.9979
XT_D09-NFlex-R1-C	3.6454	4.4964	-4.6611	-4.9557	3.0423	-6.1135	-13.4363	-12.5423	-3.2439	-0.1183	-1.1737	-0.0441	-2.644	1.9993	2.7677	-7.2973	-4.0471	-4.5906	-4.3804	-4.3792	5.8134	3.7003	4.0003	4.7855	0.4601	4.3628	3.0242	3.1768	4.1807	1.0831	1.5805	1.0541	0.6102	2.7894	1.9438	-4.3711	0.235	3.493	0.4268	3.5659	7.3776	3.291	2.1008	2.684	1.8011	4.4343	3.3598	-2.2194	2.2897	-4.4126	-3.8126	-9.8855	-11.6407	-9.6652	3.5463	-3.9496	-4.3782	5.3148	3.5239	2.7056	-6.5572	2.3234	5.8569	4.315	-1.3257	4.5655	-0.8349	-0.0428	-1.3594	3.2366	-3.1354	2.1098	5.5923	1.57	4.0562	-2.9434	1.4708	-3.2099	0.3124	5.009	1.8907	2.1108	0.0505	-2.5473	-3.196	-5.9613	4.4676	1.4719
