D01-NF-R1	D01-NF-R2	D01-NF-R3	D01-OF-R1	D01-OF-R2	D01-OF-R3	D01-OR-R1	D01-OR-R2	D01-OR-R3	D01-ZF-R1	D01-ZF-R2	D01-ZF-R3	D01-ZH-R1	D01-ZH-R2	D01-ZH-R3	D01-ZR-R1	D01-ZR-R2	D01-ZR-R3	D02-NF-R1	D02-NF-R2	D02-NF-R3	D02-OF-R1	D02-OF-R2	D02-OF-R3	D02-OR-R1	D02-OR-R2	D02-ZF-R1	D02-ZF-R2	D02-ZF-R3	D02-ZH-R1	D02-ZH-R2	D02-ZH-R3	D02-ZR-R1	D02-ZR-R2	D02-ZR-R3	D03-NF-R1	D03-NF-R2	D03-NF-R3	D03-OF-R1	D03-OF-R2	D03-OF-R3	D03-OR-R1	D03-OR-R2	D03-OR-R3	D03-ZF-R1	D03-ZF-R2	D03-ZF-R3	D03-ZH-R1	D03-ZH-R2	D03-ZH-R3	D03-ZR-R1	D03-ZR-R2	D03-ZR-R3	D04-NF-R1	D04-NF-R2	D04-NF-R3	D04-OF-R1	D04-OF-R2	D04-OF-R3	D04-OR-R2	D04-OR-R3	D04-ZF-R1	D04-ZF-R2	D04-ZF-R3	D04-ZH-R1	D04-ZH-R2	D04-ZH-R3	D04-ZR-R1	D04-ZR-R2	D04-ZR-R3	D05-NF-R1	D05-NF-R2	D05-NF-R3	D05-OF-R1	D05-OF-R2	D05-OF-R3	D05-ZF-R1	D05-ZF-R2	D05-ZF-R3	D05-ZH-R1	D05-ZH-R2	D05-ZH-R3	D05-ZR-R1	D05-ZR-R2	D05-ZR-R3	D06-NF-R1	D06-NF-R2	D06-NF-R3	D06-OF-R1	D06-OF-R2	D06-OF-R3	D06-OR-R1	D06-OR-R2	D06-OR-R3	D06-ZF-R1	D06-ZF-R2	D06-ZF-R3	D06-ZH-R1	D06-ZH-R2	D06-ZH-R3	D06-ZR-R1	D06-ZR-R2	D06-ZR-R3	D07-NF-R1	D07-NF-R2	D07-NF-R3	D07-OF-R1	D07-OF-R2	D07-OF-R3	D07-OR-R1	D07-OR-R2	D07-OR-R3	D07-ZF-R1	D07-ZF-R2	D07-ZF-R3	D07-ZH-R1	D07-ZH-R2	D07-ZH-R3	D07-ZR-R1	D07-ZR-R2	D07-ZR-R3	D08-NF-R1	D08-NF-R2	D08-NF-R3	D08-OF-R1	D08-OF-R2	D08-OF-R3	D08-OR-R1	D08-OR-R2	D08-OR-R3	D08-ZF-R1	D08-ZF-R2	D08-ZF-R3	D08-ZH-R1	D08-ZH-R2	D08-ZH-R3	D08-ZR-R1	D08-ZR-R2	D08-ZR-R3	D09-NF-R1	D09-NF-R2	D09-NF-R3	D09-OF-R1	D09-OF-R2	D09-OF-R3	D09-OR-R1	D09-OR-R2	D09-OR-R3	D09-ZF-R1	D09-ZF-R2	D09-ZF-R3	D09-ZH-R1	D09-ZH-R2	D09-ZH-R3	D09-ZR-R2	D09-ZR-R3	D10-NF-R1	D10-NF-R2	D10-NF-R3	D10-OF-R1	D10-OF-R2	D10-OF-R3	D10-ZF-R1	D10-ZF-R2	D10-ZF-R3	D10-ZH-R1	D10-ZH-R2	D10-ZH-R3	D10-ZR-R1	D10-ZR-R2	D10-ZR-R3
D01-NF-R1	0	0.0853	0.331637309073091	0.1363	0.17931	0.16313	0.2726	0.359540381296187	0.338410592594074	0.28464	0.34681	0.340739413394134	0.354190452095479	0.364269664696647	0.3622	0.20597	0.34612	0.38405	0.36364	0.371259735897359	0.37606	0.38904	0.37263	0.35526	0.22589625296253	0.213	0.38317	0.381720159498405	0.36788	0.38385	0.372660251397486	0.38330014499855	0.36124	0.34777	0.37498	0.39741	0.39647	0.397420002499975	0.39754	0.39744	0.3975	0.39687	0.39521	0.397	0.397400002699973	0.397249995799958	0.39723	0.39608	0.396470013299867	0.3944	0.397100021699783	0.39705	0.397150005199948	0.237628399583996	0.27066	0.160962367076329	0.0646253597464025	0.206291913780862	0.256161415085849	0.0417435592644073	0.03341	0.25603	0.2722	0.25606	0.31056	0.32413	0.302010956590434	0.18061	0.29179	0.12215	0.39742	0.39743	0.39738	0.397329996599966	0.396950007199928	0.39731	0.39579	0.3972	0.39678	0.39676	0.3852	0.3967999899999	0.39716	0.39676	0.39711	0.39601	0.38817	0.389869920699207	0.38048	0.39732	0.39339	0.38665	0.375040226297737	0.370720270797292	0.39702	0.39669998899989	0.39785	0.39668	0.396650011499885	0.39715	0.39492	0.39458	0.39233	0.39262	0.39174	0.38819	0.39448	0.39454	0.39494	0.38268	0.38272	0.382700149698503	0.39738	0.397289978899789	0.396880025199748	0.39617	0.39545	0.39484	0.3975	0.396479986799868	0.39675	0.163385627856279	0.245321523484765	0.22425	0.07925	0.27758	0.10011	0.3016690399904	0.31268	0.296128984589846	0.36498	0.373280261197388	0.334330650693493	0.386709890398904	0.37793	0.37718	0.34364	0.35735	0.201718023180232	0.0192041860418604	0.00579392006079936	0.47135	0.08693	0.01825	0.0643	0.290033105668943	0.24616	0.230986302563026	0.05892	0.01171	0.000773984439844403	0.06524	0.259161386386136	0.348770490295097	0.11264	0.0633033609663904	0.39448	0.37247	0.397079994099941	0.39518	0.397649998499985	0.39772	0.39811	0.397109977099771	0.39848	0.397580001799964	0.39694	0.3977	0.39746	0.397629998299983	0.39843
D01-NF-R2	0.0853	0	0.247897292172922	0.2216	0.26372	0.24843	0.35625	0.443190381296187	0.422060592694073	0.36994	0.43211	0.426039413394134	0.439480452195478	0.44848963799638	0.44585	0.29127	0.43027	0.46935	0.44894	0.455359707897079	0.46014	0.47434	0.45708	0.44056	0.14059625296253	0.1277	0.46846	0.466840177198228	0.45317	0.46903	0.456310251397486	0.466950145098549	0.44653	0.43305	0.46027	0.48106	0.48012	0.481070002499975	0.48123	0.48109	0.48165	0.48052	0.47886	0.48065	0.482550020199798	0.482239976799768	0.48252	0.48088	0.480120013399866	0.47805	0.482390021799782	0.48197	0.482340022299777	0.321278399583996	0.35431	0.244612367176328	0.0441243720562794	0.289941913880861	0.339811415185848	0.125393559264407	0.11706	0.33968	0.35585	0.33971	0.39421	0.40778	0.385660956590434	0.26426	0.37544	0.2058	0.48107	0.48108	0.48103	0.480979996599966	0.480600007199928	0.48096	0.47975	0.48085	0.48083	0.48041	0.46885	0.4804499899999	0.48081	0.48041	0.48076	0.48121	0.47182	0.473519920699207	0.46413	0.48193	0.47869	0.4703	0.458690226297737	0.454370270897291	0.48231	0.480999963099631	0.48314	0.48198	0.480300011599884	0.4808	0.48021	0.4796	0.47762	0.47627	0.47539	0.47184	0.47961	0.47871	0.47859	0.46633	0.46637	0.466350149698503	0.48268	0.482589978899789	0.482170025299747	0.47982	0.4791	0.47849	0.4828	0.481059963599636	0.48182	0.0780856278562786	0.328971523584764	0.13936	0.16455	0.36288	0.18541	0.3853190399904	0.39633	0.379778984589846	0.45027	0.458570261297387	0.419620650793492	0.470359890398904	0.46158	0.46218	0.42894	0.44246	0.287018023180232	0.0661558159581596	0.0898439485605143	0.3877	0.00328000000000002	0.06735	0.02146	0.204733105668943	0.16086	0.145686302563026	0.14422	0.097	0.0845959989599896	0.14889	0.342811386386136	0.432420490395096	0.19794	0.14860336096639	0.47813	0.45612	0.480729994099941	0.47883	0.482849981599816	0.48217	0.48341	0.482409977099771	0.48378	0.48123000199996	0.48059	0.48194	0.48246	0.482919982299823	0.48373
D01-NF-R3	0.331637309073091	0.247897292172922	0	0.467937309073091	0.510857292172922	0.494757309073091	0.604147292172922	0.691087673469109	0.669957884766996	0.616237309073091	0.678397309073091	0.672316723167232	0.685767760468577	0.695736957369574	0.693707292172922	0.537577309073091	0.677667292172922	0.715607309573096	0.69527730907309	0.702807028070281	0.707607292172922	0.720677309073091	0.704177292172922	0.686897309073091	0.10970109701097	0.145357292172922	0.714807309073091	0.713267451671327	0.699517309073091	0.715337292172922	0.704137542970414	0.714777436571478	0.692877309073091	0.679397309073091	0.706617309073091	0.728957292172922	0.728017292172922	0.728967294672897	0.729087292172922	0.728987292172922	0.729047292172922	0.728417292172922	0.726757292172922	0.728547292172922	0.728947294872895	0.72879728797288	0.728867309073091	0.727627292172922	0.727937305972794	0.725867292672927	0.728737330772874	0.728597292172922	0.72869729737287	0.569175691756918	0.602207292172922	0.492509659249251	0.292021664129202	0.537839205953784	0.587708707258771	0.373290851437329	0.364957292172922	0.587577292172922	0.603747292172922	0.587607292172922	0.642107292172922	0.655677292172922	0.633558248763356	0.512157292172922	0.623337292172922	0.453697292172922	0.728967292172922	0.728977292172922	0.728927292172922	0.728877288772888	0.72849729937285	0.728857292172922	0.727337292172922	0.728747292172922	0.728327292172922	0.728307292172922	0.716747292172922	0.728317283172832	0.728707292172922	0.728307292172922	0.728657292172922	0.727557309073091	0.719717292172922	0.721407214072141	0.712027292172922	0.728787292672927	0.724947309573096	0.718197292172922	0.706587518470659	0.702217562170222	0.728647309073091	0.728207282072821	0.729417309073091	0.728257309073091	0.728117304172812	0.728617292672927	0.726557309073091	0.726077292172922	0.723907309073091	0.724167292172922	0.723287292172922	0.719737292172922	0.725977292172922	0.726047292172922	0.726457292172922	0.714227292172922	0.714267292172922	0.714247441871425	0.72901730907309	0.728867288672887	0.728477333372848	0.727717292172922	0.726927292172922	0.726307292672927	0.729057309573096	0.727977279772798	0.728217292672927	0.171121711217112	0.576868815657687	0.108537292172922	0.410817309073091	0.609137309573096	0.431667309573096	0.633216332163322	0.644227292172922	0.627676276762768	0.696617309073091	0.704907569070491	0.66589795916659	0.718257182571826	0.709407292172922	0.708647292672927	0.675237309073091	0.688827292172922	0.533275332753328	0.31250312503125	0.337331211033733	0.139802707827078	0.245277309073091	0.313687309073091	0.267797309073091	0.0504340800050435	0.116117292172922	0.11040110401104	0.390497309073091	0.343337309073091	0.330883308833088	0.396787292172922	0.590678677559068	0.680247781868025	0.444267309073091	0.394880669339488	0.726027292172922	0.703977292172922	0.728627286272863	0.726727292172922	0.729117291172912	0.729187292672927	0.729687309073091	0.728667286672867	0.730037309573096	0.729127293972886	0.728407292672927	0.729167292672927	0.729007292172922	0.729187291872919	0.729987309573096
D01-OF-R1	0.1363	0.2216	0.467937309073091	0	0.04326	0.02688	0.13651	0.223450381296187	0.202320592594074	0.14839	0.21056	0.204489413394134	0.217940452095479	0.228229664696647	0.22616	0.06972	0.21003	0.2478	0.22734	0.235169735897359	0.23997	0.25274	0.23654	0.21899	0.36214625296253	0.34925	0.24687	0.245630159498405	0.23158	0.24781	0.236620251397486	0.24726014499855	0.22498	0.21168	0.23883	0.26132	0.26038	0.261330002499975	0.26145	0.26135	0.26141	0.26078	0.25912	0.26091	0.261310002699973	0.261159995799958	0.26111	0.26	0.260430013299867	0.25836	0.260800021699783	0.26096	0.261060005199948	0.101538399583996	0.13457	0.0248723670763293	0.200875359746402	0.0702019137808622	0.120071415085849	0.123476133738663	0.13052	0.11994	0.13611	0.11997	0.17447	0.18804	0.165920956590434	0.08098	0.1557	0.12307	0.26133	0.26134	0.26129	0.261239996599966	0.260860007199928	0.26122	0.2597	0.26111	0.26069	0.26067	0.24911	0.2607599899999	0.26107	0.26068	0.26102	0.25992	0.25208	0.253829920699207	0.24439	0.26128	0.25714	0.25056	0.238950228097719	0.234680270797292	0.26077	0.26065998899989	0.2616	0.26045	0.260610011499885	0.26111	0.25866	0.25854	0.25619	0.25653	0.25565	0.2521	0.25844	0.2585	0.2589	0.24659	0.24663	0.246610149698503	0.26113	0.261039978899789	0.260740010199898	0.26008	0.25941	0.2588	0.26125	0.260439986799868	0.26071	0.299635627856279	0.109271524884751	0.36055	0.05739	0.14148	0.03633	0.1655790399904	0.17659	0.160078983189832	0.22872	0.237130246297537	0.198080650693493	0.250619890398904	0.24189	0.24114	0.20739	0.22131	0.0654680231802318	0.15545418604186	0.131766052639474	0.60756	0.22297	0.15429	0.20034	0.426283105668943	0.38241	0.367286302563026	0.07795	0.12461	0.137054000240002	0.07553	0.123121386386136	0.212730490295097	0.02395	0.0734666495335047	0.25839	0.23643	0.260989994099941	0.25909	0.261609998499985	0.26168	0.26186	0.260899991399914	0.26223	0.261490001799964	0.2609	0.26166	0.26137	0.261589998299983	0.26218
D01-OF-R2	0.17931	0.26372	0.510857292172922	0.04326	0	0.0165	0.09329	0.180230381296187	0.159100592594074	0.10623	0.1684	0.162329413394134	0.175780452095479	0.184969664696647	0.1829	0.02756	0.16681	0.20564	0.18522	0.191949735897359	0.19675	0.21062	0.19336	0.17684	0.40430625296253	0.39141	0.20475	0.203130177198228	0.18946	0.20533	0.193360251397486	0.20400014499855	0.18282	0.16934	0.19656	0.2181	0.21716	0.218110002499975	0.21823	0.21813	0.21819	0.21756	0.2159	0.21769	0.218840020099799	0.218529976799768	0.21881	0.21717	0.217170013299867	0.2151	0.218680021699783	0.21826	0.218630022199778	0.0583183995839958	0.09135	0.0222775673243267	0.243035359746403	0.0269819137808622	0.0768514150858492	0.165636133738663	0.17268	0.0767200000000001	0.09289	0.08217	0.13125	0.14482	0.122700956590434	0.07992	0.11248	0.16523	0.21811	0.21812	0.21807	0.218019996599966	0.217640007199928	0.218	0.21648	0.21789	0.21747	0.21745	0.20589	0.2174999899999	0.21785	0.21745	0.2178	0.2175	0.20886	0.210569920699207	0.20117	0.21823	0.21498	0.20734	0.195730226297737	0.191420270797292	0.21861	0.21739998899989	0.21944	0.21827	0.217350011499885	0.21785	0.2165	0.2159	0.21392	0.21331	0.21243	0.20888	0.2159	0.21524	0.21564	0.20337	0.20341	0.203390149698503	0.21897	0.218879978899789	0.218470025199748	0.21686	0.21615	0.21554	0.21909	0.217349963599636	0.21811	0.341795627856279	0.0660115248847511	0.40267	0.10061	0.09917	0.07955	0.1223590399904	0.13337	0.116818984589846	0.18656	0.194870261197388	0.155920650693493	0.207399890398904	0.19863	0.19848	0.16523	0.17876	0.0233080231802318	0.198484169841698	0.173886052639474	0.65066	0.26623	0.19755	0.2436	0.468443105668943	0.42457	0.409406302563026	0.12117	0.16765	0.180083984439844	0.11769	0.0798613863861362	0.169470490295097	0.06717	0.116686649533505	0.21517	0.19317	0.217769994099941	0.21587	0.219149981599816	0.21847	0.2197	0.218699977099771	0.22007	0.218270001799964	0.21764	0.2184	0.21875	0.219219982299823	0.22002
D01-OF-R3	0.16313	0.24843	0.494757309073091	0.02688	0.0165	0	0.10979	0.196730381296187	0.175600592594074	0.12151	0.18368	0.177609413394134	0.19108043899561	0.201449664696647	0.19938	0.04284	0.18331	0.22092	0.20052	0.208449735897359	0.21325	0.22592	0.20982	0.19214	0.38902625296253	0.37613	0.22005	0.218910159498405	0.20476	0.22103	0.209840251397486	0.22048014499855	0.19812	0.18496	0.21211	0.2346	0.23366	0.234610002499975	0.23473	0.23463	0.23469	0.23406	0.2324	0.23419	0.234590002699973	0.234439995799958	0.23439	0.23327	0.233650013299867	0.23158	0.233980021699783	0.23424	0.234340005199948	0.0748183995839958	0.10785	0.00699756732432674	0.227755359746402	0.0434819137808622	0.0933514150858492	0.150356133738663	0.1574	0.09322	0.10939	0.09325	0.14775	0.16132	0.139200956590434	0.08114	0.12898	0.14995	0.23461	0.23462	0.23457	0.234519996599966	0.234140007199928	0.2345	0.23298	0.23439	0.23397	0.23395	0.22239	0.2339799899999	0.23435	0.23395	0.2343	0.2332	0.22536	0.227049921899219	0.21767	0.2345	0.23026	0.22384	0.212230226297737	0.207900270797292	0.23389	0.23387998899989	0.23472	0.23367	0.233830011499885	0.23433	0.2319	0.23176	0.22941	0.22981	0.22893	0.22538	0.23166	0.23172	0.23212	0.21987	0.21991	0.219890149698503	0.23426	0.234159978899789	0.233960010199898	0.23336	0.23263	0.23202	0.23437	0.233659986799868	0.23393	0.326515627856279	0.0825115234847651	0.38737	0.08411	0.1147	0.06309	0.1388590399904	0.14987	0.133318984589846	0.20186	0.210350246297537	0.171200650693493	0.223899890398904	0.21511	0.21436	0.18051	0.19453	0.0385880231802318	0.18233418604186	0.158586052639474	0.63438	0.24975	0.18117	0.22712	0.453163105668943	0.40929	0.394106302563026	0.10467	0.15143	0.163874000240002	0.10241	0.0963413863861362	0.185950490295097	0.05067	0.100186649533505	0.23167	0.20965	0.234269994099941	0.23237	0.234829998499985	0.2349	0.23498	0.234119991399914	0.23535	0.234770001799964	0.23412	0.23488	0.23465	0.234809998299983	0.2353
D01-OR-R1	0.2726	0.35625	0.604147292172922	0.13651	0.09329	0.10979	0	0.089030383396166	0.067910594894051	0.02437	0.08654	0.0804694133941339	0.0939104521954781	0.102919637896379	0.09908	0.0670600000000001	0.08465	0.12378	0.10325	0.109659705297053	0.1144	0.12869	0.1114	0.09497	0.494446195461955	0.47477	0.12275	0.121060180698193	0.10748	0.12346	0.102240251597484	0.120460186698133	0.10095	0.0873899999999999	0.11443	0.13334	0.13057	0.131020081099189	0.13493	0.13282	0.13431	0.12427	0.12373	0.1258	0.13523003899961	0.135809966799668	0.13626	0.13527	0.133890052399476	0.13238	0.136690024399756	0.13576	0.13633002799972	0.0349716004160042	0.00888000000000003	0.111637632923671	0.326825363746363	0.0727479045209548	0.0213484185158149	0.248976141938581	0.25616	0.08251	0.07059	0.08824	0.03925	0.0532	0.0311709622903771	0.16171	0.06479	0.24797	0.13146	0.12657	0.13433	0.13502995899959	0.131480076499235	0.13215	0.13411	0.13344	0.1352	0.13331	0.11466	0.128409892798928	0.13405	0.13467	0.13387	0.13558	0.12129	0.124669855398554	0.10788	0.13636	0.13312	0.1241	0.106070330296697	0.107900312296877	0.13674	0.13542996299963	0.13757	0.13641	0.132370067599324	0.13131	0.13463	0.13403	0.13205	0.1303	0.12638	0.12555	0.13404	0.13314	0.13203	0.11008	0.11219	0.112150152198478	0.13711	0.137019978899789	0.136600025299747	0.13293	0.12738	0.13204	0.13723	0.135489963599636	0.13625	0.43302558095581	0.0272784765152349	0.49561	0.1939	0.01731	0.17284	0.0299889318893189	0.0419899999999999	0.0299604172041721	0.10469	0.113000261297387	0.074050650793492	0.119169800698007	0.1075	0.11661	0.08337	0.09689	0.0714119648196482	0.291714167841678	0.266816081139189	0.74395	0.35943	0.29076	0.33683	0.553713212167878	0.50785	0.493756188261883	0.21446	0.26093	0.273373984439844	0.20736	0.0560880708192918	0.078360490395096	0.16046	0.209976649533505	0.13159	0.10204	0.126599992299923	0.12258	0.137279981499815	0.1366	0.13784	0.136839977099771	0.13821	0.131460153396932	0.13202	0.13637	0.13678	0.137349982199822	0.13816
D01-OR-R2	0.359540381296187	0.443190381296187	0.691087673469109	0.223450381296187	0.180230381296187	0.196730381296187	0.089030383396166	0	0.021139788602114	0.0756503812961871	0.0350696379036209	0.0355196310035519	0.0348196518034819	0.0381288945038129	0.0342892566074339	0.154000381296187	0.033279637903621	0.0589892566074339	0.0384992587074129	0.0449189666044918	0.0496992587074129	0.0638992587074129	0.0466392587074129	0.0351996379036209	0.581486581658149	0.546370384196158	0.0580192587074129	0.0563894361056389	0.0427292587074128	0.0586692566074339	0.0329496705032949	0.0556694433055669	0.0361592566074339	0.0343796400035999	0.0498292587074129	0.0693592587074129	0.0662492587074129	0.0667593324066759	0.0707892587074129	0.0685692587074129	0.0712092587074129	0.0593992587074129	0.0391592595074049	0.0469892587074129	0.0721092789072109	0.0717992354071799	0.0720792587074129	0.0704792566074339	0.0690993090069099	0.0675892566074339	0.0719492805071949	0.0715292587074129	0.0718992810071899	0.122121988012212	0.0890003833961661	0.198668013319867	0.399246007539925	0.153458465415346	0.103608963910361	0.318406815931841	0.326620384196158	0.146570742592574	0.134460742592574	0.152130742592574	0.0497903833961661	0.0358303833961661	0.0578694213057869	0.225330742592574	0.109430742592574	0.311930742592574	0.0668692587074129	0.0593792587074129	0.0696592587074129	0.0702892203070289	0.0667493325066749	0.0674692587074129	0.0693192566074339	0.0688092587074129	0.0704092566074339	0.0685592587074129	0.0372392587074129	0.0636191494063618	0.0694992587074129	0.0698792566074339	0.0691592587074129	0.0707892566074339	0.0564992566074339	0.0598791120059879	0.0209396187038129	0.0715692566074339	0.0683292566074339	0.0593392587074129	0.0412595874041258	0.0431095689043108	0.0719492566074339	0.0706392196070639	0.0727792566074339	0.0716192566074339	0.0675793242067579	0.0665192566074339	0.0698392566074339	0.0692392566074339	0.0672592566074339	0.0657992587074129	0.0616192587074128	0.0607592566074339	0.0692492566074339	0.0683492566074339	0.0672392566074339	0.0380392595074049	0.0231996179038209	0.0231597684023159	0.0723192566074339	0.0722292355072229	0.0718092819071809	0.0684292587074129	0.0625892566074339	0.0672492566074339	0.0724392566074339	0.0706992202070699	0.0714592566074339	0.520325970052033	0.114218857811422	0.582550381296187	0.280840381296187	0.0821003812961871	0.259780381296187	0.0602113689060211	0.0470503833961661	0.0691321739069133	0.0398992566074339	0.0482095179048209	0.0351596484035159	0.0555690731055569	0.0340992566074339	0.0518192566074339	0.0349496379036209	0.0343596379036209	0.158352346115835	0.378654549137865	0.353756462435376	0.830890381296187	0.446390383396166	0.377710383396166	0.423770381296187	0.641983580164198	0.575680384196158	0.58069656955807	0.301400381296187	0.347870381296187	0.360314365736032	0.295280383396166	0.118828811711883	0.0207497925020749	0.247400381296187	0.296917030829692	0.0668392587074129	0.013049615803842	0.0375696089037569	0.0405603620963791	0.0724892381072488	0.0718092566074339	0.0730492566074339	0.0720492337072049	0.0734192566074339	0.066819404904489	0.0672292566074339	0.0715792566074339	0.0720192587074129	0.0725592388072559	0.0733692566074339
D01-OR-R3	0.338410592594074	0.422060592694073	0.669957884766996	0.202320592594074	0.159100592594074	0.175600592594074	0.067910594894051	0.021139788602114	0	0.054520592594074	0.0218292558074419	0.0157586692015759	0.02919970800292	0.038208893903821	0.034369255907441	0.132870592594074	0.019939255907441	0.059069255807442	0.03856925800742	0.0449889659044989	0.0497692581074189	0.063979255807442	0.04670925800742	0.030259255807442	0.560366793456037	0.537980744192558	0.0580892581074189	0.056469435305647	0.0427992581074189	0.058749255907441	0.034339656603434	0.0557494425055749	0.036239255907441	0.0226792581074189	0.049899258107419	0.069429258107419	0.066329258107419	0.066839331606684	0.0708592581074189	0.0686392581074189	0.0712792581074189	0.0595092581074189	0.056799407405926	0.0585894074059259	0.072179278207218	0.071869234907187	0.0721492581074189	0.070559255907441	0.0691793082069179	0.0676792559074409	0.072019279807202	0.0715992581074189	0.0719692803071969	0.100982199610098	0.067860594894051	0.177528224717753	0.389606103938961	0.135558644413556	0.0841791582084179	0.312206877931221	0.319250744192558	0.146430744192558	0.134320744192558	0.151990744192558	0.038310744192558	0.031620744192558	0.0521494785052149	0.225190744192558	0.109290744192558	0.311800744192558	0.066939258107419	0.059459258107419	0.0697292581074189	0.070359219807036	0.066829331706683	0.067539258107419	0.069399255907441	0.0688792581074189	0.0704892559074409	0.068639258107419	0.046789407405926	0.0636991488063699	0.069569258107419	0.069959255907441	0.069229258107419	0.0708692559074409	0.0565892559074409	0.059959111405996	0.042069407405926	0.071649255907441	0.0684092558074419	0.0594192581074189	0.0413795862041379	0.0431895681043189	0.0720292559074409	0.0707192190070719	0.0728592559074409	0.0716992558074419	0.067659323406766	0.066619255907441	0.0699192559074409	0.0693192559074409	0.0673392559074409	0.065869258107419	0.0616892581074189	0.0608392559074409	0.0693292558074419	0.0684292559074409	0.067319255907441	0.0442694074059259	0.044309407405926	0.044289557104429	0.072399255807442	0.072309234707231	0.071889281107189	0.0685492581074189	0.0626692559074409	0.0673292559074409	0.072519255807442	0.070779219407078	0.071539255807442	0.499186181649919	0.0930890691093089	0.561420592694073	0.259710592594074	0.060970592594074	0.238650592594074	0.0391215810039121	0.0334207441925581	0.0690621746069062	0.0399792559074409	0.048289517104829	0.014109858901411	0.0556690729055669	0.039609405205948	0.051899255907441	0.018659255807442	0.0321792559074409	0.137222557413722	0.357524760635752	0.332626673733263	0.809760592594074	0.425250594794052	0.356570594794052	0.402640592594074	0.620863791362086	0.571140744192558	0.559566781055957	0.280270592594074	0.326740592694073	0.339184577033918	0.274160594894051	0.118718812811872	0.010449895501045	0.226270592594074	0.275787242127579	0.0669092581074189	0.034149405205948	0.058709397505871	0.061610151598484	0.0725692375072569	0.0718892559074409	0.0731292558074419	0.072129232907213	0.073499255807442	0.066889404204496	0.0673092559074409	0.0716592559074409	0.072089258107419	0.072639238207264	0.073449255807442
D01-ZF-R1	0.28464	0.36994	0.616237309073091	0.14839	0.10623	0.12151	0.02437	0.0756503812961871	0.054520592594074	0	0.06234	0.0560994133941339	0.06997043899561	0.080339664696647	0.07827	0.07867	0.06223	0.09941	0.07916	0.0873697358973589	0.09217	0.10444	0.08874	0.07066	0.51053625296253	0.49764	0.09865	0.097830159498405	0.08346	0.09992	0.0887302513974861	0.09937014499855	0.07664	0.06388	0.09103	0.11352	0.11258	0.113530002499975	0.11365	0.11355	0.11361	0.11298	0.11132	0.11311	0.113510002699973	0.113359995799958	0.11331	0.11219	0.112540013299867	0.11047	0.11288000899991	0.11316	0.113260005199948	0.0513216608166082	0.01743	0.128507567324327	0.349265359746403	0.0952179002209978	0.0438384140158598	0.271866133738663	0.27891	0.10609	0.09398	0.11165	0.02667	0.04024	0.0299296909030909	0.18485	0.07685	0.27146	0.11353	0.11354	0.11349	0.113439996599966	0.113060007199928	0.11342	0.1119	0.11331	0.11289	0.11287	0.10131	0.11287999099991	0.11327	0.11287	0.11322	0.11212	0.10428	0.105969921899219	0.09659	0.11339	0.10882	0.10276	0.0911502262977369	0.0867902707972919	0.11267	0.112769989899899	0.11335	0.11256	0.112720011499885	0.11322	0.11082	0.11065	0.1083	0.10873	0.10785	0.1043	0.11055	0.11061	0.11102	0.09879	0.09883	0.098810149698503	0.11309	0.113039991699917	0.112850010199898	0.11228	0.11152	0.11091	0.11318	0.112549986799868	0.11282	0.448025627856279	0.0419984324156759	0.50885	0.20542	0.00710000000000001	0.18457	0.0177790399903999	0.02879	0.0408804186041861	0.08066	0.089270245097549	0.049780640893591	0.102819890398904	0.094	0.09325	0.05928	0.07342	0.0829619763197632	0.30384418604186	0.280096051439486	0.75586	0.3711	0.30268	0.34855	0.574673105668943	0.5308	0.515586302563026	0.22575	0.27294	0.285354000240002	0.22392	0.0782580698193017	0.064840490295097	0.172	0.221356639733603	0.11059	0.08854	0.113189994099941	0.11129	0.113719998499985	0.11379	0.11374	0.113009991399914	0.11384	0.113690001799964	0.11301	0.11377	0.11357	0.113699998299983	0.1138
