Sample	Condition	Replication	DNAConcentration	Mean16sCount	MicrobesPerGram	RatioBacteroidetesFirmicutes	RawReads	DeduplicatedReads	TrimmedReads	HostRemovedReads	OrphanReads	AbsoluteAbundanceFirmicutes	AbsoluteAbundanceBacteroidetes	AbsoluteAbundanceActinobacteria	AbsoluteAbundanceOtherBacteria	AbsoluteAbundanceViruses	AbsoluteAbundanceFungi	AbsoluteAbundanceUnclassifiedRoot	AbsoluteAbundanceUnclassified	ShannonEntropy	InverseSimpson	RichnessAbove0.01	RelativeAbundanceFirmicutes	RelativeAbundanceBacteroidetes	RelativeAbundanceActinobacteria	RelativeAbundanceOtherBacteria	RelativeAbundanceViruses	RelativeAbundanceFungi	RelativeAbundanceUnclassifiedRoot	RelativeAbundanceUnclassified
D04-OH-R2	OH	R2	52.4	4.725269168	7.89e+13	0.214180023	19330524	17550242	17100406	13629774	686929	5.03e+13	1.08e+13	3.9e+12	1.21e+12	6664878716	2.16e+11	1.25e+13	1.14e+13	3.347449644	16.41557213	109	0.637243214	0.136484766	0.049349712	0.015294059	8.44e-05	0.002730117	0.158680833	0.143973323
D04-OH-R3	OH	R3	16.5	4.681049049	2.31e+12	0.205766613	53950220	48660665	47570102	38393312	1580090	1.46e+12	3e+11	1.63e+11	37145584340	171687514.8	5736610680	3.47e+11	3.15e+11	3.379169502	17.43863853	111	0.630671519	0.129771142	0.070456282	0.0160882	7.44e-05	0.002484595	0.150328748	0.136248129
D04-OR-R1	OR	R1	79.8	4.585208526	1.79e+12	0.156368839	31047070	27476803	26794575	22648335	977579	1.18e+12	1.84e+11	1.63e+11	22433072195	92444771.77	3702573919	2.39e+11	2.15e+11	3.361844729	17.2509984	108	0.657431901	0.102801863	0.091361441	0.012535916	5.17e-05	0.00206905	0.133643284	0.119974824
D04-OR-R2	OR	R2	25.8	4.779492848	1.87e+13	0.250904523	33949251	30113337	29322515	22497130	1189960	1.16e+13	2.91e+12	7.76e+11	3.42e+11	1207552920	50936218047	3.01e+12	2.74e+12	3.322893062	15.07788088	111	0.620560631	0.155701469	0.041541609	0.018317399	6.46e-05	0.002725039	0.160948422	0.146489506
D04-OR-R3	OR	R3	45.4	4.589590303	5.31e+12	0.146245738	31352297	28030705	27264101	23810428	1112397	3.5e+12	5.11e+11	5.17e+11	65957857479	265615547	10886512755	7.09e+11	6.36e+11	3.364303935	17.20632193	108	0.658305703	0.096274403	0.097394827	0.01241705	5e-05	0.002049466	0.133403806	0.119745683
D04-ZF-R1	ZF	R1	10.2	4.513663048	4.05e+12	0.26130458	41263772	37323611	34581585	27228697	3291573	2.45e+12	6.41e+11	3.29e+11	62994598104	220656361.5	7949525599	5.52e+11	4.97e+11	3.352544397	16.62196188	105	0.606219488	0.158407929	0.081293676	0.015572119	5.45e-05	0.001965104	0.136391971	0.122854654
D04-ZF-R2	ZF	R2	6.84	4.523547664	1.24e+12	0.259677553	46934930	42009017	40883799	28712403	1673234	7.54e+11	1.96e+11	1.03e+11	20370822039	61936149.34	2154927552	1.63e+11	1.46e+11	3.349789819	16.50192867	100	0.608921556	0.15812326	0.082999509	0.016459791	5e-05	0.001741199	0.131612084	0.118143378
D04-ZF-R3	ZF	R3	7.32	4.51210512	9.27e+11	0.274583043	11294045	10582871	10153023	7443608	647073	5.63e+11	1.54e+11	77775051921	13608017335	40907034.85	1461874575	1.17e+11	1.05e+11	3.31128141	15.84106529	102	0.606736365	0.166599517	0.083869933	0.014674417	4.41e-05	0.001576435	0.126415196	0.112771757
D04-ZH-R1	ZH	R1	9.32	4.475588144	2.32e+12	0.334736276	77265569	67199591	65404995	48714689	2545329	1.34e+12	4.48e+11	1.46e+11	45053917015	137057598	5081662501	3.35e+11	3.05e+11	3.374660093	16.52500094	110	0.577228298	0.193219251	0.063040268	0.01944615	5.92e-05	0.002193345	0.144704546	0.131501629
D04-ZH-R2	ZH	R2	3.8	4.487576318	2.1e+11	0.328262735	47921372	42398089	41128170	28591399	1855688	1.22e+11	40202644425	12847640115	3767761960	13411523.59	504027345	29942075682	27073047201	3.346353588	16.00209568	110	0.583835137	0.191651319	0.061246398	0.017961419	6.39e-05	0.002402765	0.142737832	0.129060794
D04-ZH-R3	ZH	R3	10	4.467984432	5.7e+11	0.303077655	32542091	29277992	28544299	20571832	1058525	3.31e+11	1e+11	45070131585	11406046753	33556246.2	1350580854	80204072891	72271126648	3.402121547	17.50706439	107	0.581331566	0.176188608	0.079122267	0.020023733	5.89e-05	0.002370994	0.140801188	0.12687461
D04-ZR-R1	ZR	R1	9.08	4.514360373	8.12e+11	0.347102436	81658065	71704995	69861073	50376764	2622776	4.7e+11	1.63e+11	39326023215	17404076213	47285057.71	1670495348	1.21e+11	1.1e+11	3.322845497	15.34874476	107	0.578632442	0.20084473	0.048434208	0.021434983	5.82e-05	0.002057394	0.148424022	0.135332599
D04-ZR-R2	ZR	R2	5.4	4.514551069	1.49e+12	0.260889086	31893965	28776901	28113436	22951494	943302	9.14e+11	2.38e+11	97846200785	25291398119	83109115.34	3197452907	2.11e+11	1.92e+11	3.394709632	17.41138268	105	0.613208871	0.159979502	0.065678177	0.01697657	5.58e-05	0.002146255	0.141844684	0.128734409
D04-ZR-R3	ZR	R3	16.6	4.535650385	3.99e+12	0.261543278	34924289	31972248	31146779	26553328	1186449	2.45e+12	6.4e+11	2.63e+11	73521516847	240269486.2	8654115905	5.56e+11	5.05e+11	3.392914901	17.54634968	106	0.61342093	0.160436121	0.066005232	0.018441104	6.03e-05	0.002170677	0.139358624	0.126626045
D05-NF-R1	NF	R1	87.4	4.733213312	1.3e+12	0.597865778	57272909	49842459	48522548	40527011	1916441	5.92e+11	3.54e+11	77258407408	32843672250	3893310745	1761822351	2.34e+11	1.81e+11	3.091700908	9.152616538	110	0.456808094	0.273109927	0.059581162	0.025328818	0.003002495	0.001358706	0.180736154	0.139303113
D05-NF-R2	NF	R2	26	4.679031795	3.33e+11	0.302154653	41505577	36151232	35044058	31240449	1653320	1.77e+11	53411371423	26460241466	5014709683	525967503.4	526696728.9	70455972839	59925412289	3.24644644	12.67873064	120	0.530526751	0.160301127	0.079413923	0.015050421	0.001578562	0.001580751	0.211456316	0.179851422
D05-NF-R3	NF	R3	129.2	4.701943864	8.71e+11	0.410246522	28198493	25537208	24907555	20276403	923790	4.27e+11	1.75e+11	66379485973	21005394058	1503479719	1311881657	1.78e+11	1.45e+11	3.20953181	11.56049323	121	0.490603275	0.201268287	0.076251619	0.024129372	0.001727081	0.001506988	0.204428389	0.166464705
D05-OF-R1	OF	R1	84.8	4.704237739	1.04e+13	1.013959351	93368076	78679470	76725628	63546445	2762487	3.95e+12	4.01e+12	6.35e+11	2.28e+11	17615308251	11625833739	1.56e+12	1.07e+12	2.838962686	6.742653079	96	0.379746149	0.385047159	0.060968094	0.02184609	0.001691401	0.001116299	0.14953327	0.102966122
D05-OF-R2	OF	R2	79.2	4.695736026	6.03e+12	0.780010087	42093124	36780525	35790672	29407811	1443450	2.53e+12	1.98e+12	4.3e+11	1.21e+11	8317380087	7223278689	9.54e+11	6.85e+11	2.984964046	8.503324363	99	0.420050445	0.327643584	0.071281946	0.02013998	0.001379206	0.00119778	0.158246502	0.113671
D05-OF-R3	OF	R3	81.8	4.709813235	1.71e+12	0.744895474	34041382	30794183	30047074	26460045	1052278	7.42e+11	5.53e+11	1.18e+11	30588662950	2362469501	1964855421	2.64e+11	1.89e+11	2.987200051	8.550253164	100	0.433303922	0.32276613	0.069197004	0.017866111	0.001379862	0.001147625	0.154284493	0.110316617
D05-OH-R1	OH	R1	68.4	4.694000961	7.41e+12	0.795960067	86667439	73812046	72097503	61033772	2562937	3.06e+12	2.43e+12	4.65e+11	1.57e+11	14458406527	10199340078	1.27e+12	9.5e+11	3.035115083	8.843025068	103	0.412602978	0.328415494	0.062778143	0.021147288	0.001951067	0.001376334	0.171654532	0.128210322
D05-OH-R2	OH	R2	50.4	4.763346223	3.23e+12	1.059447202	32795126	28724364	27987209	23564265	1076994	1.19e+12	1.26e+12	1.38e+11	76255466044	7365124326	4482007418	5.56e+11	4.01e+11	2.853696066	7.007426342	102	0.367991477	0.389867541	0.042735613	0.023617887	0.002281131	0.00138817	0.17205569	0.124184926
D05-OH-R3	OH	R3	42.8	4.840513253	2.71e+12	1.641900066	35982421	31568002	30852909	26732295	1063611	8.01e+11	1.32e+12	52987817836	71619605456	7862739706	3584804091	4.55e+11	3.11e+11	2.544696511	5.096980935	97	0.295926011	0.485880936	0.019566351	0.026446349	0.002903406	0.001323729	0.167903552	0.11476701
D05-OR-R1	OR	R1	60	4.783278466	9.89e+12	1.415385629	48990184	42686443	41583513	33692229	1620343	3.25e+12	4.6e+12	3.84e+11	2.72e+11	26044061326	10330931400	1.35e+12	8.21e+11	2.648048503	5.814606385	93	0.328521469	0.464984566	0.038830049	0.027533696	0.002634308	0.001044954	0.136403521	0.083090985
D05-OR-R2	OR	R2	64.4	4.700916111	2.16e+12	0.754444404	31019576	27223845	26411061	22182797	1250671	9.29e+11	7.01e+11	1.35e+11	44480719175	3870866862	2725563504	3.45e+11	2.43e+11	3.004770007	8.82253242	101	0.429757687	0.324228282	0.062640562	0.020579579	0.001790907	0.001261017	0.159669658	0.1122659
D05-OR-R3	OR	R3	82.2	4.735249285	6.83e+12	0.748538032	45025943	40041484	39005125	33835034	1457248	2.96e+12	2.22e+12	4.69e+11	1.4e+11	12907460854	8159749283	1.02e+12	7.25e+11	3.009355204	9.053015961	101	0.433547745	0.324526976	0.068610711	0.020550151	0.001888599	0.001193922	0.149624361	0.106099667
D05-ZF-R1	ZF	R1	15.4	4.674732211	2.64e+12	0.641500392	91347688	77683300	75763745	60440041	2832159	1.21e+12	7.75e+11	1.82e+11	55362835966	4940075974	3076195388	4.12e+11	3.12e+11	3.100231765	10.42302876	104	0.457519913	0.293499203	0.068988409	0.020957138	0.001870024	0.001164468	0.155942958	0.117975656
D05-ZF-R2	ZF	R2	4.52	4.700174949	1.14e+11	0.890673966	37269789	32571958	31658900	22342460	1352743	45986052744	40958579996	6531481732	2902641940	204360898.3	128291553.6	17674589421	12530540506	2.890931224	7.001210152	102	0.402005125	0.358055499	0.057097511	0.025374584	0.001786501	0.001121511	0.154509359	0.109540637
D05-ZF-R3	ZF	R3	10.4	4.703950885	1.7e+11	0.64777912	51227760	45656147	44485706	36812969	1638581	77716833042	50343341682	11043391456	3884776413	294745983.4	203006595.8	26510153913	20120701828	3.091288275	10.17196057	100	0.457142532	0.296127387	0.064958951	0.022850861	0.001733742	0.001194116	0.155936859	0.118353106
D05-ZH-R1	ZH	R1	10.1	4.669754354	9.79e+11	0.990578412	91304975	76984935	75013592	63824028	2965797	3.66e+11	3.63e+11	52671418780	27594382842	4083096393	1310750766	1.64e+11	1.23e+11	2.975263563	7.804270034	101	0.374402017	0.370874555	0.053826283	0.028199412	0.004172622	0.00133949	0.167115756	0.125500284
D05-ZH-R2	ZH	R2	9.44	4.685718863	5.82e+11	1.215478407	27532700	24415720	23717819	17268363	1064601	2e+11	2.43e+11	27339671679	16506280427	2413894946	720146991.3	92688996536	67025291404	2.866523384	6.874559817	98	0.343061116	0.416983378	0.046959043	0.028351443	0.004146143	0.001236936	0.159204055	0.115123678
D05-ZH-R3	ZH	R3	7.2	4.745907915	8501857470	1.086930529	41406131	36889847	35948430	31521967	1314115	3105125097	3375055264	357284105	222158116	44649990.8	11603124.43	1385504025	1040213026	2.883941465	7.088140878	99	0.365229023	0.396978575	0.042024241	0.026130539	0.005251792	0.001364775	0.162964861	0.122351266
D05-ZR-R1	ZR	R1	11.8	4.622387419	3.84e+11	0.922335691	76769824	65895566	64293016	51585876	2288423	1.48e+11	1.36e+11	24781380895	10933358089	1098239075	470411404.3	62798331833	47061116418	3.011867363	8.542407697	102	0.384674003	0.354798562	0.064494288	0.028454393	0.0028582	0.00122426	0.163434545	0.122477969
D05-ZR-R2	ZR	R2	6.42	4.613541429	8.68e+11	0.828020298	30616831	27070787	26337319	20324670	1079895	3.48e+11	2.88e+11	62025314764	22017726754	2149771005	1071380701	1.44e+11	1.07e+11	3.057880279	9.134073471	104	0.40145587	0.332413609	0.07148721	0.025376507	0.002477716	0.001234819	0.165493351	0.122969434
D05-ZR-R3	ZR	R3	9.38	4.704729828	3.78e+11	1.128067823	101220443	87563586	84505397	70752734	4359943	1.39e+11	1.57e+11	16542606955	9356775161	1660976019	433873042.2	54143756382	38197664999	2.854488688	6.742985381	96	0.367681062	0.414769176	0.043805078	0.024776885	0.00439829	0.001148902	0.1433735	0.101148005
D06-NF-R1	NF	R1	140.8	4.66671385	4.94e+12	0.34671462	62028949	54133611	52697982	48283770	2071694	3e+12	1.04e+12	4.4e+11	9921161102	1466073142	2508955335	4.44e+11	2.75e+11	2.619115757	7.194507336	75	0.607641188	0.210678084	0.089079004	0.002006558	0.000296514	0.000507437	0.089754771	0.055639196
D06-NF-R2	NF	R2	12.8	4.674687443	1.12e+12	0.489700908	18840939	16993688	16534082	13128438	663663	6.19e+11	3.03e+11	82676948020	2293869739	884741033.4	527955527.7	1.07e+11	60994135606	2.469734091	5.890724001	75	0.555000842	0.271784416	0.074108025	0.002056125	0.000793043	0.000473236	0.095750225	0.054672494
D06-NF-R3	NF	R3	13.4	4.651189802	1.5e+13	0.456137659	48632310	43485293	42369889	36085632	1585409	8.46e+12	3.86e+12	1.18e+12	30637743725	9722513001	7060628501	1.41e+12	8.39e+11	2.532560476	6.341791834	76	0.565488805	0.25794074	0.078857823	0.002048207	0.000649973	0.00047202	0.094504143	0.056059558
D06-OF-R1	OF	R1	37.2	4.490133158	1.07e+13	1.586071776	85802548	71541826	69508600	60956793	2930095	3.56e+12	5.64e+12	4.57e+11	32443086297	4998530793	4075957518	1.01e+12	4.2e+11	1.915323543	2.877838466	70	0.332120993	0.526767734	0.042709698	0.003030244	0.000466872	0.000380702	0.094502293	0.039238295
D06-OF-R2	OF	R2	29	4.488166997	5.97e+12	1.372824491	45673881	39490300	38312107	20227605	1807887	2.14e+12	2.93e+12	3.01e+11	22721779518	2065643449	2176356208	5.71e+11	2.29e+11	2.028895093	3.273092204	70	0.357905509	0.491341449	0.05049212	0.00380715	0.000346109	0.00036466	0.095721953	0.038342603
D06-OF-R3	OF	R3	7.12	4.576688685	1.85e+13	0.584422852	23471556	21314517	20744126	15291018	830316	9.64e+12	5.64e+12	1.46e+12	39131851013	6361280442	8215259703	1.74e+12	9.36e+11	2.529046366	6.14958861	74	0.520090584	0.303952822	0.079003969	0.00211071	0.000343117	0.000443118	0.094021789	0.050506508
D06-OH-R1	OH	R1	102	4.545505987	1.32e+13	0.675413122	48152034	41611983	40556243	26909214	1560738	6.58e+12	4.44e+12	7.74e+11	29576934846	8369734149	6424693562	1.32e+12	7.44e+11	2.479215579	5.615463913	74	0.499705806	0.337507859	0.058837764	0.002247276	0.000635938	0.000488153	0.100542334	0.056514859
D06-OH-R2	OH	R2	54.8	4.571609413	8.82e+12	0.704488928	40265882	35747424	34747126	27331322	1473235	4.39e+12	3.1e+12	4.48e+11	20967887334	6490676311	4109026101	8.55e+11	4.78e+11	2.42498595	5.272680138	74	0.497946581	0.350797853	0.050796264	0.002376419	0.000735628	0.000465701	0.096846742	0.054156527
D06-OH-R3	OH	R3	94.8	4.557710205	3.04e+12	0.588253581	50081731	44709233	43558751	37215652	1633666	1.59e+12	9.37e+11	2.03e+11	6667453670	1729819519	1447367821	2.92e+11	1.71e+11	2.549241936	6.147849042	73	0.524902645	0.308775861	0.066929484	0.00219637	0.000569831	0.000476787	0.096115365	0.056172412
D06-OR-R1	OR	R1	44.6	4.533452573	4.57e+12	1.462969959	38183078	33687642	32863292	29465745	1184247	1.61e+12	2.36e+12	1.18e+11	10752689389	3391073699	1921403168	4.69e+11	2.16e+11	1.924804495	3.00871247	73	0.352458878	0.51563675	0.025726241	0.002351724	0.000741663	0.000420231	0.10263882	0.047338545
D06-OR-R2	OR	R2	66.4	4.499601986	1.45e+12	1.251318101	32433270	29076311	28336148	22393992	1080930	5.52e+11	6.91e+11	52666621485	3542707274	981319457.8	585792668.8	1.45e+11	70049741062	2.111404767	3.505967474	75	0.381849989	0.477815803	0.036422024	0.002449988	0.000678639	0.00040511	0.100352796	0.048443459
D06-OR-R3	OR	R3	116	4.554841571	7.58e+12	0.657647272	31084918	28371463	27629938	23235495	1054942	3.83e+12	2.52e+12	4.9e+11	18630826375	3385152830	3362844849	7.12e+11	3.83e+11	2.521921111	5.693864744	78	0.505609297	0.332512575	0.064589492	0.002457621	0.000446541	0.000443598	0.093911231	0.050560991
D06-ZF-R1	ZF	R1	8.5	4.480728782	1.29e+12	0.76014411	107548014	91419699	88637744	61861533	4023174	6.02e+11	4.58e+11	1.01e+11	2823901503	1429051462	591330166.9	1.24e+11	70960922332	2.451010504	5.470308483	79	0.466771451	0.354813569	0.078448887	0.002189665	0.001108092	0.00045852	0.096176559	0.055023388
D06-ZF-R2	ZF	R2	10.4	4.527011194	1.11e+12	0.600944599	37781496	33534695	32687616	23563694	1232625	5.7e+11	3.43e+11	91108498619	2302777508	871781316.1	520718375.1	1.04e+11	60767162140	2.533076386	6.198559846	77	0.513082075	0.308333902	0.081977292	0.002071985	0.000784408	0.00046853	0.093247909	0.054676869
D06-ZF-R3	ZF	R3	19.9	4.618734421	1.98e+12	0.266771913	77304814	68951170	66679322	56490441	3429317	1.29e+12	3.44e+11	1.79e+11	3747431395	1002759378	932397810.2	1.58e+11	99046751156	2.779180044	9.188953628	73	0.652623458	0.174101608	0.090544793	0.001894065	0.000506825	0.000471262	0.079823346	0.050061229
D06-ZH-R1	ZH	R1	6.06	4.455324884	3.15e+11	1.2584416	115744454	94440112	92018840	63586986	3490572	1.22e+11	1.54e+11	5351111403	858813795.1	617401838.8	141173361.2	32214959757	17709329287	2.181783068	3.812264842	76	0.387669834	0.487859846	0.01699409	0.002727426	0.001960748	0.000448339	0.10230845	0.056241388
D06-ZH-R2	ZH	R2	1.74	4.379712931	19286729622	0.928695744	26340785	23246398	22634607	16696965	896838	8175767920	7592800873	1414931683	54628291.93	33280275.65	9041333.263	2005569132	1097092961	2.535392928	5.391587323	78	0.42390639	0.39368006	0.073362966	0.002832429	0.001725553	0.000468785	0.103986999	0.056883307
D06-ZH-R3	ZH	R3	2.16	4.454676768	37842296989	0.892525471	33452854	29896177	29159819	22432605	1092153	16702508970	14907414683	2286342586	91538428.58	53867588.71	16575169.54	3782847522	2023263139	2.45575233	5.174563141	76	0.441371436	0.393935249	0.060417648	0.002418945	0.001423476	0.000438006	0.099963475	0.053465654
D06-ZR-R1	ZR	R1	8.84	4.378510703	7.68e+11	0.517747788	49289420	43487418	42456045	31927830	1515600	3.93e+11	2.04e+11	88995304779	1817073841	831318646.6	407465943.3	78767417009	50596051916	2.766550319	8.141270737	82	0.512284858	0.265234352	0.115890489	0.00236621	0.001082551	0.000530606	0.102571641	0.065886635
D06-ZR-R2	ZR	R2	3.42	4.361541411	4.98e+11	1.294069747	31676592	27692682	26854303	18786009	1240289	1.83e+11	2.37e+11	20814787064	1243344302	1235934267	243936174	54155615533	29851756906	2.262504773	3.854080294	79	0.367902471	0.476091457	0.04178709	0.002496098	0.002481221	0.000489718	0.108721053	0.059929416
D06-ZR-R3	ZR	R3	2.28	4.35682737	1.27e+11	0.602139015	56626368	50195541	48984909	37656451	1731104	61759293697	37187680286	14453271739	285041398.3	156240814	62602889.6	12865046048	8046889763	2.707890101	7.520114285	78	0.487160035	0.293338064	0.114008046	0.002248419	0.001232434	0.000493814	0.101480051	0.063474222
D07-NF-R1	NF	R1	61.4	4.502333663	1.79e+12	0.300120574	166353919	139848784	135355805	107274161	6754722	1.21e+12	3.63e+11	58396823072	17934879985	1505802465	1047762851	1.4e+11	95973189829	3.058489673	12.36933073	87	0.675113591	0.202615478	0.032606935	0.010014269	0.000840792	0.000585038	0.078181831	0.053588388
D07-NF-R2	NF	R2	34.6	4.605157377	1.89e+12	0.425500801	34363954	30799182	29938134	26022883	1296403	1.11e+12	4.73e+11	49481452246	84696764468	1459654379	1188845002	1.72e+11	1.13e+11	3.085014552	12.08405891	88	0.587144525	0.249830466	0.026124516	0.044716998	0.000770648	0.00062767	0.090741684	0.05986629
D07-NF-R3	NF	R3	26.4	4.577847092	59146492791	0.29403984	33266256	30262169	29486727	25781810	1158536	38427216820	11299132702	1822653290	2073468192	36137071.52	39111383.6	5445721673	3778740455	3.151998568	13.95193526	90	0.649695612	0.191036394	0.030815915	0.035056486	0.000610976	0.000661263	0.09207176	0.063887819
D07-OF-R1	OF	R1	85.8	4.672669815	1.71e+13	0.402968312	125898477	105324690	102714731	92336137	3737428	1.04e+13	4.2e+12	2.98e+11	7.8e+11	3802292337	9891523765	1.34e+12	8.28e+11	2.997084165	11.036443	83	0.6109369	0.246188211	0.017468216	0.045740053	0.000222992	0.000580107	0.078825435	0.048546865
D07-OF-R2	OF	R2	78.8	4.720326336	5.58e+12	0.693012726	98091307	84991419	82635732	70417572	3597160	2.75e+12	1.91e+12	71868623020	3.64e+11	1504037743	3057725684	4.81e+11	2.62e+11	2.85810912	8.14002346	80	0.493127106	0.34174336	0.012875578	0.065227996	0.000269455	0.000547805	0.086172166	0.046953427
D07-OF-R3	OF	R3	8.88	4.692436771	1.36e+12	0.387187034	30331205	27201226	26397873	23908605	1099011	8.44e+11	3.27e+11	22342312333	59984367950	274515817.5	751562276	1.06e+11	63730779749	2.975204605	10.73061547	84	0.620606966	0.240290971	0.016420604	0.044085837	0.000201757	0.000552365	0.077807435	0.046839283
D07-OH-R1	OH	R1	132.8	4.702310717	5.97e+13	0.335709359	29659380	26961369	26301682	24111950	933616	3.86e+13	1.3e+13	8.24e+11	2.35e+12	15139773138	36705001110	4.86e+12	3.14e+12	2.994666883	11.36694507	85	0.647081094	0.217231179	0.013810245	0.039453182	0.000253808	0.000615333	0.081512984	0.05271875
D07-OH-R2	OH	R2	66.6	4.706214056	1.43e+13	0.402297671	26374454	23939214	23295162	20770289	959023	8.71e+12	3.51e+12	2.27e+11	6.7e+11	4324439754	8731717802	1.19e+12	7.37e+11	2.970162501	10.94275253	84	0.608733371	0.244892018	0.015823969	0.046790125	0.000302078	0.000609942	0.08280652	0.051462718
D07-OH-R3	OH	R3	150.8	4.720510421	3.76e+12	0.459312588	18591062	17284741	16566175	15059111	1081117	2.18e+12	1e+12	49921889024	2.04e+11	541716540.1	1863820412	3.23e+11	1.96e+11	2.876699642	9.695305669	83	0.579541268	0.2661906	0.013283876	0.054325242	0.000144147	0.00049595	0.085975652	0.052037034
D07-OR-R1	OR	R1	106	4.631335562	2.16e+12	0.31813996	33583568	30203905	29344408	26014132	1255610	1.41e+12	4.5e+11	42768552872	77521418049	542077691	1377537932	1.74e+11	1.1e+11	3.065788584	12.38757388	85	0.654609681	0.208257498	0.019807486	0.035902651	0.000251054	0.000637982	0.080494681	0.051161597
D07-OR-R2	OR	R2	22.8	4.686800697	2.56e+12	0.993521946	29201085	26056376	25280801	21300554	1146894	1.05e+12	1.04e+12	22098914094	2.01e+11	831569522.3	1575876333	2.42e+11	1.25e+11	2.75898156	6.988905358	83	0.410041519	0.407385248	0.008618637	0.078462192	0.000324314	0.000614596	0.094513771	0.048852933
D07-OR-R3	OR	R3	47.2	4.686680554	2.01e+12	0.463428059	39252126	35552901	34625370	31172772	1369358	1.17e+12	5.41e+11	30628892032	1.06e+11	428272680.9	1199820871	1.66e+11	97945534841	2.97678115	10.41628339	80	0.580151689	0.268858571	0.015213256	0.052404635	0.000212721	0.000595947	0.08252537	0.04864918
D07-ZF-R1	ZF	R1	16.2	4.678020614	2.24e+12	0.483319464	231485554	190458422	184686905	167224453	8040130	1.29e+12	6.22e+11	28904357486	1.09e+11	858990792.9	1402765648	1.95e+11	1.26e+11	2.979237723	10.33433091	85	0.573357403	0.277114793	0.012876667	0.048593001	0.000382674	0.000624921	0.08700753	0.056000474
D07-ZF-R2	ZF	R2	9.26	4.631170429	8.12e+11	0.634643699	61297798	54815698	52094259	44100804	4451859	4.19e+11	2.66e+11	8854285853	41488607086	290357957.7	412690942.2	76122515534	43506032183	2.841836743	8.338421788	84	0.515925087	0.327428605	0.010903597	0.051091083	0.000357561	0.000508208	0.093740957	0.053575438
D07-ZF-R3	ZF	R3	13.2	4.691816564	3.92e+11	0.380830867	34476716	31149432	30275500	27245087	1300060	2.45e+11	93321035328	5538489446	16200711235	126388662.1	227008478.3	31470089895	19672270289	2.987353348	10.91537472	86	0.625206683	0.238098003	0.014130826	0.041334271	0.000322466	0.000579186	0.080292354	0.050191559
D07-ZH-R1	ZH	R1	7.66	4.700719445	4.16e+11	0.661167566	84905292	73433776	71393363	63571660	2958590	2.11e+11	1.39e+11	2733369340	23680594118	185026846.7	273503733.1	39131003011	23303368066	2.819828997	8.311570146	86	0.506497404	0.334879656	0.006567191	0.056894976	0.000444545	0.00065712	0.094016115	0.055988653
D07-ZH-R2	ZH	R2	4.86	4.697497392	4.69e+11	0.774101323	42632678	37255680	36200127	31618576	1545266	2.2e+11	1.7e+11	2068441863	29626452144	233803867.4	317930901.2	46466351559	26870985446	2.776410822	7.737113273	83	0.469035942	0.363081343	0.00441038	0.063170213	0.000498522	0.0006779	0.099076639	0.057294942
D07-ZH-R3	ZH	R3	11.1	4.658952281	1.09e+12	0.41934004	31252211	28330007	27594191	25739120	1015759	6.55e+11	2.75e+11	16636152430	52296177852	393568424.1	720496345.3	93723203150	60686173883	3.000389313	11.13629464	87	0.598964675	0.251169871	0.015219269	0.047842167	0.000360049	0.000659132	0.085740895	0.055517596
D07-ZR-R1	ZR	R1	6.76	4.747917996	1.64e+12	0.681633838	74918486	64654825	63242831	55865149	2078486	8.2e+11	5.59e+11	10928488612	96878203663	685217657.2	981411790.3	1.49e+11	88220228203	2.790706955	8.007058046	83	0.500739393	0.341320914	0.006673655	0.059160215	0.000418439	0.000599315	0.091048356	0.053873085
D07-ZR-R2	ZR	R2	1	4.604204745	89945944469	0.58414801	37688754	33573273	32692790	28428243	1268839	48240624830	28179665000	1012557419	4541952303	32151528.14	50896390.64	7884465221	4668333630	2.890022558	8.955457584	84	0.536329071	0.31329556	0.011257399	0.050496466	0.000357454	0.000565855	0.087657818	0.051901547
D07-ZR-R3	ZR	R3	11.3	4.640664807	1.59e+12	0.412225164	36252519	32550662	31741082	28579723	1152266	9.63e+11	3.97e+11	24671190920	71879967865	524436854.6	956482641	1.33e+11	83142274808	2.99199945	10.89112678	85	0.605290607	0.24951602	0.015502094	0.045165634	0.000329529	0.000601004	0.083554749	0.052242282
D08-NF-R1	NF	R1	100	4.572967948	2.11e+13	0.708039511	43932668	38699148	37765540	34324108	1328489	1.07e+13	7.61e+12	4.88e+11	2.34e+11	43600979583	12081850504	1.97e+12	1.35e+12	2.605013751	5.895511585	83	0.509325195	0.360622362	0.023130336	0.011071589	0.002065854	0.000572449	0.09317287	0.063896421
D08-NF-R2	NF	R2	112	4.594574891	2.14e+11	0.730059839	34535021	31054736	28897248	25595777	2626568	1.08e+11	78765114162	4229020977	2156692060	655742155.6	133212137.1	20052124607	13712568033	2.582329104	5.581679749	80	0.504415554	0.368253538	0.019772103	0.010083265	0.003065816	0.000622812	0.093750462	0.064110892
D08-NF-R3	NF	R3	112	4.615138628	7.02e+12	0.431689963	47718581	42659585	41545806	38260348	1603485	4.25e+12	1.83e+12	2.15e+11	62735318533	14852918163	4428397522	6.39e+11	4.78e+11	2.828445461	8.222775962	88	0.605315509	0.26130863	0.030668729	0.008937456	0.00211599	0.000630882	0.090981785	0.068099175
