Sample	Condition	Replication	DNAConcentration	Mean16sCount	MicrobesPerGram	RatioBacteroidetesFirmicutes	RawReads	DeduplicatedReads	TrimmedReads	HostRemovedReads	OrphanReads	AbsoluteAbundanceFirmicutes	AbsoluteAbundanceBacteroidetes	AbsoluteAbundanceActinobacteria	AbsoluteAbundanceOtherBacteria	AbsoluteAbundanceViruses	AbsoluteAbundanceFungi	AbsoluteAbundanceUnclassifiedRoot	AbsoluteAbundanceUnclassified	ShannonEntropy	InverseSimpson	RichnessAbove0.01	RelativeAbundanceFirmicutes	RelativeAbundanceBacteroidetes	RelativeAbundanceActinobacteria	RelativeAbundanceOtherBacteria	RelativeAbundanceViruses	RelativeAbundanceFungi	RelativeAbundanceUnclassifiedRoot	RelativeAbundanceUnclassified
D01-ZH-R2	ZH	R2	4.88	4.569371389	2.33e+11	0.506925102	40910371	36123997	35108844	31518231	1493494	1.35e+11	68632624368	2062116213	3436739790	136577710.9	160231086.6	23407490604	16063543196	2.997003985	10.73165996	96	0.580478962	0.294259357	0.008841233	0.014734871	0.000585571	0.000686984	0.100358586	0.068871735
D01-ZH-R3	ZH	R3	3.48	4.567729639	2.21e+11	0.721875438	29962969	27093926	26384909	24161839	993037	1.13e+11	81481296051	1311326973	3567502457	98352314.69	125673953.1	21597196786	13800516880	2.771606083	8.007715143	92	0.510589692	0.368582158	0.005931812	0.016137664	0.000444899	0.000568488	0.097695321	0.062426895
D01-ZR-R1	ZR	R1	9.32	4.549462411	8.43e+11	0.437675816	141667488	121323707	118498646	109101962	4054821	5.12e+11	2.24e+11	12657865409	12396789452	341955227.2	507237782.2	80671400827	56430966281	3.030136895	11.22114886	100	0.607577777	0.265922099	0.015018266	0.014708506	0.000405722	0.000601826	0.095714762	0.066954044
D01-ZR-R2	ZR	R2	11	4.588679689	52212092184	0.465890947	62757805	54217673	52762298	48702583	2153439	31225657793	14547751271	676659416.1	697778318.7	21443036.39	31065555.32	5008966922	3471556435	2.960300989	10.27560541	93	0.598054138	0.278628009	0.012959822	0.013364305	0.000410691	0.000594988	0.095934997	0.06648951
D01-ZR-R3	ZR	R3	5	4.708748544	90545652883	0.331877321	28055340	25517198	24920032	23091034	857894	60615143021	20116791294	1177992074	929591294	25508353.1	59551351.11	7616957520	5282857586	3.007482863	11.29351103	98	0.669442884	0.222172911	0.013009924	0.010266548	0.000281718	0.000657694	0.084122841	0.058344685
D02-NF-R1	NF	R1	153.2	4.543064107	1.43e+12	0.886296773	63248009	55861758	53383929	47115796	3824962	6.53e+11	5.79e+11	10063472376	9585560394	14850110819	1249112044	1.61e+11	1.04e+11	2.511145223	4.425721833	83	0.457176247	0.405193832	0.007040557	0.006706202	0.010389361	0.000873898	0.112559292	0.072808911
D02-NF-R2	NF	R2	104	4.640558393	1.7e+12	0.492251713	28630551	25931875	25320627	23260395	894867	9.89e+11	4.87e+11	34159414756	11663423737	11585250956	1230008019	1.7e+11	1.17e+11	2.853329087	7.185288703	89	0.580316235	0.285661661	0.020044611	0.006844052	0.00679818	0.000721764	0.099557767	0.06866593
D02-NF-R3	NF	R3	143.2	4.629363285	2.88e+12	0.526681213	24716528	22582114	21944780	20512865	951808	1.63e+12	8.59e+11	56980900116	20991327388	20389054367	2030540931	2.9e+11	1.97e+11	2.83428907	6.880238565	89	0.566221965	0.298218471	0.019778278	0.007286166	0.007077115	0.000704808	0.100658061	0.068426051
D02-OF-R1	OF	R1	42.6	4.539933311	4.43e+12	1.531716007	72532927	61608932	60135736	54360693	2107739	1.53e+12	2.34e+12	40226004680	30544497036	32810646755	3310270503	4.49e+11	2.47e+11	2.117674044	2.876174707	80	0.345358998	0.528991906	0.009085414	0.006898757	0.007410587	0.000747655	0.101465188	0.055746959
D02-OF-R2	OF	R2	4.92	4.615519712	3.76e+13	0.707630966	44788638	39899803	38876895	35419883	1522751	1.92e+13	1.36e+13	6.31e+11	2.19e+11	2.07e+11	22702655078	3.67e+12	2.3e+12	2.629480467	5.19005935	87	0.511606726	0.362028761	0.016785472	0.005824283	0.00550652	0.000603667	0.097596407	0.061123332
