SampleName	SampleTitle	Organism	Host	IsolationSource	CollectionDate	GeoLocName	LatLong	SampCollectDevice	SampMatProcess	Donor
D06_ZH	Donor06 zymo 40C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	Zymo DNA/RNA Shield	40C for 7 days	D06
D08_ZR	Donor08 zymo 23C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	Zymo DNA/RNA Shield	23C for 7 days	D08
D02_OF	Donor02 omnigene -80C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	DNA Genotek OMR-200	Immediate storage at -80C	D02
D03_OF	Donor03 omnigene -80C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	DNA Genotek OMR-200	Immediate storage at -80C	D03
D07_OF	Donor07 omnigene -80C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	DNA Genotek OMR-200	Immediate storage at -80C	D07
D03_ZH	Donor03 zymo 40C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	Zymo DNA/RNA Shield	40C for 7 days	D03
D05_OH	Donor05 omnigene 40C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	DNA Genotek OMR-200	40C for 7 days	D05
D04_NF	Donor04 No Preservative -80C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	NA	Immediate storage at -80C	D04
D08_NF	Donor08 No Preservative -80C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	NA	Immediate storage at -80C	D08
D01_ZR	Donor01 zymo 23C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	Zymo DNA/RNA Shield	23C for 7 days	D01
D09_OH	Donor09 omnigene 40C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	DNA Genotek OMR-200	40C for 7 days	D09
D04_ZF	Donor04 zymo -80C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	Zymo DNA/RNA Shield	Immediate storage at -80C	D04
D10_OR	Donor10 omnigene 23C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	DNA Genotek OMR-200	23C for 7 days	D10
D05_ZR	Donor05 zymo 23C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	Zymo DNA/RNA Shield	23C for 7 days	D05
D09_ZR	Donor09 zymo 23C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	Zymo DNA/RNA Shield	23C for 7 days	D09
D06_OR	Donor06 omnigene 23C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	DNA Genotek OMR-200	23C for 7 days	D06
D01_OH	Donor01 omnigene 40C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	DNA Genotek OMR-200	40C for 7 days	D01
D02_OR	Donor02 omnigene 23C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	DNA Genotek OMR-200	23C for 7 days	D02
D07_ZH	Donor07 zymo 40C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	Zymo DNA/RNA Shield	40C for 7 days	D07
D08_ZF	Donor08 zymo -80C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	Zymo DNA/RNA Shield	Immediate storage at -80C	D08
D04_OF	Donor04 omnigene -80C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	DNA Genotek OMR-200	Immediate storage at -80C	D04
D08_ZH	Donor08 zymo 40C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	Zymo DNA/RNA Shield	40C for 7 days	D08
D10_ZR	Donor10 zymo 23C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	Zymo DNA/RNA Shield	23C for 7 days	D10
D02_OH	Donor02 omnigene 40C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	DNA Genotek OMR-200	40C for 7 days	D02
D10_OH	Donor10 omnigene 40C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	DNA Genotek OMR-200	40C for 7 days	D10
D09_NF	Donor09 No Preservative -80C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	NA	Immediate storage at -80C	D09
D07_OR	Donor07 omnigene 23C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	DNA Genotek OMR-200	23C for 7 days	D07
D02_ZR	Donor02 zymo 23C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	Zymo DNA/RNA Shield	23C for 7 days	D02
D06_ZR	Donor06 zymo 23C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	Zymo DNA/RNA Shield	23C for 7 days	D06
D09_ZF	Donor09 zymo -80C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	Zymo DNA/RNA Shield	Immediate storage at -80C	D09
D08_OF	Donor08 omnigene -80C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	DNA Genotek OMR-200	Immediate storage at -80C	D08
D01_NF	Donor01 No Preservative -80C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	NA	Immediate storage at -80C	D01
D04_ZH	Donor04 zymo 40C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	Zymo DNA/RNA Shield	40C for 7 days	D04
D05_ZF	Donor05 zymo -80C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	Zymo DNA/RNA Shield	Immediate storage at -80C	D05
D01_ZF	Donor01 zymo -80C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	Zymo DNA/RNA Shield	Immediate storage at -80C	D01
D03_OR	Donor03 omnigene 23C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	DNA Genotek OMR-200	23C for 7 days	D03
D05_NF	Donor05 No Preservative -80C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	NA	Immediate storage at -80C	D05
D06_OH	Donor06 omnigene 40C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	DNA Genotek OMR-200	40C for 7 days	D06
