Sample	raw_reads	dedup_reads	dedup_frac	trimmed_reads	trimmed_frac	host_removed_reads	host_removed_frac	orphan_reads	orphan_frac
D04-ZF-R2	46934930	42009017	0.895	40883799	0.871	28712403	0.612	1673234	0.036
NCO-B2-R2	1868	1557	0.834	1418	0.759	771	0.413	200	0.107
NCO-B3-R2	413	232	0.562	211	0.511	121	0.293	25	0.061
NCO-B1-R3	579	315	0.544	284	0.491	167	0.288	38	0.066
D03-NF-R2	35030588	30993474	0.885	30180980	0.862	24909942	0.711	1218402	0.035
D04-NF-R3	11652151	10717232	0.92	10425683	0.895	9269522	0.796	419569	0.036
D05-ZF-R1	91347688	77683300	0.85	75763745	0.829	60440041	0.662	2832159	0.031
D02-OH-R2	31441635	28137897	0.895	27386563	0.871	24701864	0.786	1144371	0.036
D02-ZR-R3	30265822	27125577	0.896	26429925	0.873	24526297	0.81	1015412	0.034
D06-NF-R2	18840939	16993688	0.902	16534082	0.878	13128438	0.697	663663	0.035
D02-ZH-R2	32375052	28867836	0.892	28025003	0.866	25636444	0.792	1261533	0.039
D06-ZF-R3	77304814	68951170	0.892	66679322	0.863	56490441	0.731	3429317	0.044
PCO-B1-R1	172305883	121597365	0.706	118513407	0.688	113040787	0.656	4475729	0.026
D02-ZF-R2	110467092	93978755	0.851	91483950	0.828	84829510	0.768	3661036	0.033
D03-ZH-R1	54885698	47360415	0.863	46273449	0.843	34768980	0.633	1566741	0.029
D01-ZH-R3	29962969	27093926	0.904	26384909	0.881	24161839	0.806	993037	0.033
D01-NF-R2	18808802	16947424	0.901	16491588	0.877	14175378	0.754	673036	0.036
D01-NF-R3	47334082	42400668	0.896	41318265	0.873	38445859	0.812	1574535	0.033
D05-NF-R3	28198493	25537208	0.906	24907555	0.883	20276403	0.719	923790	0.033
D01-ZH-R2	40910371	36123997	0.883	35108844	0.858	31518231	0.77	1493494	0.037
D09-OF-R2	212678830	165411578	0.778	160233756	0.753	117361818	0.552	7297994	0.034
D10-OF-R3	40004115	35781780	0.894	34765503	0.869	27139749	0.678	1493532	0.037
D09-ZH-R1	68745020	57577247	0.838	56183424	0.817	39130709	0.569	2007764	0.029
D03-ZH-R2	2	2	1.0	1	0.5	1	0.5	1	0.5
D03-OR-R3	30724862	27585028	0.898	26869472	0.875	23084082	0.751	999644	0.033
NCO-B4-R3	123072	112517	0.914	109442	0.889	82368	0.669	4435	0.036
D02-ZR-R2	41205612	36222092	0.879	35123903	0.852	30450221	0.739	1687410	0.041
D06-OH-R1	48152034	41611983	0.864	40556243	0.842	26909214	0.559	1560738	0.032
D07-ZF-R2	61297798	54815698	0.894	52094259	0.85	44100804	0.719	4451859	0.073
D09-NF-R1	41021653	35861431	0.874	34908016	0.851	31297159	0.763	1369454	0.033
PCO-B4-R3	19898388	17620435	0.886	17148580	0.862	15923886	0.8	683769	0.034
D05-NF-R2	41505577	36151232	0.871	35044058	0.844	31240449	0.753	1653320	0.04
