#	#
XT_D04-NFlex-R1-A	XT
XT_D06-NFlex-R1-A	XT
XT_D08-NFlex-R1-C	XT
XT_D07-NFlex-R1-C	XT
XT_D10-NFlex-R1-C	XT
XT_D05-NFlex-R1-C	XT
XT_D05-NFlex-R1-A	XT
XT_D05-NFlex-R1-B	XT
XT_D08-NFlex-R1-B	XT
XT_D02-NFlex-R1-B	XT
XT_D07-NFlex-R1-B	XT
XT_D09-NFlex-R1-B	XT
XT_D03-NFlex-R1-C	XT
XT_D01-NFlex-R1-A	XT
XT_D04-NFlex-R1-C	XT
XT_D10-NFlex-R1-A	XT
XT_D06-NFlex-R1-B	XT
XT_D03-NFlex-R1-B	XT
XT_D10-NFlex-R1-B	XT
XT_D09-NFlex-R1-C	XT
XT_D02-NFlex-R1-A	XT
XT_D09-NFlex-R1-A	XT
XT_D04-NFlex-R1-B	XT
XT_D08-NFlex-R1-A	XT
XT_D06-NFlex-R1-C	XT
XT_D02-NFlex-R1-C	XT
XT_D01-NFlex-R1-C	XT
XT_D07-NFlex-R1-A	XT
XT_D03-NFlex-R1-A	XT
XT_D01-NFlex-R1-B	XT
Flex_D10-NF-R1	Flex
Flex_D07-NF-R1	Flex
Flex_D08-NF-R1	Flex
Flex_D05-NF-R1	Flex
Flex_D02-NF-R1	Flex
Flex_D03-NF-R1	Flex
Flex_D09-NF-R1	Flex
Flex_D01-NF-R1	Flex
Flex_D06-NF-R1	Flex
Flex_D04-NF-R1	Flex
