Saccharomycetales	Tremellales	Pseudomonadales	Enterobacterales	Rhizobiales	Rhodospirillales	Burkholderiales	Desulfovibrionales	Verrucomicrobiales	Bacillales	Lactobacillales	Clostridiales	Erysipelotrichales	Selenomonadales	Acidaminococcales	Veillonellales	Bifidobacteriales	Coriobacteriales	Bacteroidales
D05-ZF-R3	-4.1325	-7.8997	-2.4435	-1.4314	-2.5775	-4.3994	2.4142	0.4933	2.1144	-1.935	1.3393	7.7486	0.5035	-3.8853	-4.7442	3.7913	4.8163	2.8144	7.4132
D09-ZH-R1	-4.6786	-9.4821	2.8406	0.0384	-4.2424	-5.1252	3.3055	1.1522	-5.1215	-2.9738	-0.6719	7.6134	0.8544	1.992	-0.275	2.087	3.4833	1.5851	7.6186
D01-OR-R1	-4.1874	-7.9678	-3.2404	-1.3318	-2.4305	-3.6609	0.4715	2.4369	3.289	0.4383	1.6853	8.8859	1.2758	-2.5564	-5.1358	2.3321	2.2285	-1.5142	8.9818
D06-OF-R2	-3.8309	-8.4677	-2.3613	-1.0947	-2.4052	-3.4348	-0.5829	-4.5982	-4.2431	-1.3315	2.9958	9.613	2.2407	-2.7316	-4.6697	3.4471	6.4015	4.8772	10.1762
D10-OH-R3	-4.2013	-8.5658	-2.9006	1.6065	-3.2346	-5.0529	-3.5606	-4.3435	-2.2207	-1.4223	1.6704	8.7545	2.0441	5.1595	3.7661	-3.4258	0.6345	5.5846	9.7078
D08-NF-R3	-4.0206	-8.7615	-3.4546	-1.5415	-2.7438	-4.4594	2.3979	1.2244	-2.1401	-1.4469	2.8722	9.2676	2.3723	-2.8354	1.8049	-3.8917	2.7152	4.4577	8.1833
D03-ZR-R2	-5.3134	-9.2811	-2.328	-1.5295	-2.9318	-5.0638	0.2669	-2.3603	-1.1454	-2.7114	1.1459	7.6979	0.5754	3.4618	0.69	2.7585	3.4802	4.5973	7.9908
D04-OH-R3	-3.2291	-7.5643	-2.7743	-1.0552	-1.8853	-3.9674	-1.121	0.0189	-4.5492	0.1039	-0.7718	8.4414	2.6784	1.4525	-1.8752	1.8344	5.1001	2.8615	6.3017
D04-NF-R2	-3.5994	-7.5193	-2.9608	-1.5048	-1.576	-4.1028	-1.4563	-0.0283	-4.9181	-0.8115	-0.5094	8.5762	3.4448	2.3985	-2.0716	1.9286	5.6981	3.4208	5.5912
D01-NF-R3	-4.58	-8.2755	-3.4912	0.0917	-2.7167	-3.5605	-0.1067	2.4562	4.0131	-0.3773	2.5141	8.9402	1.1512	-3.1043	-5.3637	2.7169	3.3414	-1.1977	7.5487
D07-ZR-R1	-3.7577	-8.5207	-2.9262	-1.989	-2.3668	5.8346	2.8178	2.0178	-3.6127	-1.3296	0.438	9.1975	2.5546	-2.424	-1.3813	-3.3601	2.7789	-2.7115	8.7404
D09-OR-R1	-4.4886	-9.5071	3.1382	-0.0765	-4.245	-5.0546	3.5926	1.4522	-4.8923	-2.9176	-0.6193	7.6066	1.4816	1.3087	-1.1016	1.1139	3.6899	1.5781	7.9407
D07-ZR-R3	-3.6507	-8.6722	-3.2303	-2.2398	-2.6408	5.3826	2.5143	1.6794	-4.0003	-1.3935	1.5094	9.4346	3.5652	-2.7332	-1.7631	-3.5689	4.0077	-2.4588	8.2583
D08-OR-R1	-3.9443	-8.7184	-3.4793	-1.335	-2.7942	-4.4409	3.0414	2.0174	-1.2101	-1.6098	2.0459	8.9374	1.5837	-2.2163	2.0106	-3.9997	1.6124	3.1877	9.3114
D02-ZR-R3	-3.4708	-7.7806	-2.1062	-2.7806	-3.2026	-3.691	1.0876	0.4655	-3.0944	-1.4494	2.4104	9.2541	1.7397	-3.5588	1.6379	-0.0883	3.7852	1.5637	9.2786
D01-OF-R3	-3.8355	-7.954	-3.2369	-1.5605	-2.7174	-3.3294	0.1862	1.9498	1.5935	0.2186	2.4756	9.4695	1.792	-3.0238	-5.1454	2.6222	3.09	-1.0842	8.4897
D01-NF-R1	-4.521	-8.1925	-3.3902	-0.1215	-2.6664	-3.5103	-0.4595	2.7352	4.1388	-0.9072	2.8718	9.0617	1.324	-3.1541	-5.3109	2.5394	3.4129	-1.1975	7.3472
D01-NF-R2	-4.7602	-8.5286	-3.1954	-0.0792	-2.3378	-3.6343	-0.1318	3.142	4.1836	-0.7868	2.0121	9.0354	0.8847	-2.7615	-5.0996	1.9419	3.3723	-1.1891	7.9325
D07-NF-R3	-3.4731	-8.6285	-3.2596	-2.2222	-2.5258	4.4587	2.4702	2.0493	-4.0672	-1.4353	1.828	9.2537	3.9958	-2.726	-2.1418	-3.9065	4.8001	-2.086	7.6162
D10-ZF-R1	-4.3263	-8.8334	-2.9829	2.2168	-3.7521	-5.4427	-3.5491	-4.5935	-2.405	-1.448	2.4119	8.9478	2.345	4.9724	3.5786	-2.8382	0.6464	5.4449	9.6076
D08-OR-R3	-4.2061	-9.3262	-3.4254	-0.511	-2.8188	-4.4978	3.0779	2.1136	-1.1294	-1.6954	1.794	8.797	1.3619	-1.9188	2.113	-3.9083	1.7249	3.1416	9.3135
D09-OR-R2	-4.7731	-9.5542	3.3419	0.0812	-4.4206	-5.3046	3.1086	1.1069	-5.322	-2.9634	-0.2702	7.6221	1.9981	1.3055	-1.1166	1.2625	4.2783	2.3324	7.2873
D10-ZH-R2	-4.1532	-8.1314	-2.7588	1.9457	-3.0074	-4.8857	-3.3438	-4.0065	-2.2639	-1.4307	1.0099	8.4668	1.5314	5.5131	3.7286	-2.6574	-0.4422	5.1285	9.7572
D09-ZH-R3	-4.2781	-9.5781	3.8242	0.7869	-4.2743	-5.1441	3.5235	1.3692	-4.8327	-2.8216	-1.0123	7.5686	0.4096	1.7131	0.1019	2.2574	2.2709	0.0432	8.0728
D10-OR-R2	-4.4359	-8.818	-2.8339	0.915	-3.191	-5.1361	-3.5447	-4.3525	-2.3283	-1.4131	2.2284	8.9143	2.5294	4.7013	3.5216	-3.657	1.3574	5.7237	9.8194
D07-ZH-R2	-3.7518	-8.1584	-2.8588	-1.9108	-2.1348	5.8882	2.9248	1.9816	-3.4948	-1.2615	0.3774	9.0627	2.2928	-2.4093	-1.4084	-3.2098	1.971	-2.6966	8.7965
D10-OR-R3	-4.4444	-8.8721	-3.0604	1.0485	-3.3017	-5.2381	-3.6899	-4.6129	-2.613	-1.4461	2.5841	8.9238	2.9772	5.0044	3.1885	-3.2969	1.4965	5.8377	9.5148
D06-OR-R2	-3.6303	-8.2188	-2.3596	-1.1505	-2.1771	-3.3921	-0.6849	-4.3658	-4.0604	-1.0425	1.8163	9.6418	2.4136	-2.2239	-4.1628	3.3925	5.8869	4.2398	10.0777
D08-NF-R2	-4.0452	-8.5744	-3.2452	-1.1417	-2.6848	-4.3188	2.5873	1.748	-1.875	-1.2814	2.1452	9.1068	1.9502	-2.5979	1.2636	-3.916	2.1859	3.9161	8.7775
D02-OH-R1	-3.3393	-7.7985	-2.3539	-2.7135	-2.9692	-3.4974	0.2263	0.1048	-3.301	-1.337	3.9844	9.1954	1.9506	-3.534	1.6535	0.2593	3.6105	1.1083	8.7511
D01-OH-R3	-4.0394	-7.9285	-3.188	-1.4224	-2.6165	-3.4945	0.2218	2.1563	2.4008	0.6164	2.2499	9.4345	1.6649	-2.7878	-5.0037	2.0593	2.5329	-1.4877	8.6317
D04-ZF-R2	-3.7592	-7.7952	-2.6106	-1.2752	-1.6405	-4.3459	-1.2895	-0.333	-5.1015	-0.7503	-0.6143	8.2204	2.9291	3.3037	-1.5246	2.0224	5.2481	2.8502	6.466
D07-OH-R1	-3.6392	-8.4835	-3.172	-2.1612	-2.5318	5.2548	2.4891	1.6491	-4.049	-1.3247	1.1314	9.6137	4.0621	-2.8462	-2.1425	-3.6609	3.6788	-2.0096	8.1415
D02-ZF-R1	-3.575	-7.8045	-2.1792	-2.7281	-3.0687	-3.5001	0.5451	0.6323	-3.1303	-1.3411	3.4378	9.3893	1.7201	-3.4675	1.6625	-0.394	3.8292	0.8439	9.1283
D05-OF-R1	-4.0838	-7.8706	-2.7359	-2.5637	-2.4548	-4.3018	2.8732	0.5205	1.9376	-1.9554	1.493	7.7039	0.6328	-3.884	-4.8635	3.5535	4.8889	3.112	7.9982
D08-OF-R1	-4.053	-8.9566	-3.4495	-1.2386	-2.7053	-4.3366	2.2152	1.7572	-1.5743	-1.6228	2.6012	9.1233	1.8817	-2.2358	1.6485	-4.2385	2.3224	3.9772	8.8843
D05-NF-R3	-4.414	-7.7508	-2.2788	-2.4057	-2.0384	-3.902	2.368	1.0491	1.1964	-1.7178	1.3553	7.5665	0.7545	-3.5795	-4.3577	3.6306	4.707	3.1834	6.634
D08-ZH-R1	-3.9399	-8.9048	-3.4908	-1.6421	-2.5727	-4.407	2.7626	1.2889	-1.3017	-1.7066	1.2932	8.7316	2.1902	-2.3872	2.5431	-3.1432	1.6515	4.0378	8.9972
D10-ZF-R3	-4.2686	-8.881	-3.3646	1.327	-3.6058	-5.2607	-3.4799	-4.5766	-2.9796	-1.4065	3.0543	9.2117	2.5674	5.5306	2.9924	-3.2128	1.3563	6.1002	8.896
D10-OR-R1	-4.303	-8.7546	-2.9209	0.8669	-3.285	-5.275	-3.5649	-4.3099	-2.4473	-1.4264	2.2456	8.9271	2.7731	4.6727	3.4371	-3.5171	1.4679	5.8214	9.5922
PCO-B4-R3	6.3215	8.1455	8.6256	11.6619	-1.5622	-2.797	-0.6402	-4.749	-6.368	11.1467	10.189	-0.5206	-4.1653	-6.3832	-9.6418	-6.5653	-5.4771	-5.1351	-2.0855
D10-NF-R2	-4.2843	-7.9963	-2.9689	1.3874	-3.0088	-4.8082	-3.2932	-4.2271	-3.1734	-1.379	1.6608	8.975	2.1629	5.284	2.4347	-3.7045	1.2702	6.3501	9.3184
D02-ZH-R2	-3.4553	-7.7554	-2.3351	-2.8608	-3.114	-3.7346	0.9859	0.3282	-2.81	-1.5334	2.6524	9.07	1.6935	-3.5425	2.0698	0.6959	3.7263	1.1996	8.7195
PCO-B4-R2	5.891	2.3391	9.4012	11.4995	-0.5889	-1.898	0.2811	-4.1181	-5.2993	10.5598	9.6378	-0.67	-3.9408	-5.8078	-8.0454	-6.439	-4.7452	-5.3027	-2.7542
D06-NF-R2	-3.6868	-8.1171	-2.483	-1.3659	-2.2882	-3.0126	-1.2891	-4.0063	-4.3293	-0.9647	1.4682	9.9767	2.2672	-2.4196	-4.0771	3.5699	6.6764	5.0442	9.0369
D10-ZR-R2	-4.026	-8.6754	-2.7591	1.4666	-3.7068	-5.4151	-3.7214	-4.3455	-1.9518	-1.3397	1.6653	8.7029	2.2066	5.8724	4.0209	-2.3011	-0.2056	4.4845	10.0283
D01-OF-R2	-4.0463	-8.0599	-3.3897	-1.1546	-2.7216	-3.561	0.221	2.2101	3.0097	0.5155	2.4255	9.0815	1.4091	-2.7206	-5.3634	2.1659	2.8569	-1.4372	8.559
D04-OF-R2	-3.1368	-7.3632	-2.5932	-1.3496	-1.415	-4.1489	-1.0192	-0.0086	-4.4037	-0.1393	-0.7523	8.1771	2.8529	1.5107	-2.3752	1.4942	5.1483	2.5293	6.9928
D10-ZR-R1	-4.4043	-8.8488	-3.0187	1.4429	-3.5696	-4.9171	-3.7108	-4.421	-2.2682	-1.4522	1.4765	8.7261	2.6349	5.2268	3.8036	-2.8159	0.691	5.9154	9.5092
PCO-B1-R1	4.5721	1.7496	9.8572	11.9607	-0.1157	-1.4169	0.7785	-3.801	-4.9223	10.0195	9.2382	-0.922	-4.5346	-5.7623	-7.7828	-6.0682	-5.3233	-4.7489	-2.7779
D04-ZH-R2	-3.2864	-7.8471	-2.49	-1.4017	-2.2887	-4.3633	-1.1437	-0.5002	-4.883	-0.037	-0.7638	8.246	3.0675	2.5741	-1.3743	2.0398	4.8228	2.7999	6.829
D02-ZF-R3	-3.6928	-7.9264	-2.5536	-2.8699	-3.114	-3.4416	0.2593	0.1377	-3.3936	-1.357	3.8069	9.5249	2.2101	-3.4103	1.7408	-0.4845	4.4912	1.6234	8.4497
D06-NF-R3	-3.6808	-7.8674	-2.5967	-1.4974	-2.3262	-2.9141	-1.3342	-4.0085	-4.266	-1.0117	1.3993	9.9392	2.3474	-2.4565	-4.1697	3.7841	6.7143	5.0427	8.9024
D01-OH-R2	-3.8784	-7.6092	-3.1479	-1.0955	-2.6366	-3.5515	0.5431	2.3034	2.3958	0.6486	1.7044	9.3472	1.6679	-2.8652	-5.0887	2.1452	1.9768	-1.7927	8.9333
D07-OF-R1	-3.5074	-8.6506	-3.3458	-2.4056	-2.7199	5.3951	2.7287	1.6781	-4.061	-1.5559	1.3682	9.4506	4.1476	-2.8998	-2.0308	-3.8952	4.1454	-2.0895	8.2481
D04-ZF-R1	-3.5943	-7.6512	-2.5509	-1.2008	-1.7868	-4.4409	-1.3849	-0.4057	-5.2133	-0.6514	-0.482	8.2351	3.0569	3.218	-1.5298	1.9229	5.2694	2.6989	6.4911
D07-ZF-R3	-3.1428	-9.0414	-3.3057	-1.9807	-2.7214	5.3352	2.3795	1.5548	-4.1201	-1.4157	1.9796	9.5479	3.594	-2.8146	-1.9035	-3.6143	3.9805	-2.5662	8.255
D07-OH-R3	-4.1269	-8.0199	-2.928	-1.9527	-2.1418	5.8226	2.8892	2.0695	-3.7738	-1.4674	-0.0022	9.5345	2.981	-3.0093	-2.3812	-3.7951	3.5793	-1.7708	8.4929
D10-ZH-R1	-4.0496	-7.6585	-2.527	2.2171	-3.1779	-4.6403	-3.2488	-3.7423	-2.0102	-1.2234	0.9617	8.646	1.172	5.7975	3.961	-2.5599	-1.4373	3.5358	9.9841
D07-OF-R3	-3.5362	-8.8506	-3.5369	-2.4576	-2.8792	5.284	2.3426	1.3894	-3.4534	-1.5406	1.7669	9.3768	4.0411	-3.0559	-2.148	-2.5181	3.9537	-2.2941	8.116
D05-OH-R2	-3.7306	-7.5199	-1.9874	-2.0979	-2.5675	-4.1063	2.7925	0.6068	2.1918	-1.7366	0.5016	7.6253	0.6749	-3.6677	-4.5596	2.6103	4.1592	2.8279	7.9833
D05-ZH-R3	-3.7942	-7.8735	-2.0401	-1.8136	-2.8944	-4.3461	2.8081	0.5987	2.3415	-1.8477	0.2067	7.3878	0.7022	-3.6905	-4.6205	4.3167	4.1314	2.5318	7.8958
D06-ZR-R1	-3.8731	-7.9792	-2.5376	-1.5484	-2.1795	-3.1579	-1.3385	-4.0643	-4.3058	-1.1005	0.8974	9.5379	1.9988	-2.2611	-3.8269	4.6636	7.0787	5.2748	8.7214
D09-ZF-R3	-4.8001	-9.9408	3.3124	0.1941	-4.4737	-5.3304	3.1495	1.2272	-5.3441	-3.0104	-0.6204	7.6795	1.1714	2.3099	-0.3132	1.8277	3.9041	1.6539	7.4034
D06-OR-R3	-3.7828	-8.0275	-2.6418	-1.6185	-2.5402	-1.8142	-1.323	-4.0894	-4.269	-1.2094	2.4007	9.692	2.6336	-2.6882	-4.5603	3.5467	6.3434	4.751	9.197
D06-NF-R1	-3.5199	-8.2425	-2.6435	-1.5237	-2.4095	-2.845	-1.5642	-4.1293	-4.5806	-0.9995	1.8469	10.0443	2.519	-2.6079	-4.2769	4.1934	6.9176	5.2043	8.6169
D02-OH-R3	-3.8747	-7.5168	-1.8082	-2.4546	-2.6338	-3.534	0.3692	0.4493	-3.0313	-1.2445	3.5128	9.0224	1.1902	-3.3908	1.8351	0.795	2.8359	0.2237	9.2549
D01-ZH-R1	-4.0292	-7.9537	-3.1645	-1.2726	-2.5915	-3.5395	0.6025	2.0132	2.7085	0.159	1.1718	9.297	1.6081	-3.0559	-4.9806	3.0646	2.9494	-1.5727	8.586
PCO-B3-R3	5.9739	7.4267	7.8136	10.3638	-2.0824	-3.4447	-1.2481	-5.2197	-6.6123	10.5527	9.3664	0.8004	-4.2635	-7.0936	-6.5132	-6.1391	-5.2987	-4.3095	-0.0728
D01-OH-R1	-3.8778	-8.0422	-3.1342	-0.6828	-2.6584	-3.6555	1.0323	2.5022	1.5989	0.4945	1.6087	9.5179	1.892	-2.9885	-5.1426	2.1434	1.9448	-1.8716	9.3189
D07-ZF-R1	-3.7454	-8.4374	-3.102	-2.1262	-2.497	5.3315	2.7022	2.086	-3.8578	-1.4295	1.0208	9.2719	3.2125	-2.6549	-1.7608	-3.5909	3.6621	-2.4118	8.3268
D05-ZR-R2	-4.1017	-7.9193	-2.2617	-2.2677	-2.5253	-4.2468	2.6174	0.5443	2.3166	-1.9557	0.4677	7.5114	0.6152	-3.7756	-4.6842	4.024	4.89	3.1698	7.5815
D03-ZF-R3	-5.2204	-10.3235	-2.5121	-1.2424	-3.3755	-4.1735	-0.5123	-3.0948	-1.4316	-2.6564	2.77	7.8103	1.7346	4.9758	-0.0858	2.5414	3.058	4.0432	7.695
D03-ZF-R1	-5.2987	-9.8446	-2.3272	-1.2569	-3.0119	-5.1688	-0.0034	-2.5829	-0.517	-2.5954	1.6815	7.6218	1.1195	4.3893	0.3586	2.6927	3.0139	3.9432	7.7864
D04-OF-R3	-3.3472	-7.4328	-2.786	-1.4716	-1.1073	-4.2699	-1.4817	-0.314	-4.943	-0.4684	-0.5199	8.4717	3.3895	1.7441	-2.3941	1.702	5.8137	2.9817	6.4333
D04-OR-R1	-3.3348	-7.7882	-2.8369	-1.3067	-1.208	-4.1971	-1.3814	-0.2788	-5.0436	-0.2387	-0.5437	8.5266	3.2288	2.1231	-2.0125	1.8222	5.5881	2.8762	6.0053
D05-OR-R1	-3.6076	-7.7076	-2.2993	-2.0449	-2.7571	-4.6497	3.3964	0.9874	2.6126	-2.0722	0.6924	7.7396	0.4686	-4.0561	-4.984	2.8099	4.3036	2.7325	8.4355
D02-OR-R3	-3.5569	-8.0365	-2.4212	-2.8215	-3.0853	-2.9896	0.2736	0.1593	-3.3354	-1.4324	4.1269	9.1063	2.1482	-3.7254	1.7559	0.3111	3.7129	1.0257	8.7843
PCO-B3-R1	5.0669	2.0796	9.7487	11.8479	-0.2031	-1.5774	0.7053	-3.8591	-5.1162	9.9765	9.2757	-0.9784	-4.4732	-5.8519	-7.9593	-6.0914	-5.1227	-4.7429	-2.7249
D06-ZH-R2	-4.1478	-8.4674	-2.1776	-1.4374	-2.1279	-3.6716	-0.9671	-3.7904	-4.1822	-1.3631	1.3827	9.1998	2.1229	-2.5525	-3.4081	5.0987	6.3208	4.8757	9.2924
D04-ZR-R2	-3.5699	-7.7732	-2.6509	-1.2163	-2.4326	-4.2451	-1.1554	-0.1679	-4.9695	-0.2915	-0.88	8.2276	2.9532	3.1838	-1.3586	2.0546	4.7723	3.036	6.4834
D03-OF-R3	-4.9711	-9.7887	-2.0658	-1.2549	-3.0439	-5.1992	0.1	-2.7765	-1.8789	-2.536	2.6543	7.8175	1.7496	5.0118	-0.4889	1.3632	2.9845	4.1229	8.2002
D01-ZH-R2	-3.9265	-7.519	-3.1251	-1.5537	-2.5686	-3.567	0.6129	1.5064	2.1432	0.6265	1.2708	9.2958	1.9347	-3.1116	-4.8363	3.7669	2.1223	-1.5067	8.435
D10-ZR-R3	-4.2755	-9.1454	-3.0674	1.5478	-3.6293	-5.2231	-3.5516	-4.3359	-2.333	-1.3458	1.6918	8.9042	2.5208	5.3503	3.8131	-3.0851	1.0555	5.66	9.4485
D05-OR-R3	-3.8542	-7.8273	-2.3385	-2.2758	-2.3775	-4.3649	2.5516	0.3772	2.0103	-1.9292	1.2123	7.9005	0.8169	-3.9323	-4.9397	3.0083	4.9315	3.3324	7.6984
D05-ZH-R1	-3.9817	-7.8907	-1.9764	-1.4912	-2.817	-4.3044	2.7452	0.6846	2.3499	-1.9533	0.2293	7.3212	0.6764	-3.7957	-4.732	4.1067	4.3649	2.7854	7.6787
D03-OR-R1	-4.8563	-9.7259	-1.7663	-1.1186	-2.7813	-5.0875	0.636	-1.9272	-1.0658	-2.4369	2.444	7.4446	1.4302	3.7839	-0.4518	0.6054	2.6905	3.7122	8.4706
D04-OH-R2	-3.0908	-7.7042	-2.6197	-0.9544	-2.0105	-3.8374	-1.0637	0.1987	-4.5648	0.372	-0.7745	8.5192	2.3482	1.4259	-1.8031	2.1421	4.6515	2.3274	6.4378
D09-OF-R1	-4.5382	-9.4678	2.7853	-0.3476	-4.4876	-5.2375	3.462	1.0894	-5.0882	-2.9829	-0.7057	7.2886	2.0536	1.5333	-0.7845	2.164	3.6857	1.7675	7.8106
D08-ZF-R1	-4.0673	-8.7447	-3.5503	-1.2066	-3.0031	-4.6041	2.4317	1.7024	-1.2221	-1.6326	1.6921	9.1141	1.5892	-2.6084	2.6779	-3.6057	2.4873	3.3376	9.2127
D01-OF-R1	-3.9602	-7.7645	-3.2183	-1.4452	-2.5379	-3.3554	0.1777	2.0405	2.3166	0.0957	2.255	9.3159	1.4724	-2.8649	-5.1539	2.2831	2.9184	-1.1163	8.5414
D03-OH-R1	-4.971	-9.6927	-2.0762	-1.1819	-3.2507	-5.4342	-0.1834	-2.5967	-2.0126	-2.6232	3.1178	7.8307	1.7593	4.4916	-0.0079	1.1972	3.3631	4.136	8.1349
D10-ZH-R3	-3.9651	-8.1072	-2.6445	2.3476	-3.3652	-4.901	-3.363	-3.8959	-2.0858	-1.3034	1.2752	8.5821	1.2879	5.9642	3.8855	-2.5921	-1.1015	4.0271	9.9552
D01-ZF-R2	-3.9129	-8.0517	-3.2155	-1.5101	-2.7543	-3.2396	0.1037	1.2094	2.1	0.1971	2.2729	9.669	2.0258	-3.2414	-4.941	3.2803	3.3378	-1.3604	8.031
PCO-B2-R1	4.7403	1.8176	9.7013	11.8736	-0.2927	-1.5995	0.5908	-4.0366	-5.0574	10.1759	9.5193	-0.8325	-4.1309	-5.8227	-7.5964	-6.0677	-5.3751	-4.7025	-2.9048
D04-NF-R1	-3.4982	-7.7101	-3.0095	-1.4914	-1.4214	-4.2504	-1.4146	-0.0542	-4.9573	-0.7464	-0.4505	8.6309	3.5286	2.3912	-2.0234	2.0418	5.6525	3.0654	5.7168
D06-OF-R3	-3.857	-8.1122	-2.6785	-1.5706	-2.4894	-2.7574	-1.3993	-4.1601	-4.3518	-1.1889	2.2283	9.7997	2.3643	-2.5245	-4.2454	4.0322	6.6961	5.0859	9.1284
D09-OH-R2	-4.79	-10.1455	3.3376	0.194	-4.0607	-4.8583	3.0183	1.1525	-5.1717	-2.8385	-0.3166	7.969	1.6621	0.766	-0.6814	1.5336	3.8368	1.9976	7.3952
D08-OF-R3	-4.3383	-8.1024	-3.3681	-0.6843	-2.7578	-4.4148	2.3028	1.7646	-1.445	-1.4859	2.1149	8.9469	1.4864	-2.2205	1.5046	-4.2677	2.147	3.6663	9.1514
D04-OR-R3	-3.3624	-7.5973	-2.9304	-1.26	-1.1953	-4.2122	-1.3777	-0.1923	-5.1791	-0.2329	-0.5668	8.5317	3.2511	2.0765	-2.1124	1.7714	5.6822	2.9923	5.9137
D10-OF-R3	-4.3916	-8.936	-2.9469	1.0417	-3.3799	-5.2432	-3.6987	-4.4522	-2.6859	-1.4449	2.7806	9.0163	2.4666	5.2939	3.053	-3.8289	1.6658	6.053	9.6373
D06-ZF-R1	-3.8426	-7.7139	-2.5393	-1.2152	-2.2641	-3.2976	-1.1589	-4.2077	-4.3638	-1.1087	1.3234	9.6193	1.9691	-2.3116	-4.0655	4.39	6.8054	4.6442	9.3375
D05-ZF-R1	-4.1707	-7.945	-2.642	-2.3694	-2.3722	-4.2661	2.4361	0.3866	2.0707	-1.8383	1.2379	7.8551	0.6857	-3.7414	-4.6177	3.8853	5.042	2.8609	7.5024
D06-OF-R1	-3.4929	-8.2566	-2.5093	-1.1843	-2.5297	-3.3311	-0.6565	-4.4443	-4.0519	-1.3429	2.6544	9.56	2.3468	-2.6842	-4.7118	3.4711	6.247	4.5857	10.3303
D03-ZR-R1	-5.114	-9.2737	-2.097	-1.9423	-3.0575	-5.1012	0.8991	-2.1372	-1.7123	-2.5313	1.8073	8.0176	1.4069	2.3167	0.5187	1.9763	3.2401	4.4544	8.3294
D09-ZR-R3	-4.6991	-9.8345	3.1805	0.6314	-4.7554	-5.5556	3.0251	0.8803	-5.3507	-2.9957	-0.4545	7.5294	1.5486	1.7983	-0.1242	2.0838	3.8619	1.6848	7.5457
D01-ZF-R3	-4.1988	-7.7753	-3.1367	-0.8936	-2.7135	-3.6393	0.8038	2.0901	3.3069	0.0992	1.026	9.2096	1.3623	-2.9803	-4.9288	3.3384	2.0253	-2.0874	9.0923
D03-ZH-R3	-5.2698	-9.3994	-2.0214	-1.6582	-3.1406	-5.3653	-0.1093	-2.4301	-1.5729	-2.7706	1.9383	7.7801	1.1162	4.2117	0.5394	2.5165	3.2805	4.1249	8.23
D07-OH-R2	-3.7101	-8.5598	-3.1294	-2.1603	-2.4427	5.5282	2.7281	1.7564	-3.8781	-1.3947	1.0704	9.545	3.6577	-2.9859	-2.455	-3.808	3.9752	-2.0628	8.3257
D09-NF-R2	-4.8995	-9.6856	3.0636	-0.109	-4.3174	-5.3564	2.5909	0.8322	-5.9654	-3.0447	-0.2392	7.8064	2.2219	2.091	-0.6659	2.1951	4.2271	2.6346	6.6205
