Saccharomycetales	Tremellales	Pseudomonadales	Enterobacterales	Rhizobiales	Rhodospirillales	Burkholderiales	Desulfovibrionales	Verrucomicrobiales	Bacillales	Lactobacillales	Clostridiales	Erysipelotrichales	Selenomonadales	Acidaminococcales	Veillonellales	Bifidobacteriales	Coriobacteriales	Bacteroidales
D09-ZF-R1	-4.6703	-9.8425	2.1086	-0.9174	-4.3171	-5.3496	2.8056	0.9433	-5.561	-2.871	0.1154	7.7973	1.8182	2.3706	-0.5382	1.9869	4.6302	2.4131	7.0781
D03-NF-R3	-5.1606	-9.8301	-2.6163	-1.6358	-3.4101	-5.3278	-0.5277	-2.3506	-1.6371	-2.491	2.8077	8.0933	1.8272	5.4477	-0.1866	2.2723	2.9387	4.4831	7.3037
D08-OH-R1	-4.0054	-9.169	-3.1031	-0.7612	-2.4768	-4.1155	2.938	2.0512	-0.9299	-1.3167	1.1566	8.8879	1.4264	-1.5977	2.2914	-3.7312	0.9413	1.9043	9.6094
D01-ZR-R1	-4.0346	-7.775	-3.1896	-1.42	-2.6082	-3.4686	0.483	1.6918	2.58	-0.2152	1.4533	9.4256	1.6259	-3.0357	-4.9647	3.2258	3.2533	-1.3566	8.3295
D05-OH-R1	-3.952	-7.4235	-2.424	-2.3779	-2.3939	-4.0576	2.5249	0.2977	1.9167	-1.7469	0.9978	7.7164	0.711	-3.682	-4.6418	2.9867	4.6807	3.2184	7.6493
D05-OF-R3	-4.1042	-7.6639	-2.7203	-2.754	-2.3042	-4.1834	2.4638	0.1746	1.5589	-1.8886	1.7208	7.8705	0.8287	-3.7824	-4.8638	3.587	5.0046	3.3476	7.7083
D06-ZR-R3	-3.8322	-8.0361	-2.5259	-1.4774	-2.1374	-3.1447	-1.1329	-4.081	-4.5183	-1.1325	0.4452	9.5523	1.9153	-2.2117	-3.8146	4.706	7.1493	5.3231	8.9535
D08-NF-R1	-4.0767	-8.7358	-3.3275	-1.2892	-2.61	-4.1973	2.5812	2.0171	-1.8299	-1.5619	2.24	9.0598	1.7325	-2.3612	1.1835	-4.2448	2.8142	3.9213	8.6847
D08-ZH-R3	-4.0587	-10.235	-3.5574	-1.6918	-2.9678	0.6319	2.478	1.2735	-1.3454	-1.9545	1.0336	8.4221	2.0216	-2.3374	2.3357	-3.4768	1.1516	3.2177	9.0591
D09-OF-R3	-4.7994	-10.16	2.3693	-0.7177	-4.4106	-5.3236	2.7697	0.6383	-5.4173	-2.8664	-0.1986	7.8395	2.4837	2.1901	-0.4891	2.1642	4.2365	2.4417	7.2497
D02-OR-R2	-3.1189	-7.5312	-1.9009	-2.5021	-2.7501	-3.648	0.8837	0.7794	-2.9049	-1.2488	3.1048	8.9147	1.3529	-3.555	1.7242	0.5403	2.5481	-0.1829	9.4945
D03-ZH-R1	-5.3561	-9.2598	-2.3514	-1.5314	-2.9886	-5.142	0.2483	-1.8673	-0.9127	-2.7589	1.2717	7.5559	0.7104	3.2397	0.7878	2.9673	3.2388	4.1447	8.0037
PCO-B1-R2	5.1213	2.112	9.6763	11.9207	-0.3563	-1.7182	0.4933	-4.0235	-5.0973	10.1522	9.3046	-0.3983	-4.5708	-6.4837	-8.0251	-6.3113	-4.9275	-4.9903	-1.878
D09-NF-R3	-5.4277	-10.4154	3.2165	0.027	-4.1702	-5.2166	2.8437	1.2455	-5.8226	-3.1801	-0.8379	7.8206	1.6336	2.1984	-0.6264	2.252	4.6823	3.0312	6.7462
D01-ZF-R1	-4.0777	-8.0122	-3.1931	-1.2087	-2.6734	-3.4769	0.3898	1.8657	3.0317	0.1171	1.7527	9.3152	1.4964	-2.9669	-5.0237	2.9453	2.7685	-1.6252	8.5753
D04-NF-R3	-3.5233	-7.5473	-3.0539	-1.6097	-1.0851	-4.3271	-1.7029	-0.3108	-5.0736	-0.6894	-0.3469	8.7034	3.6798	2.2357	-2.1488	2.0068	5.9546	3.344	5.4944
