crAss-like viruses	Guerin_crAss_Delta	Saccharomyces	Cryptococcus	Pseudomonas	Escherichia	Salmonella	Bradyrhizobium	Azospirillum	Sutterella	Bilophila	Akkermansia	unclassified Lentisphaeria	Firmicutes: environmental samples	Staphylococcus	Bacillus	Listeria	Streptococcus	Lactobacillus	Enterococcus	Clostridium	Butyricicoccus	Clostridiales: environmental samples	Butyrivibrio	Roseburia	Coprococcus	unclassified Lachnospiraceae	Dorea	Anaerostipes	Blautia	Lachnoclostridium	Eubacterium	Oscillibacter	unclassified Oscillospiraceae	Ruminococcus	Gemmiger	Faecalibacterium	Subdoligranulum	unclassified Ruminococcaceae	unclassified Clostridiales (miscellaneous)	unclassified Clostridia	Coprobacillus	unclassified Erysipelotrichaceae	Mitsuokella	Megamonas	Phascolarctobacterium	Megasphaera	Dialister	unclassified Firmicutes sensu stricto (miscellaneous)	Bifidobacterium	Collinsella	Bacteroides	unclassified Bacteroidaceae	Alistipes	Prevotella	Odoribacter	Parabacteroides
D04-OH-R1	-8.7293	-9.0991	-6.9066	-9.814	-3.2446	-3.9093	-5.8324	-5.5399	-5.6876	-2.0161	-1.4269	-4.1571	2.5881	2.946	-4.3564	-2.3778	-6.8794	-1.9655	-2.6278	-2.3381	5.8781	0.9886	3.1796	2.8705	4.6524	5.0271	4.2063	1.6608	0.1859	2.2718	0.0847	4.8836	4.6953	3.3063	3.1541	-0.0627	6.7804	0.4133	5.0764	4.9966	-1.1576	-1.0465	1.5955	1.6365	-5.7287	-1.8978	-3.835	2.5594	3.2221	4.5125	0.8762	4.8832	-2.5264	3.0469	6.0162	2.1464	2.822
D01-OR-R3	-3.1097	-10.581	-8.6684	-9.3098	-3.6854	-3.0038	-7.2188	-5.8631	-3.0572	-5.296	2.1776	2.0097	-7.9736	3.0781	0.2759	-2.7901	-7.9773	2.696	-3.5696	-1.822	5.7092	2.9435	1.5912	-1.7094	6.4723	3.9053	5.1694	3.9559	2.3393	5.4427	1.1023	4.9858	2.9774	0.2561	6.8248	2.7195	6.5152	3.1741	5.4277	4.8249	-0.0839	-1.4452	-0.4637	-6.7563	-7.2559	-6.696	-6.3557	3.3411	1.8487	3.5877	-2.4444	8.1696	0.5011	6.5162	-2.1319	3.0373	5.6927
D09-OF-R2	-0.6327	-8.3155	-7.6859	-10.6043	2.1879	0.2268	-6.5513	-7.1373	-5.1164	4.8442	1.9512	-3.928	-3.665	1.4546	-5.8046	-3.5727	-7.4723	-0.6182	-4.5376	-2.441	4.6385	2.6876	-1.7289	-3.304	3.3358	2.1504	3.8432	2.6918	1.6836	3.8583	0.0725	4.1385	2.106	-2.8367	3.7433	1.998	5.7584	1.8155	2.8272	3.1586	-3.1425	2.1943	-3.4792	2.3926	-4.982	-0.264	-5.7808	2.8782	1.8068	4.3108	1.8125	8.5908	4.9148	5.5807	0.3909	3.6741	3.8826
D10-NF-R3	-2.7099	-6.813	-8.7363	-9.5448	-3.6221	-2.7018	-6.6798	-7.1859	-5.9243	-9.0113	-7.7094	-2.3953	-9.0631	3.767	-4.239	-2.1824	-6.1727	2.4745	0.1523	-1.4554	5.3384	4.0154	-0.8148	-0.8238	6.5002	5.7971	4.2743	4.5786	3.0443	6.1121	4.5475	4.9809	2.9177	-1.0376	6.2391	-0.057	1.2865	1.554	5.1912	5.4151	4.4281	-0.7935	-1.2799	-9.1748	5.7308	3.5836	-6.381	-5.9703	3.0759	2.1123	6.8332	9.6228	-0.7636	3.9154	-0.4399	2.4535	3.7407
D07-NF-R1	-1.3188	-1.3357	-8.4573	-10.8958	-3.9304	-2.9938	-7.5788	-6.3595	1.1434	0.2898	2.3157	-4.5516	-2.9072	3.3559	-5.5319	-3.4374	-7.3734	2.3942	-0.0503	-2.3282	4.1015	1.7823	1.935	-2.1057	2.6124	4.699	5.976	3.349	2.7548	5.5505	1.1895	4.4889	2.7687	1.0891	6.7073	3.7756	6.6954	3.4337	5.8821	3.8462	-3.5472	4.6816	-0.6344	-7.6331	-6.4499	-2.9285	-6.0932	-6.2288	2.6091	5.0805	-3.0975	7.2185	-1.3757	4.9494	-3.0969	2.1235	3.4425
D09-ZF-R2	-1.1834	-9.2317	-7.9929	-11.064	1.7916	0.1313	-7.1362	-7.0499	-5.8993	3.8249	2.001	-4.8433	-4.673	2.257	-5.997	-3.6605	-7.5892	0.0798	-4.6239	-2.4059	4.3598	2.5374	-1.297	-3.057	2.8386	2.6433	4.1748	3.3666	2.5228	4.7102	0.4445	4.3007	2.6546	-2.3821	4.3909	2.5556	6.9482	2.3924	3.3324	3.7349	-2.8587	2.0273	-3.243	3.2001	-5.2218	0.1546	-5.2129	2.599	2.7438	5.3463	2.7376	7.4574	3.7685	4.2422	-0.7155	2.3318	2.7359
D08-OH-R3	2.0694	-6.4895	-9.1734	-10.975	-3.2022	-1.0957	-5.849	-5.8815	-6.417	3.322	2.5648	-0.4995	-7.3272	3.8827	-5.5037	-2.9386	-7.8558	1.4593	-3.6515	-1.5811	5.3067	2.9606	1.7409	-2.1153	5.048	2.2463	4.501	2.3322	0.2319	4.5168	1.5387	3.9024	2.8931	1.4898	6.5118	0.8247	7.6828	2.3547	4.0704	4.8933	-0.1943	0.3234	-1.4216	-7.021	-7.3397	2.9321	-6.1113	-5.8751	3.1937	1.2347	1.9663	9.5202	-2.9747	7.1054	-1.6995	4.3188	4.2542
D08-ZR-R1	3.0716	-6.2322	-9.2195	-11.4483	-3.4965	-1.9018	-6.7299	-6.0895	-6.7941	3.2964	2.1447	-0.2703	-7.1879	3.5037	-5.6145	-3.1989	-8.0337	0.9113	-3.3605	-2.0348	5.2065	2.7511	1.5593	-1.8636	4.7458	2.3478	4.7769	2.8356	0.2818	5.096	1.8447	4.4116	2.9579	1.7039	6.2695	1.6716	6.6599	3.1396	3.7497	3.9689	-0.1175	0.6285	-1.4832	-6.8216	-7.5801	3.8022	-6.2169	-6.2806	3.4961	1.1215	2.8612	9.6325	-2.7931	7.0771	-1.5304	4.5206	4.2542
D08-ZF-R2	1.6692	-7.3361	-8.2794	-11.7887	-3.4886	-2.5895	-6.7277	-5.8042	-6.7548	2.2077	1.5406	-1.3001	-7.8956	3.2302	-5.1305	-2.7852	-7.7381	2.1601	-3.1541	-1.8053	5.1868	3.4515	1.0557	-1.6509	5.7531	3.2963	5.4235	4.2021	2.34	6.4261	1.4484	4.9609	2.015	0.667	7.0381	2.5178	7.0628	3.8315	4.346	3.9907	-0.7866	1.5581	-1.6535	-6.8774	-7.8063	2.7331	-6.4686	-6.5799	2.6391	2.8137	3.9543	8.5868	-3.9222	5.8256	-2.0978	3.2858	3.2033
D08-ZF-R3	1.6658	-7.1008	-8.5875	-10.5297	-3.6315	-2.3834	-6.7395	-5.7711	-6.6744	2.1294	1.5385	-1.2962	-7.998	3.3924	-5.1978	-2.9305	-7.589	2.091	-3.2563	-1.8977	5.0564	3.5733	1.16	-1.726	5.6172	3.2096	5.2187	3.9564	2.2785	6.3865	1.343	4.7884	2.1394	0.8475	6.9578	2.4212	7.0124	3.7955	4.3397	4.1401	-0.8547	1.4666	-1.6596	-7.0744	-7.6816	2.5869	-6.6048	-6.3377	2.6029	2.7644	3.9058	8.6086	-3.8169	6.0456	-2.4162	3.4338	3.2817
