crAss-like viruses	Guerin_crAss_Delta	Saccharomyces	Cryptococcus	Pseudomonas	Escherichia	Salmonella	Bradyrhizobium	Azospirillum	Sutterella	Bilophila	Akkermansia	unclassified Lentisphaeria	Firmicutes: environmental samples	Staphylococcus	Bacillus	Listeria	Streptococcus	Lactobacillus	Enterococcus	Clostridium	Butyricicoccus	Clostridiales: environmental samples	Butyrivibrio	Roseburia	Coprococcus	unclassified Lachnospiraceae	Dorea	Anaerostipes	Blautia	Lachnoclostridium	Eubacterium	Oscillibacter	unclassified Oscillospiraceae	Ruminococcus	Gemmiger	Faecalibacterium	Subdoligranulum	unclassified Ruminococcaceae	unclassified Clostridiales (miscellaneous)	unclassified Clostridia	Coprobacillus	unclassified Erysipelotrichaceae	Mitsuokella	Megamonas	Phascolarctobacterium	Megasphaera	Dialister	unclassified Firmicutes sensu stricto (miscellaneous)	Bifidobacterium	Collinsella	Bacteroides	unclassified Bacteroidaceae	Alistipes	Prevotella	Odoribacter	Parabacteroides
D01-ZR-R1	-1.7885	-10.3328	-8.8286	-8.4656	-3.3181	-2.8313	-7.4056	-5.6435	-3.9796	-5.6212	1.864	3.0135	-7.8064	3.0913	-0.3816	-3.0237	-7.5946	1.5634	-3.7693	-1.6902	5.162	2.6902	1.7561	-1.6273	5.75	3.6571	5.0941	3.8668	1.4986	5.6585	1.5288	4.6064	2.9744	0.4546	6.9051	3.0476	7.3144	3.4576	5.7343	4.8626	0.4334	-2.1656	-0.7561	-6.4682	-7.1296	-6.5741	-5.9967	3.6338	1.6989	3.6882	-2.4562	7.8112	0.0071	6.592	-2.1277	3.0057	5.3602
D05-OH-R1	0.1667	-0.0077	-6.8452	-8.7273	-2.2333	-3.6837	-6.7911	-6.2571	-5.3314	3.4246	0.4018	2.8559	-7.9731	5.3903	-5.5552	-3.228	-7.5972	1.7114	-3.5173	-2.9164	5.7612	1.9365	0.9055	-2.4528	3.9374	1.4486	3.319	2.9606	2.7316	4.9436	2.2276	3.9964	2.0935	-0.6425	4.9143	1.3922	5.2961	1.5858	4.029	2.61	-3.7902	-1.139	-2.2325	-6.4351	-6.2224	-6.4158	2.8746	2.9248	0.344	5.6237	3.6811	7.7476	-2.5405	4.2124	-1.7466	1.0607	5.7723
D05-OF-R3	-0.2712	-0.3657	-6.3901	-8.9943	-2.3973	-3.8782	-6.8765	-6.4951	-5.2401	3.3531	0.3075	2.4842	-8.1848	5.2949	-5.557	-3.4213	-8.6256	2.4594	-3.4685	-2.9577	5.571	2.0507	0.7821	-2.3884	4.3885	1.6834	3.6677	3.0099	3.2721	5.3255	2.4269	3.5165	1.6241	-1.2929	4.8761	1.6718	5.733	1.6908	3.5339	2.5181	-3.9133	-0.6186	-2.0002	-6.407	-5.9517	-6.6379	3.2491	3.7048	0.0062	5.9345	3.7993	7.8731	-2.4635	3.9095	-1.7036	1.0016	5.781
D06-ZR-R3	0.6592	-9.6899	-8.463	-9.7044	-2.2655	-2.8945	-5.7872	-5.0241	-3.6895	-2.0983	-7.6992	-4.3879	-7.5921	4.0348	-3.9891	-2.5061	-7.3949	0.5409	-3.0487	-2.6357	5.0648	3.3631	1.2251	-1.2527	3.1938	3.1318	6.3045	4.4707	3.0552	6.1419	3.0092	5.4591	4.5964	2.4859	7.4356	2.4852	7.6997	3.1109	4.4765	5.3534	-3.394	0.8178	-1.0309	-6.1171	-7.6436	-5.5777	-4.9447	5.3186	3.4812	7.793	5.3318	9.1793	-4.1449	7.0288	-1.1876	-2.4833	0.3981
D08-NF-R1	0.6745	-7.2818	-8.6791	-10.3374	-3.2117	-1.8586	-6.502	-5.6349	-6.4756	3.0576	2.4203	-1.3878	-7.7516	3.5425	-5.3508	-2.9194	-8.2186	2.5901	-3.2556	-1.806	4.937	3.3057	1.2314	-2.0084	4.8738	2.9256	5.0467	3.5624	1.9553	5.8183	1.6037	4.4411	1.8666	0.3967	6.9957	2.5692	7.3245	3.8969	4.2547	4.2918	-0.5693	1.2973	-1.8125	-6.5757	-7.7963	1.6791	-6.2504	-6.3698	2.6133	3.3272	3.9424	8.7557	-3.7889	5.8926	-2.4512	3.6937	3.5102
D08-ZH-R3	2.7336	-5.964	-8.7446	-12.9465	-3.6721	-2.1632	-6.8788	-5.7019	0.9857	2.8228	1.5708	-0.9916	-3.3248	3.2088	-5.5382	-3.5277	-8.1463	1.0893	-3.6044	-2.4619	4.7444	2.0848	1.1947	-2.2823	4.5077	2.5553	4.6728	2.7551	0.5373	4.85	1.3116	4.142	2.2536	0.8975	6.1842	1.6304	6.1589	2.7936	3.744	3.8665	-0.9321	1.5375	-1.8986	-6.967	-6.1083	2.7261	-6.6975	-5.1356	2.922	1.5421	3.1344	8.9578	-3.1856	6.5758	-1.2751	3.8252	3.6322
D09-OF-R3	-2.049	-9.4265	-7.8341	-10.9764	1.8669	-0.1461	-7.2311	-7.3294	-5.9834	3.4727	1.4361	-4.7818	-4.5335	1.6613	-5.704	-3.5598	-7.3292	0.2099	-4.4115	-2.3548	4.6902	2.4449	-1.6002	-2.8316	3.5315	2.7651	4.6055	3.5998	2.8915	4.5861	0.3139	4.6873	1.8223	-2.75	4.4818	2.5597	6.658	2.3405	3.3528	3.3201	-3.2804	3.1256	-2.6798	2.983	-4.8915	0.1946	-5.2718	2.9342	2.5714	5.0566	2.8439	7.4681	3.8707	4.2373	-0.6456	2.3224	2.696
D02-OR-R2	2.8537	2.8278	-6.0706	-9.2215	-3.9772	-4.8495	-6.8909	-6.5615	-4.2899	-5.9804	0.9677	-2.8165	-8.3847	2.6025	-4.9107	-2.9716	-6.7793	2.826	0.8545	-2.2757	5.4535	1.9625	2.5254	-1.6365	4.5107	1.8023	5.162	1.5163	-5e-04	4.5455	0.9351	4.6756	4.2685	4.9468	5.4958	2.5665	6.4178	2.2192	3.8317	5.9483	-2.7306	0.4278	-2.3983	-7.4567	-8.1993	1.9411	-6.8778	-6.5565	4.7765	2.7697	-0.648	9.4639	0.2248	4.4946	-0.1651	2.92	3.9152
D03-ZH-R1	0.9958	-6.0611	-9.8764	-10.1076	-3.3914	-1.9218	-5.608	-5.8656	-6.7644	0.0924	-1.3064	-0.089	-8.0065	1.8515	-6.0439	-3.9474	-8.2451	1.4784	-2.6993	0.118	4.4928	1.2336	0.6	-2.4435	3.2795	2.9652	4.5582	1.6932	-0.9631	4.5185	0.181	3.5942	3.7171	1.3942	3.9129	1.3994	4.6537	1.3521	5.5053	3.882	-2.3877	-0.9861	0.5501	-6.5278	4.073	1.6114	-7.1018	3.7917	2.3551	4.078	4.5614	7.2137	0.8737	5.3707	7.6033	-2.2292	3.0219
PCO-B1-R2	-3.337	-3.2919	9.5561	6.5213	13.7809	12.408	15.4287	0.991	0.2052	-3.1879	-6.2689	-3.9197	-4.3705	-2.2789	12.4614	13.439	12.9486	2.2673	11.8545	13.0822	1.5338	-4.086	-0.4035	-4.0923	-1.8916	-3.1836	-0.1483	-3.4809	-4.9599	-1.5322	-2.3123	-1.1982	-2.2919	-1.6572	0.0217	-4.1177	-0.6914	-4.3615	-0.2468	0.1244	-3.9992	-3.4359	-4.1285	-7.3525	-5.2021	-5.3076	-3.6136	-4.2037	-0.6856	-0.6588	-3.6673	1.4529	-7.3083	-1.4445	-2.2417	-4.9895	-2.5281
D09-NF-R3	-1.252	-9.058	-9.7392	-11.5069	2.8408	0.8413	-6.9939	-6.919	-6.279	3.71	2.1831	-5.0986	-4.6439	2.4425	-6.178	-3.8642	-7.3685	-0.4766	-4.6268	-2.1907	4.0525	2.5983	-1.0835	-3.1167	3.1389	2.5031	4.4056	3.2988	2.3724	4.4171	0.289	4.042	2.6421	-2.2422	4.2092	3.0892	7.3587	2.9019	3.8275	3.9277	-2.7257	2.3139	-3.162	3.1341	-4.6656	0.1961	-5.2181	3.1786	2.2413	5.6431	3.5785	7.1306	3.1403	3.7894	-1.4683	1.7926	2.6472
D01-ZF-R1	-2.1232	-10.592	-8.8874	-8.8561	-3.3034	-2.991	-7.3767	-5.6497	-3.923	-5.583	2.0542	3.4883	-7.4993	3.1729	0.1418	-3.0314	-7.6773	1.9458	-3.8292	-1.6949	5.3274	2.7579	2.0004	-1.8681	5.7946	3.3954	4.8243	3.2747	1.591	5.0775	1.3133	4.6777	3.3129	0.6844	6.6452	2.6619	7.7523	3.5137	5.349	4.9963	1.1493	-2.2522	-0.8051	-6.7772	-7.1876	-6.6275	-6.1561	3.3641	1.6621	3.2262	-2.7477	8.1071	0.3551	6.802	-1.9263	3.3118	5.6351
D04-NF-R3	-9.8352	-10.5367	-7.7363	-9.6982	-3.4281	-4.2563	-6.4245	-6.0526	-6.0651	-3.128	-1.2992	-4.9936	1.5906	2.7511	-4.8135	-2.5725	-6.9806	-1.5433	-1.2865	-1.9991	5.003	1.4448	2.1669	3.6572	4.8679	6.5848	5.6727	3.4401	1.9188	4.2631	0.0178	5.2449	3.8101	2.2828	4.8208	0.9101	6.4861	0.8013	4.3426	4.2475	-2.0945	-0.2382	3.5627	2.7697	-6.0655	-2.3599	-3.9371	2.3312	2.9543	6.5275	3.0403	4.0447	-3.7906	1.5812	4.9918	1.36	1.6469
D04-ZH-R3	-8.6082	-9.0344	-7.5261	-9.4896	-3.6006	-4.4729	-6.3177	-5.7769	-1.5409	-1.8665	-1.6228	-4.8409	2.4623	2.8521	-4.7892	-2.7425	-7.2298	-2.0968	-2.8031	-2.2943	4.9301	1.1862	2.7522	3.4105	4.2146	5.9754	4.5651	2.3135	0.0348	3.1005	-0.4874	4.5119	4.2589	2.9555	3.6911	0.4733	5.3268	0.5106	4.2162	4.2003	-2.1175	-0.8911	2.816	3.1866	-6.3466	-1.7805	-3.6166	1.9923	2.9441	5.5079	2.6339	4.5114	-2.8546	2.9291	6.1883	1.6874	2.4086
D09-OR-R3	-1.8744	-9.0444	-8.041	-10.049	2.4805	0.3478	-6.2231	-7.3401	-5.8882	3.7721	1.8524	-4.7627	-4.6748	2.0657	-5.8142	-3.5773	-6.8239	0.1575	-4.5426	-2.5997	4.8339	2.5756	-1.5903	-2.9987	3.4577	2.5853	4.3419	3.4349	2.5747	4.4643	0.1774	4.5691	2.0986	-2.6324	4.4852	2.1678	6.288	1.977	3.2593	3.739	-3.2124	2.8417	-2.908	2.499	-5.559	-0.2508	-5.7711	2.1479	2.5563	4.8921	2.5111	7.599	4.0871	4.4358	-0.4751	2.5571	2.8203
D02-OF-R2	2.0274	2.0066	-6.631	-9.4673	-4.0555	-5.033	-7.0087	-6.9176	-4.2323	-6.5666	0.3865	-3.1594	-8.7591	2.2435	-4.9926	-3.1929	-7.2105	4.1025	2.183	-2.4031	5.5257	1.8884	2.0338	-1.1115	5.1548	2.7214	5.4487	2.2804	1.4513	5.6547	1.0274	4.8922	3.562	4.2777	6.3996	3.5549	6.1137	3.1183	3.4555	4.8606	-3.2357	1.2481	-2.3651	-7.8732	-8.6376	2.0152	-6.5614	-6.2127	4.3021	4.1388	0.6872	8.8114	-0.3763	3.7981	-0.8278	2.1705	3.289
D07-ZH-R1	-2.1051	-2.1276	-8.1783	-10.8042	-3.6433	-3.256	-6.7751	-5.8844	5.793	1.9249	1.7388	-3.7903	1.4863	2.8737	-5.8003	-3.2513	-7.7008	0.1148	-2.7279	-2.4407	5.1931	1.495	2.0287	-2.6729	2.5513	4.5946	4.9217	2.4485	1.134	4.6864	1.0415	5.0229	3.7543	1.8075	6.6491	3.0952	6.5761	2.7245	5.8596	3.7435	-3.319	2.3394	-2.0892	-7.313	-6.3124	-2.4978	-5.8904	-5.7854	3.0216	2.7103	-3.9592	8.105	-1.6085	5.8489	-2.1274	2.5985	4.1778
D05-ZR-R1	0.7218	0.5524	-7.5762	-9.6298	-2.2127	-3.1785	-6.6464	-6.1262	-5.7589	3.7774	0.9519	3.5325	-7.5411	5.4833	-5.6769	-3.5202	-8.4779	0.8692	-3.7038	-2.8721	5.3403	1.7085	0.9741	-2.6075	3.2571	1.3325	3.0861	2.395	1.9137	4.8573	2.4951	2.9203	2.7025	-0.1532	4.353	1.8937	5.5071	2.0858	3.877	2.716	-3.7757	-2.0737	-2.901	-6.375	-5.8726	-6.2725	3.7698	4.3745	0.5614	5.7815	3.4997	7.8291	-2.3866	4.7501	-1.6067	1.2198	5.8559
D10-OH-R2	-1.9626	-6.0064	-8.5363	-9.7124	-3.5785	-1.9195	-6.7047	-7.2575	-5.8947	-8.6682	-8.0598	-1.7293	-8.9373	3.3658	-4.455	-2.2128	-6.1094	1.8191	-0.2985	-1.895	5.2224	3.2688	-0.7706	-1.024	6.2699	5.3548	4.0604	3.7492	2.2916	5.6672	4.0868	4.2609	3.5607	-0.8071	5.6172	-0.2858	1.1587	2.3109	4.8892	5.5036	4.0219	-1.5371	-1.4696	-8.4571	5.9664	4.2937	-5.8661	-5.5686	2.631	1.6224	6.0604	10.1443	-0.0506	4.7762	0.059	3.1327	4.6092
D08-ZR-R3	1.8018	-7.0266	-8.9194	-13.0613	-3.4048	-1.8318	-6.5612	-5.3885	-4.3375	2.9745	1.9437	-0.8441	-7.2869	3.5813	-5.5497	-3.1478	-7.9856	1.5069	-3.4753	-2.2901	4.9465	3.0886	1.4572	-2.0079	4.9524	2.834	5.0017	3.5099	0.786	5.5872	1.5477	4.1454	2.6092	1.2959	6.6291	2.4594	6.485	3.8192	4.2484	3.9328	-0.6134	0.8612	-1.6609	-7.3454	-7.1758	2.9429	-6.2282	-6.495	3.0482	2.2812	4.1242	9.107	-3.3012	6.875	-2.0771	3.8994	3.7328
D03-OR-R2	0.2866	-7.1917	-10.1581	-11.2006	-3.508	-1.7041	-5.2556	-6.3136	-6.9308	-0.1337	-1.7935	-0.4168	-8.2195	1.905	-5.1572	-3.5129	-8.0133	3.3045	-3.1611	1.0586	4.5623	1.444	0.1143	-2.3724	4.0506	3.255	4.8742	3.4617	0.4809	4.9558	-0.0651	3.671	3.2352	0.7976	4.7096	1.0141	4.743	0.8452	4.8331	3.5551	-3.0574	-0.8029	1.5199	-6.2737	5.0199	0.506	-6.718	1.4622	2.1604	4.0925	4.7458	6.9679	0.7232	4.8102	8.1804	-2.0172	2.6313
D10-OF-R1	-2.8186	-5.8852	-8.4114	-10.43	-3.5355	-1.8128	-6.0718	-7.4836	-6.3926	-8.8316	-7.7191	-1.5513	-10.5294	3.1922	-4.362	-2.066	-6.49	2.5339	-0.1916	-1.9403	5.4622	3.5609	-0.9585	-1.0472	6.1079	5.1754	3.9175	3.9104	2.6122	5.4847	4.5611	4.3193	3.3632	-1.0114	5.5143	-0.6742	1.0164	1.5248	4.7859	5.5092	3.9249	-1.4609	-1.542	-8.517	6.4722	4.0124	-6.4265	-5.7696	2.6796	1.8321	6.2086	10.7518	0.5398	5.3832	0.7812	3.6316	5.1609
D01-ZR-R2	-1.7623	-10.664	-9.1907	-8.6777	-3.2317	-3.1746	-7.2075	-5.4574	-4.2336	-5.556	1.8097	2.64	-7.4021	3.2247	0.0699	-3.0883	-7.6246	1.0904	-3.7903	-1.6629	5.292	3.0256	1.7779	-1.6645	5.9594	3.6343	5.0029	3.5555	0.9842	5.271	1.5954	4.7352	3.2225	0.495	6.7775	3.0978	7.6587	3.5936	5.7512	4.993	0.4949	-2.2159	-0.6969	-6.4762	-7.1366	-6.6228	-6.0304	3.8075	1.848	3.4392	-2.4788	7.9316	0.2092	6.6461	-2.0932	3.0536	5.4516
D10-ZF-R2	-2.1821	-5.6625	-8.9339	-10.2641	-3.8778	-3.203	-6.3155	-6.6932	-6.0334	-8.5357	-7.4303	-1.8171	-8.8368	3.5994	-4.3846	-2.0552	-6.0013	2.513	-0.3572	-1.63	5.2423	3.4798	-0.9006	-0.8653	5.873	5.8249	4.2606	3.5951	2.7756	5.9996	4.3742	4.4474	3.0892	-0.8273	6.1126	-0.5131	1.0883	1.2353	4.6153	5.2996	4.3708	-1.2128	-1.314	-9.0233	5.9329	4.3301	-5.7463	-5.386	2.9128	1.7161	5.9296	9.9017	-0.329	4.4022	0.1025	2.838	4.4695
D03-OH-R3	0.9643	-6.1385	-9.6321	-11.3326	-3.528	-1.5687	-5.1102	-6.3806	-3.2686	0.394	-1.8801	-0.8485	-7.0153	1.3277	-5.2016	-3.8547	-8.0746	2.5452	-2.8123	0.4106	5.3802	0.9456	0.0511	-2.495	3.752	2.7562	4.7791	2.6577	-0.6223	3.9851	0.0687	3.4076	3.1014	0.5957	4.0087	1.2064	6.3784	1.1129	5.3151	3.668	-3.0262	-1.0509	0.8573	-6.7549	4.5481	0.6361	-6.8769	1.5921	2.3266	3.4364	3.778	6.9654	0.8693	4.9055	8.165	-2.1074	2.6885
D07-OR-R1	-3.3608	-3.3915	-7.7843	-11.1218	-4.007	-3.8772	-6.8161	-6.4952	5.0388	1.7931	1.4633	-4.1939	0.3123	3.0351	-5.5306	-3.308	-7.3754	1.5418	-1.4009	-2.5898	5.1788	1.6434	1.5848	-2.2152	3.0887	5.0679	5.8678	3.8486	2.5877	5.7418	0.9421	4.7131	3.2341	1.3316	7.0095	4.0188	6.1021	3.5964	5.5759	3.7409	-3.7839	4.0065	-1.0524	-7.7676	-6.708	-3.2636	-6.1216	-6.2861	2.8368	4.3862	-3.4822	7.3744	-2.287	5.2983	-3.0474	1.8423	3.4642
D01-OR-R2	-2.7708	-11.3745	-8.7316	-8.4929	-3.4558	-2.3024	-7.2531	-5.6023	-3.8092	-5.476	2.4297	3.5544	-7.7795	3.0777	0.7303	-3.0573	-7.5616	2.5725	-3.7329	-1.9408	5.2872	2.5646	1.9942	-2.0411	5.7674	3.515	4.8797	3.5502	1.7745	5.0865	1.0858	4.7421	3.0398	0.6372	6.8846	2.4716	6.5407	3.4087	5.3104	4.9716	0.7421	-1.8808	-0.7401	-6.7721	-7.1454	-6.5122	-6.3383	3.225	1.5144	3.1686	-2.4749	8.1794	0.5159	6.8095	-1.9477	3.3572	5.8049
PCO-B4-R1	-7.6095	-7.5341	10.2273	6.75	14.0937	12.9453	15.9047	1.2072	0.4477	-2.9297	-5.0709	-3.4354	-4.3779	-2.5707	13.4822	14.3014	13.8959	3.18	13.4823	13.8762	2.5213	-6.1396	0.0403	-2.1807	-3.0543	-4.1012	0.0941	-3.8911	-4.3504	-2.4573	-1.9458	-1.5698	-2.9745	-4.0607	-0.0044	-5.978	-2.4792	-5.394	0.1227	0.2041	-4.1849	-2.315	-3.09	-4.5489	-2.307	-6.6602	-1.9723	-4.6164	0.0056	-0.8273	-2.9086	-0.8557	-7.4561	-2.3868	-0.9106	-4.5255	-3.1077
PCO-B2-R3	-6.6853	-6.4594	9.28	6.3247	14.3735	13	15.9445	1.8183	1.1111	-2.2625	-5.1028	-3.0639	-3.5189	-2.4095	12.4938	13.2629	12.6715	2.7788	11.9545	13.5077	1.7212	-4.463	0.4605	-3.5707	-3.4069	-4.4093	-0.146	-4.535	-4.9025	-2.5371	-2.2964	-1.6893	-2.604	-3.2956	-0.3018	-6.6129	-1.8974	-3.9188	-0.1129	0.2909	-4.2893	-3.6857	-3.2233	-3.7825	-2.4793	-6.4571	-1.9724	-4.58	-0.4379	-0.3372	-3.5507	0.2274	-6.541	-2.3258	-1.8839	-2.2616	-3.2118
D05-NF-R1	0.684	0.524	-8.5727	-8.6612	-2.1629	-3.4873	-6.8313	-6.0913	-5.2466	3.8102	1.5245	2.0571	-7.707	5.433	-5.7202	-3.4409	-8.345	2.3592	-3.3167	-2.7652	5.1445	1.9619	0.9617	-2.505	4.1148	1.1005	3.5359	2.408	3.0567	4.7646	2.662	3.8469	1.9737	-0.852	4.0076	1.8167	6.3095	1.8628	3.876	2.7399	-3.6451	-0.9692	-2.1132	-6.1264	-6.4167	-6.5706	3.6876	2.8642	0.2468	5.4957	3.4738	7.6244	-2.6779	3.9379	-1.8946	1.567	4.6863
D07-OR-R3	-3.4207	-3.4503	-8.0347	-11.2803	-4.0438	-3.8071	-6.8308	-6.5091	5.7331	2.102	1.7566	-3.9875	1.4176	2.8382	-5.7428	-3.522	-7.601	0.8999	-1.9819	-2.5603	5.354	1.7256	1.7856	-2.3651	3.1532	4.7788	5.6976	3.5974	2.3664	5.5004	0.8587	4.6158	3.2855	1.3983	6.9003	4.0915	6.0739	3.7059	5.7059	3.6747	-3.6487	3.7961	-1.1932	-7.667	-7.1063	-3.3405	-6.3719	-6.5253	2.6889	4.0074	-3.4545	7.8529	-1.9842	5.6648	-2.6996	2.2854	3.8162
D04-ZF-R3	-9.1897	-9.8899	-7.7881	-10.6722	-3.5539	-4.0262	-6.1744	-5.794	-6.125	-2.2029	-1.6454	-4.9994	2.296	2.8583	-4.8925	-2.7384	-7.4508	-1.7395	-1.639	-1.7869	4.7946	1.5576	2.4569	3.2812	4.4403	6.2028	4.8948	2.7917	1.14	4.0988	-0.1321	4.6341	4.1935	2.8528	4.5736	0.4846	6.1627	0.4605	4.0981	4.1406	-2.1726	-1.267	3.145	3.9214	-6.4019	-1.6199	-3.0175	2.2364	3.0239	6.027	2.3576	4.5921	-4.0464	2.5163	6.4823	1.7256	2.5243
D04-OF-R1	-10.0905	-10.6275	-7.6324	-9.501	-3.4879	-4.4918	-6.6086	-5.8788	-5.9923	-2.8132	-1.6329	-5.1738	1.8942	2.7359	-4.8428	-2.6379	-7.1292	-1.5565	-1.3879	-2.2447	4.7408	1.4855	2.8863	3.526	4.7876	6.3653	5.5175	3.407	1.8789	4.2923	-0.0441	5.0514	3.8501	2.5768	4.6383	0.9755	6.1245	0.8497	4.3103	4.2248	-2.3587	-0.314	3.7207	2.335	-6.4163	-2.5122	-3.9568	1.9742	2.8901	6.5083	3.0798	4.3473	-3.0915	2.4619	5.2304	1.5624	2.1943
D04-ZH-R1	-9.0444	-9.5687	-7.6522	-9.3558	-3.402	-4.1773	-5.9078	-5.7142	-5.826	-1.7885	-1.4403	-4.7917	2.5165	2.8368	-4.7352	-2.7209	-7.2616	-1.7081	-2.6694	-2.2731	4.9809	1.3305	2.8475	3.5722	4.6272	6.0279	4.5993	2.2564	-0.0104	3.0656	-0.2427	4.6749	4.4622	3.1336	3.6882	0.4254	5.4787	0.5557	4.3275	4.368	-1.8979	-1.172	2.5985	3.5066	-6.098	-1.5278	-3.2932	2.3291	3.0114	5.2958	2.3265	4.6208	-2.949	2.847	6.5478	1.7663	2.6038
D05-NF-R2	-0.256	-0.4145	-8.9006	-8.6227	-1.7228	-3.5671	-6.7316	-5.9334	-4.8925	1.5916	1.0384	1.9659	-7.7491	6.0035	-5.2386	-3.3691	-8.1267	2.9668	-2.8123	-2.6167	4.4204	2.1427	1.4021	-2.2652	4.1633	1.5315	3.6893	3.1668	2.985	5.0298	2.7732	3.8433	1.4501	-1.1706	4.539	1.9467	6.486	2.0314	4.0661	2.8159	-3.2755	-0.8828	-2.0046	-5.6461	-6.3035	-6.1174	4.5204	3.7608	0.1897	5.8875	3.9557	6.9653	-3.3658	3.0193	-2.4052	0.5476	3.4952
D02-ZR-R2	3.2461	3.227	-7.0511	-9.5746	-3.9654	-5.366	-7.2146	-6.3295	-4.2786	-5.9304	0.2546	-3.1422	-8.1568	2.3192	-5.4598	-3.2325	-6.9108	1.9622	1.139	-2.3409	5.09	1.5933	2.0369	-1.1403	4.0991	2.8426	5.3612	2.9184	0.9328	6.241	0.7804	4.3255	4.1138	4.7158	6.2286	3.8006	5.2381	3.2536	3.7219	5.829	-2.825	0.3131	-2.3703	-7.9396	-7.9592	1.8612	-6.798	-6.4348	4.3349	3.8069	0.8441	9.1334	-0.1729	3.6299	-0.5171	2.4845	3.4321
D02-NF-R1	3.0154	2.9904	-6.5697	-9.0544	-3.8894	-4.8959	-6.6131	-6.5938	-4.0179	-6.746	0.7839	-3.3157	-8.2436	2.0281	-5.1719	-2.9432	-6.4681	2.1725	1.428	-2.202	5.2109	1.4213	1.8388	-1.042	5.3253	2.133	5.3864	2.3797	1.3884	5.2549	0.8602	4.7295	3.6262	4.3499	5.9819	3.6085	6.0895	3.0919	3.8611	5.8478	-3.2151	1.0855	-2.4159	-7.9273	-8.4945	1.2453	-6.7579	-6.3509	4.6108	2.455	0.2299	9.0109	-0.2414	3.9425	-0.5625	2.6711	3.6776
D02-ZF-R2	2.2314	2.2129	-7.0904	-9.2634	-4.0081	-5.6457	-7.1839	-6.5839	-4.1458	-6.6073	0.3578	-3.3175	-8.7492	2.3822	-5.5824	-3.1679	-7.5082	3.0083	2.0377	-2.4904	5.1863	1.8877	2.0696	-0.9988	4.8458	2.8744	5.482	2.7606	1.6068	6.3892	0.9817	4.9024	3.8037	4.3832	6.6068	3.818	6.0698	3.39	3.7281	5.495	-3.037	1.2462	-2.1832	-7.5529	-8.4208	1.8729	-6.7104	-6.3478	4.2323	4.3058	0.8112	8.6023	-0.7248	3.5993	-1.0398	2.0775	3.1009
D04-ZR-R3	-8.2632	-8.4962	-8.0658	-9.9157	-3.4047	-4.3739	-6.1842	-5.7168	-5.4052	-2.046	-1.6396	-4.8926	2.4707	2.9745	-4.7412	-2.6976	-7.172	-2.2059	-2.5401	-2.2777	5.0227	1.3233	2.8141	3.5325	4.3482	6.099	4.5431	2.3246	0.1706	3.2166	-0.3455	4.5487	4.4748	3.1251	3.7552	0.4573	5.8259	0.5741	4.2522	4.3672	-1.8902	-1.1832	2.8413	3.4982	-5.5654	-1.5567	-3.3383	2.1883	3.1239	5.323	2.4058	4.4764	-3.1779	2.7253	6.1268	1.7697	2.3964
NCO-B4-R3	-2.8886	-3.7282	-6.7486	-6.6319	-3.0071	-3.4703	-5.6056	-3.3578	4.7554	0.8499	0.5467	-3.8502	0.5226	2.1958	-5.0764	-3.8451	-6.5178	0.9078	-2.8952	-2.9014	4.5704	0.8886	0.8999	-3.3832	2.3251	4.2909	4.8856	2.8224	1.5382	4.2862	0.066	3.8607	2.624	0.4943	6.1813	2.7654	6.1892	2.3419	5.0893	2.8544	-3.2924	3.1682	-1.8207	-4.789	-2.3721	-5.1363	-6.7432	-1.9698	2.0647	2.7211	-1.4649	7.1313	-2.3233	4.6791	0.8163	1.4925	2.9935
D09-OH-R3	-1.363	-10.0141	-8.3309	-9.7419	3.0873	1.1478	-6.8984	-7.117	-5.8806	3.733	1.7423	-4.7011	-4.7054	2.0968	-5.5978	-3.5761	-7.2636	-0.0092	-4.4531	-2.1876	4.8778	2.2951	-1.3549	-2.9416	3.3967	2.418	4.253	3.4078	2.2536	4.4034	0.3929	4.8019	1.8765	-2.5223	4.4876	2.0382	7.3014	1.8547	3.837	3.8206	-3.0972	2.2924	-3.0416	1.7494	-5.3568	-0.0567	-6.2504	2.2835	2.5818	4.6472	2.1713	7.6481	4.1363	4.3986	-0.3176	2.6165	2.7303
D03-NF-R2	-0.5068	-7.7908	-10.2697	-9.7908	-3.6183	-1.7972	-5.7717	-6.3726	-6.3332	-0.6265	-1.8417	-0.549	-8.3211	1.8705	-5.0963	-3.6428	-8.0598	3.2489	-3.2342	0.9166	4.7641	1.3122	-0.0669	-2.3384	4.2854	3.7198	5.1405	3.8824	0.7069	5.2086	0.2244	3.7533	2.8675	0.304	4.5765	1.7403	6.4413	1.4956	4.9354	3.4348	-3.0074	-0.3828	1.5834	-6.2132	5.9611	0.8335	-7.0304	3.3398	1.9203	3.8896	5.0667	6.1296	-0.1443	3.6115	7.3935	-3.3236	1.5713
