feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Carnobacterium	Temperature	Hot	0.00494299125116642	0.00214547314952615	90	90	0.0238901811864769	0.0802027511260297
unclassified.Lachnospiraceae	Temperature	Hot	-0.489751578521855	0.213961856579325	90	90	0.0247873801273926	0.080345301102583
Desulfotomaculum	Temperature	Hot	-0.00549905712374285	0.00239769744371392	90	90	0.0245137916179772	0.080345301102583
Coriobacteriaceae..environmental.samples	Temperature	Room Temp	-0.00427611885358913	0.00186676978281051	90	90	0.024684811465041	0.080345301102583
Proteobacteria..environmental.samples	Temperature	Room Temp	0.00878131362577581	0.00388355542672169	90	55	0.0265359974303877	0.0840803514086442
unclassified.Veillonellaceae	Temperature	Hot	-0.00370466322053951	0.00163682288063226	90	35	0.0263956046671428	0.0840803514086442
Butyricicoccus	Temperature	Room Temp	0.0492460891897715	0.0219659180938229	90	90	0.0278070510798754	0.0871287600502762
Acinetobacter	Temperature	Room Temp	0.0240740979257424	0.0108389988374907	90	90	0.0292473385906926	0.0896494508975577
Anaerotruncus	Temperature	Room Temp	0.00290574430465454	0.00130705108833468	90	90	0.0291018206118788	0.0896494508975577
Megasphaera	Temperature	Hot	-0.0417703725100745	0.0191314539155162	90	88	0.0320177955206807	0.0970862186756125
unclassified.Erysipelotrichaceae	Temperature	Hot	-0.0984444217795563	0.0454882352754487	90	90	0.0335107520214647	0.100532256064394
Lachnoclostridium	Temperature	Room Temp	-0.0309366367240525	0.0145489551906641	90	90	0.036633886036328	0.108744798549942
Dorea	Temperature	Hot	-0.147084184050306	0.0693336076817356	90	90	0.0370640734716683	0.108875715823026
Lachnotalea	Temperature	Room Temp	0.00163796935844672	0.000778525697480406	90	90	0.0386059591591659	0.112235881266853
Guerin_crAss_Delta	Temperature	Hot	0.0146301495572807	0.00698117257023869	90	45	0.0393563098044234	0.113249789437218
unclassified.Clostridiaceae	Temperature	Room Temp	0.0396969413691199	0.0194366451060296	90	90	0.044493481523014	0.126739007974646
Butyricimonas	Temperature	Hot	-0.0261986421774945	0.0130386279369874	90	82	0.0479635002929633	0.135257070826156
Escherichia	Temperature	Hot	0.0232600681132454	0.0116668203794783	90	90	0.0496812500502105	0.138713985288707
Megasphaera	Temperature	Room Temp	-0.0379240653150657	0.0191314539155162	90	88	0.0509688074016401	0.139545666866626
Neglecta	Temperature	Room Temp	-0.00427661943467822	0.00215547868064268	90	90	0.0507659167310064	0.139545666866626
Harryflintia	Temperature	Hot	0.00056878328639254	0.000288390757078537	90	90	0.052123709546943	0.141335443194596
Escherichia	Temperature	Room Temp	0.0227045599044861	0.0116668203794783	90	90	0.0552468987458539	0.14837738520315
Olsenella	Temperature	Hot	0.00988975433463989	0.00509910385667686	90	90	0.0560551272840834	0.149127791453882
Clostridium	Temperature	Room Temp	0.332062859713642	0.173984197852602	90	90	0.059995141749621	0.158118037134515
Catenibacterium	Temperature	Hot	-0.0114218133158643	0.00602425603344988	90	33	0.0616674582301268	0.161020585378664
Pseudomonas	Temperature	Room Temp	0.0694493940941905	0.0370312970289335	90	90	0.0644765286369719	0.166810835556203
Dialister	Temperature	Hot	-0.0654173646889408	0.035315761375323	90	90	0.0677578735822389	0.172141624776499
Harryflintia	Temperature	Room Temp	0.000534240449805345	0.000288390757078537	90	90	0.0677386986049698	0.172141624776499
