Well,Well96,PCR_Replicate,Plate,SampleName,Donor,Condition,Replicate,SampleCode,SampleNameFull,Omit,Sample,Target,Task,Dyes,Cq,Cq.Conf,Amp.Score,Amp.Status,Annotated,Baseline.Start,Baseline.End,Curve.Quality,Result.Quality.Issues,logCopyNumber,CopyNumber,PlotOrder
A11,A6,Rep1,4,D10_OF_R1,D10,OF,R1,6,D10_OF_R1_Rep1,false,Sample,16S,Unknown,SYBR,12.8970123228088,0.968846233558675,3.37905567097446,Amp,false,3,6,NA,NA,6.33691120583779,362042833.705356,2
A15,A8,Rep1,4,D01_ZH_R1,D01,ZH,R1,8,D01_ZH_R1_Rep1,false,Sample,16S,Unknown,SYBR,18.8550685258916,0.992642261875541,NA,Amp,false,3,9,NA,NA,4.69557340884529,8268412.94926101,7
A21,A11,Rep1,4,D06_NF_R1,D06,NF,R1,11,D06_NF_R1_Rep1,false,Sample,16S,Unknown,SYBR,14.9459521319151,0.955421910699259,3.34923663917795,Amp,false,3,9,NA,NA,5.77246497743385,98699221.4791608,1
A23,A12,Rep1,4,D01_ZF_R1,D01,ZF,R1,12,D01_ZF_R1_Rep1,false,Sample,16S,Unknown,SYBR,14.8206684796755,0.984998324186156,3.31644772012435,Amp,false,3,7,NA,NA,5.80697838025467,106862942.855208,5
A3,A2,Rep1,4,D07_ZF_R1,D07,ZF,R1,2,D07_ZF_R1_Rep1,false,Sample,16S,Unknown,SYBR,15.3324877102593,0.987924487839083,3.35462270199112,Amp,false,3,7,NA,NA,5.66598134703599,77237835.850243,5
A5,A3,Rep1,4,D03_NF_R1,D03,NF,R1,3,D03_NF_R1_Rep1,false,Sample,16S,Unknown,SYBR,15.6180987001805,0.990004901838697,3.35188876861389,Amp,false,3,8,NA,NA,5.58730063355909,64439087.6900936,1
A9,A5,Rep1,4,D05_ZR_R3,D05,ZR,R3,5,D05_ZR_R3_Rep1,false,Sample,16S,Unknown,SYBR,16.5581937482687,0.989650510737726,NA,Inconclusive,false,3,8,NA,NA,5.32832128146868,35495232.9789825,6
B11,A6,Rep2,4,D10_OF_R1,D10,OF,R1,6,D10_OF_R1_Rep2,false,Sample,16S,Unknown,SYBR,12.576446712098,0.989495021301398,3.35860359785475,Amp,false,3,6,NA,NA,6.42522129143305,443680192.896151,2
B15,A8,Rep2,4,D01_ZH_R1,D01,ZH,R1,8,D01_ZH_R1_Rep2,false,Sample,16S,Unknown,SYBR,18.59717918354,0.974374522696798,NA,Amp,false,3,10,NA,NA,4.76661730480991,9737916.68292491,7
B21,A11,Rep2,4,D06_NF_R1,D06,NF,R1,11,D06_NF_R1_Rep2,false,Sample,16S,Unknown,SYBR,14.2916746164562,0.987205460016806,3.34629203037568,Amp,false,3,7,NA,NA,5.95270671722971,149470492.960456,1
B23,A12,Rep2,4,D01_ZF_R1,D01,ZF,R1,12,D01_ZF_R1_Rep2,false,Sample,16S,Unknown,SYBR,14.7910603662643,0.972749652728937,3.36957505313909,Amp,false,3,10,NA,NA,5.81513488532663,108888906.111209,5
B3,A2,Rep2,4,D07_ZF_R1,D07,ZF,R1,2,D07_ZF_R1_Rep2,false,Sample,16S,Unknown,SYBR,14.7171509297216,0.989341692826767,3.34531407157514,Amp,false,3,7,NA,NA,5.83549561164695,114115427.4236,5
B5,A3,Rep2,4,D03_NF_R1,D03,NF,R1,3,D03_NF_R1_Rep2,false,Sample,16S,Unknown,SYBR,15.0267349972321,0.986329956152609,3.32961326549827,Amp,false,3,7,NA,NA,5.75021074456416,93769045.2730299,1
B9,A5,Rep2,4,D05_ZR_R3,D05,ZR,R3,5,D05_ZR_R3_Rep2,false,Sample,16S,Unknown,SYBR,15.964628886427,0.991604156678066,3.35069004415402,Inconclusive,false,3,8,NA,NA,5.49183777233416,51723335.302999,6
C11,B6,Rep1,4,D08_ZH_R2,D08,ZH,R2,18,D08_ZH_R2_Rep1,false,Sample,16S,Unknown,SYBR,21.426484308186,0.987322686315424,3.3577601073548,Amp,false,3,12,NA,NA,3.98719440545841,1618240.83138416,7
C13,B7,Rep1,4,D07_ZH_R1,D07,ZH,R1,19,D07_ZH_R1_Rep1,false,Sample,16S,Unknown,SYBR,19.2701900816817,0.987782964197198,NA,Amp,false,3,9,NA,NA,4.5812148535312,6354239.83934649,7
