Ascomycota	Basidiomycota	Proteobacteria	Verrucomicrobia	Lentisphaerae	Firmicutes	Actinobacteria (201174)	Bacteroidetes
D05-NF-R1	-2.6878	-4.922	1.7351	-0.5661	-8.5149	6.121	3.3076	5.527
D07-OR-R3	-3.6588	-5.9751	3.1254	-5.9357	-1.4696	6.6821	1.5386	5.6932
D04-ZF-R3	-3.2398	-5.3388	-1.1022	-1.9524	-1.0311	5.7672	2.9674	3.9297
D04-OF-R1	-2.9446	-4.915	-1.078	-2.9761	-1.2147	6.1486	3.6804	3.2995
D04-ZH-R1	-3.0334	-5.1386	-1.0786	-1.5201	-0.9012	5.455	2.3139	3.9029
D05-NF-R2	-2.4113	-4.576	0.8426	-0.6163	-8.1644	6.3731	3.7629	4.7894
D02-ZR-R2	-2.3988	-4.4413	1.5975	-3.8941	-8.4589	7.6225	2.4375	7.5357
D02-NF-R1	-2.008	-4.0259	1.4276	-3.8981	-8.0111	7.5307	1.5096	7.4751
D02-ZF-R2	-2.4147	-4.3876	1.1489	-4.1508	-8.0571	7.8625	2.902	7.0969
D04-ZR-R3	-2.9706	-5.1274	-1.1425	-1.7456	-0.8124	5.6218	2.4589	3.7178
NCO-B4-R3	-3.3085	-6.7892	2.982	-5.3628	-1.4918	6.8074	1.3723	5.7906
D09-OH-R3	-3.2396	-5.5529	3.3344	-6.4963	-2.5443	6.3376	2.5211	5.64
D03-NF-R2	-2.8255	-4.8737	0.4618	-2.0491	-8.8119	7.4686	4.164	6.4659
D03-OF-R2	-2.762	-4.5006	0.925	-2.615	-9.1275	7.0229	3.5953	7.4619
D02-OR-R1	-2.0957	-4.2564	1.6272	-3.6366	-8.6266	7.4324	1.7514	7.8044
D06-OR-R1	-2.5397	-4.6282	0.3266	-4.1778	-8.9504	7.6594	3.9811	8.329
D05-ZH-R2	-2.769	-5.3661	1.6588	0.5195	-8.8326	5.7117	2.9727	6.105
D06-OH-R1	-2.5344	-4.6381	-0.0409	-4.4885	-8.6877	7.9363	4.9534	7.4999
D07-NF-R2	-3.7586	-5.9846	2.6986	-5.9518	-1.1389	6.5464	2.169	5.4198
D03-ZR-R3	-3.3549	-5.2195	1.0018	-2.1075	-8.0825	6.6372	3.6855	7.44
D04-OR-R2	-2.5772	-4.7602	-0.8221	-2.4153	-0.7183	5.692	1.862	3.7391
D07-OF-R2	-3.8669	-6.1291	3.3664	-5.7925	-1.1492	6.3729	1.2399	5.9586
D09-ZR-R2	-3.3429	-5.8919	3.2318	-6.3652	-2.4962	6.2929	2.7601	5.8114
D03-OF-R1	-2.6546	-4.581	0.8253	-2.6647	-9.056	7.0964	3.9524	7.0823
D08-OF-R2	-2.9299	-4.9804	1.4651	-2.0018	-8.8004	7.3536	2.5397	7.354
PCO-B3-R2	2.9131	-0.9378	9.7387	-6.4542	-9.5001	8.9487	-0.9425	-3.766
D08-OH-R2	-2.8963	-4.8767	1.7018	-2.058	-8.5773	7.2091	2.1968	7.3008
D08-ZH-R2	-2.707	-4.6418	1.7996	-1.7391	-8.7607	7.0211	1.404	7.624
