Saccharomyces cerevisiae	Cryptococcus neoformans	Acinetobacter baumannii	Pseudomonas aeruginosa	Escherichia coli	Salmonella enterica	Azospirillum sp. 51_20	Sutterella wadsworthensis	Akkermansia muciniphila	Lentisphaeria bacterium	Firmicutes bacterium CAG:94	Firmicutes bacterium CAG:103	Staphylococcus aureus	Bacillus subtilis	Listeria monocytogenes	Streptococcus thermophilus	Lactobacillus fermentum	Enterococcus faecalis	uncultured Clostridium sp.	Clostridium sp. CAG:138	Clostridium sp. CAG:217	Clostridium sp. CAG:354	Clostridium sp. CAG:356	Clostridium sp. 28_12	Clostridiaceae bacterium	uncultured Clostridiales bacterium	Butyrivibrio crossotus	Roseburia intestinalis	Roseburia faecis	Roseburia inulinivorans	Roseburia sp. CAG:50	Coprococcus eutactus	Coprococcus catus	Coprococcus comes	Coprococcus sp. CAG:131	Coprococcus sp.	Coprococcus sp. AF16-22	Coprococcus sp. AF16-5	Coprococcus sp. AF38-1	[Eubacterium] rectale	Lachnospiraceae bacterium	Dorea longicatena	Anaerostipes hadrus	[Ruminococcus] gnavus	[Ruminococcus] torques	Blautia obeum	Blautia wexlerae	uncultured Blautia sp.	Blautia sp. AF19-1	Blautia sp. BIOML-A1	Fusicatenibacter saccharivorans	[Eubacterium] eligens	Eubacterium ramulus	Eubacterium sp. CAG:202	Eubacterium sp. CAG:251	Eubacterium sp. CAG:86	Eubacterium sp.	Oscillibacter sp.	Oscillospiraceae bacterium UBA6359	Oscillospiraceae bacterium UBA6409	Ruminococcus callidus	Ruminococcus lactaris	Ruminococcus bicirculans	uncultured Ruminococcus sp.	Ruminococcus sp. AM28-13	Gemmiger formicilis	Faecalibacterium prausnitzii	Faecalibacterium sp. CAG:82-related_59_9	Faecalibacterium sp.	Faecalibacterium sp. AF27-11BH	Faecalibacterium sp. BIOML-A1	Subdoligranulum sp. 60_17	Ruminococcaceae bacterium	Clostridiales bacterium	Clostridiales bacterium UBA7739	Clostridiales bacterium CCNA10	Coprobacillus sp. AF21-8LB	Erysipelotrichaceae bacterium	Megamonas funiformis	Megamonas rupellensis	Megamonas sp. Calf98-2	Phascolarctobacterium faecium	Megasphaera massiliensis	Dialister invisus CAG:218	Dialister sp. Marseille-P5638	Firmicutes bacterium CAG:65_45_313	Firmicutes bacterium AF22-6AC	Bifidobacterium adolescentis	Bifidobacterium animalis	Bifidobacterium pseudocatenulatum	Bifidobacterium longum	Collinsella aerofaciens	Collinsella stercoris	Bacteroides thetaiotaomicron	Bacteroides uniformis	Bacteroides vulgatus	Bacteroides eggerthii	Bacteroides ovatus	Bacteroides stercoris	Bacteroides caccae	Bacteroides massiliensis	Bacteroides cellulosilyticus	Bacteroides plebeius	Bacteroides coprocola	Bacteroides intestinalis	Bacteroides dorei	Bacteroides xylanisolvens	Bacteroides faecis	Bacteroides mediterraneensis	Bacteroides cellulosilyticus CAG:158	Bacteroides coprocola CAG:162	Bacteroides sp.	Bacteroides sp. UNK.MGS-14	Bacteroides sp. NMBE5	Bacteroides sp. AF39-10AT	Bacteroides sp. AM16-15	Bacteroidaceae bacterium	Alistipes putredinis	Alistipes finegoldii	Alistipes onderdonkii	Alistipes shahii	Alistipes senegalensis	Alistipes finegoldii CAG:68	Alistipes putredinis CAG:67	Alistipes sp.	Alistipes sp. 3BBH6	Prevotella copri	Prevotella sp.	Prevotella sp. AM23-5	Odoribacter splanchnicus	Barnesiella intestinihominis	Parabacteroides distasonis	Parabacteroides merdae	Parabacteroides massiliensis
D02-OF-R2	-4.5372	-13.2865	1.0661	-3.0722	-2.3547	-4.4393	-10.1541	-9.9636	-1.9967	-7.727	-5.1652	1.0253	0.3353	-5.5067	-6.0241	4.9773	-4.4983	-1.2469	4.5353	-4.6338	-8.9077	-4.1227	-4.7858	-5.0046	4.1118	3.5511	-1.8027	4.9792	4.2016	1.2934	-0.307	-0.883	2.894	2.2672	-5.328	-0.8708	-5.1735	-1.3363	-4.5462	2.9145	6.6736	2.7256	3.8287	3.1722	4.0808	4.4056	4.1586	4.9197	2.6026	5.0926	4.0309	0.8692	0.1703	-10.2728	-7.9204	1.7725	1.1496	4.1401	4.1853	4.1845	6.2779	-0.3208	-4.2357	6.6675	-4.945	5.0179	7.1909	2.1668	0.982	0.0273	0.635	3.2268	4.5198	5.7017	3.3688	-1.4626	1.0375	-2.9389	-8.4064	-10.9586	-13.4509	2.8273	-9.3202	-13.4464	-9.934	4.7298	5.1398	-6.425	5.2291	-5.5841	-3.768	1.0657	-5.4121	4.7251	4.7778	7.1769	-0.6557	6.8443	7.9092	5.6289	0.6297	5.2337	2.7542	4.5635	4.4424	6.4608	3.4662	0.4477	0.1766	4.0835	6.7823	5.3602	0.5733	-0.7816	2.0712	-0.284	1.3727	-3.283	1.9835	1.8863	3.4685	-1.8599	2.7245	-2.059	0.5333	-2.7681	-3.9677	-1.5209	-5.6456	3.248	-3.1738	5.9206	3.6286	-2.5239
D07-ZH-R1	-6.6542	-10.0502	-2.2442	-4.4298	-0.4132	-2.9784	7.0757	-8.6547	-2.3412	2.7719	-4.2196	1.1426	1.1417	-6.5982	-6.5891	0.7105	-4.7839	-2.8333	4.7976	-5.1685	-7.7244	-7.306	-2.0698	-5.2853	3.5392	3.663	-2.9712	-0.6285	-0.6503	-0.8833	0.4773	3.2592	2.1399	2.6782	3.2327	3.2353	3.172	2.6231	0.9626	6.1153	4.6691	2.9978	3.6164	0.9774	2.549	3.0329	3.7969	4.8584	3.3548	1.7903	4.1934	5.5864	1.0405	-5.0622	-5.8864	2.2104	3.523	4.5378	-3.601	-5.2118	2.832	4.5202	2.3149	3.8875	7.2583	4.7793	7.7377	2.6652	3.2448	1.7906	1.9889	2.8484	7.2355	3.876	-1.1647	-0.4559	2.9695	-3.7574	-6.2906	-14.2367	-12.6092	-5.755	-7.0985	-12.6586	-7.5555	-2.6394	-2.2648	3.6151	-3.3319	-3.2796	2.1958	-3.2993	-7.9121	2.8851	7.8208	8.5374	-2.3633	2.0668	-1.0012	5.1511	-2.2171	3.7368	-0.2462	-8.6356	4.1149	3.8894	2.9678	-0.1629	-3.0592	2.2231	-7.154	0.2824	-2.539	0.2843	-0.3171	-3.1058	0.2901	6.085	2.0629	4.5508	3.4938	0.267	1.7597	2.2709	2.5643	5.1947	-3.9729	-2.6752	-9.252	3.904	3.6392	3.1869	6.1008	-4.3121
D05-ZR-R1	-5.8062	-9.3263	-3.6948	0.2475	1.7959	-3.8126	-10.6578	5.5106	5.079	-5.074	6.9173	-4.1375	1.3601	-5.7313	-6.4385	1.6474	-6.5135	-1.4823	3.4882	-3.6684	-4.3448	-2.8721	5.215	5.2567	2.986	3.0952	-2.7934	2.7548	3.2383	0.9442	-4.4863	-1.7336	2.3058	1.5642	-7.1501	-6.026	-2.0246	-4.0279	-7.0521	2.8402	4.0879	3.62	4.8819	1.7385	0.6962	2.7942	4.6893	5.1388	4.4165	-1.3623	5.4247	1.3783	-1.4971	-11.6863	2.6131	-5.9228	1.4255	3.7299	-3.4993	-2.9236	-3.4871	2.7283	1.1516	4.2284	1.6385	4.0508	6.8397	-0.9569	0.5053	3.6089	3.7426	2.1074	5.1895	3.2633	-3.7008	1.6087	-3.868	-3.5039	-4.8993	-6.0696	-13.6122	-10.8565	5.4211	4.8547	-5.1919	-2.1975	-2.2324	6.0633	0.2994	4.7102	6.77	3.3805	-1.155	5.6136	6.7153	8.4824	-1.4184	7.1669	6.5244	1.5056	-3.6396	-1.0458	-1.8916	-9.3609	-1.5956	3.0656	3.4832	-0.7672	-4.6886	-8.6409	-7.5826	0.893	1.5844	5.4962	-1.234	-0.4231	-0.1731	-0.826	1.5741	1.8541	4.2046	0.3514	1.3707	-2.3193	0.5718	-1.176	-2.3586	-2.7862	-5.9065	2.5895	3.0526	8.2665	6.9441	-1.0427
D10-OH-R2	-8.7128	-10.0107	0.5714	-4.4334	0.853	-3.5177	-10.0141	-8.7107	-0.4421	-8.1381	-2.0819	-5.7131	1.9527	-3.8503	-5.393	3.0589	-2.0268	-3.2772	4.0813	-7.3191	-10.9708	-9.7772	-10.6576	-9.0451	5.7597	1.0319	-2.1574	7.0974	-0.1346	0.1513	4.8675	-1.8683	5.2753	5.8477	-5.5861	-2.8391	-2.8365	-1.835	-5.209	2.5401	4.961	1.6799	4.9024	5.9727	5.4689	4.5216	6.4195	6.3163	-1.3893	0.1229	1.3257	0.4277	4.6684	-11.1607	-6.0463	-4.2424	-1.1551	1.5961	-3.7848	-4.9041	-5.904	0.1966	-10.9343	4.8053	-7.8402	1.7715	2.2737	-3.3527	-4.9272	-5.3358	-4.7678	-0.9027	6.6703	5.309	-5.6452	5.7969	-9.555	-2.7131	5.3831	4.2144	6.5197	5.8116	-7.7428	-9.3466	-8.7199	-3.0916	-6.8474	-1.9766	-10.9958	-5.8302	3.2031	6.7682	4.1648	3.0881	8.3994	10.0418	0.0766	8.2691	1.5631	7.1913	6.8194	7.5359	4.8037	3.3954	6.5556	8.0438	4.5802	6.505	-0.3629	5.9514	5.8474	5.0002	-1.4937	3.4007	3.4473	5.3556	1.7131	5.0776	1.9265	4.354	2.7772	-1.2084	2.1664	1.4763	1.457	-2.3489	-4.0652	-0.5965	-8.0154	4.3549	5.4844	6.6693	4.6929	1.3802
D08-ZR-R3	-9.545	-11.7108	-2.754	-3.4126	0.6584	-3.0791	-3.2748	-7.7025	7e-04	-5.9785	-0.3954	2.6874	0.6989	-6.0686	-5.3532	-4.2203	-3.7366	-2.2378	4.3341	-4.0858	-6.7363	-11.812	-11.9365	-11.7506	4.0279	3.2254	-1.5574	6.0751	-1.3796	0.9255	-4.4241	-1.7276	3.1305	2.3454	-8.8705	-1.3289	-6.1802	-4.8967	-5.1855	5.8239	5.6435	4.0328	3.3955	2.2832	4.5186	6.0577	4.0756	5.4839	2.1335	3.8369	3.554	3.2307	-2.0993	-10.1058	-6.5343	1.8625	3.7833	3.2827	-4.726	-4.7344	3.5539	3.4495	5.9678	5.9412	3.9753	4.2146	7.8075	-0.3556	1.8459	2.8448	1.6949	5.2869	5.7803	4.8452	0.3226	-0.0959	-3.8266	-3.6299	-7.3336	-10.3672	-10.3153	4.7608	-6.5051	-10.7568	-8.3659	4.2447	3.3257	2.3468	1.3049	-2.406	2.6264	4.4519	-3.8829	4.8607	7.1667	6.3578	8.4336	6.3285	8.0911	5.9735	-0.3668	4.3385	-0.2823	-7.3546	0.4974	5.2571	4.0064	2.5777	-2.6784	-3.1294	-9.5203	-1.4608	3.5872	-3.2013	8.7503	-2.0067	-1.3845	6.587	5.8842	6.7304	3.5645	0.2455	5.4181	2.6169	3.4367	0.8669	-2.3016	-4.233	-9.2627	5.1286	-2.6356	6.3097	4.4804	-1.9953
D03-OR-R2	-11.1457	-13.3055	1.0985	-4.5919	0.134	-4.9288	-9.2126	-0.3465	0.1305	-7.6783	-3.7269	0.5286	0.8766	-7.0716	-6.6774	-1.0418	-5.4684	-1.3449	3.198	0.2722	2.7189	-4.4797	-11.1635	-12.8994	2.6525	1.1743	-2.8932	1.0958	3.1203	2.8212	0.6517	0.2486	0.9934	2.6156	-0.7319	0.3964	-0.2452	0.1091	-0.8853	5.451	3.9685	3.8043	2.4322	0.4783	3.5467	2.8461	3.5397	3.7322	2.9543	0.4888	2.9315	0.7445	1.1017	3.0283	-6.7109	-1.3725	1.9555	3.3498	-4.5075	-4.4939	0.0076	2.7969	-1.8119	3.3506	-0.786	1.9222	5.129	-0.0995	-1.174	1.0013	1.2187	-0.2635	5.7967	3.4122	2.0175	-1.6025	-4.9541	2.8951	3.8083	2.5234	4.9385	1.5533	-8.6312	0.7831	-9.1524	1.8903	1.0286	4.6961	-2.6824	-1.5443	-1.2541	4.9565	-4.9555	1.2362	4.3791	6.4821	-2.7452	2.4871	-0.6974	3.0186	2.9054	-2.7349	-0.5614	-7.7975	-1.3762	3.4891	4.2719	2.9481	2.6337	-11.1843	-4.6801	-1.5852	0.6201	1.3937	-1.6256	4.3575	1.8807	3.0589	0.4069	3.9766	-0.7272	-3.6635	-0.7971	3.2239	2.9282	2.1316	8.4662	7.2117	2.1234	-1.5049	2.6049	1.0595	3.8091	-2.504
D10-OF-R1	-8.6558	-11.3493	0.6818	-4.644	0.6176	-2.6197	-11.5328	-11.3827	-0.6887	-10.4922	-2.5467	-6.0372	1.3585	-4.0428	-6.1212	3.7171	-2.561	-1.9733	4.0397	-6.7728	-9.6479	-9.5323	-11.3876	-8.841	5.7801	0.6535	-2.2647	6.7635	-0.5723	-0.1295	4.8443	-2.2158	5.0881	5.3827	-4.7612	-3.1563	-3.0889	-2.4023	-4.9319	2.3856	4.4655	1.5343	5.0501	4.9598	5.1703	4.146	5.9748	6.1764	-1.5961	-0.0619	1.0279	0.1713	4.6539	-11.2178	-6.1	-3.9872	-1.2931	1.2433	-3.9179	-5.7951	-5.8397	-0.069	-11.2733	4.7644	-5.8277	1.157	1.9675	-3.9892	-5.3775	-5.2912	-4.6244	-1.6149	6.3814	5.2047	-5.6979	5.4748	-8.2975	-3.1877	5.6974	4.5536	6.8528	5.3529	-8.8702	-9.8323	-7.7529	-3.7032	-8.2772	-2.1697	-9.9137	-5.7059	3.2432	6.5937	4.8921	3.4471	8.8833	10.438	0.4993	8.6919	1.9845	7.4086	7.2129	8.0459	5.1063	3.876	7.0646	8.4355	5.0608	6.7673	0.1825	6.4732	6.3799	5.4966	-1.2157	3.8146	3.8515	5.7671	2.1146	5.5075	2.2549	4.8011	3.1884	-0.9028	2.4576	2.0161	1.9128	-2.0586	-3.8412	-0.1074	-7.7951	4.6791	5.8128	6.9897	5.2541	1.6592
D01-ZR-R2	-5.6981	-13.5588	-2.0999	-3.7337	-0.2165	-4.4398	-8.39	-6.4484	4.1048	-6.2971	0.1655	2.0282	0.7311	-6.1945	-5.7991	-2.2415	-6.0092	-0.3055	5.8125	-4.4097	2.5647	-8.6314	-6.7764	-7.813	5.4207	3.5208	-1.8797	5.839	5.2491	4.164	1.8692	-0.4862	2.7116	3.1505	-13.4566	-1.5278	0.0403	-1.895	-2.8464	5.2941	5.8276	4.4553	3.5315	1.5741	5.0434	4.7103	5.4347	5.4198	3.2699	-1.2191	5.1197	4.5429	1.924	-6.6896	-4.6525	1.3411	3.9546	1.9633	-3.7785	-4.6753	-4.1273	3.2315	6.2713	5.8653	3.6071	4.8669	8.9108	-0.5046	2.5907	3.8647	3.5518	2.7081	7.4098	5.6892	4.4506	1.1414	-4.5835	-2.9216	-7.3382	-8.0074	-12.2923	-6.546	-8.4377	3.8461	-7.7466	1.0742	0.4451	-2.8516	-1.2681	-5.0475	5.0553	-3.0419	-4.3289	5.006	4.0626	1.9152	-0.8029	6.1924	-1.3312	6.5945	-2.9097	6.467	0.4663	-5.1798	4.9416	3.6103	8.0044	0.1731	-3.2074	2.6191	-6.5368	-1.2815	-2.7159	-4.326	-4.6159	-5.348	2.0782	6.6922	0.6887	7.2132	1.0959	-0.415	-1.3781	2.2908	4.586	5.4714	-4.3977	-4.2916	-7.0298	4.4031	1.3443	6.8242	3.0127	-4.1315
D10-ZF-R2	-8.6969	-9.2566	0.317	-4.2956	0.0502	-3.08	-10.412	-9.3213	-0.5362	-7.741	-2.1336	-6.1774	1.7901	-4.2828	-5.3305	3.7424	-2.796	-0.9497	4.1038	-6.4992	-8.2694	-11.247	-10.2636	-8.9934	5.5984	0.8597	-2.1874	6.5339	-0.5147	0.0485	5.1211	-1.9644	5.8502	6.1328	-5.3023	-2.5323	-3.0128	-2.0211	-4.2118	2.3911	5.2369	1.8274	5.3924	5.5742	5.6215	4.9599	6.957	6.757	-1.0854	0.3443	1.5087	0.0504	4.9154	-9.2648	-5.8815	-4.0331	-1.0385	1.3536	-4.0087	-5.3398	-4.0176	0.3076	-10.2871	5.1488	-5.5061	1.5163	2.1522	-4.0237	-5.5273	-5.6617	-4.5087	-1.2001	6.3515	5.0582	-5.2071	5.4193	-8.1509	-2.8931	5.2743	4.0946	6.3937	5.7748	-7.4009	-10.3948	-8.0665	-3.5408	-5.9464	-4.2523	-6.9925	-5.6185	3.2559	6.5629	4.0393	2.728	8.0998	9.6896	-0.1585	7.6536	1.279	7.0744	6.7014	7.3393	4.511	3.1731	6.373	7.4915	4.2251	6.1236	-0.6217	5.7759	5.6725	4.807	-2.3213	3.0681	2.8883	5.2584	1.335	4.6635	1.2501	3.9853	2.1496	-1.9125	1.433	1.1549	1.0522	-2.9547	-4.1692	-1.1011	-7.2754	3.9578	5.2216	6.4708	4.5298	0.8677
D03-OH-R3	-10.7332	-12.4193	0.7762	-4.2417	0.186	-4.7111	-2.8237	0.0604	-0.4175	-6.4841	-4.2936	0.7486	0.8112	-7.8031	-7.2972	-1.5185	-5.7363	-1.8212	2.8297	1.5808	5.3241	-3.9091	-10.7606	-9.4418	2.3861	0.9757	-2.8762	0.899	2.4899	2.7712	0.0111	0.0386	0.3097	1.6492	-1.2674	0.0062	-0.7637	-0.4512	-1.3786	5.2862	3.6541	2.8858	1.1535	-0.1564	2.934	1.7232	2.5197	2.6477	1.5856	0.2589	1.6001	0.3738	0.5806	3.0607	-5.0405	-1.4168	1.7136	3.089	-4.3489	-4.5733	-0.2237	1.911	-2.4211	2.3947	-0.8117	1.9861	6.7408	1.2255	0.1698	2.1942	2.4082	-0.1068	6.1705	3.4114	2.2122	-1.6128	-4.539	2.1143	3.2577	1.9562	4.3588	1.5623	-9.0414	0.8289	-8.8009	2.227	1.7218	3.9043	-1.7662	-2.3753	-2.1056	3.865	-5.8724	1.1554	4.2715	6.3515	-2.7329	2.3738	-0.7886	3.0207	2.7862	-2.8136	-0.5338	-7.3219	-1.438	3.3148	4.1904	2.7152	2.7013	-7.0716	-4.9509	-1.7493	0.4398	1.2283	-1.7566	4.25	1.9237	3.1264	0.4429	3.8456	-0.5834	-3.637	-0.7989	3.2629	2.9498	2.0108	8.3835	6.9866	2.0549	-1.6862	2.4834	1.2378	3.73	-2.5533
D07-OR-R1	-7.0666	-10.1425	-2.4522	-4.1689	-0.6897	-3.2578	6.3446	-9.1523	-2.6684	1.6187	-4.3963	1.0039	1.7226	-6.9158	-5.5117	2.3548	-5.2618	-2.9947	4.6594	-5.4534	-8.1074	-6.7588	-2.0018	-5.2267	3.1407	3.2836	-2.8966	-0.747	0.4249	-0.8066	2.289	3.5769	3.0939	3.8526	3.5711	3.5866	3.4979	2.9681	1.2829	7.2999	5.258	4.4433	5.1779	2.0617	3.7111	3.9876	5.2417	6.3307	3.8085	2.147	4.706	4.7073	2.5261	-4.417	-6.3608	1.7601	3.4854	4.1024	-3.8819	-5.8591	4.4316	4.8351	2.3963	4.6627	7.3376	5.7395	7.2776	2.3554	2.7053	1.4591	1.6496	3.8718	7.069	3.7538	-1.3435	-0.9378	4.7039	-3.3443	-6.5617	-12.909	-11.322	-6.5917	-7.8588	-12.9423	-8.5036	-2.9996	-2.71	5.2382	-1.8277	-1.8967	4.1452	-2.9137	-7.104	2.1641	7.1527	7.7818	-2.9411	1.6947	-1.7382	4.3935	-2.8973	3.328	-0.9641	-11.4075	3.5994	3.2419	2.329	-0.8692	-3.652	1.8105	-7.7088	-0.3839	-3.1081	-0.5372	-0.9143	-3.7089	-0.3727	5.5077	1.6644	4.1252	2.9463	-0.234	1.3657	1.6713	2.0194	4.8027	-4.6294	-3.3522	-9.0835	3.1676	3.0197	2.5052	5.426	-4.911
D01-OR-R2	-4.3309	-10.7539	-1.3692	-3.4399	0.3406	-3.7607	-8.5121	-7.7073	4.9837	-6.6706	-0.1658	2.4601	1.5992	-6.7251	-5.7822	0.1379	-5.9677	-1.0252	5.2971	-5.2001	2.4199	-8.637	-6.3316	-6.6972	5.0785	3.6961	-2.1156	4.91	5.4835	3.3287	1.7762	-0.6029	2.1078	3.0956	-12.703	-1.6783	-0.3477	-1.9308	-2.8304	5.2524	5.5515	4.4843	4.3034	1.2653	4.3539	4.2869	5.3697	5.2278	3.3293	-1.6182	5.1958	4.1028	1.8198	-6.9135	-4.7381	1.0241	3.9919	1.6581	-4.0789	-4.8621	-3.7098	2.8501	6.3681	6.1451	3.7094	4.1976	7.6799	-1.189	1.3595	3.1707	3.0626	1.9565	6.9132	5.464	4.8921	0.3009	-4.3238	-3.2734	-7.5531	-9.6299	-12.6202	-6.6217	-8.9538	3.2056	-7.6494	0.7115	0.0168	-3.0222	-1.2532	-5.3912	4.7521	-3.3568	-4.3883	5.3008	4.3062	2.1366	-0.4176	6.4097	-0.9454	7.0663	-2.7211	6.9242	0.5001	-4.7758	5.3971	3.5939	7.8957	0.4241	-3.3376	3.0644	-6.1213	-0.8858	-2.2932	-4.0268	-4.1383	-5.2562	2.3723	6.6257	0.8911	7.5414	1.14	-0.1863	-1.0909	2.2466	4.7805	5.769	-4.1966	-3.9131	-6.888	4.6722	1.297	7.1753	3.0889	-3.6809
PCO-B4-R1	14.9395	11.5749	9.7996	20.6401	19.9866	21.1954	-1.816	-2.7524	0.3736	-0.873	-2.7195	-3.0013	19.532	19.1134	18.7279	1.1613	18.3101	19.63	0.0863	-3.0129	-2.8335	-0.5607	-2.6959	-2.6523	3.6573	4.8954	-3.022	-1.1818	-2.8224	-1.2088	-2.9118	-2.6874	-2.9817	-1.8361	-2.7277	-2.9828	-2.7023	-2.678	-2.8733	-0.506	4.0768	-2.7586	0.1743	-1.8349	-1.6796	0.3055	-1.3618	-2.1323	-2.8206	-1.731	-2.9647	-1.8388	-2.597	-1.8555	-0.9261	-2.9073	-0.7758	1.2541	-2.6592	-1.7928	-2.8486	-0.7831	-2.841	4.4329	-2.7985	-1.3053	1.9343	-2.8602	-2.8144	-3.006	-2.8177	-2.761	4.6347	3.8556	-2.8482	-1.8232	-1.8518	1.7853	2.4543	-1.299	-2.6662	-3.1564	-2.7775	-2.9207	-2.6974	-2.7264	-2.7823	0.1818	-0.4433	-1.3065	2.3304	-2.8172	-1.8564	-2.7526	-1.8703	3.5517	-2.9092	-0.5355	-1.7764	-2.9192	-2.8771	-0.8848	-1.7341	-2.7809	-1.1846	-2.66	-1.9301	-2.7409	-2.7939	-2.7094	-2.7303	-1.8181	-2.832	-2.7096	-2.5977	-2.6136	-2.6258	-2.6732	-2.6502	-2.966	-2.5343	-2.7292	-2.7117	-2.7705	1.9963	-2.6523	-1.2742	-0.4597	-2.7713	-2.6436	-2.6913	-1.8689	0.0276	-2.7527
PCO-B2-R3	13.4411	10.5474	9.2148	20.249	19.386	20.6219	-2.2164	0.2866	0.0413	-0.3177	-0.33	-2.338	17.942	17.4702	16.9024	-0.005	16.179	18.6219	0.4885	-2.1423	-2.2219	-1.3263	-0.7127	-2.1686	0.0393	4.9979	-2.3255	-1.3119	-1.1929	-2.5356	-2.2087	-2.3296	-2.3109	-2.2034	-2.0692	-2.2844	-2.2068	-2.231	-2.3865	-0.3416	3.1417	-2.4064	-0.7098	-2.3926	-0.7265	-2.22	-0.7336	-2.3929	-2.2601	-1.3769	-2.1455	-2.1239	-2.204	-2.2025	-0.6732	-2.3493	-1.3637	0.2182	-0.3345	-2.1082	-2.4111	-2.6206	-2.33	3.9166	-2.3496	-2.5164	2.2346	-2.4874	-2.2781	-2.3592	-2.1559	-2.0189	4.206	3.5938	-2.2734	-2.0359	-2.5524	0.8491	-0.2657	-2.3665	-2.2796	-2.2152	-2.1159	-1.9999	-2.1542	-2.0278	-2.1959	0.838	-1.3175	-1.9569	2.7409	-2.1912	-2.2188	-1.5723	-1.9699	0.6958	-2.3843	-1.4113	0.4972	-1.4321	-2.3793	-1.402	-2.1841	-2.2549	-2.2424	-2.5103	-1.3356	-2.2613	-2.4055	-2.3338	-0.3799	-1.2092	-2.3431	-2.3022	-2.1516	-2.4573	-2.3357	-2.2403	-2.3541	-2.2674	-2.332	-2.1637	-2.2359	-2.2104	-2.2277	-2.3888	-2.2711	-2.2631	-2.2861	-1.4121	-2.1752	-2.4734	-2.2753	-2.392
D05-NF-R1	-7.0261	-8.3952	-2.9759	0.444	1.8897	-4.3605	-9.9604	5.6636	3.7567	-5.259	7.031	-4.2191	0.7432	-6.5812	-5.7562	3.689	-6.5238	-1.4319	3.8719	-3.7929	-3.4112	-2.8922	5.2106	5.2475	3.1495	3.2025	-2.5044	3.7753	4.2611	1.3195	-4.4224	-1.5552	2.0353	1.5458	-7.3282	-5.7475	-1.7596	-3.848	-6.9369	3.5005	4.5954	3.7965	6.1502	1.6026	1.122	2.5831	4.2226	5.1682	4.6082	-1.4057	5.763	2.3273	-1.2084	-11.0099	3.6032	-5.1008	2.1524	3.0364	-3.8131	-3.0676	-3.5728	1.7282	0.7739	4.3769	1.1944	4.0698	7.6098	-0.1988	1.3	4.8606	5.0117	2.0276	5.3828	3.2921	-3.5933	1.3318	-2.2937	-3.4046	-5.7756	-5.8697	-13.3807	-11.2974	5.4581	3.4638	-6.4186	-2.1451	-2.2089	6.3712	-0.1828	4.528	6.1996	3.3295	-0.4546	5.584	6.7336	8.519	-1.827	6.9774	6.0057	1.3758	-3.5984	-1.3311	-2.1323	-10.4491	-1.8545	2.8802	3.2544	-1.0567	-4.9806	-8.0589	-7.5596	0.8343	0.3482	5.8221	-1.2156	-0.4103	-0.3605	-1.4336	1.1155	1.6293	3.7893	-0.0887	0.9187	-3.0457	0.0048	-1.4891	-2.5372	-3.2669	-6.0647	3.1022	2.7664	7.3196	5.725	-2.2327
D07-OR-R3	-8.3233	-11.2651	-2.6438	-4.8072	-0.817	-3.0093	7.0284	-9.5091	-2.5234	2.7141	-4.3508	0.9355	0.8032	-6.5569	-6.4792	1.4118	-4.8608	-3.2001	4.5679	-5.3517	-8.0537	-6.8229	-1.7004	-5.0237	3.2703	3.4548	-2.9487	-0.7721	0.2052	-0.813	2.0262	3.2924	2.7447	3.5255	3.2835	3.2839	3.2023	2.6688	0.9904	7.0832	5.0879	4.1886	4.9037	1.8157	3.4454	3.7316	4.9466	5.9609	3.689	1.8434	4.5956	4.6677	2.2399	-4.6959	-6.5051	1.7964	3.3412	4.0552	-3.7916	-5.7543	4.4563	4.5801	2.2973	4.5358	7.2443	5.7889	7.2385	2.3632	2.684	1.4187	1.6107	3.972	7.1633	3.6818	-1.4208	-0.9689	4.4887	-3.4014	-6.968	-13.1187	-13.2467	-6.8023	-7.6993	-12.396	-7.9525	-2.8817	-2.5695	4.8666	-4.4469	-2.1758	3.7109	-3.0236	-6.6122	2.5655	7.6179	8.3204	-2.7278	1.9832	-1.3024	4.78	-2.4253	3.2486	-0.4986	-8.6535	3.695	3.6592	2.6696	-0.4932	-3.3543	1.7213	-8.1238	0.0748	-2.6348	0.0325	-0.631	-3.3484	-0.0894	5.9229	1.7594	4.3655	3.3493	0.0938	1.45	2.0471	2.3685	5.0469	-4.1916	-2.843	-8.6166	3.603	3.2485	2.7944	5.753	-4.8749
