Well,Well96,PCR_Replicate,Plate,SampleName,SampleCode,SampleNameFull,Omit,Sample,Target,Task,Dyes,Cq,Cq.Conf,Amp.Score,Amp.Status,Annotated,Baseline.Start,Baseline.End,Curve.Quality,Result.Quality.Issues
B15,A8,Rep3,Plate3,D02_OR_R3,3-4-4,D02_OR_R3_Rep3,false,Sample,16S,Unknown,SYBR,11.84770072837129,0.927854902165279,3.47208569925032,Amp,false,3,6,NA,NA
B16,A8,Rep4,Plate3,D02_OR_R3,3-4-4,D02_OR_R3_Rep4,true,Sample,16S,Unknown,SYBR,Undetermined,0,2.28757713766171,No Amp,false,3,11,NA,NA
B17,A9,Rep3,Plate3,PCO_B4_R3,3-4-10,PCO_B4_R3_Rep3,false,Sample,16S,Unknown,SYBR,13.58183327682562,0.96717940567319,3.48069630146963,Amp,false,3,8,NA,NA
B18,A9,Rep4,Plate3,PCO_B4_R3,3-4-10,PCO_B4_R3_Rep4,true,Sample,16S,Unknown,SYBR,Undetermined,0,2.2207977419304,No Amp,false,3,11,NA,NA
B19,A10,Rep3,Plate3,D09_OR_R3,3-3-12,D09_OR_R3_Rep3,false,Sample,16S,Unknown,SYBR,12.43297387359705,0.882182809581924,3.47402271031935,Amp,false,3,7,NA,NA
B2,A1,Rep4,Plate3,D07_OF_R3,3-1-14,D07_OF_R3_Rep4,true,Sample,16S,Unknown,SYBR,Undetermined,0,NA,No Amp,false,3,39,NA,NA
B20,A10,Rep4,Plate3,D09_OR_R3,3-3-12,D09_OR_R3_Rep4,true,Sample,16S,Unknown,SYBR,Undetermined,0,2.18004993612528,No Amp,false,3,12,NA,NA
B21,A11,Rep3,Plate3,D04_ZH_R3,3-4-19,D04_ZH_R3_Rep3,false,Sample,16S,Unknown,SYBR,15.888269116247702,0.873566453200346,NA,Amp,false,3,9,NA,NA
B22,A11,Rep4,Plate3,D04_ZH_R3,3-4-19,D04_ZH_R3_Rep4,true,Sample,16S,Unknown,SYBR,Undetermined,0,2.19812474432213,No Amp,false,3,13,NA,NA
B23,A12,Rep3,Plate3,D07_ZR_R3,3-3-18,D07_ZR_R3_Rep3,false,Sample,16S,Unknown,SYBR,14.51098362063232,0.892084816528858,3.47715547080984,Amp,false,3,8,NA,NA
B24,A12,Rep4,Plate3,D07_ZR_R3,3-3-18,D07_ZR_R3_Rep4,true,Sample,16S,Unknown,SYBR,Undetermined,0,2.21113688494239,No Amp,false,3,39,NA,NA
B3,A2,Rep3,Plate3,buffer_1,NA,buffer_1_Rep3,false,Sample,16S,Unknown,SYBR,21.475289957524232,0.991642234397955,3.36644008931429,Amp,false,3,11,NA,NA
B4,A2,Rep4,Plate3,buffer_1,NA,buffer_1_Rep4,true,Sample,16S,Unknown,SYBR,Undetermined,0,2.14082768623585,No Amp,false,3,39,NA,NA
B5,A3,Rep3,Plate3,D02_ZH_R3,3-2-1,D02_ZH_R3_Rep3,false,Sample,16S,Unknown,SYBR,17.715763332361547,0.9676683281773,NA,Amp,false,3,10,NA,NA
B6,A3,Rep4,Plate3,D02_ZH_R3,3-2-1,D02_ZH_R3_Rep4,true,Sample,16S,Unknown,SYBR,Undetermined,0,NA,No Amp,false,3,18,NA,NA
B7,A4,Rep3,Plate3,D06_NF_R3,3-1-15,D06_NF_R3_Rep3,false,Sample,16S,Unknown,SYBR,8.2251173307221,0.954259877148757,3.41582677431257,Amp,false,3,4,NA,NA
B8,A4,Rep4,Plate3,D06_NF_R3,3-1-15,D06_NF_R3_Rep4,true,Sample,16S,Unknown,SYBR,Undetermined,0,2.03462687715434,No Amp,false,3,7,NA,NA
B9,A5,Rep3,Plate3,D04_ZF_R3,3-1-10,D04_ZF_R3_Rep3,false,Sample,16S,Unknown,SYBR,15.220899903550468,0.868173545014658,3.46692103490401,Amp,false,3,8,NA,NA
