DNAExtractionGroup	DNAExtractionBatch	DNAExtractionDate	RNAeasyLot	RNAeasyKit	ExtractedBy	SampleID	TubePosition	RNAConcentration
1	3	1-Sep-21	169017766	Kit 1	Dylan/Mai	D03_ZH_R1	3	24.8
1	3	1-Sep-21	169017766	Kit 1	Dylan/Mai	D05_OH_R1	4	low
1	3	1-Sep-21	169017766	Kit 1	Dylan/Mai	D04_NF_R1	5	154
1	3	1-Sep-21	169017766	Kit 1	Dylan/Mai	D08_NF_R1	6	284
1	3	1-Sep-21	169017766	Kit 1	Dylan/Mai	D01_ZR_R1	7	4
1	3	1-Sep-21	169017766	Kit 1	Dylan/Mai	D09_OH_R1	8	low
1	3	1-Sep-21	169017766	Kit 1	Dylan/Mai	D04_ZF_R1	9	12
1	3	1-Sep-21	169017766	Kit 1	Dylan/Mai	D10_OR_R1	10	low
1	3	1-Sep-21	169017766	Kit 1	Dylan/Mai	D05_ZR_R1	11	8.3
1	3	1-Sep-21	169017766	Kit 2	Dylan/Mai	NCO_B3_R1	12	low
1	3	1-Sep-21	169017766	Kit 2	Dylan/Mai	D09_ZR_R1	13	0
1	3	1-Sep-21	169017766	Kit 2	Dylan/Mai	PCO_B3_R1	14	8.54
1	3	1-Sep-21	169017766	Kit 2	Dylan/Mai	D06_OR_R1	15	8.98
1	3	1-Sep-21	169017766	Kit 2	Dylan/Mai	D01_OH_R1	16	low
1	3	1-Sep-21	169017766	Kit 2	Dylan/Mai	D02_OR_R1	17	13.6
1	3	1-Sep-21	169017766	Kit 2	Dylan/Mai	D07_ZH_R1	18	14.3
1	3	1-Sep-21	169017766	Kit 2	Dylan/Mai	D08_ZF_R1	19	6.18
1	4	1-Sep-21	169017766	Kit 2	Dylan/Mai	D04_OF_R1	1	4.6
1	4	1-Sep-21	169017766	Kit 2	Dylan/Mai	D08_ZH_R1	2	102
1	4	1-Sep-21	169017766	Kit 2	Dylan/Mai	NCO_B4_R1	3	low
1	4	1-Sep-21	169017766	Kit 2	Dylan/Mai	D10_ZR_R1	4	4.8
1	4	1-Sep-21	169017766	Kit 2	Dylan/Mai	D02_OH_R1	5	low
1	4	1-Sep-21	169017766	Kit 2	Dylan/Mai	D10_OH_R1	6	low
1	4	1-Sep-21	169017766	Kit 2	Dylan/Mai	D09_NF_R1	7	236
1	4	1-Sep-21	169017766	Kit 2	Dylan/Mai	D07_OR_R1	8	25.4
1	4	1-Sep-21	169017766	Kit 2	Dylan/Mai	D02_ZR_R1	9	9.3
1	4	1-Sep-21	169017766	Kit 2	Dylan/Mai	D06_ZR_R1	10	5.9
1	4	1-Sep-21	169017766	Kit 2	Dylan/Mai	D09_ZF_R1	11	5.52
1	4	1-Sep-21	169017766	Kit 2	Dylan/Mai	D08_OF_R1	12	17
1	4	1-Sep-21	169017766	Kit 2	Dylan/Mai	D01_NF_R1	13	170.4
1	4	1-Sep-21	169017766	Kit 2	Dylan/Mai	D04_ZH_R1	14	14.1
1	4	1-Sep-21	169017766	Kit 2	Dylan/Mai	D05_ZF_R1	15	5
1	4	1-Sep-21	169017766	Kit 2	Dylan/Mai	D01_ZF_R1	16	11.3
1	4	1-Sep-21	169017766	Kit 2	Dylan/Mai	D03_OR_R1	17	6.44
1	4	1-Sep-21	169017766	Kit 2	Dylan/Mai	PCO_B4_R1	18	7.08
1	4	1-Sep-21	169017766	Kit 2	Dylan/Mai	D05_NF_R1	19	180
1	4	1-Sep-21	169017766	Kit 2	Dylan/Mai	D06_OH_R1	20	low
2	1	1-Sep-21	169017766	Kit 2	Dylan/Mai	D02_OR_R2	1	29.2
2	1	1-Sep-21	169017766	Kit 2	Dylan/Mai	D08_ZH_R2	2	94.2
2	1	1-Sep-21	169017766	Kit 2	Dylan/Mai	D06_ZR_R2	3	7.1
2	1	1-Sep-21	169017766	Kit 2	Dylan/Mai	D10_ZR_R2	4	4.2
2	1	1-Sep-21	169017766	Kit 2	Dylan/Mai	PCO_B1_R2	5	4.6
2	1	1-Sep-21	169017766	Kit 2	Dylan/Mai	D04_ZH_R2	6	16.4
2	1	1-Sep-21	169017766	Kit 2	Dylan/Mai	D05_ZF_R2	7	7.02
2	1	1-Sep-21	169017766	Kit 2	Dylan/Mai	D08_OF_R2	8	12.1
2	1	1-Sep-21	169017766	Kit 2	Dylan/Mai	D09_ZF_R2	9	5.32
