Ascomycota	Basidiomycota	Proteobacteria	Verrucomicrobia	Chlamydiae	Lentisphaerae	Firmicutes	Actinobacteria (201174)	Bacteroidetes
D04-NF-R1	-0.2992	-1.7183	1.7632	-3.5096	-10.19	-0.5446	7.292	2.7402	4.4662
D04-NF-R2	-0.5664	-2.0544	1.7292	-3.4795	-8.3744	-1.3153	7.2701	2.2274	4.5633
D04-NF-R3	-0.1728	-1.325	1.6732	-3.6071	-10.0159	-0.311	7.1748	1.9818	4.6021
D04-OF-R1	1.1343	0.255	0.7374	-2.9036	-11.4991	1.2849	5.8318	0.9681	4.1913
D04-OF-R2	-0.2138	-0.9663	0.3542	-4.1151	-5.3091	-0.1751	5.6856	0.7322	4.0074
D04-OF-R3	0.4592	-0.5714	0.9869	-3.5338	-10.1436	0.0259	6.4796	1.5811	4.7161
D04-OR-R2	0.1689	0.1415	1.5633	-4.6397	-4.4573	-2.801	5.1851	2.0436	2.7956
D04-OR-R3	0.4324	0.9829	1.8182	-3.9978	-8.9766	-1.8439	5.8065	2.218	3.5605
D04-ZF-R1	1.3772	0.2527	0.4595	-2.7121	-8.7797	-0.0231	4.772	1.0703	3.5833
D04-ZF-R2	1.464	0.2368	0.4995	-2.9284	-8.0371	-0.3182	4.7568	0.5874	3.7392
D04-ZF-R3	1.7745	0.5426	0.6734	-2.4172	-10.3512	-0.0024	4.9997	0.8664	3.9142
D04-ZH-R1	0.438	-0.7574	0.7977	-3.5287	-7.9453	0.1636	5.087	0.1803	5.5647
D04-ZH-R2	0.2358	-0.7291	1.008	-4.4613	-4.8784	-0.8271	4.4681	0.1169	5.0671
D04-ZH-R3	0.9978	-0.1058	1.0046	-3.087	-10.1641	0.2479	5.1176	0.0389	5.95
D04-ZR-R1	1.6383	0.4364	0.3547	-2.5797	-9.1316	0.3244	4.3709	0.3064	4.2803
D04-ZR-R2	1.3887	0.1685	0.417	-2.8896	-8.4619	0.3797	4.6714	0.2812	4.0451
D04-ZR-R3	2.1295	0.947	0.7604	-2.3275	-9.9725	0.9325	3.216	-0.4109	4.7256
D05-NF-R1	-1.2685	-2.6064	1.257	3.3686	-8.3614	-6.1078	5.6023	3.4707	4.6454
D05-NF-R2	-0.7438	-2.7127	1.6529	0.6524	-3.9416	-6.4498	5.255	3.0848	3.2028
D05-NF-R3	-1.472	-2.4379	1.9346	3.4603	-11.4082	-5.0256	6.3362	4.2564	4.3561
D05-OF-R1	-1.3945	-3.59	3.6807	3.0536	-9.9939	-5.9353	5.7877	2.5281	5.8638
D05-OF-R2	-1.6858	-2.6039	2.8213	2.1873	-5.6892	-7.0315	5.0812	1.9999	4.9206
D05-OF-R3	-0.2802	-3.2803	3.2264	2.3715	-12.2233	-5.3069	6.406	3.4439	5.6429
D05-ZF-R1	-0.8222	-3.1857	3.7379	-0.6708	-8.6407	-6.2023	6.4415	2.3028	7.0396
D05-ZF-R2	-0.9275	-3.7542	2.8226	0.7885	-7.4263	-5.5524	6.4246	2.3847	5.24
D05-ZF-R3	-0.7905	-3.8404	4.3767	0.6546	-10.6843	-5.1482	6.709	1.9347	6.7884
D05-ZH-R1	-1.0374	-2.37	3.9116	0.9602	-6.9322	-7.0071	4.9015	0.693	6.8804
D05-ZH-R2	-0.4852	-0.1826	2.7639	-0.8152	-6.7281	-5.6853	4.0708	1.7007	5.3611
D05-ZH-R3	-0.1867	-2.7018	3.8842	0.7981	-4.8707	-7.8219	4.1066	0.2295	6.5625
D05-ZR-R1	-0.517	-2.881	3.915	0.1967	-11.2392	-5.2795	6.8064	2.7716	6.227
D05-ZR-R2	-1.4246	-3.5232	3.3669	-1.2336	-4.773	-6.3604	6.1168	1.9284	5.9027
D05-ZR-R3	-0.3621	-3.3327	4.4779	-0.3183	-10.5668	-5.2214	6.7205	2.244	6.3588
D06-NF-R1	-1.1364	-1.7058	0.9792	-4.8211	-7.5446	-6.686	8.1317	7.0941	5.6889
D06-NF-R2	0.0969	-0.1875	1.2204	-5.5404	-5.5322	-6.8061	7.7404	3.8646	5.144
D06-NF-R3	0.3803	-1.886	1.0017	-5.0682	-5.353	-6.6867	7.7971	3.8995	5.9153
D06-OF-R1	-0.1083	0.2511	2.0945	-1.2073	-5.6398	-6.4509	4.4929	2.3755	4.1924
D06-OF-R2	-0.585	-2.6281	1.7053	-4.5396	-4.6294	-8.4831	7.4749	3.6559	8.0292
