uncultured human fecal virus	Pepper mild mottle virus	Tobacco mild green mosaic virus	Tomato mosaic virus	Paprika mild mottle virus	Tomato brown rugose fruit virus	Malassezia globosa	Malassezia restricta	Azospirillum sp. 51_20	Pelomonas saccharophila	Sutterella wadsworthensis	Sutterella parvirubra	Proteobacteria bacterium CAG:139	Desulfovibrio piger	Bilophila wadsworthia	Bilophila sp. 4_1_30	Akkermansia muciniphila	Lentisphaeria bacterium	Firmicutes bacterium CAG:94	Firmicutes bacterium CAG:83	Firmicutes bacterium CAG:103	Firmicutes bacterium CAG:114	Firmicutes bacterium CAG:137	Firmicutes bacterium CAG:240	Firmicutes bacterium CAG:424	Weissella jogaejeotgali	Clostridium phoceensis	Clostridium sp. CAG:138	Clostridium sp. CAG:169	Clostridium sp. CAG:217	Clostridium sp. CAG:343	Clostridium sp. 44_14	Clostridium sp. OM05-6BH	Clostridium sp. BIOML-A1	Clostridiaceae bacterium	Butyricicoccus sp. N15.MGS-46	Butyricicoccus sp. AM42-5AC	Butyricicoccus sp. BIOML-A1	uncultured Clostridiales bacterium	Roseburia intestinalis	Roseburia inulinivorans	Roseburia sp. AM16-25	Coprococcus catus	[Eubacterium] rectale	Lachnospiraceae bacterium	Dorea longicatena	uncultured Lachnospiraceae bacterium	Blautia obeum	uncultured Blautia sp.	[Clostridium] bolteae	Murimonas intestini	Eubacterium ventriosum	Eubacterium sp. CAG:202	Eubacterium sp. CAG:251	Eubacterium sp. CAG:86	uncultured Oscillibacter sp.	Oscillibacter sp. 57_20	Oscillibacter sp. CAG:241_62_21	Oscillibacter sp.	Oscillospiraceae bacterium UBA6359	Oscillospiraceae bacterium UBA6409	Ruminococcus bromii	uncultured Ruminococcus sp.	Ruminococcus sp. CAG:403	Ruminococcus sp.	Ruminococcus sp. Marseille-P328	Ruminococcus sp. AM28-13	Ruminococcus sp. TF12-19AC	Gemmiger formicilis	Faecalibacterium prausnitzii	uncultured Faecalibacterium sp.	Faecalibacterium sp. CAG:82-related_59_9	Faecalibacterium sp. BIOML-A1	Anaerotruncus colihominis	Subdoligranulum sp. CAG:314	Subdoligranulum sp. 60_17	[Eubacterium] siraeum	Ruminococcaceae bacterium	Ruminococcaceae bacterium UBA1417	Ruminococcaceae bacterium UBA1691	Ruminococcaceae bacterium UBA6855	Flavonifractor plautii	Anaeromassilibacillus sp. Marseille-P3371	Neglecta timonensis	Clostridiales bacterium	Clostridiales bacterium UBA5901	Clostridiales bacterium UBA5909	Clostridiales bacterium UBA738	Clostridiales bacterium UBA7739	Clostridiales bacterium CCNA10	Intestinimonas butyriciproducens	Clostridia bacterium	Candidatus Borkfalkia ceftriaxoniphila	Megamonas funiformis	Megamonas sp. Calf98-2	Megasphaera massiliensis	Dialister sp.	Peptoniphilus coxii	Firmicutes bacterium CAG:110_56_8	Firmicutes bacterium CAG:129_59_24	Bifidobacterium adolescentis	Bifidobacterium bifidum	Bifidobacterium pseudocatenulatum	Bifidobacterium longum	Cutibacterium acnes	Coriobacteriaceae bacterium	Collinsella aerofaciens	Collinsella stercoris	Collinsella bouchesdurhonensis	Collinsella sp. UBA6357	Parolsenella catena	Enterorhabdus caecimuris	Eggerthellales bacterium	Coriobacteriia bacterium	Bacteroides fragilis	Bacteroides thetaiotaomicron	Bacteroides uniformis	Bacteroides vulgatus	Bacteroides eggerthii	Bacteroides ovatus	Bacteroides stercoris	Bacteroides caccae	Bacteroides cellulosilyticus	Bacteroides plebeius	Bacteroides coprocola	Bacteroides intestinalis	Bacteroides xylanisolvens	Bacteroides oleiciplenus	Bacteroides sartorii	Bacteroides mediterraneensis	Bacteroides sp. CAG:144	Bacteroides cellulosilyticus CAG:158	Bacteroides coprocola CAG:162	Bacteroides sp.	Bacteroides sp. AF39-10AT	Bacteroides sp. AM16-15	Bacteroidaceae bacterium	Alistipes putredinis	Alistipes finegoldii	Alistipes onderdonkii	Alistipes shahii	Alistipes senegalensis	Alistipes sp. CAG:157	Alistipes finegoldii CAG:68	Alistipes sp.	Alistipes sp. 56_11	Alistipes sp. 3BBH6	Alistipes sp. 5CBH24	Rikenellaceae bacterium	Prevotella copri	Prevotella sp. CAG:520	Prevotella sp.	Prevotella sp. AM23-5	uncultured Prevotellaceae bacterium	Paraprevotella clara	Odoribacter splanchnicus	Butyricimonas virosa	Butyricimonas paravirosa	Parabacteroides distasonis	Parabacteroides merdae	Parabacteroides massiliensis	Methanococcus voltae
D03-NF-R1	-0.2556	-8.7063	-9.0275	-8.8337	-8.8865	-1.9095	-0.6394	2.8053	-5.9585	1.5056	1.845	2.3287	-5.1091	-4.6886	1.7732	2.665	1.1564	-7.2887	0.8189	4.6505	3.2214	5.6162	-0.1592	-3.7132	-8.7566	2.1899	2.5867	5.2186	2.6882	5.5666	-7.3582	2.8804	-1.525	-3.2932	3.1478	0.5908	5.1561	1.7332	5.8964	-3.696	5.4679	-3.616	4.4395	3.1642	4.4858	2.5573	3.3321	2.1819	2.3209	-1.674	0.3668	-3.026	2.1458	-8.7097	-2.3427	1.5088	5.8009	4.9244	7.0136	-0.0366	0.0178	-4.2412	4.3208	4.3515	2.0936	0.3215	-5.468	-6.9381	5.1639	10.1046	4.6591	6.0373	5.1667	1.4877	-2.5286	2.4207	0.036	8.493	-1.3333	-2.3848	-3.2144	4.7119	-0.0179	1.1449	8.507	3.5016	0.6602	0.8084	4.5837	-1.8632	-0.5416	2.1003	-3.5898	3.2062	4.1157	-4.7822	3.5973	-3.7522	3.7961	2.4081	6.3032	-0.7224	-0.6343	0.9521	1.5766	3.3648	6.7157	-1.4409	1.7097	0.2081	-5.0158	1.9392	-4.924	1.5367	-3.5369	-1.8954	0.9411	2.0714	-3.4166	-1.5035	-4.1143	0.8053	-3.7957	-2.4664	-6.9198	-4.4975	0.6483	-3.7451	-2.2196	2.62	-8.8653	-8.0285	-8.7718	-1.8369	-8.8061	1.5932	0.771	3.5139	1.8774	2.9331	-1.4679	-1.5575	-7.7163	0.6558	3.4213	-3.4985	1.575	1.2646	0.1673	7.5164	-2.4544	7.5567	2.0047	3.6191	-2.7227	-5.0977	-8.7094	-7.6618	-7.3738	2.7589	-2.9617	2.0568
D03-NF-R2	-1.9605	-6.2843	-5.9056	-7.8621	-4.9947	2.6008	-0.9545	3.6352	-1.9102	0.6649	1.4293	1.5028	-4.7916	-3.7773	1.5319	2.4857	1.8262	-3.5196	0.4964	3.4798	3.0082	5.3608	-0.5789	-2.9227	-5.8725	0.6796	2.0297	5.7959	2.4598	5.5107	-7.9823	1.3484	-0.6356	-2.7387	2.4879	0.3529	4.9689	1.4963	5.4052	-2.4379	4.7469	-2.6648	2.8783	3.1678	4.6478	2.3253	3.0432	2.435	2.1889	-1.7076	-0.2113	-3.3944	2.3888	-5.3479	-2.8408	0.8671	4.8806	4.0893	6.4975	-0.2623	-0.279	-4.4104	4.0864	2.0983	1.7918	0.4204	-4.3936	-7.9297	4.327	9.3346	4.0781	5.3611	4.6076	0.7169	-7.6996	1.672	-0.3903	8.0537	-1.5976	-2.5032	-3.4669	4.032	-0.8172	0.71	8.2492	3.2085	0.0823	-0.6082	4.114	-1.7533	-0.9586	1.5461	-4.5192	3.8141	4.8042	-6.3473	3.1671	-3.6489	3.3299	2.2078	5.476	-0.8466	-1.5555	0.3446	1.1456	2.8338	5.752	-1.085	0.5652	-0.5425	-6.2661	1.0402	-5.2661	1.3248	-2.7461	-1.6342	0.6818	2.0819	-1.8064	-1.3531	-2.1627	1.1987	-3.7369	-1.1885	-6.8716	-3.744	0.6536	-3.3823	-1.768	1.8148	-7.0502	-7.7954	-7.7572	-1.1489	-7.9325	1.9588	0.6366	3.0986	1.5506	2.3645	-1.1715	-0.7291	-6.754	0.4765	2.345	-5.4017	1.3323	0.6246	-0.0454	7.9085	-1.4763	7.6091	2.5297	3.8676	-2.5272	-5.0708	-5.0849	-7.8367	-4.4726	2.4099	-1.4823	-1.5786
D03-NF-R3	-0.5394	-9.1634	-6.4003	-9.0899	-8.9767	-5.4164	-0.7484	4.5272	-6.1048	0.6959	1.3687	1.7103	-4.5721	-5.7429	1.8011	2.7758	2.3743	-5.3459	1.0976	3.8672	3.5518	6.1119	0.4932	-2.8773	-3.374	0.6521	2.525	5.8708	2.7799	5.7869	-8.8716	2.3754	-0.4656	-2.5967	3.0501	1.0926	5.6737	2.258	5.9641	-2.5114	5.6982	-2.197	3.9131	3.36	4.8433	2.9116	3.3649	3.0347	2.7529	-1.34	0.3429	-3.6699	2.6192	-6.1415	-2.3891	1.3767	5.2674	4.4527	6.8553	-0.4876	0.0875	-4.1641	4.505	3.2055	1.9237	1.0005	-5.7313	-9.1348	5.0954	9.8296	4.6518	5.8847	5.2013	1.281	-3.717	2.3839	-0.3886	8.4786	-1.6947	-2.0469	-3.1306	4.3851	-0.1116	1.2145	8.5936	3.7231	0.0248	-0.168	4.7992	-1.8231	-0.5101	2.3078	-4.4777	3.2392	4.2267	-7.2178	3.5149	-3.3299	3.5693	2.3862	6.1388	-1.2051	-1.2995	0.8368	1.3019	3.5791	6.7163	-0.9577	1.8851	0.1501	-4.3023	1.9483	-4.3534	2.1375	-3.4551	-1.5639	0.6516	1.91	-3.7819	-2.3533	-4.8741	0.812	-4.3495	-2.1094	-6.0576	-4.4681	0.2853	-5.1296	-2.3559	2.1018	-8.9516	-5.4158	-9.1255	-2.5661	-9.1869	1.7139	0.4712	3.6568	1.9396	2.8094	-1.139	-1.4445	-9.0128	0.8432	2.928	-4.307	1.6325	1.2218	0.1754	8.0165	-1.7353	7.9967	2.4616	4.0087	-2.8644	-4.0861	-7.9009	-7.0297	-4.5451	2.4038	-3.2203	-5.6271
D03-OF-R1	-2.4865	-8.6341	-9.7168	-7.3789	-9.6281	-2.6563	-2.9905	1.2043	-4.882	-0.9814	1.3916	3.0187	-4.3825	-4.4794	2.0889	3.1804	1.2775	-5.5528	0.7351	2.7324	2.4567	5.1875	-1.2115	-4.4637	-5.4331	0.4613	1.9999	2.0372	2.0821	6.68	-9.5668	3.2408	1.2034	-1.9577	3.4255	1.2201	6.3446	2.66	5.235	-1.7519	5.6917	-0.7468	3.5679	4.9752	5.0522	5.0065	3.4003	4.2226	3.7359	-1.327	0.1415	-3.2529	4.0413	-5.4237	-1.3357	0.5162	4.1324	3.1359	5.9271	-1.5771	-1.4709	-4.161	5.0706	2.4177	1.5792	1.5294	-3.7215	-9.5505	5.4783	9.0563	4.0151	5.5464	4.5368	0.9381	-3.5901	2.5323	-0.5944	8.7605	-1.5029	-2.8513	-3.7614	3.7948	-0.9326	0.3663	6.4276	3.2781	0.3684	0.1153	3.8912	-2.6879	-1.2857	1.3069	-3.83	7.8377	9.2708	-4.4396	5.7082	-2.2915	3.4758	1.354	6.881	-0.6566	0.0282	2.0298	-0.5094	4.2808	7.4122	-0.6657	2.0708	1.0686	-5.1278	1.8087	-5.621	1.0131	-2.8796	-1.5757	0.7838	2.9882	-4.0426	-0.9271	-3.1118	0.6582	-4.439	-1.5027	-9.7203	-3.2383	0.8487	-4.0245	-1.6907	2.7479	-7.4479	-9.6323	-7.0231	-1.8467	-7.6193	2.2804	1.0571	3.2312	-0.4982	1.1617	-2.535	-2.6356	-9.6774	-0.0957	3.0355	-5.1327	-0.0395	0.909	-1.2357	8.6466	-1.3552	8.6768	3.1404	4.5153	-3.4979	-3.4732	-8.0614	-8.6559	-5.2272	2.7474	-2.2507	0.0753
D03-OF-R2	-2.3797	-9.2121	-7.3169	-9.3839	-9.2934	-1.7873	-3.404	1.8038	-4.965	0.7166	1.5044	2.6798	-3.8828	-5.6539	1.4257	2.5965	0.4655	-6.9381	0.8383	2.8139	2.511	5.7394	-0.9839	-3.7619	-4.1608	-2.0422	1.756	2.9824	1.7723	6.4156	-7.3595	3.0956	0.3782	-2.3328	2.4872	1.0417	6.1346	2.3998	4.6509	-2.0196	5.0375	-1.462	3.2277	4.2315	4.6717	4.5715	3.2508	3.7085	3.2845	-1.2151	0.3082	-3.2207	2.8466	-5.0929	-1.5413	0.1765	4.0646	3.1136	5.9032	-1.9915	-1.6487	-4.0595	4.9517	3.4312	1.8364	1.252	-4.0667	-9.2902	3.8901	7.6058	2.8356	4.2138	3.4069	0.7729	-5.179	0.6752	0.1677	8.1765	-1.5805	-3.3569	-3.9961	3.6498	-1.0613	0.2226	6.1286	2.6195	-0.108	-0.4732	3.9508	-2.2477	-1.2004	1.3436	-3.6443	6.9591	8.3295	-6.0124	4.1126	-1.1965	2.8021	1.5006	6.5882	-1.6358	-0.4018	1.8348	-0.9937	4.0055	7.0407	-0.835	2.1733	1.0212	-6.1956	1.7836	-7.0512	0.9912	-1.6306	-1.0301	3.5877	3.0597	-1.7971	0.4109	-1.8297	1.3972	-3.0774	-1.5487	-8.1021	-2.9348	1.3138	-1.7554	-1.5705	2.2319	-5.1195	-4.6862	-6.1584	0.3547	-7.9749	2.849	0.8346	4.0004	0.8365	2.402	-2.1138	-1.5454	-7.0862	0.4482	3.3493	-4.7753	1.0742	1.9325	-0.2483	7.741	-1.8838	7.6858	2.2469	3.9742	-3.4865	-3.6803	-6.9263	-6.5029	-5.2764	2.3416	-2.1843	-6.3903
D03-OF-R3	-2.341	-8.4607	-8.9101	-10.456	-10.698	-7.717	-2.7625	1.7221	-4.138	-2.0057	1.5093	2.8114	-4.4967	-5.4492	2.3726	3.4797	1.7651	-4.912	0.9139	2.9616	3.0844	6.1338	-0.6634	-3.3734	-4.8546	-2.3186	1.9819	2.7747	2.344	7.2396	-8.9054	2.806	1.47	-1.7707	2.441	1.4348	6.4212	2.9536	5.21	-2.1033	4.1504	-1.0143	3.0878	4.5555	5.1397	5.5132	3.3594	4.2947	3.5437	-1.1397	-0.2624	-3.7054	3.1255	-4.76	-2.0098	0.003	4.2343	3.7228	6.399	-1.5376	-0.9892	-3.757	5.2237	2.478	1.5595	1.626	-4.1352	-9.4548	4.7072	8.4746	3.4226	4.7146	4.0688	1.3901	-5.004	1.4842	-0.2293	8.4286	-1.4126	-2.8714	-3.8706	3.7895	-0.836	1.0054	6.7752	3.7249	0.6069	-0.0127	4.7945	-2.0922	-1.0447	1.5126	-3.9647	7.1751	8.5463	-4.8991	3.1341	-1.0977	3.4489	1.6856	6.7157	-2.0879	-0.3225	2.1602	-1.4508	3.8378	6.9258	-1.0553	2.2389	0.9255	-4.9913	1.4817	-6.4032	1.0844	-2.121	-0.8892	2.4744	3.6107	-3.1424	0.1295	-2.6855	2.0188	-4.6987	-1.3687	-6.5902	-3.7312	2.1017	-3.2148	-1.1526	2.6437	-5.365	-6.8835	-6.906	-0.9925	-7.2012	2.9094	1.2642	3.827	0.6504	1.9633	-1.3681	-2.3128	-8.852	0.1847	2.8931	-5.1696	0.6976	2.2976	-0.4143	7.9921	-2.1963	8.3501	2.4123	4.1404	-3.2693	-3.1123	-8.6086	-7.9124	-4.8647	2.5129	-2.41	-9.0005
D03-OR-R1	0.3393	-3.2043	-3.936	-5.4959	-4.2406	1.1142	0.7897	4.7117	-3.2575	3.5027	2.3088	3.0625	-3.298	-4.1155	1.0413	2.6107	2.2625	-5.119	0.3169	2.9607	2.0109	4.9425	-3.6085	-3.8382	-7.6349	4.4243	0.1766	0.2694	-2.3127	6.4482	-7.7441	5.8034	-1.0714	-3.5158	2.129	-0.4155	2.9722	0.1726	4.3563	-2.2538	7.5043	-7.6578	2.7091	1.5787	3.5129	2.3591	2.8249	3.1278	0.3775	-3.631	2.0179	-1.9935	0.0941	-7.7399	-1.9675	0.0883	4.2104	2.7412	5.9935	-1.94	-1.0955	-5.1865	3.9156	-1.9937	-0.5491	-1.3782	-7.5487	-7.7833	4.2671	8.0072	2.5692	4.0576	2.7065	-0.8965	-0.9222	2.0857	-4.0796	7.2492	-2.3707	-3.752	-7.8482	1.853	-3.4305	-0.3764	6.0792	3.6695	3.1357	2.3948	3.3194	-3.1241	-2.1425	0.1502	-3.0912	1.1599	2.0442	-5.3758	2.3119	-3.1697	1.4328	1.6818	6.5903	1.7921	-0.2605	1.7923	3.5742	4.4975	7.5856	-0.6373	2.4053	1.4315	-4.8755	0.8683	-4.892	0.8335	-3.7564	-1.4348	3.0545	2.2906	-1.0753	-0.846	-2.4086	0.6375	-2.2355	-0.7891	-7.5403	-2.2875	1.7324	-2.3766	-1.6955	2.9725	-7.8231	-7.5734	-7.6518	-1.0626	-7.6352	1.5231	1.8262	4.226	2.3765	4.1235	-0.379	-0.6195	-7.6555	0.8256	3.6264	-5.6811	2.8484	3.2016	1.4073	8.5573	1.0794	10.2406	2.1039	5.1695	-2.306	-2.5818	-7.6193	-7.5448	-3.3556	3.5829	-1.875	3.8472
D03-OR-R2	1.315	-2.1882	-5.7379	-5.6428	-2.1893	2.8472	1.7176	6.3097	-0.5072	4.0233	1.805	2.2797	-5.6225	-5.4684	1.097	2.216	0.9961	-5.4004	0.4189	2.7542	2.4232	4.8952	-3.9691	-5.6473	-3.7838	3.6129	-0.3161	1.0798	-2.3019	6.5362	-5.5162	6.167	-2.3403	-5.539	1.9461	-0.9025	3.2448	-0.1848	3.9079	-1.9921	6.6111	-4.7573	2.3583	1.0972	4.6296	1.1769	2.3503	2.7151	-0.0357	-2.0778	1.9142	-1.2796	0.1486	-5.725	-5.5916	-0.7143	4.016	2.4342	5.9025	-1.3658	-2.0698	-5.8233	3.5736	-1.8104	-0.5945	-1.489	-5.6274	-5.5224	3.6372	7.7952	1.8843	3.5272	2.1509	-1.1977	-3.0084	1.0719	-5.5975	6.8461	-2.8493	-4.1475	-4.7008	1.9661	-2.8179	-1.4299	5.994	2.7518	2.5749	0.7392	3.129	-4.6733	-3.3669	0.061	-5.4371	0.6214	2.1092	-3.3065	2.473	-2.3325	0.8964	2.3173	5.1006	2.3282	-0.1383	1.2716	3.9996	3.5146	6.3974	-0.6753	1.3712	0.6992	-4.6199	1.7218	-5.9254	0.6392	-2.6746	-0.9693	2.3062	2.0926	-0.0072	-0.6394	-1.1946	0.686	-1.9558	-1.0067	-5.4711	-4.6566	1.6251	-2.4554	-2.055	2.2034	-5.8421	-5.7601	-5.6065	-0.8054	-3.1593	1.0356	0.8857	3.6272	2.6431	4.5035	-0.2586	-0.0425	-5.4871	1.0788	3.58	-3.6687	3.0325	2.6601	1.6218	7.9825	0.3078	9.1144	1.4852	4.0697	-2.0708	-4.7644	-2.9007	-5.4896	-4.5775	3.1778	-1.8595	1.5075
D03-OR-R3	0.5938	-7.6118	-3.2051	-4.554	-7.4006	-2.6486	1.4304	6.4833	-5.8042	2.7734	2.0791	2.9972	-4.636	-7.3074	1.937	3.0521	2.574	-3.8109	0.9196	2.7813	2.3362	6.1145	-2.9149	-7.3952	-7.2487	2.3547	0.3009	1.4819	-3.2275	6.6963	-7.5229	5.3357	-1.5766	-4.1769	1.8338	-0.0359	3.8821	0.65	4.8205	-2.2511	5.9646	-4.1546	2.7937	1.7062	3.4939	2.6729	2.6736	3.3953	0.3559	-2.636	2.1737	-2.0437	0.7239	-7.2803	-2.5504	-1.2703	3.9935	2.6781	6.2599	-1.0858	-1.1255	-5.8405	4.4386	-0.4653	0.0327	-1.0446	-5.0808	-7.4416	4.3685	8.2319	2.453	4.3386	2.8187	-0.6266	-7.5912	1.6774	-2.1768	7.586	-3.0314	-2.629	-5.3749	2.1838	-1.9485	0.4774	6.6104	3.6553	2.6008	1.9874	3.8825	-4.2145	-1.272	0.913	-6.2633	1.2815	2.4824	-7.1232	2.2636	-1.1709	1.4358	2.1292	6.556	0.7792	0.1437	1.7011	3.1782	4.6065	7.8075	-0.8578	3.484	2.1541	-6.4603	1.1681	-7.4451	0.6115	-2.1614	-0.3589	3.2341	2.7673	-1.7708	0.2028	-2.6137	1.0975	-4.629	-1.6589	-7.1093	-2.2498	2.3652	-2.5693	-1.6934	2.7938	-7.442	-3.7989	-7.2727	-1.0229	-6.3994	1.4152	1.9127	4.2202	3.252	5.2989	-0.3167	0.1827	-6.3093	1.7692	4.1003	-4.0301	4.0079	3.402	2.6506	8.3759	0.3432	9.8963	2.0627	4.858	-1.1081	-3.0154	-7.2953	-7.2448	-5.4107	3.8545	-1.8343	-3.5667
D03-ZF-R1	-3.6553	-7.6927	-9.3222	-9.5621	-10.1315	-7.489	-6.6492	-2.096	-5.0694	-3.6987	1.5159	3.462	-5.1608	-5.3989	-0.2556	0.997	-0.0429	-5.6611	1.4985	4.7136	5.4002	5.2322	1.31	-2.7561	-5.6301	-2.1408	1.1599	3.048	-0.4159	8.4671	-8.2297	1.1924	1.6077	-0.6465	2.9218	-0.5569	3.9862	0.5994	6.0538	-2.2266	4.5406	-1.4211	3.4603	4.2386	5.2798	2.5401	3.62	3.1813	2.4603	-1.3289	-1.0927	-3.5674	5.182	-3.1487	-1.8809	0.1173	4.5532	3.7544	7.18	-1.3735	-0.7617	-2.4136	5.2891	1.3579	1.8218	0.2845	-2.6272	-9.4997	4.918	9.1433	2.9566	4.6761	3.5245	0.1616	-4.2019	1.7396	-0.2705	8.7807	-0.9207	-2.5459	-3.8526	3.2509	0.4925	0.8336	8.0879	4.2915	2.3436	1.7517	7.0506	-1.2647	-0.7595	2.4851	-3.3711	3.4907	4.5073	-5.6401	4.59	-2.8563	4.4545	2.8318	3.9356	-2.1648	-2.3195	0.602	-3.6775	1.6904	5.1817	-2.6231	1.2357	-0.9297	-4.25	1.3102	-5.4972	1.2569	-1.8063	0.6652	2.7305	3.9986	-2.5134	0.4495	-2.7016	2.4911	-3.2581	-1.4921	-7.5725	-2.0707	2.5056	-2.8637	-0.3292	2.9866	-4.6778	-7.9138	-6.3384	-0.3467	-6.5647	3.4548	1.15	4.728	0.8114	3.6082	-1.1391	-0.8635	-8.0972	0.2601	4.2349	-5.6162	2.4408	2.1392	1.0933	8.294	-2.2572	7.7084	1.6352	4.4041	-2.6886	-3.13	-7.4815	-7.3541	-4.0857	3.8594	-1.1259	-4.2139
D03-ZF-R2	-3.5213	-8.8895	-8.8086	-8.6909	-8.65	-1.4612	-3.5435	1.6316	-3.9413	-0.9648	2.6281	4.7187	-5.0326	-6.2753	-1.1789	-0.1764	-1.3648	-5.3986	0.8293	3.7683	4.5087	4.0704	-0.7505	-3.6179	-6.7281	-1.7854	0.2562	0.648	-1.2631	7.2904	-7.7581	0.7976	0.6427	-1.9175	2.345	-0.496	3.827	0.3614	4.9667	-1.7716	4.5285	-1.3797	3.6688	5.038	4.5457	2.9589	3.4462	3.6144	2.6494	-2.2656	-1.2711	-3.8258	6.342	-3.4013	-2.0865	-0.4163	4.3826	3.2255	6.0895	-2.175	-1.7529	-2.3717	5.1768	1.3456	1.9618	0.7883	-2.1854	-7.7335	5.2257	9.8099	3.8514	5.5133	4.4398	-0.7234	-6.7384	2.5954	-0.6312	8.9428	-1.1117	-3.0299	-4.7497	2.0716	0.1208	-0.3785	7.2997	2.6335	0.6813	0.2384	6.0977	-1.7859	-1.4917	1.0904	-3.5161	5.0886	6.4092	-6.4649	5.1046	-3.6229	4.1752	1.488	4.9152	-1.3832	-1.4164	1.2041	-0.4669	2.9836	5.843	-2.0899	0.1609	0.262	-5.7231	1.2801	-6.7332	0.6353	-1.1273	0.3659	2.2702	4.2032	-1.9641	0.6203	-1.2039	2.1953	-3.1196	-0.6468	-8.9127	-2.0786	2.216	-1.7823	0.224	3.6759	-4.2734	-6.7308	-8.7472	1.2863	-5.659	3.6794	1.5192	4.2453	0.0213	2.5856	-1.544	-1.2031	-7.5827	-0.0471	4.1322	-6.0982	1.3936	1.5861	-0.0011	9.069	-1.261	7.9632	2.7573	5.4618	-2.9194	-3.2143	-5.8601	-8.662	-3.3044	3.6809	-0.7733	-2.7419
D03-ZF-R3	-3.3489	-7.8787	-8.6102	-9.2643	-10.0498	-4.7097	-4.5829	-0.5932	-5.1699	-4.4551	3.1498	4.6482	-4.6487	-5.85	-1.3759	-0.1577	-1.0189	-5.9687	1.01	3.6282	4.6733	3.9631	-0.982	-3.7614	-5.5295	-4.2636	0.4932	1.0605	-1.0201	7.3393	-10.3656	0.6184	1.036	-1.5501	2.4743	-0.2185	4.2081	0.7785	5.5027	-1.5705	4.9187	-0.3975	3.6764	5.3397	4.8342	3.2046	3.5977	3.4049	2.957	-1.9766	-1.651	-3.8695	6.799	-2.9588	-2.6697	-0.1803	4.5958	3.3088	6.3774	-1.4417	-1.1269	-1.9273	5.5858	0.6106	2.2903	0.937	-1.8959	-10.2413	5.2565	9.7076	3.899	5.6738	4.4835	-0.2028	-5.3342	2.4879	-0.2645	9.1348	-1.021	-2.8555	-3.6722	2.1531	-0.2569	0.0761	7.9089	2.5311	1.3725	1.0514	6.2953	-1.9282	-1.1024	1.5208	-3.3756	4.7972	5.9902	-5.2028	5.6728	-3.2148	4.6774	1.9368	4.8159	-2.8907	-2.1098	0.7586	-3.4063	2.445	5.5137	-2.2509	0.5547	-0.6445	-5.1588	0.9653	-6.4376	0.4268	-0.96	0.2735	2.9554	4.669	-1.6639	0.582	-1.9953	2.7403	-3.6289	-0.4268	-6.1556	-2.2784	2.808	-2.1615	0.0032	3.4713	-4.6548	-6.8356	-5.7327	0.2278	-5.3812	4.3279	1.8696	5.0084	0.7015	3.6311	-0.7009	-0.8518	-7.2594	0.1477	4.4166	-5.0166	2.3586	1.8545	1.1602	8.9998	-1.3013	8.2072	2.8242	4.8579	-2.5524	-2.9038	-7.3961	-8.6372	-3.6124	4.3216	-0.6945	-10.1341
D03-ZH-R1	-2.8761	-9.9571	-9.7751	-9.9389	-9.8583	-2.8186	-1.1623	2.7534	-2.8484	0.8222	1.8867	3.6971	-2.3249	-5.5792	0.7722	1.7651	2.6037	-7.4262	0.0755	2.52	2.5184	2.8668	0.179	-2.5396	-9.778	2.8357	0.9037	3.8573	-1.2731	6.926	-10.0873	0.3731	-2.2628	-3.6119	1.2329	-3.1182	-0.2611	-2.1434	4.3382	-1.5087	3.3683	-2.3184	0.6456	1.8528	2.8073	0.2271	1.5968	0.8646	0.7914	-2.1011	-2.0578	-4.4861	4.9957	-3.1801	-0.3545	-0.522	6.0005	2.8813	5.8982	-2.6665	-3.0174	-1.7206	3.2786	2.5008	1.117	-1.4842	-2.6468	-4.1788	3.1017	6.6399	0.7083	2.7577	0.0941	-0.5092	-3.4803	-0.0462	-0.1554	7.498	-2.6896	-5.9407	-5.6298	2.0606	-0.9859	-0.5224	6.8154	3.5295	0.3941	-0.391	4.2369	-2.6773	-1.236	0.7603	-1.8386	1.2709	2.8922	-3.6355	1.4613	-7.9861	3.2185	1.8118	0.7242	0.1647	-2.6775	0.8596	1.0356	-0.9479	2.4	-4.6127	-2.2698	-3.7644	-7.0295	-1.4062	-1.9702	-0.4632	0.4311	3.1807	4.6557	7.2186	-1.0691	2.7619	-0.3635	4.747	0.9961	0.4739	-7.6452	0.4743	5.1944	-0.0501	2.1639	4.422	-3.0689	-3.2099	-4.0361	0.729	-2.6725	5.7586	2.8898	5.4174	2.9059	4.3768	-0.0077	-0.1056	-3.0895	2.1551	5.4547	-5.0428	3.2862	3.037	1.9158	10.0056	-1.8263	8.4027	2.3661	6.1619	-0.8272	-1.5079	-6.2031	-7.3263	-1.7469	5.4017	0.7742	0.6013
