feature,Condition,Mean,CI_low,CI_high,,,,,,,
Richness 0.001%,ZR,251.657399,222.496075,284.640736,,,,,,,
Richness 0.001%,ZH,257.024282,227.126076,290.858199,,,,,,,
Richness 0.0001%,NF,1011.403465,910.750255,1123.180546,,,,,,,
Richness 0.0001%,OF,922.149807,808.417085,1051.883096,,,,,,,
Richness 0.0001%,OR,937.135861,822.676823,1067.519586,,,,,,,
Richness 0.0001%,OH,960.49935,843.579046,1093.624842,,,,,,,
Richness 0.0001%,ZF,942.402701,844.050523,1052.215272,,,,,,,
Richness 0.0001%,ZR,948.334022,836.934813,1074.56089,,,,,,,
Richness 0.0001%,ZH,963.513625,853.481934,1087.730705,,,,,,,
Richness 0.00001%,NF,2416.500301,2299.647714,2539.290549,,,,,,,
Richness 0.00001%,OF,2292.923412,2158.130986,2436.134695,,,,,,,
Richness 0.00001%,OR,2313.95641,2197.362529,2436.736859,,,,,,,
Richness 0.00001%,OH,2325.500842,2213.472091,2443.199617,,,,,,,
Richness 0.00001%,ZF,2317.460005,2183.91229,2459.174253,,,,,,,
Richness 0.00001%,ZR,2304.25997,2178.980793,2436.741998,,,,,,,
Richness 0.00001%,ZH,2354.514151,2228.095321,2488.105798,,,,,,,
Richness Any%,NF,2793.966947,2707.99257,2882.670871,,,,,,,
Richness Any%,OF,2782.183973,2661.946804,2907.852121,,,,,,,
Richness Any%,OR,2745.351132,2680.030797,2812.263518,,,,,,,
Richness Any%,OH,2760.475323,2689.05268,2833.794988,,,,,,,
Richness Any%,ZF,2790.797132,2683.977482,2901.868098,,,,,,,
Richness Any%,ZR,2761.527627,2653.28596,2874.185049,,,,,,,
Richness Any%,ZH,2762.352836,2668.756495,2859.231707,,,,,,,
Shannon Entropy,NF,2.907837,2.737415,3.088869,,,,,,,
Shannon Entropy,OF,2.645312,2.409506,2.904196,,,,,,,
Shannon Entropy,OR,2.64262,2.410817,2.896711,,,,,,,
Shannon Entropy,OH,2.655799,2.457602,2.86998,,,,,,,
Shannon Entropy,ZF,2.809036,2.637205,2.992063,,,,,,,
Shannon Entropy,ZR,2.703725,2.484314,2.942513,,,,,,,
Shannon Entropy,ZH,2.645166,2.405559,2.908639,,,,,,,
Inv Simpson,NF,8.9997,7.030367,11.520678,,,,,,,
Inv Simpson,OF,6.443444,4.683404,8.864914,,,,,,,
Inv Simpson,OR,6.294618,4.584771,8.642137,,,,,,,
Inv Simpson,OH,6.551127,4.929548,8.706126,,,,,,,
Inv Simpson,ZF,7.858293,6.187727,9.979879,,,,,,,
Inv Simpson,ZR,6.799324,5.024774,9.200574,,,,,,,
Inv Simpson,ZH,6.28513,4.600289,8.587038,,,,,,,
