Donor,Patient,Sample_Type,Replication,MicrobesPerGram,mean_16s_count,DNAConcentration,Relative Abundance: Firmicutes,Relative Abundance: Bacteroidetes,Relative Abundance: Actinobacteria,Relative Abundance: Other Bacteria,Relative Abundance: Viruses,Relative Abundance: Fungi,Relative Abundance: Unclassified,Richness 0.01%,Richness 0.001%,Richness 0.0001%,Richness 0.00001%,Richness Any%,Shannon Entropy,Inv Simpson
D01-ZR-R1,D01,ZR,R1,63212350344,4.549462411,9.32,0.607577777,0.265922099,0.015018266,0.014708506,0.000405722,0.000601826,0.066954044,100,250,948,2479,3083,3.030136895,11.22114886
D05-OH-R1,D05,OH,R1,2.60369E+12,4.694000961,68.4,0.412602978,0.328415494,0.062778143,0.021147288,0.001951067,0.001376334,0.128210322,103,406,1323,2535,2983,3.035115083,8.843025068
D05-OF-R3,D05,OF,R3,6.0155E+11,4.709813235,81.8,0.433303922,0.32276613,0.069197004,0.017866111,0.001379862,0.001147625,0.110316617,100,361,1191,2390,2702,2.987200051,8.550253164
D06-ZR-R3,D06,ZR,R3,9508060374,4.35682737,2.28,0.487160035,0.293338064,0.114008046,0.002248419,0.001232434,0.000493814,0.063474222,78,231,925,2362,2850,2.707890101,7.520114285
D08-NF-R1,D08,NF,R1,2.11056E+13,4.572967948,100,0.509325195,0.360622362,0.023130336,0.011071589,0.002065854,0.000572449,0.063896421,83,248,973,2443,2873,2.605013751,5.895511585
D08-ZH-R3,D08,ZH,R3,1558508185,4.390116117,4.36,0.356168261,0.486531017,0.012797554,0.010718471,0.009331019,0.000568493,0.089687907,88,239,858,2436,2436,2.382540407,4.087705295
D09-OF-R3,D09,OF,R3,1.74548E+12,4.666396848,108,0.509085606,0.297711722,0.04941977,0.030321775,0.000588188,0.000771202,0.083057243,95,262,982,2281,2678,3.00799507,8.928735426
D02-OR-R2,D02,OR,R2,1.38137E+13,4.56444081,98.2,0.38404329,0.489169716,0.005934895,0.007611079,0.008374342,0.0007718,0.060714193,81,221,824,2175,2728,2.23952955,3.31306766
D03-ZH-R1,D03,ZH,R1,29867284705,4.318884391,5.2,0.398738402,0.447333474,0.048427219,0.006663298,0.003921074,0.000595876,0.070435933,91,260,1000,2367,2814,2.849936846,8.129033434
D09-NF-R3,D09,NF,R3,1.65138E+12,4.729501743,169.6,0.546125181,0.231496621,0.075512592,0.045971714,0.000994028,0.000614478,0.073830367,91,264,945,2298,2863,2.972647901,8.659279036
D01-ZF-R1,D01,ZF,R1,7.74223E+11,4.60863841,35,0.563918049,0.315322686,0.010206997,0.016706036,0.000340909,0.000604571,0.061823278,92,246,910,2453,3085,2.894729478,9.247320623
D04-NF-R3,D04,NF,R3,2.26547E+13,4.605008864,96.6,0.689550314,0.06741949,0.110561522,0.009455802,4.67E-05,0.001549337,0.107983848,101,324,1342,2694,2694,3.236628329,14.63177846
D04-ZH-R3,D04,ZH,R3,42721979555,4.467984432,10,0.581331566,0.176188608,0.079122267,0.020023733,5.89E-05,0.002370994,0.12687461,107,363,1499,2731,2927,3.402121547,17.50706439
D09-OR-R3,D09,OR,R3,1.13355E+12,4.627469469,90.4,0.463613381,0.333392439,0.043739779,0.040749609,0.000667156,0.000816436,0.087089498,95,272,971,2395,2700,2.996804169,8.284191024
D02-OF-R2,D02,OF,R2,1.32136E+13,4.615519712,4.92,0.511606726,0.362028761,0.016785472,0.005824283,0.00550652,0.000603667,0.061123332,87,224,810,2233,2761,2.629480467,5.19005935
D07-ZH-R1,D07,ZH,R1,31216193251,4.700719445,7.66,0.506497404,0.334879656,0.006567191,0.056894976,0.000444545,0.00065712,0.055988653,86,247,943,2440,3017,2.819828997,8.311570146
D05-ZR-R1,D05,ZR,R1,28818111238,4.622387419,11.8,0.384674003,0.354798562,0.064494288,0.028454393,0.0028582,0.00122426,0.122477969,102,379,1259,2482,2966,3.011867363,8.542407697
D10-OH-R2,D10,OH,R2,1.51716E+12,4.57783751,18.4,0.358841346,0.494469424,0.03680787,0.002831992,0.000120888,0.000406056,0.048982723,75,195,727,2163,2163,2.054550674,2.750483882
D08-ZR-R3,D08,ZR,R3,67832897356,4.398252996,12.3,0.407215193,0.471172399,0.020673996,0.009414346,0.004255276,0.000424067,0.051782995,80,222,888,2153,2560,2.465775511,4.622713979
D03-OR-R2,D03,OR,R2,39687489003,4.369110468,37.8,0.405964012,0.451883645,0.046815731,0.005365221,0.002163185,0.000600848,0.063275826,93,249,924,2177,2619,2.750233165,6.533239658
D10-OF-R1,D10,OF,R1,7.77788E+11,4.585242984,28.4,0.277156813,0.586878485,0.03114363,0.002061527,6.48E-05,0.000352084,0.04120501,68,168,604,1764,2213,1.735538088,2.165463602
D01-ZR-R2,D01,ZR,R2,3915906914,4.588679689,11,0.598054138,0.278628009,0.012959822,0.013364305,0.000410691,0.000594988,0.06648951,93,247,931,2450,2963,2.960300989,10.27560541
D10-ZF-R2,D10,ZF,R2,25683986333,4.57864506,4,0.423188274,0.437473889,0.035438602,0.002814056,0.000111404,0.000467169,0.051228732,75,199,737,1760,2210,2.214666686,3.191065851
D03-OH-R3,D03,OH,R3,1.25222E+11,4.506291267,35.6,0.411908702,0.464427499,0.026726476,0.006259224,0.003531221,0.000599204,0.065503212,87,236,918,2376,2691,2.650513705,6.409321984
D07-OR-R1,D07,OR,R1,7.58642E+11,4.631335562,106,0.654609681,0.208257498,0.019807486,0.035902651,0.000251054,0.000637982,0.051161597,85,248,926,2406,2756,3.065788584,12.38757388
D01-OR-R2,D01,OR,R2,1.07681E+12,4.485716776,58,0.520551473,0.346488492,0.011631515,0.019537311,0.000235131,0.000678088,0.062272117,100,254,948,2526,2831,2.975355186,9.577231137
D05-NF-R1,D05,NF,R1,1.29669E+12,4.733213312,87.4,0.456808094,0.273109927,0.059581162,0.025328818,0.003002495,0.001358706,0.139303113,110,402,1313,2550,2914,3.091700908,9.152616538
D07-OR-R3,D07,OR,R3,7.07377E+11,4.686680554,47.2,0.580151689,0.268858571,0.015213256,0.052404635,0.000212721,0.000595947,0.04864918,80,243,876,2248,2795,2.97678115,10.41628339
D04-ZF-R3,D04,ZF,R3,69549702355,4.51210512,7.32,0.606736365,0.166599517,0.083869933,0.014674417,4.41E-05,0.001576435,0.112771757,102,330,1322,2605,2605,3.31128141,15.84106529
D04-OF-R1,D04,OF,R1,3.62907E+12,4.556654902,21.6,0.658839785,0.088992005,0.114518604,0.010816644,4.25E-05,0.001700785,0.111434347,101,332,1342,2807,3052,3.317435121,16.09306847
D04-ZH-R1,D04,ZH,R1,1.73764E+11,4.475588144,9.32,0.577228298,0.193219251,0.063040268,0.01944615,5.92E-05,0.002193345,0.131501629,110,364,1493,2790,3064,3.374660093,16.52500094
D05-NF-R2,D05,NF,R2,3.33194E+11,4.679031795,26,0.530526751,0.160301127,0.079413923,0.015050421,0.001578562,0.001580751,0.179851422,120,492,1356,2625,2852,3.24644644,12.67873064
D02-ZR-R2,D02,ZR,R2,1.44964E+11,4.492525386,5.68,0.463190609,0.405705365,0.012758388,0.006849569,0.01158381,0.000626775,0.064654021,85,220,835,2153,2721,2.454833679,4.116034737
D02-NF-R1,D02,NF,R1,1.42936E+12,4.543064107,153.2,0.457176247,0.405193832,0.007040557,0.006706202,0.010389361,0.000873898,0.072808911,83,229,889,2240,2881,2.511145223,4.425721833
D02-ZF-R2,D02,ZF,R2,1.59528E+11,4.58016007,8.8,0.565461916,0.311812947,0.018181181,0.005602373,0.006320387,0.000641294,0.065699092,88,224,850,2307,2994,2.740166966,6.325266586
D04-ZR-R3,D04,ZR,R3,2.99012E+11,4.535650385,16.6,0.61342093,0.160436121,0.066005232,0.018441104,6.03E-05,0.002170677,0.126626045,106,358,1479,2799,2976,3.392914901,17.54634968
D09-OH-R3,D09,OH,R3,1.02073E+13,4.740975669,76.6,0.498487797,0.304246154,0.033891365,0.044219921,0.000848359,0.000882701,0.089129775,91,274,1035,2201,2601,2.85629267,7.432441545
D03-NF-R2,D03,NF,R2,7.57425E+12,4.629671133,109.2,0.576039124,0.279370438,0.057653455,0.00480169,0.00139207,0.00064641,0.060309059,94,260,963,2474,2777,3.026319321,11.22348633
D03-OF-R2,D03,OF,R2,1.05783E+12,4.395748492,26.2,0.376308464,0.495826184,0.034739562,0.005465084,0.001729884,0.000623603,0.061244243,82,240,901,2262,2624,2.605237064,5.880244787
D02-OR-R1,D02,OR,R1,5.24063E+12,4.569566185,79.6,0.396399227,0.476738961,0.007748281,0.007055818,0.008005136,0.000753688,0.060980292,82,222,818,2261,2781,2.282673236,3.396982037
D06-OR-R1,D06,OR,R1,1.60647E+12,4.533452573,44.6,0.352458878,0.51563675,0.025726241,0.002351724,0.000741663,0.000420231,0.047338545,73,186,739,2107,2714,1.924804495,3.00871247
D05-ZH-R2,D05,ZH,R2,43665186528,4.685718863,9.44,0.343061116,0.416983378,0.046959043,0.028351443,0.004146143,0.001236936,0.115123678,98,353,1184,2309,2666,2.866523384,6.874559817
D06-OH-R1,D06,OH,R1,4.62422E+12,4.545505987,102,0.499705806,0.337507859,0.058837764,0.002247276,0.000635938,0.000488153,0.056514859,74,220,875,2403,2717,2.479215579,5.615463913
D07-NF-R2,D07,NF,R2,1.89406E+12,4.605157377,34.6,0.587144525,0.249830466,0.026124516,0.044716998,0.000770648,0.00062767,0.05986629,88,259,984,2510,2811,3.085014552,12.08405891
D03-ZR-R3,D03,ZR,R3,15560495038,4.232781586,8.54,0.318760983,0.53852199,0.040893473,0.006581396,0.003400732,0.000427519,0.065483368,84,244,916,2209,2576,2.578064125,5.889942862
D04-OR-R2,D04,OR,R2,6.56743E+12,4.779492848,25.8,0.620560631,0.155701469,0.041541609,0.018317399,6.46E-05,0.002725039,0.146489506,111,405,1615,2811,2969,3.322893062,15.07788088
D07-OF-R2,D07,OF,R2,1.96117E+12,4.720326336,78.8,0.493127106,0.34174336,0.012875578,0.065227996,0.000269455,0.000547805,0.046953427,80,242,887,2380,3009,2.85810912,8.14002346
D09-ZR-R2,D09,ZR,R2,13094547665,4.693765362,3.14,0.469325272,0.331699517,0.038759915,0.040991851,0.001490538,0.000794687,0.089941301,97,257,953,2137,2540,2.837768079,7.074017398
D03-OF-R1,D03,OF,R1,3.18083E+12,4.457539334,41,0.436493453,0.419792517,0.048922899,0.005708977,0.001602663,0.000710399,0.063909628,89,254,1009,2444,3059,2.824884813,7.832431693
D08-OF-R2,D08,OF,R2,1.02057E+13,4.520282665,139.2,0.456352386,0.430388413,0.015789887,0.008338765,0.001694976,0.000505568,0.052250845,78,216,818,2183,2609,2.434964638,4.92587767
D08-OH-R2,D08,OH,R2,1.39128E+12,4.495049027,91,0.436092428,0.439546636,0.013160621,0.010351987,0.003817484,0.000543227,0.064309414,83,231,933,2346,2866,2.480239258,4.82727521
D08-ZH-R2,D08,ZH,R2,5189207607,4.44614943,4.26,0.35644292,0.509908888,0.007036521,0.01030916,0.005626383,0.000581291,0.070223296,83,235,880,2491,2818,2.236343449,3.595913062
D10-OF-R2,D10,OF,R2,1.19613E+12,4.576450875,8.48,0.401772552,0.438133815,0.056070906,0.002382023,6.08E-05,0.000397954,0.049463786,74,199,745,1889,2317,2.264295574,3.356046586
D07-ZR-R2,D07,ZR,R2,6745945835,4.604204745,1,0.536329071,0.31329556,0.011257399,0.050496466,0.000357454,0.000565855,0.051901547,84,242,916,2211,2813,2.890022558,8.955457584
D05-OH-R3,D05,OH,R3,9.51498E+11,4.840513253,42.8,0.295926011,0.485880936,0.019566351,0.026446349,0.002903406,0.001323729,0.11476701,97,367,1113,2390,2696,2.544696511,5.096980935
D03-OH-R2,D03,OH,R2,8.83544E+11,4.477203931,28,0.404371533,0.46750975,0.027719154,0.006615426,0.003222267,0.000595728,0.068416598,86,248,967,2213,2591,2.609193238,6.06367145
D02-ZH-R3,D02,ZH,R3,10554752543,4.501208973,4.44,0.530796722,0.339580244,0.019123657,0.007087858,0.011486454,0.000669349,0.065258116,89,230,822,2145,2709,2.716172354,5.782046398
D06-OH-R3,D06,OH,R3,1.06659E+12,4.557710205,94.8,0.524902645,0.308775861,0.066929484,0.00219637,0.000569831,0.000476787,0.056172412,73,224,838,2290,2800,2.549241936,6.147849042
D07-ZF-R2,D07,ZF,R2,60903887112,4.631170429,9.26,0.515925087,0.327428605,0.010903597,0.051091083,0.000357561,0.000508208,0.053575438,84,250,962,2386,2948,2.841836743,8.338421788
D03-NF-R1,D03,NF,R1,8.43182E+11,4.788781087,46.6,0.717514676,0.138069157,0.057557555,0.004673239,0.003492123,0.000901427,0.062743675,96,279,1043,2437,2951,3.111889364,13.24084164
D02-NF-R2,D02,NF,R2,1.70417E+12,4.640558393,104,0.580316235,0.285661661,0.020044611,0.006844052,0.00679818,0.000721764,0.06866593,89,242,893,2290,2649,2.853329087,7.185288703
D05-OF-R2,D05,OF,R2,2.11884E+12,4.695736026,79.2,0.420050445,0.327643584,0.071281946,0.02013998,0.001379206,0.00119778,0.113671,99,369,1198,2485,2781,2.984964046,8.503324363
D02-ZR-R1,D02,ZR,R1,56934422179,4.546578705,12.4,0.541341341,0.331278672,0.017144259,0.006491811,0.009083384,0.000648965,0.068203532,90,225,840,2297,3013,2.715663347,5.805927835
D03-ZF-R2,D03,ZF,R2,17182722009,4.538685312,8,0.537150324,0.321916935,0.055572025,0.004860658,0.00175069,0.000609301,0.058880433,87,254,960,2403,2742,2.991331671,10.04225688
D01-ZH-R3,D01,ZH,R3,16580013641,4.567729639,3.48,0.510589692,0.368582158,0.005931812,0.016137664,0.000444899,0.000568488,0.062426895,92,241,901,2405,2775,2.771606083,8.007715143
D02-ZH-R1,D02,ZH,R1,53511152346,4.47004546,7.34,0.466871339,0.403620725,0.009965738,0.008752014,0.014587054,0.000717487,0.067301456,85,220,834,2209,2861,2.525757914,4.401010667
D05-ZR-R3,D05,ZR,R3,28323098241,4.704729828,9.38,0.367681062,0.414769176,0.043805078,0.024776885,0.00439829,0.001148902,0.101148005,96,325,1122,2449,2992,2.854488688,6.742985381
D05-OR-R2,D05,OR,R2,7.59411E+11,4.700916111,64.4,0.429757687,0.324228282,0.062640562,0.020579579,0.001790907,0.001261017,0.1122659,101,365,1341,2487,2779,3.004770007,8.82253242
D06-OH-R2,D06,OH,R2,3.10008E+12,4.571609413,54.8,0.497946581,0.350797853,0.050796264,0.002376419,0.000735628,0.000465701,0.054156527,74,213,841,2105,2692,2.42498595,5.272680138
D06-ZF-R3,D06,ZF,R3,1.48388E+11,4.618734421,19.9,0.652623458,0.174101608,0.090544793,0.001894065,0.000506825,0.000471262,0.050061229,73,225,797,2296,2902,2.779180044,9.188953628
D03-OR-R3,D03,OR,R3,9.14428E+11,4.410526771,37.4,0.439895493,0.415857476,0.05034125,0.005244937,0.002125819,0.000614866,0.062970182,93,250,939,2379,2725,2.852452505,7.603319791
D08-OR-R2,D08,OR,R2,9.72749E+11,4.463391292,4.18,0.423725455,0.451336232,0.017784081,0.010834751,0.002432311,0.000487786,0.059304826,81,230,891,2464,2800,2.467317217,4.869466018
D09-NF-R1,D09,NF,R1,3.26137E+12,4.757638949,99.6,0.594233161,0.204458888,0.064468243,0.032449665,0.000566763,0.000742747,0.078110867,92,269,982,2307,2794,3.092633085,10.45963957
D09-OH-R1,D09,OH,R1,7.61059E+12,4.673006859,91.8,0.485216729,0.325014549,0.036639073,0.037740545,0.001099052,0.000899189,0.088127968,93,274,1068,2489,3084,2.924434788,7.904199721
D07-OR-R2,D07,OR,R2,9.00895E+11,4.686800697,22.8,0.410041519,0.407385248,0.008618637,0.078462192,0.000324314,0.000614596,0.048852933,83,241,861,2329,2678,2.75898156,6.988905358
D06-ZH-R1,D06,ZH,R1,23616054895,4.455324884,6.06,0.387669834,0.487859846,0.01699409,0.002727426,0.001960748,0.000448339,0.056241388,76,215,837,2406,2986,2.181783068,3.812264842
D05-ZF-R3,D05,ZF,R3,12750427000,4.703950885,10.4,0.457142532,0.296127387,0.064958951,0.022850861,0.001733742,0.001194116,0.118353106,100,370,1182,2412,2833,3.091288275,10.17196057
D09-ZH-R1,D09,ZH,R1,1363558791,4.653805236,3.76,0.423547913,0.378543676,0.028605669,0.042304962,0.001677309,0.000845528,0.095064282,103,269,988,2373,2841,2.774092685,6.340276465
D01-OR-R1,D01,OR,R1,5.18266E+11,4.352061337,48.4,0.434735496,0.431163168,0.00896763,0.020727532,0.000239595,0.0006058,0.060557744,91,247,895,2362,2939,2.816547318,7.922830859
D06-OF-R2,D06,OF,R2,2.09693E+12,4.488166997,29,0.357905509,0.491341449,0.05049212,0.00380715,0.000346109,0.00036466,0.038342603,70,177,689,2115,2541,2.028895093,3.273092204
D10-OH-R3,D10,OH,R3,1.64842E+12,4.575752811,37.4,0.33416377,0.524748957,0.032506712,0.002966616,0.00011172,0.000416259,0.046768346,71,187,705,1909,2532,1.945632368,2.51801375
D08-NF-R3,D08,NF,R3,7.01937E+12,4.615138628,112,0.605315509,0.26130863,0.030668729,0.008937456,0.00211599,0.000630882,0.068099175,88,259,986,2462,2903,2.828445461,8.222775962
D03-ZR-R2,D03,ZR,R2,25994767621,4.352975234,3.04,0.415165125,0.423702483,0.060197522,0.006022488,0.002839899,0.000552594,0.068829622,88,256,1016,2482,2773,2.879091903,8.35602404
D04-OH-R3,D04,OH,R3,8.11225E+11,4.681049049,16.5,0.630671519,0.129771142,0.070456282,0.0160882,7.44E-05,0.002484595,0.136248129,111,386,1576,2820,3060,3.379169502,17.43863853
D04-NF-R2,D04,NF,R2,1.66214E+12,4.605192888,116,0.675606026,0.077001409,0.103121285,0.011156867,4.90E-05,0.001642829,0.118124718,104,339,1465,2861,3211,3.316202164,15.96550534
D01-NF-R3,D01,NF,R3,3.41473E+12,4.509996104,160.8,0.61896021,0.219336712,0.023395114,0.033486054,0.000355692,0.00066839,0.070771673,109,283,1065,2500,2914,3.181337465,13.43129356
D07-ZR-R1,D07,ZR,R1,1.22817E+11,4.747917996,6.76,0.500739393,0.341320914,0.006673655,0.059160215,0.000418439,0.000599315,0.053873085,83,241,906,2292,2946,2.790706955,8.007058046
D09-OR-R1,D09,OR,R1,3.29038E+12,4.605007743,57.4,0.371113284,0.425038957,0.028758471,0.045934568,0.000632827,0.000824355,0.09236555,94,263,952,2355,2700,2.705701933,5.672834651
D07-ZR-R3,D07,ZR,R3,1.19361E+11,4.640664807,11.3,0.605290607,0.24951602,0.015502094,0.045165634,0.000329529,0.000601004,0.052242282,85,245,915,2173,2778,2.99199945,10.89112678
D08-OR-R1,D08,OR,R1,2.68468E+12,4.43305307,104.8,0.40650818,0.475590928,0.011381706,0.011140586,0.004522837,0.000510299,0.055709281,81,213,827,2236,2810,2.401359155,4.303255091
D02-ZR-R3,D02,ZR,R3,28225160057,4.502011079,2.16,0.456708148,0.415554599,0.013996859,0.006584331,0.012986096,0.000585648,0.061790305,84,210,777,2195,2552,2.457848741,4.152845156
D01-OF-R3,D01,OF,R3,4.50942E+12,4.611613129,102,0.598004666,0.28559834,0.0145245,0.011735613,0.000179789,0.00071997,0.059508962,94,248,908,2428,3037,2.976888919,10.56515881
D01-NF-R1,D01,NF,R1,2.19155E+12,4.559263825,98.4,0.65332332,0.185075484,0.023796644,0.034111994,0.000392545,0.000680048,0.070736521,110,283,1053,2432,2897,3.19834308,13.54565916
D01-NF-R2,D01,NF,R2,1.6514E+12,4.490261832,5.9,0.58308544,0.254590523,0.021052392,0.035059104,0.000442476,0.000578777,0.069410765,103,275,1052,2616,2616,3.058443342,11.29308443
D07-NF-R3,D07,NF,R3,59146492791,4.577847092,26.4,0.649695612,0.191036394,0.030815915,0.035056486,0.000610976,0.000661263,0.063887819,90,272,1071,2561,2832,3.151998568,13.95193526
D10-ZF-R1,D10,ZF,R1,4238398093,4.579564962,2.92,0.376251419,0.492696397,0.029486745,0.003892546,0.000116792,0.000387724,0.046586105,71,189,664,1822,2486,2.035263497,2.682950219
D08-OR-R3,D08,OR,R3,7.49619E+12,4.439727662,89,0.383800517,0.49579767,0.011583339,0.01220145,0.0042323,0.000477403,0.055253351,81,212,818,2292,2671,2.350283523,4.281565426
D09-OR-R2,D09,OR,R2,4.71623E+12,4.603041767,46.4,0.458892166,0.323298786,0.052703663,0.047887975,0.000670007,0.00080402,0.085513224,93,266,995,2185,2600,3.021378852,8.685236993
D10-ZH-R2,D10,ZH,R2,987239625,4.573068816,2.44,0.295487024,0.56348127,0.024735132,0.003794371,0.000304361,0.000445823,0.054682561,70,194,739,2028,2457,1.917078815,2.453490464
D09-ZH-R3,D09,ZH,R3,10874081746,4.645655198,2.6,0.349740426,0.44552662,0.010382138,0.052710105,0.002321941,0.000939646,0.107674509,96,270,931,2285,2643,2.553187131,4.883132364
D10-OR-R2,D10,OR,R2,1.14295E+12,4.565806393,34.6,0.334772984,0.523977128,0.033469843,0.002060309,7.47E-05,0.000369642,0.045043374,72,177,675,1944,2338,1.943612346,2.479262549
D07-ZH-R2,D07,ZH,R2,35174551733,4.697497392,4.86,0.469035942,0.363081343,0.00441038,0.063170213,0.000498522,0.0006779,0.057294942,83,260,970,2378,2863,2.776410822,7.737113273
