D01-NF-R1_1	90404291	123371518	124484886	90094753
D01-NF-R1_2	90435233	123544661	124616399	90165265
D01-NF-R2_1	49840771	70350879	71084252	49612659
D01-NF-R2_2	49872539	70531308	71161762	49819369
D01-NF-R3_1	97642973	133563754	134857535	97306018
D01-NF-R3_2	97481068	133775416	134960216	97295969
D01-OF-R1_1	196858691	268711193	271395761	195974446
D01-OF-R1_2	197101483	269375678	271449925	196789600
D01-OF-R2_1	25061440	33800596	34120961	24964186
D01-OF-R2_2	25052062	33873335	34150431	24992578
D01-OF-R3_1	178868027	243410964	245871901	178225153
D01-OF-R3_2	178806215	243806039	245885093	178653345
D01-OH-R1_1	215807757	294665472	297545661	214843899
D01-OH-R1_2	215704920	295333055	297823223	215174900
D01-OH-R2_1	71703645	98444427	99533025	71338474
D01-OH-R2_2	71964504	98764573	99541655	72029681
D01-OH-R3_1	126975464	174665474	176264956	126668228
D01-OH-R3_2	126751006	174837542	176577120	126576000
D01-OR-R1_1	63077152	86719174	87555422	62903387
D01-OR-R1_2	63161298	86874640	87660084	62994932
D01-OR-R2_1	37500890	50733650	51254142	37321517
D01-OR-R2_2	37519382	50917754	51315338	37528708
D01-OR-R3_1	23391369	31815317	32136954	23312408
D01-OR-R3_2	23399391	31860891	32139787	23386226
D01-ZF-R1_1	394987017	538816769	543838108	393295017
D01-ZF-R1_2	394959745	539740475	544185794	393560982
D01-ZF-R2_1	71957895	97162865	98077552	71646175
D01-ZF-R2_2	71929915	97356507	98221605	71711365
D01-ZF-R3_1	122562889	166069703	167570468	122186383
D01-ZF-R3_2	122418118	166184911	167675692	122011787
D01-ZH-R1_1	72401574	98566231	99502327	72060778
D01-ZH-R1_2	72381655	98810721	99541040	72224405
D01-ZH-R2_1	74261304	100495995	101387082	73937990
D01-ZH-R2_2	74259961	100680622	101550765	74102959
D01-ZH-R3_1	76433504	103784728	104728814	76125850
D01-ZH-R3_2	76358761	103933745	104787255	76095673
D01-ZR-R1_1	259927641	349839713	352984563	258528696
D01-ZR-R1_2	259770669	350536031	353452973	259267323
D01-ZR-R2_1	144926599	197184746	198910482	144274372
D01-ZR-R2_2	144964021	197485233	199187447	144640623
D01-ZR-R3_1	58470608	78938869	79656703	58244315
D01-ZR-R3_2	58414523	79056616	79710200	58324341
