Sutterella	Akkermansia	Firmicutes: environmental samples	Streptococcus	Clostridium	Butyricicoccus	Butyrivibrio	Roseburia	Coprococcus	unclassified Lachnospiraceae	Dorea	Anaerostipes	Blautia	Lachnoclostridium	Eubacterium	Oscillibacter	unclassified Oscillospiraceae	Ruminococcus	Gemmiger	Faecalibacterium	Subdoligranulum	unclassified Ruminococcaceae	unclassified Clostridiales (miscellaneous)	unclassified Clostridia	Coprobacillus	unclassified Erysipelotrichaceae	Mitsuokella	Megamonas	Megasphaera	Dialister	unclassified Firmicutes sensu stricto (miscellaneous)	Bifidobacterium	Collinsella	Bacteroides	unclassified Bacteroidaceae	Alistipes	Prevotella	Odoribacter	Parabacteroides
XT_D03-NFlex-R1-C	-3.3708	-2.5434	-0.1917	1.3563	2.935	-0.2667	-4.0531	2.4751	1.5381	3.4162	1.9491	-1.5912	3.0007	-1.4664	1.5539	0.111	-2.2421	2.5064	-0.4771	4.6655	-0.8695	3.1971	1.4988	-5.1161	-3.305	-0.8501	-7.9904	4.5603	-8.194	0.6294	-0.2128	1.1339	2.4682	3.993	-1.888	2.2869	5.1049	-5.297	-0.4546
XT_D01-NFlex-R1-A	-7.7665	2.4259	1.3628	1.7421	2.7519	-0.0347	-3.698	3.1589	1.6594	3.1089	2.2716	-0.1496	3.5151	-0.183	2.7731	0.8571	-1.9333	5.0489	0.7554	5.5896	0.9525	3.7543	3.0144	-1.8989	-3.8671	-3.3489	-8.7328	-9.2214	-8.0416	0.998	-0.8814	1.4755	-4.5699	5.3718	-2.8338	4.1139	-4.0573	0.7964	3.7208
XT_D04-NFlex-R1-C	-4.8684	-6.9486	0.2506	-3.48	2.667	-0.6812	1.8151	2.847	4.9754	3.6787	1.3598	-0.6525	2.092	-1.962	3.3102	1.7529	0.2024	2.7352	-1.3305	4.4956	-1.5037	2.2549	2.0708	-4.1151	-3.4847	1.057	0.8462	-8.1664	-5.5952	0.229	0.6235	4.0305	0.4557	2.3306	-5.8242	-0.3897	3.5126	-0.5782	-0.0123
XT_D10-NFlex-R1-A	-5.5975	-5.1424	1.2487	-0.3873	3.007	1.7945	-3.1742	4.2879	3.3069	1.7565	1.9889	0.3804	3.4504	2.1548	2.697	0.4285	-3.3592	3.5671	-2.7059	-0.6934	-0.7689	2.5771	3.128	1.5104	-3.8086	-3.5383	-6.3893	3.0362	-8.2684	-5.9222	0.5813	-0.4774	3.8603	7.3351	-3.0491	2.0254	-2.5167	0.3397	1.3367
XT_D06-NFlex-R1-B	-4.2486	-6.6987	1.0312	0.306	3.1557	1.3112	-2.8135	2.2929	1.4458	4.8825	3.2347	1.3297	4.2317	1.1874	4.1297	0.9407	-1.2901	5.5653	-0.4399	6.7244	-0.38	2.0531	2.1393	-5.4664	-0.697	-3.9877	-8.3248	-9.2922	-7.1873	2.28	0.9526	4.7754	2.2911	7.4889	-5.5069	3.1284	-3.6085	-5.2003	-1.7357
XT_D03-NFlex-R1-B	-3.4412	-2.5964	-0.2273	1.4027	2.9293	-0.3232	-3.9855	2.4957	1.5601	3.4564	1.9867	-1.477	3.0239	-1.4817	1.6223	0.038	-2.3053	2.5284	-0.5202	4.604	-0.9373	3.1759	1.4485	-5.104	-3.1489	-0.7016	-7.8633	4.6965	-8.3828	0.6459	-0.2242	1.0617	2.4063	3.9792	-1.9167	2.2265	5.0985	-5.2718	-0.4782
XT_D10-NFlex-R1-B	-8.7069	-4.9059	1.4958	-0.1325	3.2388	2.0299	-2.9203	4.5243	3.5399	1.9623	2.2152	0.6504	3.681	2.3878	2.9256	0.6744	-3.1427	3.8015	-2.5398	-1.0345	-0.5468	2.8003	3.3608	1.762	-3.6067	-3.3232	-9.1296	3.3788	-8.0703	-7.5959	0.8223	-0.3695	4.0951	7.5738	-3.0593	2.2668	-2.2584	0.5832	1.5723
XT_D09-NFlex-R1-C	1.8613	-7.1563	0.0589	-1.2349	2.4248	0.4539	-4.4691	1.6422	0.9013	2.9603	1.899	0.6641	2.559	-1.4509	2.9369	0.0587	-4.6458	2.5157	0.4155	5.0023	0.1384	1.4371	1.3053	-5.2556	0.2034	-5.1731	1.3966	-6.4119	-6.9524	0.8296	0.6026	3.0073	0.9377	5.3336	1.853	1.0939	-2.3458	0.2021	0.4015
XT_D02-NFlex-R1-A	-7.9689	-4.6166	0.5348	-0.348	3.697	-0.0429	-2.5124	3.8487	0.6121	4.0016	0.9653	-0.6197	3.7475	-0.5463	3.1505	2.3624	3.1768	4.5	2.247	5.161	1.6865	2.5722	4.59	-4.4901	-1.3828	-4.0149	-8.7308	-9.5818	-8.1311	-7.4745	3.3594	0.5868	-1.3904	7.9221	-1.2492	2.465	-1.6684	1.2698	2.3128
XT_D09-NFlex-R1-A	1.8471	-7.138	0.057	-1.218	2.4008	0.4771	-4.5265	1.6559	0.9242	2.9621	1.9291	0.687	2.5645	-1.4609	2.9352	0.0271	-4.6668	2.5173	0.4153	4.992	0.1465	1.4446	1.297	-5.228	0.1722	-5.1893	1.3509	-6.3965	-6.947	0.854	0.62	3.0194	0.9471	5.3329	1.8329	1.1046	-2.3599	0.1981	0.4188
XT_D04-NFlex-R1-B	-4.8062	-6.9173	0.2491	-3.5758	2.6475	-0.6397	1.7363	2.8149	4.9207	3.6439	1.3021	-0.7012	2.0658	-1.9818	3.2327	1.7977	0.2343	2.7144	-1.2906	4.522	-1.4504	2.2641	2.0997	-4.111	-3.521	0.977	0.9031	-8.0751	-5.5726	0.2232	0.6215	4.0726	0.5095	2.3088	-5.7563	-0.332	3.504	-0.6018	-0.0326
XT_D08-NFlex-R1-A	0.5413	-3.2087	1.3797	0.9778	3.1536	1.1212	-3.4344	3.2532	1.3025	3.4841	1.8773	0.2824	3.9611	-0.1193	3.1523	-0.3385	-1.7407	5.303	0.3011	5.4657	1.4383	2.0839	2.0547	-2.4325	-0.8298	-3.75	-8.9043	-9.244	-8.0102	-8.3225	0.9623	0.9567	1.6588	7.2777	-5.0698	3.6693	-3.9656	2.0026	1.7096
XT_D06-NFlex-R1-C	-4.1828	-6.5224	1.059	0.2987	3.1528	1.3316	-2.8002	2.2901	1.456	4.8807	3.2316	1.3161	4.2215	1.2085	4.1386	0.9717	-1.2827	5.5655	-0.4074	6.7656	-0.3272	2.0545	2.1704	-5.5473	-0.7259	-3.9118	-8.6945	-9.2508	-7.4445	2.2917	0.9737	4.7985	2.3021	7.5081	-5.5814	3.1797	-3.6018	-5.1383	-1.7477
