Guerin_crAss_Delta_07	Sutterella wadsworthensis	Bilophila wadsworthia	Akkermansia muciniphila	Firmicutes bacterium CAG:94	Firmicutes bacterium CAG:83	Clostridium phoceensis	uncultured Clostridium sp.	Clostridium sp. CAG:138	Clostridium sp. CAG:169	Clostridium sp. CAG:217	Clostridium sp. CAG:354	Clostridium sp. CAG:356	Clostridium sp. 28_12	Clostridiaceae bacterium	Butyrivibrio crossotus	Roseburia intestinalis	Roseburia inulinivorans	Roseburia sp. CAG:50	Coprococcus eutactus	Coprococcus catus	Coprococcus comes	Coprococcus sp.	Coprococcus sp. AF38-1	[Eubacterium] rectale	Lachnospiraceae bacterium	Dorea longicatena	Dorea sp. OM07-5	Anaerostipes hadrus	Blautia obeum	Blautia wexlerae	uncultured Blautia sp.	Blautia sp. BIOML-A1	[Clostridium] bolteae	Anaerobutyricum hallii	Eubacterium ramulus	Eubacterium ventriosum	Eubacterium sp. CAG:38	Eubacterium sp. CAG:86	Eubacterium sp.	Oscillibacter sp.	Oscillospiraceae bacterium UBA6359	Ruminococcus callidus	Ruminococcus lactaris	Ruminococcus bicirculans	uncultured Ruminococcus sp.	Ruminococcus sp. AM28-13	Gemmiger formicilis	Faecalibacterium prausnitzii	Faecalibacterium sp. CAG:82-related_59_9	Faecalibacterium sp.	Subdoligranulum sp. 60_17	Ruminococcaceae bacterium	Ruminococcaceae bacterium UBA6855	Flavonifractor plautii	Clostridiales bacterium	Clostridiales bacterium UBA7739	Clostridia bacterium	Coprobacillus sp. AF21-8LB	Erysipelotrichaceae bacterium	Megamonas funiformis	Megamonas rupellensis	Megamonas sp. Calf98-2	Megasphaera massiliensis	Dialister sp. Marseille-P5638	Firmicutes bacterium CAG:65_45_313	Firmicutes bacterium AF22-6AC	Bifidobacterium adolescentis	Bifidobacterium longum	Coriobacteriaceae bacterium	Collinsella aerofaciens	Collinsella stercoris	Bacteroides thetaiotaomicron	Bacteroides uniformis	Bacteroides vulgatus	Bacteroides eggerthii	Bacteroides ovatus	Bacteroides stercoris	Bacteroides caccae	Bacteroides cellulosilyticus	Bacteroides plebeius	Bacteroides coprocola	Bacteroides intestinalis	Bacteroides xylanisolvens	Bacteroides oleiciplenus	Bacteroides mediterraneensis	Bacteroides coprocola CAG:162	Bacteroides sp.	Bacteroides sp. AF39-10AT	Bacteroidaceae bacterium	Alistipes putredinis	Alistipes onderdonkii	Prevotella copri	Prevotella sp.	Prevotella sp. AM23-5	Parabacteroides distasonis	Parabacteroides merdae
XT_D07-NFlex-R1-B	-12.0552	-8.622	4.2495	-2.831	-3.6622	3.1187	1.9914	3.9765	-4.2897	-4.5297	-7.7844	-8.4828	-5.8623	-9.3956	2.4628	-2.5744	-1.0396	-0.5822	2.1196	2.7679	3.7729	3.1093	1.6758	-0.2835	7.4143	4.7683	3.5907	-0.4021	4.0241	2.8288	3.0894	4.4872	1.6883	0.7335	3.784	2.5568	0.8755	-4.3518	1.3808	3.6501	4.2911	-3.0067	4.1863	4.5053	2.5632	4.4577	7.424	5.1302	8.4521	3.3268	3.357	2.8419	7.3242	4.5064	4.1904	4.7409	0.3833	-1.7322	4.1528	-3.8789	-6.3412	-9.628	-11.9926	-6.8472	-7.2956	-3.7353	-3.1839	4.7596	3.8757	-5.7339	-2.5496	-6.5461	0.9711	5.0088	5.49	-1.9287	0.5545	-1.1954	4.567	3.6015	-0.7709	-8.8127	3.3347	1.3779	-0.992	-3.2404	-7.7701	-0.0976	-4.5923	0.2888	4.3255	1.7957	-3.9142	-3.8956	-7.4215	-0.0875	4.0377
XT_D09-NFlex-R1-B	-11.6408	5.3097	2.7008	-4.3084	-4.0382	2.531	1.5828	2.5377	-5.2325	2.0827	-5.3195	3.1983	-12.121	-11.5682	2.7411	-2.9116	-0.9909	-0.4948	0.0974	-2.846	2.6674	2.4942	-5.2815	-5.3177	5.7329	3.82	3.8622	1.3862	4.1206	3.02	2.0597	3.1953	1.6973	-0.9422	3.0556	1.0586	3.1168	4.3118	4.0016	3.2696	2.5209	-6.2227	-5.1972	3.0112	-0.7181	3.5588	-0.2675	3.8518	7.8342	4.1362	3.5118	1.8051	4.7117	-6.4729	2.6353	3.5706	-1.5042	-1.8574	2.3566	-4.5363	-3.0811	-8.7938	-13.0459	-7.8836	4.252	-4.4678	-4.3975	5.2628	3.6947	0.3907	2.7369	-5.7258	1.7093	3.7452	2.5326	-0.7773	3.3736	-0.7004	-0.9623	2.9595	3.9687	-3.2187	1.55	0.3443	-1.3196	4.7668	-3.7063	1.2815	-2.448	5.3085	1.8151	0.1815	-3.0509	-3.1571	-5.6393	2.426	0.7098
XT_D03-NFlex-R1-C	-8.7445	-1.9777	-1.1299	-0.2674	-3.1389	1.2694	-0.7078	2.7668	-0.5141	-0.8725	3.548	-6.6079	-11.607	-10.1486	2.5302	-2.5512	0.0248	3.8845	1.168	0.2243	2.0482	2.4547	-0.6265	-1.5062	5.9669	4.3342	4.3135	0.9617	1.778	2.8051	2.6979	2.7211	1.0097	-1.0768	0.8816	1.8492	-3.7019	-2.6726	-2.6924	2.6778	2.8232	-4.6202	0.9288	3.0696	-3.3379	3.1595	-2.4106	2.9127	7.3854	3.1477	1.1241	0.367	6.5382	-5.5957	2.3153	3.7206	2.6345	-1.7479	-5.5747	2.4745	5.0592	3.673	6.2713	-8.1458	-7.7121	1.0906	0.7297	3.5635	-1.4389	1.68	4.7538	-4.2018	-0.6031	1.9288	2.8103	-3.4641	-0.06	-2.2052	0.9213	-4.1536	-1.3147	-8.57	-3.0214	1.7684	-5.0276	2.0099	-6.9385	-2.754	-5.601	1.5	1.6345	1.0939	6.9011	6.2886	1.2753	-2.3994	1.972
XT_D01-NFlex-R1-A	-7.4905	-6.7035	4.6373	4.9256	-0.1663	1.9156	4.1347	4.055	-4.5315	-2.689	2.9466	-8.713	-8.4182	-10.7715	3.8995	-2.053	3.0064	2.8039	0.9133	-1.8085	2.6779	2.0419	-4.2809	-5.1905	5.1629	5.4735	4.6306	0.1758	3.4749	4.6485	4.791	4.5352	-0.7907	0.6784	3.6759	1.267	1.869	4.1298	0.5402	3.9992	1.81	-3.7626	-4.4515	1.6591	5.1066	5.8467	2.5113	4.4017	8.7947	-0.2184	2.5693	1.7922	7.2887	-5.4611	4.2788	4.7195	5.6268	1.7447	-5.6169	-3.3686	-8.2792	-9.5826	-12.6692	-8.6834	-7.192	-0.2896	-0.7073	-3.3343	4.9425	-4.3205	-3.2266	-4.3368	3.4781	1.9667	-0.2667	-0.7143	3.8345	-1.5082	5.1779	6.029	0.1114	-5.1078	4.519	4.6924	4.5077	-4.3835	-7.2487	-1.5188	-6.5324	0.8134	5.1513	4.9752	-5.8448	-4.1772	-7.2577	1.1174	-2.8087
XT_D04-NFlex-R1-C	-12.8033	-1.9503	-1.319	-5.2078	-4.5682	0.0081	-0.922	3.3168	5.4568	-4.3116	1.4012	-7.675	-6.8713	-7.3041	3.5289	4.8622	1.8961	4.6897	-2.6811	4.9474	4.6845	2.4737	4.1898	4.092	6.4925	5.2466	3.7975	-0.9494	3.056	2.5193	1.7353	3.5991	-0.2423	-1.1327	2.0807	1.1871	1.3413	0.9071	2.3469	4.995	5.1742	1.5293	4.0141	-0.8773	-5.8171	3.9944	-6.4264	2.3888	7.5294	4.3224	4.6204	-0.1579	5.5109	-4.3394	1.5813	4.6101	1.6273	-0.4028	-3.4124	4.7269	-5.161	-10.7256	-10.2537	-8.1378	-2.5732	0.9681	1.4573	6.5896	4.0898	0.7074	1.9213	-4.9628	1.2223	1.1527	1.0761	-1.5941	1.1769	-1.6483	1.7499	-3.167	-1.6549	-12.9617	-1.8019	3.6703	-1.0296	-4.9118	-8.1321	1.5707	-8.5239	-2.1051	-4.6475	-2.3315	5.5315	4.6135	4.8404	-1.3178	-1.806
XT_D10-NFlex-R1-A	-7.1458	-2.2554	-4.3038	-2.5057	-2.3517	0.0595	4.115	2.4366	-6.7581	4.2771	-9.1067	-4.9069	-11.3334	-9.7665	4.1383	-3.0591	5.9157	-0.2037	4.9942	-2.91	5.3604	4.7128	-5.2531	-6.4524	1.574	4.196	1.1194	4.85	3.7146	3.7782	4.5068	4.606	-0.0227	4.4366	3.6051	5.0933	-2.5083	-2.4075	-2.8788	-1.5393	0.8719	-4.8999	-8.1534	-0.0477	-7.0519	4.1516	-6.4401	0.655	2.2176	-2.5465	-3.4449	-2.3681	5.882	-8.532	4.2796	4.1586	-5.9512	4.8685	-4.8784	-4.0581	3.3647	1.9833	4.6051	-7.8539	-2.9335	-4.521	-6.728	-1.4572	2.5361	3.7337	5.7617	4.9227	0.38	4.9378	6.6706	-0.9052	5.0533	0.2184	4.4245	5.6998	3.5737	1.6091	4.5422	1.5929	1.259	-0.8029	3.4496	3.1044	-1.1212	0.3034	3.6021	1.5008	-5.6411	-1.8863	-8.3667	2.7596	2.0951
XT_D06-NFlex-R1-B	-11.7234	-3.4719	-7.792	-4.3238	1.57	-2.8066	3.3053	3.6681	-6.7547	-1.0238	-7.0859	-6.9807	-10.8241	-10.8397	2.5421	-1.8214	0.3246	4.0247	-4.4264	-1.055	4.3791	1.0773	-2.0137	-4.1133	7.2542	6.4807	5.279	-0.6663	4.6786	5.2007	4.334	2.6887	1.5156	1.5288	4.4956	-0.3683	5.4581	0.8676	5.5105	2.6362	3.1075	-3.8679	4.216	4.5276	3.8771	5.9308	3.8774	2.918	9.3907	0.567	3.6408	0.6981	4.7089	-3.8019	3.6398	4.716	1.0554	-2.1546	-4.809	-3.4087	-9.8832	-9.8441	-9.8352	-8.1163	-5.8628	-0.2838	-0.6865	6.2266	6.642	1.8215	4.2149	-4.5103	2.74	6.0483	7.234	9.0017	6.1275	0.0337	3.6457	0.5583	1.271	-7.2655	-0.2138	-0.0919	0.2913	-4.9916	-7.1428	0.5379	-5.3589	-2.1452	4.7708	0.9954	-4.5987	-4.3831	-6.9664	0.2181	0.2442
XT_D03-NFlex-R1-B	-8.5472	-1.9904	-1.2286	-0.3244	-3.1755	1.1783	-0.8372	2.7634	-0.6433	-0.9061	3.5135	-6.3603	-12.5412	-9.773	2.5159	-2.5193	0.0424	3.8897	1.1692	0.2492	2.0773	2.4765	-0.5992	-1.4645	6.0007	4.3264	4.3465	0.9214	1.8733	2.8318	2.7437	2.7163	1.0126	-1.0845	0.9317	1.8431	-3.4403	-2.7704	-2.6303	2.7105	2.7467	-4.7149	0.9222	3.0751	-3.3439	3.1801	-2.4998	2.8533	7.3078	3.0628	1.0371	0.2663	6.5013	-5.7103	2.246	3.6445	2.523	-1.7457	-5.3729	2.6128	5.2102	3.7999	6.4151	-7.9614	-6.2912	1.0546	0.653	3.488	-1.4574	1.5742	4.6727	-4.4176	-0.5879	1.929	2.8021	-3.3244	-0.0537	-2.1746	0.9181	-4.3131	-1.3162	-8.7189	-3.0654	1.7667	-4.7514	1.9681	-7.2742	-2.7439	-5.6789	1.4572	1.5569	1.0135	6.8914	6.2469	1.2837	-2.3904	1.9301
XT_D10-NFlex-R1-B	-6.4	-5.598	-6.7197	-2.2431	-2.1731	0.3161	4.424	2.7221	-5.997	4.5752	-8.8313	-8.22	-11.4224	-8.6571	4.4518	-2.8072	6.2257	0.1374	5.277	-2.6637	5.646	5.0206	-4.9286	-6.4093	1.739	4.4713	1.3478	5.1482	4.0469	4.0627	4.8157	4.8875	0.2395	4.7364	3.9199	5.3808	-2.7109	-3.1234	-3.5746	-1.3278	1.1789	-4.9195	-8.0925	0.1722	-10.0714	4.4525	-6.7961	0.881	2.0073	-3.5965	-5.0919	-2.3042	6.1722	-7.724	4.5727	4.4441	-5.8342	5.1846	-7.5054	-3.843	3.8287	2.4272	5.0453	-7.2328	-6.0996	-4.225	-6.6602	-3.0042	2.8045	4.0159	6.0574	5.2347	0.6802	5.2475	6.9889	-0.6213	5.3669	0.5156	4.7234	6.006	3.8926	1.9129	4.8472	1.9038	1.5576	-0.9839	3.7562	3.4237	-0.8659	0.364	3.9072	1.7839	-5.3709	-1.5122	-8.2285	3.0606	2.3811
XT_D09-NFlex-R1-C	-10.4674	5.2869	2.6813	-4.3114	-4.1656	2.512	1.5612	2.5103	-5.3482	2.0684	-5.2572	3.0618	-12.4274	-11.7638	2.7134	-2.9437	-1.0083	-0.5466	0.1051	-2.9591	2.6568	2.4945	-5.3453	-5.2341	5.7017	3.8022	3.8448	1.3788	4.0892	3.0099	2.0331	3.1829	1.6717	-0.9774	3.0195	1.0411	3.0944	4.2816	3.9749	3.2488	2.5104	-5.9751	-5.3138	2.9935	-0.7008	3.5422	-0.2778	3.8422	7.8191	4.116	3.4881	1.7885	4.698	-6.267	2.6305	3.561	-1.5346	-1.8299	2.2592	-4.5281	-3.1614	-9.3439	-10.859	-8.858	4.2528	-4.364	-4.3932	5.2528	3.7048	0.3563	2.7309	-5.7781	1.6922	3.7143	2.5083	-0.6973	3.3498	-0.6385	-0.938	2.942	3.9325	-3.2274	1.5292	0.3286	-1.3297	4.7437	-3.7246	1.256	-2.4296	5.2806	1.8035	0.1898	-3.2177	-3.157	-5.6314	2.4225	0.6656
