Guerin_crAss_Delta_07	Sutterella wadsworthensis	Bilophila wadsworthia	Akkermansia muciniphila	Firmicutes bacterium CAG:94	Firmicutes bacterium CAG:83	Clostridium phoceensis	uncultured Clostridium sp.	Clostridium sp. CAG:138	Clostridium sp. CAG:169	Clostridium sp. CAG:217	Clostridium sp. CAG:354	Clostridium sp. CAG:356	Clostridium sp. 28_12	Clostridiaceae bacterium	Butyrivibrio crossotus	Roseburia intestinalis	Roseburia inulinivorans	Roseburia sp. CAG:50	Coprococcus eutactus	Coprococcus catus	Coprococcus comes	Coprococcus sp.	Coprococcus sp. AF38-1	[Eubacterium] rectale	Lachnospiraceae bacterium	Dorea longicatena	Dorea sp. OM07-5	Anaerostipes hadrus	Blautia obeum	Blautia wexlerae	uncultured Blautia sp.	Blautia sp. BIOML-A1	[Clostridium] bolteae	Anaerobutyricum hallii	Eubacterium ramulus	Eubacterium ventriosum	Eubacterium sp. CAG:38	Eubacterium sp. CAG:86	Eubacterium sp.	Oscillibacter sp.	Oscillospiraceae bacterium UBA6359	Ruminococcus callidus	Ruminococcus lactaris	Ruminococcus bicirculans	uncultured Ruminococcus sp.	Ruminococcus sp. AM28-13	Gemmiger formicilis	Faecalibacterium prausnitzii	Faecalibacterium sp. CAG:82-related_59_9	Faecalibacterium sp.	Subdoligranulum sp. 60_17	Ruminococcaceae bacterium	Ruminococcaceae bacterium UBA6855	Flavonifractor plautii	Clostridiales bacterium	Clostridiales bacterium UBA7739	Clostridia bacterium	Coprobacillus sp. AF21-8LB	Erysipelotrichaceae bacterium	Megamonas funiformis	Megamonas rupellensis	Megamonas sp. Calf98-2	Megasphaera massiliensis	Dialister sp. Marseille-P5638	Firmicutes bacterium CAG:65_45_313	Firmicutes bacterium AF22-6AC	Bifidobacterium adolescentis	Bifidobacterium longum	Coriobacteriaceae bacterium	Collinsella aerofaciens	Collinsella stercoris	Bacteroides thetaiotaomicron	Bacteroides uniformis	Bacteroides vulgatus	Bacteroides eggerthii	Bacteroides ovatus	Bacteroides stercoris	Bacteroides caccae	Bacteroides cellulosilyticus	Bacteroides plebeius	Bacteroides coprocola	Bacteroides intestinalis	Bacteroides xylanisolvens	Bacteroides oleiciplenus	Bacteroides mediterraneensis	Bacteroides coprocola CAG:162	Bacteroides sp.	Bacteroides sp. AF39-10AT	Bacteroidaceae bacterium	Alistipes putredinis	Alistipes onderdonkii	Prevotella copri	Prevotella sp.	Prevotella sp. AM23-5	Parabacteroides distasonis	Parabacteroides merdae
XT_D02-NFlex-R1-A	4.3434	-10.854	1.5782	-2.842	-4.7106	0.9992	2.1856	3.5411	-4.4479	-4.0292	-9.4506	-4.5509	-5.4664	-6.0308	3.2326	-2.1528	4.0698	1.8291	-0.316	-1.1823	2.1089	0.5026	-3.0983	-5.7256	2.0904	6.0985	2.1728	-2.9157	1.7949	2.4738	1.6126	2.2484	5.0913	-1.1074	0.2119	0.1391	2.6557	4.2104	1.7786	1.2201	4.2335	3.9903	3.8705	-0.9943	-4.876	6.111	-6.0991	4.6838	7.2851	2.478	1.2838	2.4261	4.5697	-5.6131	2.2141	6.6861	4.0462	-2.0796	-1.2657	-4.1083	-9.9722	-10.7358	-12.0598	-9.5177	-8.4716	3.9762	4.7988	-6.5531	-4.0771	-2.7081	-0.3156	-6.4195	3.4939	2.1696	4.995	-0.5786	5.3178	7.3735	4.616	4.3817	2.8376	4.0982	3.3749	1.6556	-0.094	0.4959	5.8923	4.9261	-1.0809	1.1844	-4.2406	-1.1469	-4.6252	-1.5666	-5.3677	3.1249	2.6683
XT_D09-NFlex-R1-A	-10.6549	5.2663	2.6863	-4.3377	-4.0828	2.4788	1.5134	2.5033	-5.2607	2.055	-5.3286	2.9155	-11.6338	-10.6649	2.6976	-3.0194	-0.977	-0.5238	0.1165	-2.8816	2.6712	2.4913	-5.4053	-5.3472	5.6974	3.7997	3.8636	1.4183	4.1038	3.0179	2.0307	3.1756	1.6634	-0.9811	3.0203	1.0573	3.0929	4.2614	3.9566	3.222	2.4755	-6.1709	-5.1588	2.9784	-0.7454	3.5382	-0.2329	3.8368	7.8035	4.0869	3.4648	1.7785	4.6993	-6.5917	2.5923	3.5497	-1.5411	-1.8132	2.2101	-4.8031	-3.1319	-9.2787	-12.1813	-8.1701	4.2706	-4.3506	-4.3641	5.2611	3.6945	0.3673	2.7332	-5.8731	1.6908	3.7124	2.4863	-0.645	3.3335	-0.6317	-0.9733	2.934	3.9217	-3.2681	1.5419	0.3209	-1.3346	4.7258	-3.745	1.257	-2.3925	5.2536	1.7917	0.1772	-3.1541	-3.1541	-5.5226	2.427	0.6361
XT_D04-NFlex-R1-B	-12.8972	-1.8663	-1.2437	-4.9833	-4.506	0.0724	-0.875	3.3277	5.4657	-4.338	1.4341	-7.5717	-7.0959	-7.8703	3.5334	4.8434	1.877	4.6645	-2.6537	4.947	4.6565	2.503	4.1869	4.0656	6.4863	5.2411	3.7875	-0.9593	3.0305	2.5228	1.7448	3.5994	-0.2375	-1.117	2.0532	1.2004	1.2548	0.8858	2.2777	4.9689	5.2446	1.6138	4.0362	-0.8575	-5.953	3.9896	-6.8276	2.4503	7.5822	4.3793	4.6756	-0.0666	5.5408	-4.3562	1.6208	4.6527	1.7421	-0.3828	-3.3889	4.6667	-4.9883	-11.2338	-11.8418	-7.8869	-2.5329	0.9905	1.467	6.6562	4.16	0.766	1.9948	-4.7918	1.2042	1.1648	1.0973	-1.4946	1.1796	-1.5829	1.7668	-3.3128	-1.584	-12.7075	-1.7456	3.7043	-1.0311	-5.0376	-7.8634	1.5903	-7.7696	-2.0053	-4.7909	-2.2464	5.5438	4.6569	4.8573	-1.3159	-1.8146
XT_D08-NFlex-R1-A	-6.7575	-7.7033	1.076	-1.6495	-1.4982	3.0822	3.6138	2.7901	-5	2.0447	-7.9387	-8.5058	-11.8767	-11.7896	2.8512	-2.3122	4.8959	0.6526	-5.0907	-2.2454	3.3338	1.503	-1.7413	-6.3959	5.3592	5.1833	3.7816	0.8113	3.3612	5.0789	2.9283	4.1606	3.6121	1.2842	1.4897	-2.1738	3.6	-1.9623	2.0822	4.1883	1.6299	-5.4597	2.4694	3.1514	4.9803	5.46	2.9822	3.3908	8.201	-0.3436	2.38	4.0161	4.8446	-5.3941	3.3333	4.2804	0.5395	0.6545	-4.7138	-4.1527	-8.4901	-9.9851	-11.8825	-7.5072	-8.0136	2.7401	2.1436	2.2319	2.7838	1.2758	3.16	-4.5113	3.2959	4.2339	3.9151	7.9422	4.1038	7.1369	4.5295	3.036	-0.6045	-7.6152	-0.8957	1.4117	-2.0247	-2.9472	-7.19	-1.7605	5.4744	-1.9806	4.191	3.1876	-3.7141	-4.6921	-8.2442	2.7759	2.1167
XT_D06-NFlex-R1-C	-11.5369	-3.4474	-7.7457	-4.1269	1.6169	-2.7925	3.3248	3.658	-5.7262	-1.0462	-7.776	-6.7861	-11.6915	-11.2829	2.4935	-1.8363	0.3064	4.002	-4.5471	-0.9924	4.373	1.0703	-1.9733	-4.1916	7.2322	6.4647	5.2509	-0.7233	4.6476	5.1765	4.2934	2.6669	1.5116	1.5081	4.46	-0.3422	5.4437	0.8899	5.5191	2.6206	3.1123	-3.9033	4.2051	4.5091	3.8565	5.9076	3.8594	2.9305	9.4117	0.6146	3.6641	0.7171	4.6826	-3.8865	3.634	4.741	1.0925	-2.2814	-4.6915	-3.2439	-9.1992	-9.5361	-10.4376	-8.4242	-5.5989	-0.35	-0.6056	6.2379	6.6373	1.8344	4.2081	-4.2976	2.7384	6.0396	7.2293	9.0032	6.123	0.121	3.6469	0.5571	1.2404	-7.0463	-0.25	-0.0598	0.3139	-4.5723	-7.3764	0.6289	-5.6093	-2.2358	4.7956	1.0082	-4.7397	-4.2718	-7.0624	0.1952	0.218
XT_D02-NFlex-R1-C	4.3492	-9.118	1.4858	-2.6316	-5.0473	0.9187	2.0971	3.4665	-4.503	-4.0449	-6.6757	-4.5618	-5.6329	-5.8007	3.1478	-2.2977	4.0023	1.7658	-0.3825	-1.2052	2.0055	0.419	-3.1752	-5.6646	2.0375	6.0176	2.096	-3.0002	1.7625	2.4003	1.5776	2.1503	5.0142	-1.1642	0.1818	0.0668	2.6191	4.1284	1.7278	1.1772	4.1458	3.8972	3.7622	-1.0355	-4.1039	6.0597	-5.9027	4.6014	7.2064	2.3803	1.2044	2.3396	4.493	-5.7001	2.1264	6.6033	3.9733	-2.1421	-1.2078	-4.2756	-10.1109	-12.9028	-10.3084	-10.1163	-8.6034	3.8973	4.714	-6.4411	-3.5938	-2.7824	-0.424	-6.239	3.435	2.0813	4.9356	-0.6631	5.2545	7.289	4.5545	4.3097	2.7838	4.0449	3.3096	1.5952	-0.1417	0.4344	5.8282	4.8706	-1.1661	1.1238	-3.4681	-1.1348	-4.6247	-1.5521	-5.9633	3.0583	2.5816
XT_D01-NFlex-R1-C	-8.0048	-6.4376	4.6239	4.8529	-0.2418	1.8828	4.1145	3.9732	-4.6107	-2.6524	2.8507	-8.1617	-8.01	-9.3946	3.8316	-2.157	2.8875	2.6396	0.7745	-1.8598	2.5205	1.8836	-4.358	-5.4186	5.05	5.3448	4.4809	-0.0568	3.3072	4.5079	4.6606	4.3971	-0.9097	0.5654	3.5371	1.1374	1.6391	4.0048	0.3204	3.8254	1.7704	-3.7627	-4.6493	1.4921	4.9988	5.73	2.4372	4.3481	8.7647	-0.2732	2.5322	1.7727	7.2336	-5.336	4.2511	4.7007	5.6412	1.6889	-5.6945	-3.4566	-7.4751	-9.8757	-7.8892	-8.5678	-7.3526	-0.3495	-0.8686	-3.2945	4.88	-4.0954	-3.1895	-4.2741	3.3471	1.8266	-0.3792	-0.7746	3.7257	-1.5893	5.0715	5.9129	-0.0207	-5.3401	4.4121	4.5721	4.4163	-4.3976	-6.9228	-1.5921	-6.7014	0.6449	5.1253	4.9634	-5.9013	-4.4998	-7.2196	1.0521	-2.9086
XT_D07-NFlex-R1-A	-10.946	-8.3662	4.2989	-2.7043	-3.7831	3.2227	2.1067	3.955	-3.9323	-4.323	-7.8413	-8.9434	-6.2908	-8.3145	2.5462	-2.5638	-1.0139	-0.5907	2.1038	2.7824	3.8113	3.09	1.7035	-0.2967	7.4203	4.7942	3.5678	-0.3968	3.9203	2.822	3.0757	4.4891	1.7108	0.8053	3.713	2.5389	0.7964	-4.3038	1.5053	3.6609	4.343	-2.9358	4.2089	4.5617	2.6483	4.4775	7.5093	5.1603	8.5167	3.4038	3.4295	2.8603	7.3498	4.5286	4.282	4.7891	0.4046	-1.6978	3.9649	-4.0845	-6.5677	-12.2075	-12.0317	-6.3459	-8.1278	-3.6755	-3.0919	4.7645	3.896	-5.5745	-2.483	-6.5107	1.0175	5.0599	5.5248	-2.0285	0.5567	-1.1488	4.5967	3.6398	-0.7188	-9.1258	3.3635	1.44	-0.9808	-3.2893	-8.2487	-0.1204	-4.3522	0.3197	4.3687	1.8275	-3.8678	-3.7634	-7.6656	-0.0806	4.0817
XT_D03-NFlex-R1-A	-7.7013	-1.981	-1.1615	-0.3248	-3.2864	1.1801	-0.7851	2.7516	-0.5611	-0.9242	3.4998	-6.606	-12.5775	-11.4402	2.5238	-2.5162	0.0484	3.8748	1.1462	0.2341	2.0441	2.4351	-0.6427	-1.4819	5.9636	4.317	4.3268	0.9217	1.8352	2.7976	2.6953	2.6905	0.9503	-1.1472	0.906	1.8343	-3.7393	-2.633	-2.6605	2.6844	2.7503	-4.5111	0.9039	3.0568	-3.3064	3.1579	-2.5095	2.8583	7.3122	3.0748	1.0652	0.2869	6.492	-5.6748	2.2628	3.6501	2.5316	-1.7841	-5.245	2.5727	5.1058	3.7209	6.3328	-7.8669	-7.7908	1.0483	0.662	3.5028	-1.4993	1.6081	4.6799	-4.3584	-0.5652	1.9238	2.7862	-3.5723	-0.055	-1.9327	0.935	-4.0147	-1.3367	-7.5861	-2.9764	1.7449	-4.807	1.9695	-5.5595	-2.6502	-5.8948	1.439	1.5753	1.0296	6.883	6.2431	1.2646	-2.3886	1.9646
XT_D01-NFlex-R1-B	-8.3567	-4.3913	4.6386	4.8736	-0.2543	1.8666	4.102	3.9788	-4.5124	-2.6403	2.864	-6.4133	-8.6901	-10.121	3.8205	-2.2627	2.8751	2.6271	0.7673	-1.8765	2.5302	1.8785	-4.3394	-5.3267	5.0336	5.3396	4.4595	-0.0295	3.2498	4.4829	4.6364	4.3871	-0.942	0.5827	3.4899	1.1031	1.5841	4.0073	0.3022	3.7899	1.7979	-3.8487	-4.5786	1.4701	5.0002	5.7142	2.4338	4.3386	8.7701	-0.1748	2.5502	1.7422	7.2411	-5.6227	4.2493	4.6887	5.6265	1.6987	-5.2645	-3.5216	-8.1772	-9.5366	-12.4193	-8.4044	-4.8862	-0.3353	-0.8467	-2.8971	4.8774	-4.2513	-3.2376	-4.4535	3.3366	1.8191	-0.3766	-0.7943	3.7268	-1.5418	5.0579	5.9122	-0.0505	-5.2131	4.4069	4.5589	4.4159	-3.7047	-7.0404	-1.5926	-6.1843	0.6826	5.1282	4.9759	-5.8345	-4.5678	-8.1195	1.0842	-2.942
Flex_D10-NF-R1	-6.0157	-8.5243	-7.2002	-1.6357	-1.5033	-0.2557	4.2581	2.9953	-6.3794	4.7927	-8.8629	-10.8273	-12.3662	-10.3918	4.5907	-2.2086	6.4226	0.4096	5.7929	-2.4295	5.8646	5.3779	-4.7704	-5.8378	1.8385	4.9389	1.7092	5.613	4.7233	4.587	5.3089	5.3677	0.5802	4.7368	4.7406	5.9052	-2.4855	-3.2702	-3.3926	-1.2261	1.1145	-4.999	-7.0178	0.4804	-12.4649	4.8302	-6.5965	1.0351	2.2227	-3.5111	-5.5061	-2.0503	6.5717	-8.3405	4.2848	4.6043	-5.5477	5.475	-7.2048	-3.199	4.5116	3.0457	5.5444	-7.9159	-8.8808	-3.8512	-7.3683	-3.8566	3.5277	4.7768	6.8396	6.199	0.7121	5.3389	7.0692	-0.7409	5.4741	0.4046	4.6039	6.1296	3.4217	1.8521	4.9523	1.8918	1.6236	-1.1116	3.6379	3.4148	-0.6377	0.1897	3.7276	1.5084	-5.7556	-1.7552	-8.5149	2.5428	2.2978
Flex_D07-NF-R1	-12.1252	-8.845	3.9753	-2.8899	-3.6324	1.65	1.4564	4.4326	-3.802	-4.5175	-7.4242	-8.4242	-4.5967	-7.8995	2.2734	-2.6074	-1.1039	-0.5589	2.592	2.5107	3.8962	3.5963	1.4194	-0.5244	7.2536	4.7785	4.0737	0.1937	4.6441	3.3555	3.4577	5.005	1.7632	0.7144	4.5456	2.9981	1.3124	-4.7235	0.834	3.3759	3.8217	-3.6111	4.4593	4.3595	1.4605	4.6144	6.4471	5.6721	8.2266	3.4081	2.9852	3.5007	7.5459	4.3758	3.7722	4.5841	0.1239	-1.6777	5.2785	-3.4833	-6.1284	-10.8574	-10.2627	-6.7004	-7.3274	-3.9204	-3.4999	5.8238	4.8054	-5.0313	-2.3304	-5.9013	0.9126	4.8052	5.4523	-2.4738	0.0991	-1.5257	4.3695	3.4833	-0.8101	-9.9432	3.3799	1.1909	-1.2072	-3.6553	-9.418	-0.6137	-4.2842	0.5203	3.9936	1.7208	-4.2065	-3.7581	-8.204	-0.4851	3.6917
Flex_D08-NF-R1	-6.3653	-7.7673	1.6259	-1.2295	-0.8847	3.1737	3.8185	2.8946	-4.5012	2.4001	-7.928	-9.3709	-12.8588	-12.9043	2.8833	-2.3434	4.9452	0.5019	-5.0056	-2.2427	3.2239	1.6207	-1.9584	-6.1072	5.1277	5.1176	3.8233	0.9151	3.3111	5.2349	3.0628	4.36	3.4846	1.2673	1.7242	-1.9929	3.5055	-2.5597	1.3326	3.0207	2.1852	-5.0725	2.7359	2.9647	5.0197	5.6609	3.0398	3.9363	8.3973	0.1689	2.3792	4.8022	5.2859	-4.7801	3.4825	4.9172	1.2947	0.7879	-4.5288	-4.1417	-9.1363	-9.7611	-10.5661	-7.478	-7.736	2.5439	1.9729	2.9703	3.4765	1.9126	3.7375	-3.7856	3.0996	4.1998	3.7234	7.8001	3.6712	7.1784	4.2633	2.8964	-1.0115	-8.2889	-1.0256	1.4019	-2.5636	-3.2892	-9.6526	-2.6674	5.3885	-2.4163	4.7922	3.7553	-3.5908	-4.9691	-10.9352	2.8529	2.346
Flex_D05-NF-R1	2.3839	5.6671	3.1392	2.6947	7.036	4.2195	2.597	2.7349	-3.81	-0.1995	-3.7287	-3.0678	4.4583	4.4923	1.972	-3.0713	2.5706	1.1971	-4.9316	-1.931	1.9373	1.0674	-6.8481	-7.6645	2.8297	4.0651	3.1164	-2.5231	4.9094	1.9483	2.6314	3.6098	-1.5652	2.6357	3.305	-1.4798	1.4858	3.334	-5.1221	1.7672	2.8587	-4.0487	-5.01	1.51	-0.6779	3.7959	-0.1304	3.6763	7.3444	-0.2304	0.925	1.4071	4.9328	-4.1493	3.1255	2.9578	-3.6601	-1.8934	-2.8963	-4.5902	-5.9763	-6.0738	-13.185	5.4546	-6.4504	-3.0958	-2.817	5.714	5.6824	1.5517	2.7522	-0.4566	4.3543	3.85	6.2239	-1.9609	5.2811	5.5074	0.0283	-3.0042	-2.3039	-10.4922	-3.032	1.4432	-4.026	-5.0519	-8.8624	0.0608	-4.4548	-0.8191	-2.3522	-1.2897	-3.9688	-3.7961	-6.5422	4.6466	4.3514
Flex_D02-NF-R1	4.0144	-9.8972	1.5246	-2.8257	-5.1269	0.5615	1.9387	3.4693	-4.1167	-4.0706	-9.7058	-3.6181	-4.8972	-4.6715	3.1281	-1.9247	4.2977	1.8669	-0.2434	-1.1376	2.1761	0.919	-2.9653	-5.0063	2.1403	6.0706	2.2464	-2.6931	2.4015	2.7836	1.8072	2.4878	4.9525	-1.1389	0.7486	0.2391	2.9574	4.1773	1.7482	0.856	4.1265	3.8577	4.2293	-0.8445	-4.8043	6.1534	-6.0063	4.6388	6.8552	2.0606	0.6782	2.4412	4.3683	-5.5888	2.1064	6.4321	4.3305	-2.2125	0.0526	-3.7994	-9.6055	-12.758	-12.2224	-9.9949	-9.2064	3.8313	4.6279	-6.4594	-4.266	-2.5881	-0.0526	-6.2029	3.3867	2.1408	4.8895	-0.8719	5.2718	7.2104	4.5904	4.2886	2.6087	3.8356	3.275	1.6515	-0.1847	0.1782	5.5297	4.7005	-1.0348	0.7895	-3.9974	-1.0884	-4.8146	-1.6814	-6.0893	3.0434	2.7204
Flex_D03-NF-R1	-8.831	-3.6561	-1.1139	0.208	-2.6741	0.2393	-1.0381	3.1178	-2.3026	-0.342	4.0014	-5.0157	-11.3562	-10.8101	2.4178	-2.5511	0.2122	4.0873	1.6438	0.2352	2.2602	3.0805	-0.7064	-1.599	6.1672	4.459	4.8564	1.4438	2.4453	3.406	3.2674	3.2726	1.4666	-1.0601	1.7416	2.2811	-3.1281	-3.4499	-3.1209	2.714	2.4498	-5.0977	1.1773	3.2891	-3.5544	3.6866	-2.5827	3.439	7.5422	3.5381	1.231	1.0257	6.9109	-6.1708	2.116	3.656	2.5588	-1.6211	-4.3231	3.3786	5.8686	4.3651	6.9349	-7.266	-7.2956	0.6005	0.3632	4.4487	-0.6957	2.4095	5.5278	-3.7153	-1.079	1.4557	2.6938	-4.1779	-0.6626	-2.3264	0.3381	-4.6871	-1.8939	-9.361	-3.5911	1.2688	-5.5576	1.29	-7.6396	-3.4645	-6.229	1.0272	0.9582	0.6174	6.1945	5.3562	0.4072	-2.974	1.5727
Flex_D09-NF-R1	-12.5947	4.8677	3.0391	-4.1754	-3.7322	2.5604	1.8316	2.4905	-5.0096	2.3147	-4.6592	4.0462	-11.9704	-11.9162	2.6507	-2.8454	-1.1241	-0.6875	0.4165	-2.6866	2.6593	2.8469	-5.1053	-5.1322	5.5611	3.7444	4.0827	1.6851	4.4206	3.2502	2.2287	3.3828	1.4364	-0.9041	3.4299	1.3044	3.2853	3.7237	3.6107	2.323	2.5314	-5.9346	-5.212	2.6586	-0.6855	3.6921	-0.1606	4.3817	8.054	4.3657	3.5395	2.374	5.0629	-6.7067	2.675	4.0021	-0.8517	-1.684	3.3151	-4.4956	-3.2236	-8.7482	-13.4931	-8.7317	4.758	-4.7528	-4.5777	5.8656	4.1671	0.9975	3.3991	-4.9791	1.5091	3.7494	2.1747	-1.2314	3.1346	-1.1358	-1.0816	2.7474	3.599	-3.8499	1.4461	0.2152	-1.6893	4.6356	-4.3053	1.1027	-2.7377	4.8178	2.1646	0.3335	-4.4795	-3.8796	-6.6085	2.4389	0.6781
Flex_D01-NF-R1	-9.4138	-6.1027	4.7017	5.5957	0.4265	1.7895	3.8956	4.0214	-4.6824	-2.1261	3.2018	-8.6905	-8.2078	-8.6553	3.817	-2.1675	3.1326	2.756	1.1691	-1.6204	2.5964	2.2763	-4.2279	-5.0195	4.9154	5.3807	4.8143	0.2564	3.7664	4.9422	5.0516	4.7716	-0.7443	0.6204	4.1203	1.5023	1.8066	3.2497	-0.3657	2.9931	1.7892	-3.7404	-4.5421	1.4217	4.6891	5.957	2.1499	4.8945	8.7962	-0.1215	2.367	2.477	7.4587	-5.574	4.0966	4.7376	5.7267	1.7309	-4.7649	-3.4851	-7.3025	-7.985	-12.5897	-8.844	-7.4961	-0.4657	-1.0152	-2.3259	5.7065	-3.2638	-3.1446	-3.308	3.1622	1.4933	-0.4935	-1.0067	3.3834	-1.7603	4.8155	5.6252	-0.3483	-5.4868	4.2165	4.5333	4.1856	-4.6102	-7.4684	-1.8051	-7.471	0.1521	5.304	5.0536	-6.2316	-4.9251	-7.4424	0.7534	-3.206
Flex_D06-NF-R1	-8.7653	-3.5684	-7.7507	-4.3766	1.945	-2.7472	3.1186	3.5291	-6.6287	-0.5082	-6.8532	-7.4854	-5.8741	-5.6929	2.0215	-1.9225	0.1848	3.8805	-4.4099	-0.9582	4.1942	1.1815	-2.264	-3.9478	7.1199	6.3982	5.37	-0.5005	4.9739	5.3399	4.4708	2.7022	1.5552	1.3071	4.8879	-0.209	5.5448	-0.1405	4.0012	2.2053	3.7	-3.7272	4.2038	4.5537	3.4269	6.0137	3.4318	3.4838	9.4788	0.65	3.7155	1.3746	4.9481	-3.6476	3.3925	5.1572	1.8058	-2.1755	-3.5058	-3.3641	-10.4286	-11.7728	-11.7959	-6.792	-5.614	-0.6219	-1.0274	7.0322	7.3324	2.6076	5.0408	-3.7537	2.4059	5.7317	6.7231	8.6308	5.7381	-0.2444	3.2558	0.4551	0.7301	-8.8814	-0.5385	-0.6964	-0.3104	-6.5026	-8.6371	-0.2669	-6.7319	-2.9197	4.9243	1.288	-4.7535	-4.3132	-9.7767	-0.0158	0.2546
Flex_D04-NF-R1	-10.96	-1.8785	-1.0263	-5.0248	-4.5099	0.0142	-1.2385	3.352	5.6303	-4.4846	1.2208	-6.3441	-5.0792	-6.3812	3.4163	4.926	1.9253	4.6433	-2.6716	4.5142	4.4749	2.612	3.7434	3.7393	6.2559	5.1854	3.8354	-0.9779	3.4187	2.6246	1.7948	3.6921	-0.2196	-1.1121	2.4575	1.1926	1.6207	0.7709	2.3266	4.7645	5.3004	1.6629	3.9932	-0.6319	-5.9	4.112	-6.5849	2.5789	7.5461	4.3594	4.5406	0.215	5.5948	-4.3835	1.6046	4.7003	2.0432	-0.3649	-2.0531	5.043	-5.3777	-13.3251	-13.9724	-7.9086	-2.6538	0.8733	1.3345	6.881	4.2183	0.9228	2.1494	-4.7133	1.2206	1.1186	1.1376	-1.5844	1.1503	-1.7565	1.8079	-3.2801	-2.0359	-14.0844	-1.8647	3.6635	-1.0985	-5.2265	-8.2497	1.5821	-8.987	-1.9447	-4.4466	-2.0524	5.283	4.1881	4.5097	-1.3391	-1.7593
