uncultured human fecal virus	Pepper mild mottle virus	Tobacco mild green mosaic virus	Paprika mild mottle virus	Tomato brown rugose fruit virus	Malassezia restricta	Acinetobacter baumannii	Pseudomonas aeruginosa	Escherichia coli	Azospirillum sp. 51_20	Sutterella wadsworthensis	Sutterella sp. AM18-8-1	Sutterella sp. AF15-45LB	Proteobacteria bacterium CAG:139	Bilophila wadsworthia	Bilophila sp. 4_1_30	Akkermansia muciniphila	Lentisphaeria bacterium	Firmicutes bacterium CAG:94	Firmicutes bacterium CAG:83	Firmicutes bacterium CAG:103	Firmicutes bacterium CAG:114	Firmicutes bacterium CAG:137	Firmicutes bacterium CAG:240	Staphylococcus aureus	Lactobacillus fermentum	Weissella jogaejeotgali	Clostridium phoceensis	Clostridium sp. CAG:138	Clostridium sp. CAG:169	Clostridium sp. CAG:217	Clostridium sp. L2-50	Clostridium sp. 44_14	Clostridium sp. OM05-6BH	Clostridium sp. OM08-29	Clostridium sp. BIOML-A1	Clostridiaceae bacterium	Butyricicoccus sp. N15.MGS-46	Butyricicoccus sp. AM42-5AC	Butyricicoccus sp. BIOML-A1	uncultured Clostridiales bacterium	Roseburia intestinalis	Roseburia hominis	Roseburia faecis	Roseburia inulinivorans	uncultured Roseburia sp.	Roseburia sp. CAG:45	Roseburia intestinalis CAG:13	Roseburia sp.	Roseburia sp. AM16-25	Coprococcus eutactus	Coprococcus catus	Coprococcus comes	uncultured Coprococcus sp.	Coprococcus sp.	Coprococcus sp. AF16-5	Coprococcus sp. AF38-1	[Eubacterium] rectale	Lachnospiraceae bacterium	Dorea longicatena	uncultured Lachnospiraceae bacterium	[Ruminococcus] gnavus	Blautia obeum	Blautia wexlerae	uncultured Blautia sp.	Eubacterium sp. CAG:202	Eubacterium sp. CAG:251	uncultured Oscillibacter sp.	Oscillibacter sp. 57_20	Oscillibacter sp. CAG:241_62_21	Oscillibacter sp.	Oscillospiraceae bacterium UBA6359	Oscillospiraceae bacterium UBA6409	Ruminococcus bromii	Ruminococcus callidus	Ruminococcus bicirculans	uncultured Ruminococcus sp.	Ruminococcus sp.	Ruminococcus sp. Marseille-P328	Ruminococcus sp. AM28-13	Ruminococcus sp. TF12-19AC	Gemmiger formicilis	Faecalibacterium prausnitzii	uncultured Faecalibacterium sp.	Faecalibacterium sp. AF27-11BH	Faecalibacterium sp. BIOML-A1	Anaerotruncus colihominis	Subdoligranulum sp. CAG:314	Subdoligranulum sp. 60_17	[Eubacterium] siraeum	Ruminococcaceae bacterium	Ruminococcaceae bacterium UBA6855	Flavonifractor plautii	Ruthenibacterium lactatiformans	Anaeromassilibacillus sp. Marseille-P3371	Neglecta timonensis	Clostridiales bacterium	Clostridiales bacterium UBA5901	Clostridiales bacterium UBA5909	Clostridiales bacterium UBA738	Clostridiales bacterium UBA7739	Clostridiales bacterium CCNA10	Intestinimonas butyriciproducens	Intestinimonas massiliensis	Clostridia bacterium	Candidatus Borkfalkia ceftriaxoniphila	Megamonas funiformis	Megamonas rupellensis	Megamonas sp. Calf98-2	Phascolarctobacterium sp. CAG:207	Megasphaera massiliensis	Firmicutes bacterium CAG:110_56_8	Firmicutes bacterium CAG:129_59_24	Bifidobacterium adolescentis	Bifidobacterium bifidum	Bifidobacterium pseudocatenulatum	Bifidobacterium longum	Cutibacterium acnes	Coriobacteriaceae bacterium	Collinsella aerofaciens	Collinsella stercoris	Collinsella bouchesdurhonensis	Collinsella sp. UBA6357	Collinsella sp. AM10-26	Parolsenella catena	Eggerthella lenta	Enterorhabdus caecimuris	Coriobacteriia bacterium	Bacteroides fragilis	Bacteroides thetaiotaomicron	Bacteroides uniformis	Bacteroides vulgatus	Bacteroides eggerthii	Bacteroides ovatus	Bacteroides stercoris	Bacteroides caccae	Bacteroides massiliensis	Bacteroides cellulosilyticus	Bacteroides coprocola	Bacteroides intestinalis	Bacteroides dorei	Bacteroides xylanisolvens	Bacteroides faecis	Bacteroides mediterraneensis	Bacteroides cellulosilyticus CAG:158	Bacteroides coprocola CAG:162	Bacteroides finegoldii CAG:203	Bacteroides sp.	Bacteroides sp. UNK.MGS-14	Bacteroides sp. HMSC068A09	Bacteroides sp. AF14-46	Bacteroides sp. AF15-23LB	Bacteroides sp. AF16-29	Bacteroides sp. AF36-11BH	Bacteroides sp. AF37-16AC	Bacteroides sp. AF39-10AT	Bacteroides sp. AM16-15	Bacteroides sp. AM44-19	Bacteroidaceae bacterium	Alistipes putredinis	Alistipes finegoldii	Alistipes onderdonkii	Alistipes shahii	Alistipes senegalensis	Alistipes sp. CAG:157	Alistipes finegoldii CAG:68	Alistipes putredinis CAG:67	Alistipes sp.	Alistipes sp. 56_11	Alistipes sp. 56_sp_Nov_56_25	Alistipes sp. AF14-19	Alistipes sp. 3BBH6	Alistipes sp. 5CBH24	Rikenellaceae bacterium	Prevotella copri	Prevotella sp. CAG:520	Prevotella sp.	Prevotella sp. AM23-5	uncultured Prevotellaceae bacterium	Paraprevotella clara	Odoribacter splanchnicus	Butyricimonas virosa	Barnesiella intestinihominis	Parabacteroides distasonis	Parabacteroides merdae	Parabacteroides massiliensis
D02-ZR-R1	6.2826	5.5976	-1.8519	6.1484	-6.6733	-4.1697	3.2889	-1.0047	-1.159	-9.2444	-7.7789	-12.1157	-11.8537	3.9273	3.3997	0.0939	-2.1386	-7.4993	-4.3163	-0.0244	4.3419	4.9338	5.1376	-4.9164	2.1855	-6.5258	-5.5413	3.43	-5.7121	-3.6462	-6.1988	4.337	-3.6416	3.0442	4.472	5.5738	3.2128	3.3996	-2.8999	0.2978	5.5007	5.5417	0.4063	1.6335	1.74	-0.5417	-9.9721	2.6494	2.6544	-3.9855	-1.1295	2.4567	3.4644	2.1708	0.4577	-3.5976	-5.6868	1.2477	6.6439	0.8233	2.4025	2.8431	3.234	2.0792	1.8903	-9.4126	-8.2161	2.7358	4.1733	-3.5058	4.9663	2.5621	2.6782	-1.9919	5.2122	-4.6877	6.9404	1.9527	0.0581	-8.9485	-12.0743	6.8929	8.0986	1.8786	0.9959	1.0747	0.6385	-5.1202	3.2505	-2.6269	6.5524	-6.4999	2.1836	-1.7496	-0.5725	2.3235	8.7811	0.5989	-4.8499	-2.7473	5.7891	-1.9739	-0.5611	-0.975	-1.8509	-2.3185	-10.3866	-9.979	-9.949	1.8566	-5.5224	2.8637	3.1207	-8.436	-6.0622	-6.2981	-4.268	-1.2833	-1.6371	0.2397	-6.8343	-5.2459	-5.8882	-10.4174	-6.8723	1.879	3.7548	-2.4229	5.5465	6.3715	5.8653	7.2855	1.0712	7.4321	9.6789	6.6572	-0.0608	7.1216	4.7032	5.4478	7.4977	4.367	2.6201	0.4342	5.2001	7.328	0.1933	5.4742	2.7648	6.8113	-10.4443	-10.1214	-10.9935	-0.4248	-9.201	3.3327	-0.7739	-2.3411	4.3187	-0.4054	5.3835	3.8341	6.2283	0.2717	-5.4683	6.1315	-1.8989	2.8452	-0.9653	5.6528	5.6887	-2.057	-2.1332	3.7741	-3.0011	-4.4342	-1.7389	-6.1182	-0.0274	-3.9741	5.0814	4.7413	-4.1141	7.7017	5.3972	-0.5431
D02-ZR-R2	6.1589	5.9196	-1.7609	6.5435	-4.393	-1.4335	4.0464	0.7313	0.799	-8.3434	-7.6296	-11.6994	-11.4297	4.0355	3.5682	0.4437	-1.6755	-6.2919	-4.0857	-0.7255	4.1245	4.6797	5.7328	-4.1582	3.5516	-7.1315	-5.8161	2.9575	-4.0014	-4.1609	-6.0953	4.6535	-3.9159	3.2114	5.2955	6.1036	3.2511	4.0422	-2.799	0.4867	5.4133	5.8335	0.8605	2.4096	2.471	-2.4481	-9.6256	2.4148	2.8	-3.7468	-0.4587	1.1985	2.7713	3.0348	1.4118	-4.5178	-6.3886	0.3894	6.5418	-0.3297	2.7814	2.6807	2.1728	1.6726	1.6399	-11.626	-7.2695	2.7041	4.2481	-3.5977	4.9887	2.0448	2.033	-1.6211	3.7842	-8.8898	6.7067	1.2854	-1.3774	-9.1443	-10.066	5.6307	7.4144	1.3199	-1e-04	0.6809	0.8906	-4.7106	2.4995	-2.1584	6.5967	-6.6785	2.0368	-1.4221	-0.6224	2.9266	8.7913	0.0453	-4.9124	-2.3889	5.3159	-1.8343	-1.1135	-1.566	-1.3906	-1.4063	-10.1392	-10.1761	-10.6139	2.7142	-9.7543	3.0156	3.6	-7.4011	-6.9599	-6.3074	-4.5322	0.1478	-1.8347	-0.5587	-7.3223	-4.3812	-5.3856	-1.4841	-6.3007	1.9657	4.8597	-1.4527	4.8726	5.9727	5.8025	7.1245	1.1309	7.0241	9.2584	6.2893	-1.0177	6.5476	4.4085	4.9543	7.2674	4.328	2.3691	0.0668	4.7142	7.0742	-0.4932	5.1105	2.701	6.3068	-10.6168	-9.6306	-10.0818	-0.3221	-9.7356	1.8443	-1.4799	-8.5936	4.3533	-0.4942	5.5813	4.0374	6.4068	0.4162	-6.1934	6.2359	-1.6885	2.8717	-0.693	5.845	5.9041	-2.0112	-1.7336	4.1387	-1.7628	-4.4462	-2.0376	-5.9971	0.4747	-4.3474	4.938	5.1487	-4.5789	7.7888	5.3637	-0.3358
D02-ZR-R3	5.308	4.8553	-3.1152	4.8178	-5.4452	-4.2039	2.8772	-0.6142	-0.7961	-7.063	-5.8159	-11.8901	-11.752	5.3723	3.4263	0.3557	-2.6662	-5.8488	-3.0399	0.2614	5.7742	5.5902	5.4372	-4.721	1.7838	-5.6194	-8.7364	4.6595	-4.7069	-3.0478	-5.3905	5.6877	-2.9045	3.9002	5.6642	6.6283	3.5613	2.3501	-2.2389	0.7727	6.2556	5.8947	0.8328	1.7762	2.1468	-1.4799	-6.3652	2.6672	2.9527	-3.3356	0.0456	3.1053	3.5866	2.8359	1.7102	-3.3899	-6.075	1.6399	6.8967	0.8652	3.1901	2.1807	4.2188	2.4592	2.8347	-10.3567	-7.2829	3.8197	4.8324	-2.6688	5.7072	1.9163	1.9794	-0.8644	5.4035	-6.2817	8.224	2.4682	0.8312	-8.7896	-9.0366	7.2336	7.871	0.8368	-0.001	-0.1411	1.1014	-5.0858	3.9943	-1.8234	7.0361	-5.88	2.3216	-0.8999	0.5312	3.4253	9.6684	0.8383	-4.5606	-1.3471	7.2384	-1.2521	0.1251	-0.3758	-0.8226	-2.4283	-10.7109	-10.8493	-8.8985	2.5465	-4.8496	3.639	3.9616	-11.5666	-6.7111	-5.2084	-3.3743	-0.7569	-0.2709	1.5815	-6.2141	-4.2048	-4.3696	-1.2898	-5.9601	3.2097	4.9734	-1.3529	4.6616	4.6425	4.4666	6.019	0.6379	6.039	8.7493	5.2888	-1.187	5.3218	4.0317	4.1359	6.1638	2.9537	1.1415	-0.1265	3.8695	6.7308	-2.06	5.1306	1.6676	5.1846	-11.9608	-11.8197	-10.1586	-1.6977	-10.2165	0.8881	-2.7942	-11.8217	2.9529	-1.2183	4.0827	2.4745	5.3689	-0.5695	-7.0438	4.8828	-0.3633	2.0641	-1.152	4.8257	4.8528	-3.9665	-2.9348	2.9301	-3.3484	-5.9791	-2.1809	-5.0877	-0.325	-3.8845	6.171	5.0903	-8.7461	6.5235	4.3442	-1.391
D03-NF-R1	-0.9236	-9.5385	-9.5948	-9.5194	-2.7149	2.1282	2.6338	1.9892	2.8576	-6.6422	2.3483	-9.5229	-9.7077	-3.313	1.2946	2.4989	1.9851	-8.1326	0.046	3.8946	2.9275	4.8505	-0.531	-3.0877	1.8993	-4.977	1.4532	2.0025	4.4743	1.923	5.4166	-9.7278	4.4024	-1.2007	-0.2928	-3.3013	4.527	1.2154	6.4743	1.6057	5.841	-2.5121	2.2222	4.212	5.0283	-7.3634	-3.1219	-7.1215	2.2113	-4.224	-0.5732	3.9759	3.5868	1.5748	0.3585	-0.6271	-2.9351	3.9806	5.4819	3.3776	4.3799	-0.0385	2.6101	3.2421	4.5257	2.6592	-9.8299	3.4962	5.0402	4.4125	6.5924	-0.4946	-0.3713	-3.1529	1.6347	-3.1843	4.6119	2.3665	1.055	-4.0941	-7.7241	5.0403	9.9156	5.779	6.0838	6.2337	0.8946	-3.3078	2.6692	-0.2529	8.4645	-3.9439	4.1447	1.3264	-0.7364	0.4083	8.2557	2.7297	0.7499	1.2514	3.9455	-1.741	-0.6751	-0.7256	1.3949	-4.4139	4.1079	0.8929	5.213	-0.3464	-5.5618	3.0519	2.2961	6.9061	-1.3639	0.4113	0.9907	4.4447	4.2569	7.0159	-2.2011	1.102	-0.5808	3.6837	-5.734	0.5207	1.1808	0.9856	-2.5477	-0.109	4.5427	5.0764	-3.9052	0.8372	-3.656	2.2813	1.4267	-2.4414	-7.735	-2.6792	3.9844	3.5495	2.5161	2.079	-8.8266	-9.5776	-9.5861	-0.9369	1.0333	-9.6951	-8.7664	-9.5643	-9.419	-9.6066	-9.7884	-9.8766	2.9527	-9.4961	1.0316	4.3127	2.8268	5.6037	-0.0746	-2.1973	-8.8028	1.6506	3.7218	4.1327	-2.9989	-1.6238	2.8363	3.6432	0.6831	0.3734	8.7191	-3.1929	7.517	1.9801	3.3076	-3.3963	-3.5151	-9.6944	0.9537	-8.1174	3.8133	-3.5515
D03-NF-R2	-2.5351	-7.1327	-6.6708	-5.6471	1.8659	3.1054	3.353	1.6998	3.0118	-2.6103	1.6869	-8.4984	-8.7763	-5.4594	1.145	2.3791	2.5443	-3.9202	-0.2258	2.7727	2.7037	4.6427	-0.9423	-2.3844	2.2824	-1.9191	0.0048	1.4681	5.0963	1.7508	5.3505	-7.0684	2.8605	-0.2781	0.4889	-2.6397	3.7024	0.9602	6.1098	1.3744	5.3314	-1.4163	2.0486	3.7464	4.2564	-8.6402	-7.6937	-8.6855	1.8293	-3.2447	-0.2607	2.3588	2.8724	0.7009	0.3633	-0.1407	-0.6757	3.6805	5.053	3.1333	3.3581	-0.2859	2.7517	3.4367	3.8371	2.9118	-6.0815	2.8751	4.1649	3.6343	6.094	-0.7177	-0.6358	-3.1023	2.2356	-6.6779	4.3551	2.1729	1.1949	-2.7844	-8.4737	4.2305	9.122	5.0794	5.49	5.6195	0.132	-8.4876	1.9364	-0.6512	8.0115	-4.223	3.499	0.5454	-1.4999	0.0067	7.9895	2.4793	0.0616	-0.3346	3.5091	-1.7353	-1.0905	-0.8531	0.8891	-5.1245	4.6242	1.978	5.8008	-0.1064	-7.1039	2.63	2.0608	5.9327	-1.4688	-0.6352	0.4584	3.7493	3.7527	6.1037	-1.8039	0.0111	-1.2721	3.3147	-7.0934	0.4964	0.3177	0.7782	-2.2394	-0.3169	3.7215	4.6037	-2.2669	0.6068	-1.9228	2.2724	1.175	-2.584	-7.6117	-2.4653	3.8246	2.9485	1.7571	1.2702	-8.5012	-8.4804	-8.5449	-0.5831	0.1686	-8.6686	-8.6801	-8.7949	-8.496	-8.4953	-8.6308	-8.5572	2.8903	-8.5556	0.8211	3.9822	2.5804	5.1392	0.3137	-1.3103	-7.5581	1.5625	3.5658	3.1398	-6.1376	-2.0655	2.6265	3.5035	0.0866	0.1824	9.1406	-2.1802	7.6239	2.5575	3.5829	-3.0521	-5.7883	-5.7794	0.3166	-0.7364	3.3979	-2.0166
D03-NF-R3	-1.2012	-9.6919	-7.2709	-9.8533	-6.2646	3.8501	2.7943	1.5162	3.4776	-6.8874	1.7722	-9.7452	-9.617	-3.5311	1.2975	2.4965	2.9702	-5.6118	0.3031	3.0944	3.1973	5.3311	0.0702	-2.337	1.7125	-4.7683	-0.0961	1.9042	5.1076	1.9954	5.5633	-4.4679	3.7944	-0.1993	0.2443	-2.6045	4.2286	1.607	6.7758	2.0723	5.8269	-1.7566	2.1925	4.0375	5.169	-9.793	-6.8516	-8.0038	2.3274	-2.8243	-0.207	3.3552	3.6541	1.3782	0.8336	-0.2631	-1.5612	3.8637	5.4124	3.5189	3.9328	-0.2462	3.3167	4.1365	4.5455	3.0088	-6.8887	3.3097	4.49	3.9117	6.3895	-0.984	-0.3589	-3.0803	1.9621	-3.0815	4.7091	2.1703	1.6623	-4.341	-9.699	4.8975	9.5668	5.6227	6.0194	6.1372	0.6567	-4.5525	2.5386	-0.6158	8.3664	-3.8932	3.7808	1.1566	-0.8611	0.4621	8.2785	2.9338	0.0492	0.1846	4.1287	-1.7989	-0.6983	-1.2396	1.5721	-5.2692	3.987	1.0665	5.1612	-0.0664	-8.0127	2.8082	2.2004	6.5988	-1.8561	-0.4068	0.839	3.9328	4.3714	6.9671	-1.7459	1.2711	-0.6552	4.1088	-5.081	1.779	1.1583	1.4875	-2.6598	-0.2047	3.7445	4.4469	-4.1757	-0.0553	-4.6871	1.8874	0.9637	-2.7627	-6.8793	-3.1476	3.773	2.6522	1.7736	1.5057	-3.7867	-9.7367	-9.7922	-1.998	0.1291	-9.949	-9.7793	-9.7889	-9.9175	-9.9052	-9.8029	-9.7508	2.6664	-9.7276	0.6309	4.4747	2.8866	5.4064	0.2246	-2.0902	-9.6528	1.8496	3.8482	3.6346	-3.7174	-1.5224	2.5603	3.637	0.6146	0.255	9.0625	-2.4766	7.8693	2.3865	3.6029	-3.544	-2.5993	-8.8962	-0.2283	-2.2363	3.277	-3.8311
D03-OF-R1	-3.1408	-9.4044	-10.6256	-10.3452	-3.5373	0.7212	4.0161	1.7542	1.9146	-5.7252	2.0523	-10.4529	-10.4759	-2.8319	1.5121	2.8669	2.0552	-5.3591	-0.1306	1.8826	2.0636	4.3276	-1.6857	-3.9836	0.7914	-6.2814	-0.3392	1.296	1.1949	1.2174	6.3794	-4.4816	4.3899	1.4038	1.6781	-2.0113	4.4232	1.9332	7.2408	2.5461	5.025	-0.6941	2.8062	4.612	5.0799	-7.9319	-3.9859	-10.6324	2.1374	-1.4657	-0.4539	2.9205	3.9493	1.867	0.5488	0.3577	-1.4014	5.405	5.4331	5.4673	3.7164	-0.2722	4.4264	4.6848	5.3604	4.4103	-6.1512	2.402	3.2763	2.5275	5.3876	-2.1991	-2.0505	-3.2133	1.234	-2.9174	5.1766	1.7277	2.0953	-2.4473	-10.314	5.173	8.7118	4.8661	5.3478	5.4932	0.2224	-4.4228	2.5831	-0.9307	8.5668	-4.6612	3.1311	0.2966	-1.7622	-0.4607	6.072	2.4163	0.6147	0.7558	3.1485	-2.6016	-1.5593	-2.2754	0.4955	-4.703	8.3807	6.3733	9.9884	1.7548	-5.3131	2.6384	1.1318	7.1866	-1.4029	0.8337	2.0456	2.4158	5.2037	7.7237	-1.534	1.399	0.1965	5.1031	-6.0067	-0.5	0.9566	0.3986	-1.5956	0.3406	4.5307	6.1642	-4.5477	1.9218	-2.6061	2.2442	2.3232	-3.0052	-10.4578	-1.265	4.3518	3.8263	2.4648	2.1309	-10.4006	-7.9039	-10.5111	-0.8283	1.4343	-10.3813	-8.6105	-10.3166	-10.6143	-10.4339	-10.6396	-8.5606	3.7449	-10.4556	1.2105	4.3645	0.7794	4.3327	-0.7211	-3.282	-10.3212	1.2505	4.2504	4.0301	-4.3209	-2.6846	1.2278	2.4816	0.3128	-0.9094	9.8481	-2.2001	8.606	3.0211	4.1885	-4.0888	-3.554	-8.9064	2.2145	-2.7066	3.8652	-2.8771
D03-OF-R2	-2.994	-10.2492	-8.2993	-10.4025	-2.7652	1.2247	3.1233	2.303	1.8632	-5.977	1.6729	-10.0101	-10.1271	-2.4751	0.8022	2.2712	1.0936	-8.0274	-0.1464	1.8641	2.1804	4.7813	-1.4226	-3.0129	1.0192	-7.9936	-2.9442	0.9989	2.0431	0.8094	6.1437	-4.21	4.2108	0.6084	1.48	-2.3816	3.6739	1.7022	7.2021	2.2192	4.4818	-0.9316	2.2636	4.1359	4.3732	-2.3047	-7.5583	-9.1659	1.8771	-2.2407	-0.5447	2.5375	3.2989	1.4568	0.0896	0.0124	-2.3943	4.7343	5.1133	5.1207	3.6207	-0.5309	4.0051	4.7464	5.0341	3.2859	-5.9592	2.1542	3.0989	2.4155	5.3295	-2.6877	-2.2994	-3.1128	0.8175	-3.1059	5.1151	1.9435	1.8571	-2.8302	-10.3898	3.5492	7.4378	4.2276	4.434	4.6525	0.0017	-6.1366	0.651	-0.2159	8.0249	-4.9962	2.9159	-0.2314	-1.9777	-0.7032	5.7805	1.6537	0.1139	0.1686	3.1398	-2.1004	-1.4288	-2.1705	0.4529	-4.6464	7.5197	5.4277	9.0718	1.9012	-7.0188	1.8789	1.3776	6.8229	-2.4836	0.3311	1.7718	2.247	4.8583	7.2566	-1.7991	1.3846	0.0444	4.4784	-7.15	-0.2905	0.8374	0.3105	-0.7013	0.4928	6.8904	5.8341	-2.4525	2.7908	-1.6378	2.6492	2.641	-1.4423	-9.4152	-1.3837	4.1588	3.7979	2.0589	1.4886	-2.8914	-7.2627	-10.2199	1.0683	1.0312	-10.5094	-7.6766	-10.3288	-10.367	-7.7109	-7.8407	-8.6385	3.9287	-7.9278	0.9028	4.9727	1.96	5.3272	-0.482	-2.3243	-8.0502	1.6386	4.7568	4.1947	-4.1243	-2.1253	2.4623	3.3918	1.2171	-0.0212	9.002	-2.8307	7.6035	2.0605	3.6285	-4.243	-2.881	-8.012	2.7202	-1.7797	3.4222	-2.9007
D03-OF-R3	-3.0598	-9.5195	-10.0755	-11.6629	-8.782	0.8621	2.8871	1.1903	2.0865	-5.1376	1.8586	-11.5521	-11.5127	-3.0219	1.6309	2.9864	2.1943	-5.4826	-0.0812	1.9919	2.5882	5.1517	-1.2427	-2.9343	-0.3705	-5.756	-3.1833	1.1469	1.8086	1.3544	6.8014	-3.7915	3.7246	1.5363	2.1084	-1.9573	3.3098	1.9417	7.1823	2.6708	4.8588	-1.3361	2.3221	4.2234	3.3959	-3.7291	-4.4965	-9.5183	1.8814	-1.8706	-0.3235	2.3012	3.0447	1.9443	0.651	0.1555	-1.898	4.7605	5.2349	5.6367	3.3669	-0.8922	4.3388	4.936	4.8912	3.287	-5.6323	1.7801	3.2535	2.9679	5.7269	-2.2787	-1.6781	-2.8875	1.0109	-3.6039	5.1951	1.5927	2.0758	-2.9169	-10.5955	4.2458	8.1217	4.4642	4.9755	5.0852	0.5616	-6.0375	1.3385	-0.754	8.0958	-4.8472	2.9927	0.3041	-1.7924	0.0459	6.273	2.7375	0.5597	0.3029	3.9264	-2.1956	-1.4546	-1.7595	0.5826	-4.9588	7.5897	5.5818	9.1338	2.7296	-5.9048	2.4943	1.3574	6.8752	-2.9606	0.3046	2.0086	1.4376	4.5138	7.0298	-2.0332	1.4259	-0.0659	4.2143	-5.9968	-0.0569	0.4999	0.3516	-1.6567	0.3463	5.4307	6.0753	-3.8461	2.072	-2.6394	2.982	2.1995	-3.7846	-6.1444	-2.53	4.0353	4.2862	2.8869	1.8455	-5.411	-5.4715	-11.5575	-0.5843	0.6901	-9.014	-1.5823	-11.4287	-11.3585	-11.6414	-9.1259	-3.5962	3.7157	-11.7264	1.15	4.7057	1.674	4.7561	0.1155	-3.1288	-9.8013	1.2735	4.3656	3.6384	-4.6054	-1.7303	2.7129	2.8625	1.5446	-0.2745	8.8838	-3.1734	8.0494	2.1171	3.6192	-4.1381	-2.2547	-9.5266	2.8496	-1.941	3.5216	-3.1414
D03-OR-R1	-0.3143	-2.2466	-4.7534	-5.1097	0.3167	4.069	3.8494	3.7049	4.6404	-4.0965	2.5687	-8.1472	-8.5976	-2.3389	0.5436	2.3612	3.0847	-5.8997	-0.4887	2.1908	1.8638	4.1636	-3.9325	-2.8955	4.0142	0.4901	3.6486	-0.2532	-0.4542	-3.0774	6.8916	-6.8609	6.2603	-0.3211	1.042	-3.1903	3.9918	0.4901	4.6039	0.2629	4.9492	-1.5921	1.385	3.5488	7.3147	1.4531	-1.7396	-8.6547	1.5625	-8.4175	-1.1839	2.5529	3.0266	0.1532	-1.3574	-8.4514	-8.4963	3.2482	5.5518	3.7334	4.9909	-0.3992	4.3852	4.0032	3.7305	1.3415	-8.5099	2.8168	3.4368	2.1927	5.7289	-2.5086	-1.5993	-5.9171	-1.8434	-0.8593	4.8196	-0.1931	-0.2016	-8.2979	-8.431	4.2517	7.8122	3.5181	3.8762	3.7242	-1.3128	-1.7559	2.3833	-3.4973	7.8441	-8.6876	1.4409	0.0672	-4.1642	-1.1187	6.2893	2.8855	3.7428	3.4568	2.8113	-2.5065	-1.697	-2.8657	-0.5565	-3.9288	1.9316	0.1898	3.0014	-8.6151	-6.2097	0.6834	1.7595	7.1292	1.1504	0.7203	1.7353	6.3423	5.7065	8.0624	-1.4511	1.7841	0.6313	5.9405	-5.7062	-0.9711	0.0807	0.3348	-3.5579	-0.1933	5.9697	4.7993	-1.5118	1.8408	-2.2843	1.6626	1.8701	-1.0547	-8.5341	-1.1322	4.8432	3.856	2.2239	2.3314	-8.2256	-8.4222	-8.5659	-0.5518	1.5523	-8.3281	-8.7954	-8.3995	-8.3629	-8.5853	-8.4815	-8.5958	2.3543	-8.4358	1.7689	5.0258	3.3279	6.8709	1.0017	-1.295	-8.6295	1.8405	4.5857	4.3432	-6.5211	-7.5226	3.6315	4.9572	2.6146	1.5296	9.1786	0.303	9.8977	1.7756	4.6955	-3.0509	-2.1885	-8.4501	2.1258	-0.8194	4.5575	-2.4296
D03-OR-R2	0.9351	-1.2611	-6.1128	-2.7486	2.298	5.9324	4.3366	3.5783	4.8176	-1.0534	2.3695	-6.306	-5.9651	-6.0859	0.7757	2.2999	2.1599	-6.1519	-0.1492	2.2555	2.6424	4.3771	-4.5246	-6.1476	4.7879	-3.2572	3.1216	-0.4884	0.5862	-2.9225	7.2554	-5.9643	6.4493	-1.3183	-3.3369	-6.1253	4.2764	0.1607	5.3568	0.0974	4.7904	-1.0674	-4.2589	2.4306	6.6468	-6.3281	-6.2876	-6.0843	-3.1583	-5.2765	-0.1873	2.4338	3.8828	-4.1943	-6.2282	-6.1104	-6.0375	3.0291	6.7513	3.1549	4.566	-4.2672	4.231	4.0514	3.4631	1.5721	-6.0214	2.4525	3.5005	2.1158	5.9277	-1.5105	-2.1862	-5.9411	0.5455	-6.1746	4.7792	0.5234	0.0379	-6.0512	-6.0001	3.9537	7.9716	3.3894	3.4265	3.6058	-1.3049	-3.6098	1.6879	-6.1919	7.7282	-5.2863	1.8237	-3.2188	-3.4227	-1.858	6.501	2.245	3.5694	2.2426	2.8724	-5.1927	-3.8663	-5.224	-0.3924	-6.0771	1.749	0.5531	3.3869	-6.3632	-3.9731	0.407	2.7788	6.2852	1.997	1.5236	1.5917	6.8272	5.4741	7.4334	-1.2129	1.0072	0.1178	-3.5984	-5.1797	-0.6077	1.1981	0.3763	-3.194	0.7612	5.7181	5.0528	-0.2624	1.5918	-0.7097	2.2105	1.4666	-0.3281	-6.145	-5.1408	4.8531	4.2264	1.6142	1.8472	-5.6879	-6.1273	-5.8943	0.4587	1.8316	-5.9661	-6.1526	-6.2465	-6.2991	-4.6699	-6.0722	-3.5604	2.3132	-6.2254	1.2082	4.5099	3.7166	7.411	1.2226	-0.511	-6.1116	2.1486	3.4957	4.4076	-4.1771	-3.3537	3.9024	5.2834	2.3296	2.026	8.7688	-0.2518	8.9986	1.3749	3.8718	-2.4551	-5.1942	-3.3539	2.7533	-5.1352	4.4622	-2.2201
