Saccharomycetes	Eurotiomycetes	Sordariomycetes	Agaricomycetes	Malasseziomycetes	Gammaproteobacteria	Alphaproteobacteria	Betaproteobacteria	Deltaproteobacteria	Verrucomicrobiae	Lentisphaeria	Bacilli	Clostridia	Erysipelotrichia	Negativicutes	Actinobacteria (1760)	Coriobacteriia	Bacteroidia
D02-ZR-R1	-3.5969	-4.443	-1.6089	-4.0636	-5.5678	2.0497	-0.3811	1.7034	1.343	-3.7335	-7.1937	2.4785	8.6958	1.2704	0.8296	0.0015	2.8724	9.3441
D02-ZR-R2	-3.2852	-3.751	-1.2862	-3.9182	-3.7308	2.3603	-0.4304	1.335	1.0065	-3.9594	-7.2125	2.069	7.9976	0.3139	1.0928	-0.189	2.997	8.5907
D02-ZR-R3	-3.7918	-3.9047	-1.2986	-3.558	-4.6887	1.2728	-0.3229	2.5293	0.8251	-4.7987	-6.8322	2.0621	8.6967	1.6532	0.9544	0.1096	3.3924	7.7
D03-NF-R1	-4.6443	-3.4264	-1.0484	-4.3821	-1.7996	1.0885	-0.4937	1.8832	-0.2984	-1.5561	-7.2381	0.8852	7.6003	-2.2403	2.5149	3.3913	3.9923	5.7717
D03-NF-R2	-4.0313	-3.2492	-1.1503	-4.3289	-0.8691	1.3185	-0.4754	0.971	-0.3656	-1.1221	-6.9722	0.8526	7.0716	-2.2643	2.798	2.6309	3.2318	5.954
D03-NF-R3	-4.7846	-3.2676	-1.1707	-4.2555	-0.3982	1.0603	-0.529	1.2062	-0.3977	-0.9609	-7.3608	1.0282	7.2547	-2.0697	2.2029	2.9145	3.8016	5.7264
D03-OF-R1	-4.0554	-2.9388	-1.7325	-4.9696	-3.6469	0.7624	-1.4505	0.936	-0.3711	-2.1144	-8.3346	1.6086	6.7926	-0.0567	6.1192	2.9709	4.2595	6.2213
D03-OF-R2	-3.8351	-2.7555	-1.115	-4.5145	-2.9615	0.924	-0.8875	0.9731	-0.4965	-2.6713	-8.6335	1.4163	6.5108	-0.3976	5.4503	2.9128	4.0928	5.9878
D03-OF-R3	-4.8387	-2.9816	-1.9527	-5.0248	-3.1782	0.5987	-1.109	0.8373	0.1459	-1.6209	-8.1713	2.0301	6.8201	-0.0732	5.6017	2.992	3.9401	5.9844
D03-OR-R1	-3.1097	-3.021	-0.4554	-3.7984	-0.6081	1.7235	-0.3463	1.7417	-1.1561	-1.3474	-9.7268	1.6117	5.9601	-1.5363	0.0341	3.4332	4.3656	6.2358
D03-OR-R2	-2.6202	-2.3083	0.1695	-3.5506	0.9056	1.8178	0.4579	1.3433	-1.546	-2.5401	-9.7194	1.5298	5.6524	-1.5688	0.1009	3.0328	3.3648	5.4785
D03-OR-R3	-2.9165	-2.5998	-0.0452	-3.754	0.6717	1.4365	-0.1954	0.9961	-1.0411	-1.5984	-8.6038	1.0745	5.5004	-1.552	-0.2878	2.9367	4.197	5.7812
D03-ZF-R1	-4.4746	-3.465	-1.6453	-4.0174	-5.2253	0.9867	-0.7364	1.9787	-0.419	-2.1725	-6.7382	1.2248	7.9491	0.7278	3.4757	1.7296	3.3497	7.4716
D03-ZF-R2	-4.4229	-3.8575	-1.8527	-4.8552	-2.5262	2.0624	-1.2198	2.5642	-1.4484	-3.5164	-8.4415	1.1192	7.5878	0.7731	4.4829	2.1029	3.7924	7.6557
D03-ZF-R3	-4.2621	-3.9334	-1.9376	-4.5071	-4.2991	1.4158	-1.0724	2.6343	-1.0435	-3.2873	-7.2812	1.2281	7.7861	0.8202	4.4522	1.9753	3.5484	7.7632
D03-ZH-R1	-3.9493	-4.1322	-1.4623	-4.0805	-1.09	1.8327	-0.9823	2.3731	-0.5696	0.3673	-8.748	0.9139	6.7101	0.0023	1.5995	1.5333	0.5507	9.1313
D03-ZH-R2	-2.6033	-2.5937	0.0714	-3.6524	-0.7511	3.1342	-0.1288	2.1213	-2.1236	-3.0413	-12.5013	0.3139	6.6379	1.4344	3.2134	1.2586	-0.1098	9.3202
D03-ZH-R3	-3.3522	-3.9997	-1.5118	-5.0198	-0.6686	2.619	-0.9738	1.3456	-2.2507	-3.9303	-4.5029	0.9898	5.7665	0.7075	2.9884	3.3739	-0.1292	8.5482
D03-ZR-R1	-3.2807	-4.7574	-1.7424	-4.7873	-4.1628	2.6339	-0.9656	4.4131	-0.359	-2.9577	-8.2685	0.4701	7.4174	1.5763	2.9062	0.5382	2.3266	8.9997
D03-ZR-R2	-3.9666	-4.0688	-1.5861	-4.614	-3.099	2.4404	-1.3856	2.7586	-0.7099	-1.8508	-7.983	0.8958	7.3606	0.9268	2.8661	0.5816	3.23	8.2041
D03-ZR-R3	-4.4446	-3.8239	-2.0125	-4.6821	-3.1764	1.5284	-1.1169	2.6113	-0.6502	-1.8151	-7.9548	0.5791	7.634	0.8066	3.6264	1.7245	3.452	7.7141
D04-NF-R1	-2.7786	-3.2309	-0.6234	-2.4363	-3.0417	0.3492	-0.301	0.2727	0.89	-4.4822	-0.1128	-0.2641	7.6551	-1.7797	0.6126	2.8089	1.4955	4.9667
D04-NF-R2	-3.2351	-3.3455	-0.6509	-2.713	-2.9086	0.6811	0.0422	0.596	0.8662	-3.9763	-0.698	-0.6424	7.844	-1.7119	0.775	2.4408	1.358	5.2784
D04-NF-R3	-2.3669	-2.8815	-0.5172	-2.2126	-2.2028	0.3608	-0.2298	0.3534	0.6643	-4.5672	0.1735	-0.3592	7.5831	-1.8658	0.2154	2.1489	0.5558	5.1476
D04-OF-R1	-0.1914	-1.0388	0.5432	-0.255	-1.6901	0.1183	-0.9058	-0.2149	-0.8897	-4.8415	1.9126	-0.981	6.375	-2.3213	-1.7025	0.6711	0.5564	4.8553
D04-OF-R2	-1.0535	-2.1019	-0.0389	-0.9921	-1.7655	0.7014	-0.6272	-0.17	-0.6574	-4.9765	1.0529	-0.766	6.8113	-1.817	-0.7938	1.3434	0.5685	5.2824
D04-OF-R3	-0.9957	-2.026	0.0594	-1.0595	-2.5909	0.1229	-0.5437	-0.1198	-0.3366	-4.88	0.6598	-1.0147	7.0124	-1.6083	-0.4333	1.6448	0.7023	5.407
D04-OR-R2	-2.1066	-2.2831	0.5911	-1.8202	0.9954	1.8187	0.7201	0.703	-0.8088	-5.357	-1.7411	1.474	6.1492	-3.5629	-1.7634	3.0393	0.0691	3.8832
D04-OR-R3	-1.6108	-2.1769	0.1954	-1.9134	1.3479	1.3863	0.3436	0.4406	-0.6281	-5.2359	-1.2988	1.4661	6.2876	-2.7345	-2.3364	2.7172	-0.4121	4.1622
D04-ZF-R1	0.534	-0.6953	1.1102	0.0124	-1.24	0.6368	-0.4904	-0.6627	-1.4173	-4.8128	0.875	-1.557	5.5393	-2.4062	-1.9995	1.196	0.8765	4.5012
D04-ZF-R2	0.6058	-0.6526	1.314	-0.091	-1.2268	1.015	-0.4823	-0.4946	-1.4373	-4.8004	0.6273	-1.414	5.5588	-2.1729	-2.1539	0.8837	0.2193	4.7019
D04-ZF-R3	0.7069	-0.5569	1.321	0.0979	-1.2262	0.7292	-0.4782	-0.5797	-1.4598	-4.8124	0.7031	-1.6384	5.5652	-1.9478	-2.2459	0.9274	0.2554	4.6392
D04-ZH-R1	0.252	-1.2052	0.0477	-1.1637	-1.0354	1.2651	-1.2069	0.4129	-0.0098	-5.1653	1.3208	0.0133	6.0819	-3.7237	-2.0574	1.2694	-1.8393	6.7438
D04-ZH-R2	-0.1075	-1.4633	0.5682	-1.4316	-0.1788	1.4828	0.8807	0.548	-0.5795	-5.33	0.5824	-0.3635	5.6612	-4.1387	-1.9242	1.4837	-2.1912	6.5011
D04-ZH-R3	0.4165	-0.9866	0.3207	-1.0019	-0.5332	1.079	-1.0551	0.218	-0.1394	-4.0662	1.0687	-0.7029	5.7587	-3.5875	-2.2374	0.7429	-2.0871	6.7928
D04-ZR-R1	1.0232	-0.4245	1.3548	0.2826	-1.0688	0.7475	-0.5907	-0.5605	-1.7354	-4.8341	1.2876	-1.6726	5.2047	-2.2257	-2.5953	0.687	-0.139	5.2592
D04-ZR-R2	0.7234	-0.6701	1.2408	-0.0072	-1.3936	0.9698	-0.3018	-0.6326	-1.6427	-4.8408	1.398	-1.6851	5.5546	-2.2141	-2.1074	0.7777	-0.2483	5.0794
D04-ZR-R3	1.3942	0.0076	1.7934	0.7214	-0.6883	1.1495	-0.3214	-0.1857	-1.5669	-4.6722	1.8307	-1.2979	3.9792	-3.0274	-2.9416	0.2367	-2.0457	5.6344
D05-NF-R1	-4.3351	-4.2249	-0.8267	-4.7748	-1.8994	-0.0215	-1.4669	1.3283	0.1715	4.4858	-5.151	0.1921	6.2769	-2.3876	0.6194	2.2195	4.1309	5.6636
D05-NF-R2	-3.4134	-3.458	-0.1814	-4.499	-2.2186	0.9179	-0.4592	1.7797	0.2474	1.8388	-5.5295	-0.477	5.7885	-2.4376	1.851	2.2207	3.7267	4.3031
D05-NF-R3	-5.8802	-5.3066	-1.1597	-5.0254	-2.0658	-0.1904	-0.8356	1.4382	1.158	4.2933	-4.3768	-0.0486	6.604	-2.4213	1.8383	2.1259	4.7569	5.0959
D05-OF-R1	-4.9091	-5.3814	-0.8407	-4.8773	-3.7332	-0.8371	-0.933	4.4334	0.3379	4.117	-5.0737	0.3076	5.8396	-2.8013	2.7984	1.7843	2.9514	6.8171
D05-OF-R2	-3.298	-4.4916	-0.9581	-5.0124	-1.6985	-0.2103	-0.8513	3.7857	-0.2564	3.5036	-5.9205	0.5209	5.4702	-3.0514	2.0884	1.6068	2.6464	6.1265
D05-OF-R3	-4.2021	-4.3678	-0.1687	-4.6121	-6.2361	-0.3692	-0.5914	3.2745	0.5624	2.944	-4.931	0.6393	5.9108	-2.1932	2.6995	2.0962	3.4378	6.107
D05-ZF-R1	-4.7822	-5.3138	-0.3725	-4.5325	-3.9324	-0.1905	-0.5849	4.2978	0.3303	0.1558	-5.5886	0.225	6.4894	-0.9645	2.6959	1.9225	2.3253	7.8198
D05-ZF-R2	-4.2687	-4.3362	-0.661	-4.607	-5.5679	1.3032	-0.846	3.0714	0.1094	1.6338	-4.9822	-0.042	6.4456	-1.0196	3.5076	1.9762	2.2876	5.9959
D05-ZF-R3	-3.9962	-4.9244	-0.5275	-4.5567	-7.7829	0.3746	-0.4269	4.8919	0.1166	1.4456	-4.6186	0.5845	6.5346	-0.8942	2.9313	1.6339	1.7211	7.4935
D05-ZH-R1	-3.443	-3.9572	-0.5837	-4.431	-1.7947	1.2451	-1.2036	4.6876	1.393	2.0859	-6.1472	0.3559	5.2083	-3.3694	1.0383	1.5214	-0.5938	7.9879
D05-ZH-R2	-3.0131	-2.7008	-0.0447	-3.8256	0.8035	1.3585	0.3514	3.3399	-0.0924	0.3433	-4.8578	0.3628	4.5635	-4.4867	-0.2661	2.7579	-1.0918	6.498
D05-ZH-R3	-1.8257	-1.9347	0.5908	-3.5769	-2.86	1.4747	-1.2369	5.0433	1.648	2.296	-9.7763	-0.169	4.9004	-4.0774	0.6377	1.3461	-0.5103	8.0301
D05-ZR-R1	-4.6527	-5.2206	-0.4746	-4.5238	-3.8189	-0.2427	-0.4472	3.9801	0.9849	0.6943	-5.0034	0.3359	6.3728	-1.5664	2.5563	2.0574	2.343	6.6255
D05-ZR-R2	-4.0921	-4.7303	-0.7784	-4.5312	-3.785	0.5367	-0.8297	4.2171	0.4104	-0.0527	-5.4139	0.1454	6.4542	-0.6881	2.1274	1.616	2.3936	7.0009
D05-ZR-R3	-4.1638	-4.6972	-0.2326	-4.5002	-6.3673	0.0786	-0.3564	4.7295	1.1636	0.2413	-4.8894	0.1814	6.2603	-1.1622	3.3054	1.711	1.8417	6.8562
