Saccharomycetes	Eurotiomycetes	Sordariomycetes	Agaricomycetes	Malasseziomycetes	Gammaproteobacteria	Alphaproteobacteria	Betaproteobacteria	Deltaproteobacteria	Verrucomicrobiae	Lentisphaeria	Bacilli	Clostridia	Erysipelotrichia	Negativicutes	Actinobacteria (1760)	Coriobacteriia	Bacteroidia
D08-NF-R1	-3.3804	-3.2384	-0.0414	-3.189	-0.214	1.3014	0.0842	2.4133	1.4945	-4.9435	-7.2135	1.7827	7.7785	-2.9896	-0.8602	3.1106	2.19	5.915
D08-NF-R2	-3.4176	-3.5025	-0.4839	-3.8608	-0.9465	0.6892	-0.4059	4.1289	2.4738	-4.9209	-7.7849	0.6428	8.0382	-2.2964	0.6497	1.9183	2.9126	6.1659
D08-NF-R3	-2.1357	-2.7309	0.3186	-2.9926	-4.0874	0.8882	-0.3885	3.0386	2.1951	-4.714	-6.7906	1.34	7.9173	-1.709	-0.4687	1.5628	2.3463	6.4104
D08-OF-R1	-3.3286	-4.4845	-0.9407	-3.6969	-3.9623	0.2892	-1.0081	2.3269	1.0098	-3.6979	-6.474	2.313	8.01	-0.4296	1.4481	1.2225	2.777	8.6263
D08-OF-R2	-3.9544	-3.9827	-0.9084	-4.4188	-1.7437	0.7751	-0.9579	2.8402	1.117	-4.0921	-6.9713	0.7012	7.9294	-0.4261	1.4526	1.0943	2.607	8.9385
D08-OF-R3	-3.3445	-3.9946	-0.6583	-3.8219	-5.6334	0.5739	-0.9463	2.3088	1.8974	-4.1254	-6.9824	1.9105	8.1869	-0.0482	1.3532	1.5741	3.3864	8.3637
D08-OR-R1	-3.2013	-2.9452	-0.5294	-3.6185	0.3325	1.2527	-0.285	3.9851	2.3112	-4.5176	-6.9076	1.8082	6.6207	-3.5514	-1.1713	3.1088	0.5288	6.7795
D08-OR-R2	-2.7375	-2.4036	0.1149	-3.1851	1.0469	1.7334	0.6174	3.3014	1.5553	-4.0464	-7.507	0.999	5.7924	-3.8512	-1.7966	2.6457	1.2439	6.477
D08-OR-R3	-2.7381	-2.5264	0.4267	-3.2161	2.6811	2.3255	1.3553	3.0621	2.1017	-3.9439	-9.8595	1.9466	5.49	-4.5066	-2.7067	3.5846	-0.291	6.8146
D08-ZF-R1	-4.339	-4.3921	-1.1784	-4.1878	-3.8443	0.4409	-0.1826	2.5222	2.2092	-3.7763	-7.1702	0.3264	8.5577	0.3358	1.338	1.6953	2.9834	8.6618
D08-ZF-R2	-4.3085	-4.1387	-1.1328	-3.9826	-3.4979	0.3917	-0.1394	1.8916	1.7959	-3.742	-6.3156	0.2605	8.6366	0.1981	1.8849	1.3998	2.9223	7.876
D08-ZF-R3	-4.2778	-4.402	-1.415	-4.0556	-1.6852	0.7394	-0.5039	2.8003	1.7337	-3.8637	-6.7359	-0.0265	7.7927	-0.5568	1.9109	0.9616	1.889	9.6949
D08-ZH-R1	-4.1268	-2.8358	-0.5452	-3.2985	0.6529	1.5481	-0.0909	3.5333	2.1618	-4.0674	-8.4201	2.4085	5.82	-3.1122	0.9188	3.1148	-2.1191	8.4578
D08-ZH-R2	-1.331	-1.0675	1.5041	-2.6665	0.001	2.4263	0.5303	3.1523	1.8328	-3.6678	-11.2485	0.8134	5.2847	-3.9631	0.5325	1.7794	-2.0386	8.1262
D08-ZH-R3	-3.7605	-3.8239	-1.0603	-4.422	-0.6531	1.3793	-0.8739	4.235	3.0575	-2.5155	-8.9112	0.6751	6.8596	-2.1986	1.949	0.9462	-0.3689	9.4859
D08-ZR-R1	-4.3247	-4.4565	-1.1517	-4.0622	-5.5088	0.4193	-0.2137	4.5175	2.0112	-2.9876	-6.4562	-0.0585	8.307	-0.274	1.6212	1.3919	2.5823	8.6435
D08-ZR-R2	-3.1951	-3.3482	-0.5931	-4.0161	-4.511	0.799	-0.8825	5.4012	2.3509	-2.5813	-7.1271	-0.1051	7.4473	-1.5137	1.1798	0.4205	1.1191	9.1553
D08-ZR-R3	-3.8778	-4.1003	-1.2674	-4.2455	-2.134	0.6722	-1.045	2.9615	2.7871	-3.4711	-6.8022	0.334	7.4138	-0.3057	0.8991	0.5151	2.4707	9.1954
D09-NF-R1	-3.9935	-5.1942	-1.7275	-4.4974	-2.8625	1.5493	-1.7195	3.1245	1.8329	-4.9916	-0.4364	0.0983	7.3917	-1.5241	1.7149	2.2236	2.6861	6.3256
D09-NF-R2	-3.2291	-4.1272	-1.0948	-4.4477	-3.1426	1.6733	-1.2909	3.0428	0.9784	-5.2775	-0.7033	0.1817	7.2289	-1.8549	1.6595	2.0733	2.4475	5.8824
D09-NF-R3	-1.2761	-3.1653	0.0771	-2.3197	-3.8075	1.1344	-2.4682	2.0188	0.6244	-5.4307	-1.6336	1.507	7.1566	-1.7356	0.6866	1.3745	1.8134	5.4438
D09-OF-R1	-3.0888	-4.4949	-1.6868	-4.0902	-5.2455	2.9862	-2.5871	6.0691	0.4137	-4.7815	0.4938	0.426	6.5614	-1.5468	0.549	0.2562	2.2647	7.5016
D09-OF-R2	-4.0247	-4.8346	-1.8456	-4.6231	-2.3948	2.2073	-2.5497	5.834	0.5148	-5.6924	0.2494	0.5785	6.6512	-1.9103	-0.2879	1.4974	3.3452	7.2853
D09-OF-R3	-3.3797	-4.5081	-1.3957	-4.2327	-5.8303	2.8929	-2.6732	5.7309	0.6653	-4.8983	-0.186	0.3302	6.8098	-1.3672	0.983	0.852	2.6131	7.5938
D09-OR-R1	-2.5297	-2.9415	0.098	-3.3442	-0.0084	1.6662	-0.599	3.4657	1.3231	-5.5733	-0.3731	2.1254	4.6731	-2.528	-2.5576	2.6707	-1.4635	5.8961
D09-OR-R2	-2.339	-2.0899	0.6673	-2.5105	1.6302	2.8634	1.1261	2.5162	0.8987	-5.3178	-2.528	1.8208	3.7907	-4.5524	-2.7244	3.2427	-1.3509	4.8568
D09-OR-R3	-1.3754	-1.7836	0.6893	-3.1687	-2.6877	1.763	-1.0967	3.7232	1.272	-6.1034	-0.17	0.9079	5.3333	-3.1614	-1.6139	1.4688	0.1671	5.8362
D09-ZF-R1	-3.5857	-4.961	-2.07	-4.8571	-4.755	3.2205	-2.8247	6.8111	0.6981	-5.1672	2.5594	-0.2911	6.7025	-1.4415	-0.7597	1.2898	1.6909	7.7404
D09-ZF-R2	-3.6907	-4.9541	-1.8119	-5.1117	-2.4014	3.1924	-1.9915	6.0513	0.212	-5.3601	1.2066	-0.004	6.6333	-1.1205	-0.8431	1.1143	1.9622	6.9168
D09-ZF-R3	-3.0033	-3.8922	-1.2353	-4.5121	-6.153	3.2359	-2.5869	6.4115	0.4815	-5.4146	1.8425	-0.0059	6.6953	-1.2687	-0.4909	0.7608	1.6748	7.4608
D09-ZH-R1	-3.577	-3.7582	-0.8984	-3.7809	-0.3842	3.1848	-1.0237	5.4205	1.4097	-5.4836	0.4709	1.5903	5.0365	-3.9776	-0.9508	2.3607	-3.0754	7.4363
D09-ZH-R2	-1.325	-0.7037	1.6422	-2.5346	0.0353	2.6654	-0.1096	3.8354	-0.0556	-5.3435	-0.9913	0.5557	3.9685	-4.4412	-2.2225	1.7779	-2.9689	6.2154
D09-ZH-R3	-2.3016	-2.1069	0.4139	-3.3046	-2.0557	2.377	-0.8694	5.3605	1.3108	-6.0213	0.43	0.0637	5.0702	-3.8707	-1.4797	1.039	-0.7985	6.743
D09-ZR-R2	-3.8606	-4.8603	-2.0736	-5.1343	-4.7584	3.225	-2.2838	6.3842	1.7448	-5.5473	1.225	-0.4464	6.7333	-1.6006	-0.1875	1.5871	2.4097	7.4436
D09-ZR-R3	-3.5859	-5.0162	-1.7387	-5.0431	-6.1062	3.5668	-2.9645	7.2113	1.7826	-5.3624	1.8054	0.1159	6.317	-1.5459	-0.4173	1.1396	1.8963	7.9454
D10-NF-R1	-4.4141	-3.5572	-0.5008	-3.715	-1.1371	1.7235	-0.842	-0.4435	-2.5112	-2.676	-3.9382	0.5505	8.4616	-0.8327	0.9164	1.7276	4.7074	6.4809
D10-NF-R2	-1.0148	-0.4638	1.8034	-2.446	-0.338	2.2668	-0.4064	0.3309	-2.3236	-3.6943	-8.2101	0.0172	6.5957	-2.1711	-0.1113	1.5987	1.7785	6.7882
D10-NF-R3	-2.1231	-1.7413	1.1177	-2.1873	2.8016	3.4493	1.5842	1.3982	-3.316	-5.6043	-11.7547	1.9121	7.0785	-2.7451	-1.1832	3.7599	2.9362	4.6172
D10-OF-R1	-1.7648	-2.2832	0.6786	-2.5312	0.9845	1.8782	0.1911	1.2812	-1.8712	-0.8839	-6.4257	2.0039	4.8297	-2.2735	-1.5332	3.7665	-0.4087	4.3617
D10-OF-R2	-4.2101	-3.371	-0.8609	-4.4812	-0.4915	2.9941	-1.4357	-1.0655	-2.8398	-6.7734	-7.8125	2.4687	7.8866	0.6166	2.2924	1.4192	6.0732	9.5909
D10-OF-R3	-3.4112	-3.426	-0.5626	-4.4805	0.295	2.6604	-0.8813	-1.2306	-3.9652	-5.69	-7.1321	1.5984	7.958	-0.5532	2.1067	1.655	5.4326	9.6268
D10-ZF-R1	-4.5243	-4.4191	-1.0685	-4.6075	-2.7599	2.3269	-1.5962	-1.2843	-2.8796	-3.5534	-7.1194	1.714	8.3675	2.0854	2.7227	1.1058	6.5557	8.934
D10-ZF-R2	-3.5657	-3.8728	-0.9902	-4.6948	-2.1735	1.8954	-1.8883	-1.6667	-2.9236	-5.4814	-6.7235	2.1041	8.326	2.3508	3.3688	0.8278	6.3454	8.7625
D10-ZF-R3	-3.6679	-3.788	-0.8027	-4.7149	-5.9232	1.8611	-1.9263	-1.8564	-2.9829	-5.5476	-6.013	2.2901	8.9952	3.4806	3.7663	0.7009	6.6855	9.4431
D10-ZH-R1	-1.6789	-1.0017	1.3335	-2.5268	0.465	2.4738	-0.0571	0.9319	-4.0643	-5.6133	-9.5389	2.0436	6.0563	-3.6178	1.34	3.0942	-0.2239	10.5846
D10-ZH-R2	-2.1619	-1.6612	0.986	-2.8588	0.5601	2.8281	1.2119	1.2741	-2.9038	-5.2148	-6.3173	1.2704	5.2202	-4.1111	0.5646	2.2374	-0.7168	9.793
D10-ZH-R3	-0.3825	-1.1944	1.1909	-2.5675	-1.7444	2.6887	0.0047	0.6255	-4.1519	-4.8707	-9.0759	1.2858	6.2396	-1.4973	1.6664	0.6654	0.0272	11.0905
D10-ZR-R1	-3.9902	-3.5614	-0.8884	-4.0748	-0.9347	1.7655	-1.1819	-0.398	-3.7795	-6.3808	-7.868	1.6297	7.8716	1.4475	2.9915	2.0529	6.0645	9.2343
D10-ZR-R2	-4.2413	-3.6613	-0.6789	-4.3055	-1.106	2.2696	-1.6207	-1.0288	-3.0147	-6.2468	-7.93	1.7181	7.8808	1.9685	3.2715	1.252	5.9639	9.5098
D10-ZR-R3	-3.7882	-3.6773	-0.9088	-4.5358	-5.6623	2.0372	-2.1315	-2.0386	-2.9665	-6.0744	-6.1402	2.2517	9.0059	3.6566	3.8413	1.1246	6.8991	9.1071
