Ascomycota	Basidiomycota	Proteobacteria	Verrucomicrobia	Lentisphaerae	Firmicutes	Actinobacteria (201174)	Bacteroidetes
D01-NF-R1	-2.5958	-3.8138	1.806	0.7146	-8.0161	5.6833	1.06	5.1619
D01-NF-R2	-1.7917	-2.6203	2.02	0.1178	-8.8603	5.6038	1.0145	4.5162
D01-NF-R3	-1.8282	-2.2525	1.3244	-0.2981	-8.1373	5.3351	0.5616	5.2951
D01-OF-R1	-2.7492	-4.1657	2.2463	0.5752	-8.5051	5.9586	1.066	5.5738
D01-OF-R2	-2.0272	-3.8143	2.1113	0.1924	-8.71	5.6342	0.8347	5.779
D01-OF-R3	-2.6597	-4.222	2.2516	-0.0826	-8.474	6.097	1.0861	6.0036
D01-OR-R1	-1.2159	-1.8086	1.3988	-0.0486	-8.8202	5.1455	1.3177	4.0313
D01-OR-R2	-0.1972	-0.955	1.7458	-0.114	-10.0007	4.0384	1.3422	4.1404
D01-OR-R3	-0.8536	-2.8126	1.2025	0.7189	-8.7233	5.0459	2.2384	3.1838
D01-ZF-R1	-2.1391	-4.4729	1.733	-1.6218	-8.6614	6.9439	0.7842	7.4341
D01-ZF-R2	-1.8988	-3.895	1.3839	-2.2884	-8.3558	6.6184	0.5165	7.9192
D01-ZF-R3	-2.2759	-4.1095	1.3044	-1.6836	-8.5973	6.8282	0.1888	8.3449
D01-ZH-R1	-1.8861	-4.3262	2.3911	-0.3803	-9.4855	6.5099	-0.1659	7.3431
D01-ZH-R2	-1.505	-2.1759	2.3349	-1.5997	-9.8797	5.9841	-0.4107	7.2519
D01-ZH-R3	-1.3092	-1.6418	1.722	-1.7076	-10.3518	6.0217	0.5748	6.6919
D01-ZR-R1	-1.9737	-4.5886	2.156	-1.5302	-8.6788	6.8632	1.1674	6.5847
D01-ZR-R2	-1.7599	-3.1059	1.3795	-2.4625	-7.5935	6.996	1.9437	4.6026
D01-ZR-R3	-3.0034	-4.2007	4.149	-2.6552	-9.1522	6.3388	0.4263	8.0974
D02-NF-R1	-1.8473	-3.5719	2.0425	-4.681	-8.5678	8.1608	2.0769	6.3879
D02-NF-R2	-1.3724	-1.8316	2.2662	-5.6409	-8.296	7.6441	1.9959	5.2348
D02-NF-R3	-1.5784	-1.3088	2.0316	-5.5132	-9.1134	7.7047	2.0258	5.7516
D02-OF-R1	-2.0965	-4.0553	3.0546	-4.7167	-8.4434	8.0375	1.4952	6.7245
D02-OF-R2	-1.0713	-3.1455	2.6173	-5.0477	-8.8374	7.4809	1.718	6.2856
D02-OF-R3	-1.7994	-4.0409	2.8527	-4.8307	-8.643	7.9866	1.2304	7.2444
D02-OR-R1	-0.3523	-0.6643	1.8854	-3.0199	-10.6761	6.2209	1.8059	4.8004
D02-OR-R2	0.3173	1.1099	2.6726	-6.7063	-8.3364	4.633	2.7282	3.5817
D02-ZF-R1	-2.0777	-3.7648	2.361	-4.8391	-8.0417	7.5821	1.6563	7.124
D02-ZF-R2	-1.5371	-3.4073	1.964	-4.8283	-7.5486	7.6565	1.803	5.8979
D02-ZF-R3	-2.0282	-3.7223	2.0963	-4.8428	-7.8278	7.4795	1.899	6.9463
D02-ZH-R1	-1.0858	-2.1044	3.7937	-4.2072	-11.6442	6.7138	0.0447	8.4894
D02-ZH-R2	0.8773	-0.7723	3.0047	-6.4363	-9.3067	5.3923	0.3431	6.8978
D02-ZH-R3	0.1488	-2.1463	3.3975	-6.0556	-10.1093	6.5655	0.0879	8.1115
D02-ZR-R1	-2.0639	-4.1942	2.3576	-4.6821	-8.3514	7.3928	1.6309	7.9105
D02-ZR-R2	-1.6774	-3.5331	2.3238	-4.6867	-8.289	6.8149	1.8061	7.2415
D02-ZR-R3	-1.7599	-3.769	2.611	-4.9479	-7.9636	7.4146	2.1271	6.2876
D03-NF-R1	-1.6712	-2.6606	1.4816	-2.7596	-8.3657	6.2881	3.3195	4.3678
D03-NF-R2	-1.7242	-1.9698	1.1948	-2.3673	-8.0919	5.8164	2.5762	4.566
D03-NF-R3	-1.8153	-1.5887	1.132	-2.2497	-8.7175	5.936	3.0011	4.302
D03-OF-R1	-1.5497	-3.5149	1.3113	-2.8933	-9.021	6.5941	3.8032	5.2703
D03-OF-R2	-1.1051	-2.9272	1.4837	-3.307	-9.2401	6.258	3.7347	5.103
D03-OF-R3	-1.9215	-3.4159	1.3634	-2.4128	-8.7436	6.4767	3.6057	5.048
D03-OR-R1	-0.5522	-1.466	1.7645	-2.53	-10.8477	4.8686	3.7489	5.0138
D03-OR-R2	-0.1833	0.0071	1.8639	-3.5245	-10.3562	4.7117	3.1049	4.3764
D03-OR-R3	-0.5919	-0.372	1.3346	-2.7822	-9.9002	4.382	3.4241	4.5055
D03-ZF-R1	-2.0968	-3.9439	1.5627	-3.0394	-7.8598	6.7789	2.4438	6.1545
D03-ZF-R2	-2.2138	-3.0969	2.2504	-4.0687	-8.905	6.6006	2.9803	6.4531
D03-ZF-R3	-2.35	-3.834	2.0411	-3.7459	-8.0107	6.7122	2.6963	6.4911
D03-ZH-R1	-2.0666	-2.0651	1.8347	-1.0954	-10.2341	5.3489	0.6375	7.6401
D03-ZH-R2	-0.4179	-1.4032	2.6214	-4.0892	-10.9501	5.6199	0.5201	8.099
D03-ZH-R3	-2.1361	-1.9328	1.7167	-5.278	-5.9058	4.5407	1.9722	7.0232
D03-ZR-R1	-2.3123	-3.4361	3.3857	-3.7135	-8.7481	6.0691	1.2304	7.5248
D03-ZR-R2	-2.2331	-3.3012	2.3418	-2.8502	-8.9454	6.1135	2.0591	6.8156
D03-ZR-R3	-2.4362	-3.6325	1.9898	-2.9199	-8.2632	6.427	2.4781	6.3569
D04-NF-R1	-1.591	-2.9421	0.566	-4.7627	-1.8868	5.9551	1.4969	3.1646
D04-NF-R2	-1.6693	-2.9885	0.7813	-4.5051	-2.4418	6.1461	1.2021	3.4752
D04-NF-R3	-1.4277	-2.5634	0.5114	-4.8366	-1.6244	5.8648	0.7492	3.3267
D04-OF-R1	-0.2971	-1.1849	-0.5039	-4.3818	-0.2129	4.3409	-0.4933	2.7329
D04-OF-R2	-0.8915	-1.6554	-0.0311	-4.8171	-0.915	4.9495	0.0482	3.3124
D04-OF-R3	-0.7874	-1.8608	-0.1404	-4.815	-1.2993	5.1595	0.2989	3.4446
D04-OR-R2	-0.4025	-0.3492	1.1814	-5.2773	-3.4307	4.5729	1.5136	2.1919
D04-OR-R3	-0.6664	-0.1313	0.7993	-5.1377	-3.0235	4.6406	1.1126	2.4063
D04-ZF-R1	0.2918	-0.8641	-0.3318	-3.885	-1.2048	3.5975	-0.0313	2.4276
D04-ZF-R2	0.4634	-0.7901	-0.0986	-4.0193	-1.4216	3.6605	-0.4507	2.6565
D04-ZF-R3	0.4839	-0.769	-0.2841	-3.7891	-1.3813	3.6276	-0.4475	2.5596
D04-ZH-R1	-0.5416	-1.757	0.1453	-4.6132	-0.9253	4.0031	-0.8088	4.4973
D04-ZH-R2	-0.3666	-1.2964	0.6641	-5.1495	-1.5227	3.7789	-0.5027	4.3948
D04-ZH-R3	-0.2663	-1.3862	0.0659	-4.4395	-1.1128	3.7613	-1.2341	4.6117
D04-ZR-R1	0.5067	-0.734	-0.4282	-3.806	-0.9064	3.1466	-0.8493	3.0705
D04-ZR-R2	0.3306	-0.907	-0.2428	-4.0372	-0.7746	3.5214	-0.8045	2.914
D04-ZR-R3	0.8882	-0.324	-0.1004	-3.6652	-0.4045	1.8938	-1.6966	3.4087
D05-NF-R1	-2.3439	-3.464	0.2341	2.3865	-7.2339	4.4835	2.3724	3.5655
D05-NF-R2	-1.2627	-3.0472	1.2364	0.2163	-7.0227	4.6685	2.5345	2.6769
D05-NF-R3	-2.9381	-3.8039	0.519	2.1246	-6.4973	4.8642	2.8033	2.9281
D05-OF-R1	-2.6912	-4.6991	2.374	1.9034	-7.2412	4.4787	1.2722	4.6032
D05-OF-R2	-2.3326	-3.2576	2.066	1.5619	-7.8118	4.3099	1.2799	4.1843
D05-OF-R3	-1.8482	-4.6257	1.6489	0.931	-6.907	4.805	1.9044	4.0917
D05-ZF-R1	-1.9344	-4.2335	2.6305	-1.6836	-7.3299	5.3212	1.2768	5.9529
D05-ZF-R2	-1.9284	-4.5012	1.9437	-0.0636	-6.578	5.3996	1.4386	4.2894
D05-ZF-R3	-2.1714	-5.1061	2.9948	-0.5857	-6.5369	5.312	0.6439	5.4493
D05-ZH-R1	-1.9337	-3.1065	3.0118	0.1339	-7.9656	3.9538	-0.1264	6.0327
D05-ZH-R2	-1.3815	-0.9717	1.9478	-1.5933	-6.6087	3.1609	0.9039	4.5426
D05-ZH-R3	-0.7613	-3.1536	3.2264	0.2288	-8.539	3.4041	-0.3634	5.958
D05-ZR-R1	-1.9579	-4.2519	2.4722	-1.0938	-6.7403	5.349	1.4054	4.8174
D05-ZR-R2	-2.0655	-4.051	2.7499	-1.7344	-7.0039	5.4592	1.3538	5.2918
D05-ZR-R3	-1.7311	-4.4705	3.0983	-1.5672	-6.6174	5.3273	0.9458	5.0149
D06-NF-R1	-2.1383	-2.6241	0.0973	-5.7503	-7.687	7.1214	6.2282	4.7527
D06-NF-R2	-0.649	-0.7932	0.6625	-6.2739	-7.517	6.967	3.1905	4.4131
D06-NF-R3	-0.2629	-2.4696	0.5859	-5.8092	-7.4755	7.025	3.2222	5.1843
D06-OF-R1	-0.8697	-0.4641	1.4526	-1.7919	-7.2463	3.7107	1.7146	3.4942
D06-OF-R2	-1.1617	-3.0266	1.199	-5.18	-9.1815	6.7996	3.1143	7.4369
D06-OF-R3	-2.2752	-3.358	0.8874	-5.7557	-7.3465	7.3671	3.0928	7.3882
D06-OR-R1	-1.7013	-2.1438	0.2897	-3.7166	-7.8599	5.6531	2.9989	6.4799
D06-OR-R2	-0.7268	-0.5034	1.5511	-5.9705	-8.4461	5.3806	2.349	6.3662
D06-OR-R3	-0.6935	-3.0639	0.4683	-5.0902	-7.6113	6.1574	2.9392	6.8941
D06-ZF-R1	-2.1234	-3.716	0.5221	-5.0286	-6.8407	7.5144	3.2377	6.4345
D06-ZF-R2	-1.2724	-3.1954	0.5659	-5.0387	-7.0142	7.3514	2.8426	5.7607
D06-ZF-R3	-1.9762	-4.5024	0.4813	-3.831	-7.2266	7.8292	2.5923	6.6335
D06-ZH-R1	-1.6455	-2.0012	1.7349	-3.2965	-9.8912	5.6725	0.8666	8.5604
D06-ZH-R2	0.1341	-0.8374	2.1281	-5.4705	-10.3838	5.531	0.7457	8.1527
D06-ZH-R3	-0.8805	0.1914	1.649	-5.6438	-9.5556	5.3157	1.2797	7.644
D06-ZR-R1	-2.0544	-3.2066	0.8232	-5.3545	-7.2178	6.6154	3.1479	7.2467
D06-ZR-R2	-1.822	-2.9832	0.6636	-5.5154	-7.069	6.8833	3.2191	6.6237
D06-ZR-R3	-2.083	-3.0873	0.8903	-5.3471	-6.8278	6.4505	2.7881	7.2163
D07-NF-R1	-2.4475	-3.3723	2.69	-6.2396	-1.8875	5.6034	0.6178	5.0356
D07-NF-R2	-1.4695	-2.891	2.3771	-6.1145	-2.9828	5.5753	0.5443	4.9611
D07-NF-R3	-1.6265	-3.5371	2.6505	-5.9363	-3.4824	5.9355	0.4455	5.5508
D07-OF-R1	-2.8394	-5.4496	5.265	-6.513	0.2975	4.7569	-0.5469	5.0294
D07-OF-R2	-2.5805	-4.8563	4.4646	-6.5876	-0.2883	5.2208	0.2025	4.4249
D07-OF-R3	-2.4637	-3.1304	4.5658	-6.9154	-0.7155	4.4964	-0.6296	4.7924
D07-OR-R1	-1.107	-1.2451	2.8852	-8.0171	-2.1231	4.3361	1.6922	3.5787
D07-OR-R2	-0.3781	-1.2646	1.8307	-6.1811	-2.1907	4.2389	0.506	3.439
D07-OR-R3	-1.2124	-0.21	1.6398	-6.6234	-2.1281	3.7432	0.7943	3.9967
D07-ZF-R1	-3.2349	-5.6799	5.0499	-6.5314	0.2713	5.5755	-0.2397	4.7893
D07-ZF-R2	-3.0707	-5.2438	5.575	-7.1398	0.1444	5.7782	-0.1349	4.0917
D07-ZF-R3	-2.7211	-5.6691	5.008	-6.8724	-0.3161	6.0033	-0.2329	4.8003
D07-ZH-R1	-2.4198	-3.0328	4.8516	-7.3914	-0.5843	3.8844	-0.4394	5.1316
D07-ZH-R2	-1.2337	-2.9284	4.4023	-7.4367	-0.5322	3.9364	-1.116	4.9083
D07-ZH-R3	-1.8361	-3.8302	4.6936	-6.4926	-0.2785	4.0985	-2.0821	5.7273
D07-ZR-R1	-2.4675	-6.4893	6.7112	-7.8634	1.3115	4.5349	-0.7784	5.0411
D07-ZR-R2	-2.4263	-4.6234	5.5354	-7.3848	-0.054	5.2435	-0.8136	4.5234
D07-ZR-R3	-2.2015	-5.5645	6.283	-8.0676	0.8596	5.2959	-1.2503	4.6453
D08-NF-R1	-0.7557	-1.2012	2.1101	-5.4704	-7.861	6.4217	2.2837	4.4729
D08-NF-R2	-1.3694	-1.9403	3.1495	-5.0479	-8.0588	6.6324	1.9867	4.6478
D08-NF-R3	-0.4327	-2.5292	2.5376	-4.8123	-7.9615	6.5951	1.6036	4.9994
D08-OF-R1	-1.7229	-3.506	1.7095	-4.5646	-7.6154	6.715	1.7822	7.2021
D08-OF-R2	-1.7711	-2.6794	2.0437	-4.8703	-8.2628	6.5339	1.5582	7.4479
D08-OF-R3	-1.4517	-3.7988	2.0202	-4.7817	-8.1944	6.8932	2.3513	6.9619
D08-OR-R1	-0.9495	-0.8716	3.1583	-5.5753	-8.3358	5.3139	1.9076	5.3523
D08-OR-R2	-0.5371	-0.1357	2.7411	-5.2203	-8.2134	4.5738	1.7143	5.0774
D08-OR-R3	-0.1688	1.4323	2.9708	-5.0364	-11.2817	4.3222	2.3156	5.4458
D08-ZF-R1	-2.0057	-3.8211	2.1449	-4.3725	-8.1871	7.1315	1.9676	7.1425
D08-ZF-R2	-1.9421	-3.5426	1.7448	-4.2716	-7.4928	7.2632	1.8638	6.3774
D08-ZF-R3	-2.24	-2.6878	2.1217	-4.6269	-8.0604	6.3789	0.9652	8.1493
D08-ZH-R1	-0.9051	-0.4792	2.9297	-5.2774	-9.7821	4.6759	1.7694	7.0688
D08-ZH-R2	1.0539	-0.4295	3.145	-4.5106	-11.392	4.3697	0.7638	6.9998
D08-ZH-R3	-1.7707	-1.7705	3.503	-3.7811	-9.8959	5.6209	0.0294	8.0649
D08-ZR-R1	-2.2272	-4.0677	3.149	-4.0972	-7.8297	6.7458	1.4015	6.9255
