Bromoviridae	Virgaviridae	Saccharomycetaceae	Malasseziaceae	Moraxellaceae	Pseudomonadaceae	Enterobacteriaceae	Rhodospirillaceae	Comamonadaceae	Sutterellaceae	Desulfovibrionaceae	Akkermansiaceae	Staphylococcaceae	Streptococcaceae	Lactobacillaceae	Leuconostocaceae	Clostridiaceae	Lachnospiraceae	Eubacteriaceae	Oscillospiraceae	Ruminococcaceae	Candidatus Borkfalkiaceae	Erysipelotrichaceae	Selenomonadaceae	Acidaminococcaceae	Veillonellaceae	Bifidobacteriaceae	Micrococcaceae	Corynebacteriaceae	Propionibacteriaceae	Coriobacteriaceae	Atopobiaceae	Eggerthellaceae	Bacteroidaceae	Rikenellaceae	Prevotellaceae	Odoribacteraceae	Barnesiellaceae	Tannerellaceae
D03-ZR-R3	-12.468	-9.141	-4.9966	-2.3481	1.1599	-1.4074	0.3676	-4.1484	-1.9216	3.1913	-0.3956	-1.0363	-0.9217	0.0404	-3.1753	-6.4272	5.3775	5.4662	4.2301	4.4903	7.5045	-7.2386	1.6314	3.7266	0.2602	2.8896	2.1432	-3.4213	-3.6889	-1.7999	4.1599	-2.9919	0.2795	6.1857	5.3747	7.9393	-3.3573	1.3066	3.1606
D04-NF-R1	-5.9242	6.4862	-4.3165	-2.2254	-1.6412	-1.5584	-0.2772	-2.7558	-2.0954	0.2739	1.5501	-4.1487	-0.8869	-2.7502	-3.1108	-3.5669	5.9206	5.4637	2.3085	5.9555	6.3906	-6.7543	-0.9638	-1.0331	-2.249	0.9829	3.2215	-2.2714	-3.0599	-0.2327	1.6909	-0.35	-1.4449	3.8065	2.779	4.7791	-0.538	0.8053	1.7403
D04-NF-R2	-6.3476	6.2971	-4.5725	-2.0797	-1.3771	-1.069	0.2516	-2.6419	-1.9293	0.7287	1.5241	-3.5349	-1.8575	-3.4611	-3.7677	-5.5564	6.1801	5.2115	2.0406	6.2742	6.6439	-5.5629	-0.8812	-0.8729	-1.9773	1.1471	2.7574	-1.9725	-2.8709	-0.8564	1.5541	-0.3858	-1.6112	4.1471	2.9666	5.1432	-0.7738	0.8754	2.2168
D04-NF-R3	-5.2585	7.3014	-4.0005	-1.223	-1.3662	-1.304	-0.1082	-2.6784	-2.0798	0.6607	1.4603	-4.1304	-0.7327	-3.1884	-3.4338	-5.163	6.212	5.3169	2.1002	5.9853	6.4685	-6.3851	-0.8844	-2.3113	-2.0721	0.8732	2.5625	-2.1805	-2.7865	-0.808	0.8056	-0.878	-1.7239	4.0919	3.219	5.1541	-0.6454	1.0726	2.0576
D04-OF-R1	-3.922	8.1662	-0.3754	-0.2309	-0.4568	-1.4966	0.2132	-2.9882	-2.9404	0.638	0.1996	-4.4359	-0.6159	-3.1385	-4.3811	-4.7033	4.054	4.9285	2.7037	5.0777	6.2016	-6.4014	-0.862	-2.8215	-2.3617	-1.0324	1.2669	-2.8275	-3.9844	-1.9259	1.2507	-0.0662	-1.4418	4.5458	3.4251	4.9079	0.6683	2.7596	2.4031
D04-OF-R2	-5.7718	6.571	-1.5577	-0.5623	-0.4284	-1.7529	0.9552	-3.0456	-2.5568	0.3446	0.16	-4.7166	-1.081	-3.2287	-3.6276	-5.0186	4.6743	5.0211	2.2828	5.4636	6.1673	-6.2399	-0.6156	-2.419	-1.973	-0.2352	1.7578	-2.453	-3.2561	-0.9072	1.198	-0.8654	-1.8583	4.8833	3.9405	4.8114	0.4701	2.84	2.6295
D04-OF-R3	-5.7792	6.2918	-1.3974	-1.3144	-1.0694	-1.5528	0.0879	-2.8025	-2.6359	0.4891	0.5561	-4.4425	-2.163	-3.1903	-3.7428	-5.845	4.8576	5.2858	2.4145	5.6995	6.5181	-6.1833	-0.3285	-2.5381	-1.5061	0.3048	2.3572	-2.1777	-3.5614	-3.1135	1.3346	-0.3802	-1.3899	5.2633	4.0194	4.7529	0.668	3.3105	2.9026
D04-OR-R2	-1.8662	6.896	-2.657	1.9339	-0.5794	-0.2538	1.9968	-2.2802	0.3221	-1.0786	-0.1105	-5.8757	1.9426	-1.6081	-2.6427	-0.828	2.5403	4.5368	1.1427	4.5464	4.8311	-7.3852	-2.6268	-2.0685	-5.0116	-1.842	1.8172	-1.4504	0.0093	3.0121	-0.0536	-0.536	-2.039	3.1592	2.5848	3.0666	-3.4482	0.8645	1.0391
D04-OR-R3	-1.1779	7.1096	-2.5335	2.3554	-1.0622	0.2424	1.3731	-2.2372	-0.3563	-0.41	0.153	-5.2228	2.0591	-0.8965	-3.5055	-1.4638	2.6483	4.3554	0.5819	4.8664	4.894	-8.8992	-1.7226	-2.8864	-4.8356	-2.2445	1.6212	-1.0358	0.2089	2.4806	-0.3318	-1.3398	-2.0926	3.2056	3.5782	3.1323	-3.1433	0.9113	1.6208
D04-ZF-R1	-6.0271	5.9374	1.4284	0.7599	1.2378	-0.8126	0.8862	-2.2694	-1.8854	0.0176	-0.2033	-4.7981	-1.3051	-2.2048	-4.2116	-4.3612	3.9137	5.3339	1.5972	3.8498	5.9471	-6.763	-0.408	-1.4177	-3.5669	-0.9245	2.4103	-2.5264	-3.0104	-1.0413	2.3501	0.5378	-1.3629	2.999	2.682	6.1342	-0.6818	0.249	1.5101
D04-ZF-R2	-6.6674	5.7631	1.342	0.7379	1.1905	-0.2302	1.5717	-2.5448	-1.9043	0.3885	-0.2641	-4.9443	-0.9765	-2.1831	-3.9117	-4.5552	4.0325	5.2665	1.6835	3.5924	6.0638	-6.8726	-0.2079	-1.5444	-3.6763	-1.1762	1.8039	-2.5351	-3.0103	-1.335	1.5058	0.124	-1.6277	3.2086	2.9924	6.2482	-0.0165	0.4116	2.2568
D04-ZF-R3	-6.3363	6.0354	1.6784	0.8194	1.3339	-0.5674	1.1018	-2.3144	-1.9932	0.268	-0.2639	-4.7567	-2.0987	-1.8793	-4.0756	-5.0643	4.0983	5.3591	1.7277	3.9581	6.0804	-6.8161	0.0958	-1.5438	-3.3452	-1.2686	1.9697	-2.3727	-2.9385	-1.3375	1.6566	0.2185	-1.7267	3.223	2.9065	6.3025	-0.4532	0.4916	1.8273
D04-ZH-R1	-6.7904	5.5579	0.827	0.3147	1.1345	-0.9991	1.401	-3.1173	-1.1753	1.0787	1.2601	-6.8705	0.1205	-0.8147	-3.9039	-0.9353	3.6175	5.5588	1.7298	3.2237	5.4902	-9.3109	-2.3693	-1.2066	-4.8235	-3.0876	0.3687	-2.4383	-1.711	1.595	-1.0949	-2.6183	-4.4858	5.3912	3.6615	7.5757	0.9589	2.7752	4.112
D04-ZH-R2	-7.4651	5.1102	0.6788	1.2681	1.1275	-0.4817	1.8924	-1.8241	-0.1125	0.8533	0.7341	-6.2364	-0.6389	-1.1352	-3.6722	-1.1182	3.4943	5.023	1.7129	3.1939	5.2609	-8.8805	-2.6867	-0.848	-6.1078	-3.0151	0.6447	-1.9479	-1.3507	1.7262	-1.3087	-3.0907	-3.9663	5.2304	3.3635	7.4558	0.5984	2.8094	3.7089
D04-ZH-R3	-6.7044	5.7437	1.0853	0.9388	1.4825	-0.7124	0.8097	-2.6948	-1.8513	1.2034	1.2539	-5.8283	-0.5029	-1.2766	-4.883	-2.0695	3.7857	5.0576	1.1625	3.2526	5.6142	-7.9153	-2.1188	-1.3187	-4.3733	-3.1595	0.2992	-2.8205	-1.605	0.6959	-1.3662	-2.4859	-4.4019	5.6108	4.1633	7.7055	0.7495	3.2111	4.263
D04-ZR-R1	-5.5193	6.7921	2.0606	0.9513	1.606	-0.8889	0.8554	-2.4354	-2.1992	0.4884	-0.6744	-4.7732	-1.8002	-1.5135	-4.8322	-3.5352	4.1141	4.9346	1.4428	3.5182	5.6967	-7.0858	-0.2032	-1.6478	-3.9894	-1.8362	1.6701	-2.7133	-3.2725	-1.2163	1.2876	-0.3882	-1.9538	3.6807	3.6024	6.93	-0.0123	0.7188	2.1402
D04-ZR-R2	-6.3425	5.5405	1.664	0.5242	1.303	-0.566	1.5197	-0.8071	-2.0517	0.0422	-0.6102	-5.4737	-2.0673	-1.9017	-4.0088	-4.2364	4.0483	5.805	1.5061	3.5529	5.5939	-7.0837	-0.2985	-2.0194	-3.712	-0.8975	1.5978	-2.408	-3.058	-1.5373	0.305	0.3426	-1.202	3.7368	3.5958	6.5417	-0.4344	1.4739	2.0225
D04-ZR-R3	-4.9713	7.4311	2.7648	1.6207	2.2677	-0.2618	1.7099	-1.8759	-1.7014	1.248	-0.3118	-5.995	-0.435	-0.9692	-5.095	-4.4058	2.9137	4.2391	0.5057	2.6097	4.4456	-6.4441	-0.7223	-1.3161	-4.4809	-2.4375	0.2529	-2.3924	-2.9374	-1.3929	-0.7772	-1.5943	-2.9405	4.3789	4.0557	7.6011	1.0409	1.5373	2.8351
D05-NF-R1	-12.3955	-4.8452	-4.2722	-0.632	-3.0412	-0.5285	0.1308	-4.2572	-0.7722	2.2429	1.3516	5.7479	-0.233	-1.0274	-4.8264	-1.2204	3.654	5.5091	2.7722	3.3951	6.4985	-0.0162	-1.1195	-4.3169	-5.8097	1.8477	2.812	-1.4192	-2.3853	1.0837	5.2916	-3.9425	1.4589	5.7872	4.6924	-2.5404	-0.5096	0.6217	5.213
D05-NF-R2	-12.1256	-8.0901	-2.8653	-0.3717	-3.4563	0.2403	1.8436	-3.4759	-0.2809	3.3953	1.9392	3.6765	-1.1005	-0.3328	-4.4247	-4.1289	3.4734	4.3119	1.3731	3.3471	6.9723	-0.9337	-0.5952	-2.8889	-4.462	3.667	3.4217	0.3399	-1.7897	0.7934	5.4969	-2.2113	1.0413	5.4018	4.2132	-2.0666	-1.2224	-1.1518	3.0262
D05-NF-R3	-11.8687	-10.1142	-7.8768	-0.4586	-3.7392	-1.1359	0.5414	-3.4913	-1.7337	2.8361	2.6745	5.8998	-0.8216	-0.6979	-4.1873	-4.3123	4.4124	5.343	2.9246	3.8178	7.4646	0.0719	-0.819	-2.9765	-4.5473	3.4164	3.0565	-0.0366	-2.0483	0.0523	6.2968	-2.6485	1.8291	5.8523	4.9644	-2.0672	0.0916	0.5316	3.5039
D05-OF-R1	-13.6099	-4.06	-6.6152	-2.3759	-4.7819	-1.51	-1.0089	-3.7348	-0.9606	5.7583	1.5486	5.4694	-1.3133	-0.61	-4.9572	-2.6963	3.1257	4.2799	1.5817	2.9603	6.2715	-0.0218	-1.4515	-3.3042	-4.759	4.1388	2.0208	0.0362	-3.1656	0.4651	4.1651	-2.6733	0.7288	6.8203	6.9607	-1.1526	2.0026	1.0049	5.4231
D05-OF-R2	-12.2623	-3.9824	-2.4064	-0.4252	-2.45	-1.5664	-0.0226	-3.9027	-1.5081	5.0228	0.8495	4.7777	0.6012	-0.5815	-3.6296	-3.6409	2.864	3.6118	1.8705	2.7182	5.8065	-1.0717	-1.7788	-3.7451	-5.5353	3.3477	1.5758	-0.5852	-1.9775	0.8974	3.7575	-3.1639	0.5905	5.6904	6.606	-1.4033	1.059	0.0068	3.9854
D05-OF-R3	-13.7788	-6.7871	-4.9886	-4.5041	-5.3725	-0.7801	0.1712	-3.2072	-1.0704	4.9427	2.1481	4.6713	-1.8143	0.4504	-4.3634	-6.0963	3.8011	4.5423	2.242	3.2953	6.7079	-0.1747	-0.4675	-2.6681	-3.814	4.4114	3.1108	0.4121	-3.1838	-0.7053	5.0421	-1.9277	1.4454	6.595	6.6882	-1.2393	1.4295	0.2816	4.5548
D05-ZF-R1	-14.2031	-0.2367	-4.5706	-3.0154	-5.1731	-1.7464	-0.3976	-3.7157	-2.0579	5.1872	1.0823	1.0402	-1.3555	-1.6252	-4.6159	-3.0636	3.4611	4.4524	2.7977	2.5924	6.5282	2.2801	-0.0476	-3.3285	-4.7159	3.594	1.9136	-1.277	-3.0388	0.1912	3.0539	-2.9973	-2e-04	7.9589	5.746	-0.9048	1.5122	1.8619	6.8338
D05-ZF-R2	-14.0451	-10.5534	-3.9983	-4.0819	-4.6618	-1.1339	2.4759	-3.3536	-1.0298	4.4835	1.3762	3.1127	-3.2182	-0.1774	-3.4321	-3.7997	3.8212	4.5909	2.3569	3.6281	7.2305	2.3961	0.4718	-2.8198	-3.8956	4.9866	2.1535	-0.4524	-2.842	-1.1131	3.4572	-1.6365	1.268	6.683	5.1978	-1.299	1.2438	1.5898	5.02
D05-ZF-R3	-13.2655	-9.0612	-3.6196	-6.5702	-4.6955	-1.3783	0.7711	-3.3756	-1.3601	6.0573	1.0529	2.614	-1.1464	-1.1076	-4.2282	-3.7472	3.7424	4.1744	2.6292	3.2927	6.8518	3.587	0.2921	-2.8456	-3.73	4.0957	1.5091	-0.531	-3.5623	-1.3834	2.6158	-2.2717	0.2051	7.6954	6.2097	-0.794	2.274	2.1422	6.8615
D05-ZH-R1	-13.2673	-5.4523	-3.288	-0.6347	-2.8444	1.0603	1.2912	-4.2756	-0.694	5.8158	2.5171	3.2452	-0.2867	-1.2211	-5.3181	-1.2859	3.1545	3.5076	0.7746	2.4024	5.3067	0.9822	-2.2106	-3.6062	-5.7144	2.161	1.2234	-1.3301	-2.442	1.0555	-0.0963	-3.4731	-1.2241	8.4812	5.7974	-0.8476	1.7304	1.8316	7.1743
D05-ZH-R2	-12.2599	1.9285	-3.6223	1.9592	-1.1991	0.481	1.484	-4.1321	-0.4774	4.4	0.9728	1.4969	0.4584	-1.3404	-5.0188	-1.8445	2.7687	2.687	0.1678	2.3589	4.4481	-0.7577	-3.3301	-3.0197	-5.8056	0.77	0.8551	-1.1281	0.4175	3.1671	-0.4008	-3.7566	-2.3966	6.9486	4.361	0.9039	0.9025	0.902	5.6508
D05-ZH-R3	-8.6112	-5.2319	-1.6683	-1.6072	-1.5313	0.788	1.5379	-3.6425	-0.2939	6.2606	2.8693	3.5416	-0.3927	-2.3156	-5.2085	-5.4337	3.1287	3.2663	0.1408	2.2072	5.048	1.49	-2.832	-4.4989	-5.7565	1.8578	1.7256	-1.6385	-2.9848	-0.1005	0.3338	-4.3326	-1.5092	8.5701	6.2227	-0.7763	1.9429	2.1716	7.2632
D05-ZR-R1	-14.4647	-9.4624	-4.0166	-2.5372	-4.8383	-1.3969	-0.1928	-3.3331	-1.0035	5.2117	2.1398	1.9551	-1.3234	-1.086	-4.5988	-2.8432	3.8552	4.617	2.5661	3.3221	6.6745	2.6764	-0.2847	-2.7135	-4.1039	3.811	2.2486	-0.2447	-2.6697	0.5489	3.2477	-2.3144	1.3837	6.8462	5.9199	-1.1833	0.762	0.9616	5.8638
D05-ZR-R2	-13.4531	-6.511	-3.6082	-2.6603	-4.8117	-1.5868	1.0858	-3.6355	-1.8313	5.3093	1.3547	1.0008	-2.1695	-0.9612	-3.522	-3.5457	3.6109	4.5957	3.3288	2.9421	6.649	2.6301	0.4315	-3.0928	-4.2754	3.2142	1.7853	-0.678	-3.3083	-0.4675	3.237	-2.6959	0.864	7.232	5.5124	-0.562	1.1535	1.2376	6.2018
D05-ZR-R3	-14.329	-7.4986	-3.8473	-5.0051	-4.4885	-0.7966	0.1941	-2.0544	-1.2639	6.0756	2.4188	1.5865	-3.1177	-2.0771	-4.4115	-4.382	3.7928	4.3854	2.9484	3.5137	6.5739	3.1365	0.2088	-2.6765	-3.9204	4.6604	1.8471	-0.1107	-3.4572	-0.5887	2.7796	-2.3191	1.126	6.9858	6.4552	-1.0172	1.4022	0.9892	6.2814
D06-NF-R1	-7.6253	1.1916	-6.4652	-1.2522	-2.5785	-0.1738	-0.1535	-3.4515	-1.2073	-1.2866	-2.9815	-4.8385	-0.7803	-0.4652	-3.3309	-1.6646	6.2888	7.0223	3.536	5.4168	9.0266	-4.0022	-0.7757	-3.6564	-3.8319	2.366	8.6941	-1.9599	-1.7263	1.5514	5.7697	4.3132	2.3145	6.9947	5.6538	-2.1838	-3.2649	-10.0937	-0.3898
D06-NF-R2	-5.1895	2.9347	-3.7769	1.4404	-1.4048	-0.027	1.2972	-2.6807	0.1473	-2.3603	-3.8666	-5.0058	0.2954	-0.7073	-3.3764	-1.2994	6.3232	7.2292	3.9086	5.3535	8.4148	-5.482	-1.3915	-3.9389	-4.2617	0.1819	4.9944	-1.458	-0.9661	2.1992	3.5168	1.3551	1.4975	6.2986	5.6567	-1.077	-4.8517	-9.0292	-0.8937
D06-NF-R3	-4.9254	3.2111	-2.3572	-1.8433	-2.4877	0.7513	1.1742	-3.0317	-0.0803	-1.1056	-3.1694	-5.4039	-0.1007	-1.3222	-3.3674	-5.5592	6.638	7.207	3.4867	6.2828	9.0159	-4.6517	-0.1898	-3.4379	-3.6961	1.5936	5.481	-2.9294	-2.5385	-0.4993	3.9858	2.1574	2.7134	6.8852	7.421	-2.1867	-4.6968	-8.4243	2e-04
D06-OF-R1	-10.8986	1.5804	-3.0664	2.4617	-0.0577	1.1078	2.7489	-4.53	2.2737	-0.9156	-0.4429	1.5192	1.897	1.327	-2.4638	2.3441	3.0979	5.1249	1.3803	1.4236	5.7956	-2.9163	0.5264	-2.2212	-10.9784	0.772	2.145	0.8473	0.7518	4.2515	-1.352	-6.6887	0.1928	5.6116	5.6968	0.351	-0.8176	-11.0187	3.1395
D06-OF-R2	-6.6028	-1.2992	-2.3999	-1.3586	-0.8343	-0.1054	0.6703	-3.7424	-1.3435	1.1826	-3.8387	-5.2459	-0.8138	2.3342	-2.5952	-4.3352	5.3974	6.1097	3.5408	4.3764	8.79	-5.1729	0.8704	-4.289	-4.6848	3.0859	5.013	-3.6842	-2.8354	-0.436	3.7581	0.083	2.8479	9.7508	8.0049	-0.7495	-2.9668	-7.9511	1.4692
D06-OF-R3	-5.0039	2.9261	-3.89	-1.8944	-1.7175	-1.0966	-0.0614	-3.8743	-1.6914	1.476	-3.343	-5.1337	-1.2395	1.0479	-1.8124	-4.4751	5.5154	6.3653	3.5516	5.6719	8.7819	-4.1472	0.3259	-3.7206	-3.9007	2.2408	4.4394	-4.0272	-3.3569	-1.3869	3.5956	0.6943	2.8911	9.1769	8.1739	-1.4423	-3.747	-7.4032	1.4913
D06-OR-R1	-4.2402	2.5114	-5.3293	-0.075	-2.2556	-0.6954	0.1814	-3.7639	-0.4346	0.2053	-2.6375	-1.3082	0.9486	-0.9229	-3.7325	-0.1756	5.4763	4.8956	1.8255	4.9813	6.414	-5.7321	-0.4868	-4.2471	-4.6936	0.7269	5.1905	-1.8756	-1.9001	1.6056	2.9329	0.1844	0.5714	8.1858	8.1466	-0.9791	-3.0078	-8.2027	1.712
D06-OR-R2	-3.9928	3.2839	-2.9355	1.6617	1.0551	0.4051	1.8651	-3.9627	0.3298	-0.4105	-4.59	-5.5378	0.86	-0.8016	-1.9839	-0.7724	5.19	4.8799	2.0184	4.166	5.9134	-9.5516	-2.5276	-4.0956	-3.5775	1.0067	3.4335	-1.6909	-0.7222	2.515	2.6734	0.0798	0.1562	7.7436	7.8658	-0.2103	-3.42	-6.9186	0.5992
D06-OR-R3	-3.1154	4.3048	-2.4555	-2.6042	-2.0196	0.5181	0.9967	-3.1605	-0.9731	0.3514	-3.7094	-4.3033	0.5694	-0.753	-3.4646	-6.6417	6.418	5.7899	2.5108	5.4976	7.0407	-6.7897	-0.4672	-3.7714	-3.7666	1.6078	4.8404	-3.1233	-3.0847	-1.059	4.1346	1.444	2.1153	8.5709	8.9108	-0.6341	-2.8574	-8.3101	1.4427
D06-ZF-R1	-7.2616	0.2926	-4.051	-3.214	-2.8225	0.153	0.3209	-3.2469	-1.6415	0.9927	-2.5894	-4.0266	-2.0758	-0.8825	-1.493	-3.6699	6.5332	6.6531	3.1149	5.3648	9.2458	-3.0445	1.7855	-3.0799	-3.6256	2.7023	4.965	-3.3084	-3.1634	-0.3396	4.2003	1.2407	2.6265	8.5603	7.4627	-1.3788	-3.1844	-9.7081	1.5929
D06-ZF-R2	-7.342	0.0367	-2.4968	-2.5688	-2.0949	1.1261	1.0537	-2.861	-1.555	0.4558	-2.4701	-4.3688	-2.0654	-1.0242	-1.9855	-5.8383	6.6032	6.7892	3.1509	5.4919	9.2357	-3.4339	1.4988	-2.8659	-3.6116	2.7434	4.6817	-3.4463	-3.2317	-0.9696	4.1783	1.3855	2.4328	7.9357	7.3571	-1.0646	-3.798	-8.403	1.3392
D06-ZF-R3	-8.0846	-1.3082	-2.3066	-6.1406	-2.1227	-0.3045	0.6352	-2.8241	-1.774	1.1576	-2.6649	-3.4996	-2.5378	0.5606	-1.776	-6.7029	7.3691	7.5102	4.6405	4.4254	9.9266	-3.3771	2.68	-2.5967	-3.2555	4.2161	4.3516	-3.7172	-3.7953	-2.4314	3.8103	1.3946	2.4624	9.0266	7.6958	-0.9963	-3.0867	-8.2228	1.6629
D06-ZH-R1	-7.1694	0.5738	-1.8147	-0.0559	-1.3007	-0.4877	1.342	-4.447	-0.799	2.4173	-2.7407	-1.2599	1.5663	-0.5448	-2.0907	-0.5925	3.9054	4.6401	2.5249	3.8064	6.9587	-3.2686	-0.8143	-4.669	-4.4375	0.1509	0.0843	-2.1087	-1.9269	2.2729	-0.1424	-3.2964	-1.0174	10.5177	8.4558	0.1713	-1.4418	-6.4205	3.4587
D06-ZH-R2	-6.1559	0.029	-1.1084	1.1057	-0.745	1.5048	2.1131	-3.5067	0.4722	1.628	-3.0632	-4.4059	2.5248	-0.3059	-2.2558	-2.7572	4.2571	4.9319	3.2372	3.7518	6.7064	-3.6181	-1.2775	-4.5877	-5.6993	0.6415	0.0836	-1.879	-0.7231	2.0508	-0.4126	-2.9935	-1.8858	10.2661	8.3703	-0.1136	-1.476	-8.0181	3.314
D06-ZH-R3	-8.4363	-1.4845	-2.0504	2.804	-0.1234	0.7711	2.0729	-4.3079	0.1677	1.7225	-3.0173	-5.607	2.7304	0.2532	-1.9483	-1.487	4.2189	4.1928	2.658	3.877	6.9101	-4.9981	-0.6618	-4.1087	-4.5889	0.1298	0.571	-1.2558	0.6393	3.0057	0.1109	-2.6564	-0.2231	10.0724	8.0847	-0.306	-2.2317	-8.6197	3.1198
D06-ZR-R1	-5.0271	1.2552	-2.7782	-2.1145	-2.3719	0.1516	0.4816	-3.3727	-1.4089	1.5342	-3.3097	-4.3318	-1.2292	-2.0305	-1.4285	-2.676	5.7222	5.7847	2.0083	5.3846	7.6367	-2.4288	0.2963	-3.6462	-4.3925	0.9888	4.6841	-3.2748	-2.8638	0.3652	3.745	1.0644	2.484	9.2887	7.8029	-1.4977	-3.5738	-7.6621	0.7402
D06-ZR-R2	-5.6039	0.8373	-2.9898	-1.8843	-2.4303	0.4767	0.9576	-3.149	-1.8155	0.6771	-2.9253	-4.5614	-1.6646	-1.8671	-1.5346	-4.6915	6.1032	6.044	2.3168	5.9139	7.9143	-2.9337	1.3502	-3.2742	-3.7761	1.956	4.4617	-3.7654	-3.1223	-0.5189	4.2947	1.2346	2.9568	8.6767	7.3307	-0.3241	-3.2453	-8.2227	0.7977
D06-ZR-R3	-4.8432	1.3295	-2.1721	-1.5122	-1.4263	-0.27	0.2924	-3.2369	-1.5084	1.8311	-3.2318	-4.7128	-0.9113	-1.9874	-0.843	-4.8135	5.4018	5.562	1.9952	4.7582	7.6888	-1.2759	0.4488	-3.2935	-4.5351	0.9274	4.5677	-3.771	-2.8696	-0.8465	3.1527	0.578	1.8073	9.0174	8.3718	-1.0261	-2.7442	-7.3314	1.4321
D07-NF-R1	-9.1668	-3.9098	-6.7261	-1.0651	-3.1034	-0.95	-0.0055	4.9973	-1.161	2.3981	2.2532	-4.9484	0.1329	-0.4655	-2.5343	-1.5182	3.3342	4.7248	2.5915	5.3346	7.6021	-7.7964	0.3881	-3.2925	-0.8937	-3.0885	1.6898	-2.0409	-1.7799	1.4572	-2.5267	-3.4279	1.4074	6.1582	7.0352	-1.7788	3.7748	2.9067	3.9935
D07-NF-R2	-11.0131	-4.1107	-4.2035	-0.7798	-2.81	-0.0663	0.9214	4.798	-0.9532	2.7369	1.8479	-4.3407	-0.9489	-0.3788	-2.664	-4.5797	3.5725	4.7706	2.2397	5.6378	7.8119	-7.7021	0.3969	-3.0885	-1.2274	-3.205	2.1111	-2.9068	-2.1245	0.5738	-1.6198	-3.1528	2.1269	6.0508	7.5084	-1.3429	3.0612	2.9566	4.096
D07-NF-R3	-13.6616	-2.9746	-4.1401	-2.5652	-2.7	0.2261	0.814	5.3107	-1.1501	3.1985	1.3526	-4.608	-1.7705	-0.5511	-3.0225	-7.4952	3.794	5.1941	2.4948	6.4828	8.2618	-6.9659	1.1637	-2.6537	-0.873	-2.9025	2.383	-2.8805	-3.0767	-1.266	-1.5586	-2.9282	2.1352	7.0799	7.9891	-0.8492	3.7701	3.7833	5.1596
D07-OF-R1	-12.0051	-4.8083	-3.6865	-3.1893	-3.6615	-1.2776	-0.4104	8.992	-3.0782	2.6391	2.1769	-3.8718	-3.2966	0.084	-2.8334	-3.5347	3.57	5.2434	2.0064	4.5789	7.8341	-7.1019	1.299	-2.3065	1.7608	-0.417	0.2662	-3.5656	-3.694	-1.3518	-2.3935	-4.0781	2.6064	7.4308	7.5835	-1.2841	4.389	4.1524	5.2329
D07-OF-R2	-11.567	-3.9923	-4.8885	-2.7667	-3.7416	-0.9426	-0.0043	8.1593	-2.5146	2.2722	2.2778	-4.9233	-3.1856	0.6812	-2.7979	-6.5473	4.0196	5.7222	2.838	4.9045	8.3151	-7.1823	1.4038	-2.0498	2.3958	-0.2387	1.0819	-3.4866	-3.6318	-1.2042	-2.1835	-3.257	3.4758	6.5727	7.2374	-1.5561	3.6976	3.2653	4.3415
D07-OF-R3	-12.5725	-4.7982	-4.5187	0.1431	-2.2813	-0.2363	0.5833	8.2403	-2.0707	2.801	2.0826	-5.2503	-1.532	0.3638	-3.2852	-4.085	3.0852	4.5999	1.4159	4.5692	7.5802	-9.2434	0.783	-2.5467	1.2928	-0.9783	0.0035	-2.7818	-1.7919	0.3376	-2.707	-3.9116	2.0423	6.6549	7.8098	-1.2865	3.6788	3.21	4.6
D07-OR-R1	-8.9999	0.4785	-1.7186	1.1122	-2.2279	0.5547	4.721	3.2281	0.6448	0.4515	0.2293	-6.4499	3.0622	-0.0021	2.194	0.5554	2.9992	5.1808	1.8704	3.2334	5.0684	-11.8203	-1.2227	-4.1332	-0.892	-3.1546	0.3628	-0.4822	0.0593	3.4212	-3.6043	-5.3466	1.9144	3.925	5.7777	-1.8132	-0.3502	0.0254	1.1478
D07-OR-R2	-5.8921	0.6084	-2.7935	1.343	-1.8244	1.3025	1.3324	3.5958	0.5239	0.5015	0.3838	-3.8154	0.6517	0.1104	-2.2321	-2.7818	3.8046	5.5763	2.3647	3.2156	5.5945	-7.8043	-0.0693	-3.8834	0.0274	-2.5249	0.4001	-1.8012	-0.6792	2.2254	-3.1291	-5.9566	1.223	4.4343	5.9724	-2.1111	0.2295	0.313	1.564
D07-OR-R3	-7.1672	0.9543	-3.3174	2.9265	-1.0222	0.9731	1.8336	3.7677	0.4001	0.5845	1.0676	-4.8141	1.5066	0.2996	-3.37	-1.2631	2.8506	4.5251	0.9533	3.8151	5.5144	-11.3786	-0.9831	-3.5719	-0.6449	-3.0914	0.6744	-1.1491	0.7308	3.0654	-3.7502	-4.2013	0.803	4.6844	6.944	-1.5081	0.1871	0.7635	1.4079
D07-ZF-R1	-11.1613	-4.7322	-6.6082	-3.1891	-3.464	-1.3723	-0.7828	9.0778	-2.6648	2.1302	1.7848	-3.5191	-3.1484	-1.6064	-2.4469	-4.0252	4.4575	6.0876	2.7463	5.155	9.026	-6.6963	1.3822	-3.0436	-0.5596	-2.2001	1.0814	-2.9704	-3.7681	-1.0939	-1.6126	-2.6606	3.1227	7.276	7.8464	-1.003	3.9568	3.8066	5.3917
