Bromoviridae	Virgaviridae	Saccharomycetaceae	Malasseziaceae	Moraxellaceae	Pseudomonadaceae	Enterobacteriaceae	Rhodospirillaceae	Comamonadaceae	Sutterellaceae	Desulfovibrionaceae	Akkermansiaceae	Staphylococcaceae	Streptococcaceae	Lactobacillaceae	Leuconostocaceae	Clostridiaceae	Lachnospiraceae	Eubacteriaceae	Oscillospiraceae	Ruminococcaceae	Candidatus Borkfalkiaceae	Erysipelotrichaceae	Selenomonadaceae	Acidaminococcaceae	Veillonellaceae	Bifidobacteriaceae	Micrococcaceae	Corynebacteriaceae	Propionibacteriaceae	Coriobacteriaceae	Atopobiaceae	Eggerthellaceae	Bacteroidaceae	Rikenellaceae	Prevotellaceae	Odoribacteraceae	Barnesiellaceae	Tannerellaceae
D01-ZH-R1	-7.603	5.672	-0.8412	-3.4579	-3.7353	-2.434	-1.2994	-5.618	-2.8551	1.6409	2.9818	1.8091	2.0809	-0.8424	-4.6135	-4.0973	4.6661	5.0482	1.6605	3.2003	8.1224	2.6306	0.3065	-3.6363	-4.8011	1.151	-1.434	-4.1967	-4.582	-1.3714	-3.1044	-3.2766	0.042	8.2023	8.3094	-0.8594	3.2253	-3.0438	6.9537
D01-ZH-R2	-7.7706	5.067	-0.9625	-0.5733	-2.434	-1.9828	0.6125	-4.6546	-1.7303	1.275	2.9958	0.6084	1.222	-0.9435	-4.1854	-3.0167	4.7428	5.7413	2.2564	2.93	7.225	1.1051	0.8915	-4.7146	-6.6272	-0.2612	-2.5247	-3.3026	-2.6156	0.4201	-3.3493	-5.0477	-1.4232	8.3371	7.5681	-0.424	3.1076	-5.1037	7.542
D01-ZH-R3	-8.8574	4.7689	-1.6029	0.2446	-1.9313	-1.1729	-0.2459	-5.196	-2.2675	0.3987	2.3672	0.4372	1.162	-0.7134	-4.8222	-3.7047	4.7584	4.9418	1.1651	3.1561	7.3967	0.937	0.7302	-3.0173	-4.721	1.7193	-2.5209	-3.2759	-1.7496	0.3996	-2.3214	-2.9986	0.1649	6.8553	8.2528	-1.7522	2.3132	-5.0249	5.727
D01-ZR-R1	-8.8248	7.6137	-1.0948	-4.244	-4.7941	-2.8363	-1.3538	-5.096	-3.731	0.9359	2.6348	0.3595	1.479	-0.7642	-4.076	-4.4146	5.2452	5.8034	2.0975	2.9794	8.0233	3.2031	0.9576	-2.7137	-4.5564	2.2311	-0.8555	-3.9987	-4.3663	-1.6433	-2.0685	-2.8575	1.6909	6.7325	7.4097	-1.2048	3.1045	-3.407	6.4001
D01-ZR-R2	-11.3214	5.4554	-2.904	-1.3969	-3.9763	-1.7649	-0.5941	-3.7164	-2.1966	0.4955	1.4504	-0.3266	-0.3387	-0.4834	-3.5933	-3.5752	6.0964	6.5281	2.4565	2.769	8.5074	1.8444	0.628	-1.6691	-3.4163	2.7451	0.4884	-2.0935	-2.9399	-0.3222	-0.6965	-1.4329	2.9095	4.8129	6.2174	-1.5553	1.9354	-9.2463	4.2202
D01-ZR-R3	-11.7287	4.9636	-3.485	-2.3779	-4.278	-2.3092	-1.6379	-4.8145	-2.8055	4.2994	2.0693	-0.2858	0.092	-1.2159	-4.4117	-4.8155	5.2836	5.4383	1.4502	3.022	8.1946	2.1195	0.5561	-2.8199	-4.2491	2.7932	-1.1093	-4.2057	-3.823	-1.7977	-1.8864	-2.7077	1.2413	7.7927	10.3311	-0.6806	5.1458	-2.9297	5.5818
D02-NF-R1	0.1817	4.6802	-6.3296	-3.5753	-0.7833	-2.456	-1.2998	-3.051	-2.8712	0.6156	1.8027	-4.3018	-2.663	2.2099	1.1823	-4.895	5.5574	6.6133	3.3281	6.3612	7.9144	-8.2206	1.1508	-3.3244	1.2586	-2.1902	0.7027	-4.0208	-4.421	-1.7605	0.6896	-2.6937	2.5395	7.3274	5.2212	-1.2072	3.2035	-6.4017	3.9263
D02-NF-R2	-1.5499	3.8431	-5.1595	-0.6091	-0.146	-1.9305	0.1384	-4.2033	-2.1225	1.0406	1.9798	-6.3227	-1.4792	2.261	1.1564	-3.8206	5.4271	6.2898	3.1352	5.4759	7.6611	-9.9308	0.6569	-3.4877	2.054	-2.315	0.7642	-3.4202	-2.3214	0.4413	0.7854	-2.9131	2.15	6.3773	3.7813	-2.0824	2.8992	-7.4499	2.9456
D02-NF-R3	-1.261	3.6538	-6.01	-0.0287	-1.2775	-1.279	-0.594	-3.5875	-2.6161	0.3615	2.2478	-5.6034	-1.4303	1.4507	1.1852	-4.1945	4.9434	5.695	3.1634	6.275	7.4973	-8.7676	0.5893	-3.5594	1.4092	-2.5632	0.344	-3.2297	-1.8671	0.211	0.7497	-2.8727	2.5356	6.7874	4.6594	-2.3966	3.0618	-7.3838	3.7015
D02-OF-R1	-3.2121	2.5069	-5.5318	-4.7059	0.9129	-2.232	-1.4505	-2.9292	-3.6016	2.5796	1.3635	-4.8303	-2.5338	2.909	0.6794	-5.5723	5.9567	6.0566	2.8514	6.1744	7.5839	-6.4623	1.549	-1.4368	4.1662	-1.9487	-0.1684	-4.3124	-4.8007	-2.5376	-0.0305	-1.4325	1.8963	7.903	3.7311	-1.2434	2.9874	-5.6759	4.8413
