Tymovirales	Saccharomycetales	Polyporales	Malasseziales	Pseudomonadales	Enterobacterales	Rhizobiales	Rhodospirillales	Burkholderiales	Desulfovibrionales	Verrucomicrobiales	Victivallales	Bacillales	Lactobacillales	Clostridiales	Candidatus Borkfalkiales	Erysipelotrichales	Selenomonadales	Acidaminococcales	Veillonellales	Bifidobacteriales	Micrococcales	Corynebacteriales	Propionibacteriales	Coriobacteriales	Eggerthellales	Bacteroidales
D02-NF-R2	-10.6753	-2.5063	-5.8306	0.5259	1.3652	1.3707	0.5924	-2.2023	2.5264	3.1238	-4.5134	-8.9388	0.707	4.1806	10.2675	-8.8503	1.8026	-1.9574	3.1978	-1.1669	1.9072	-0.8878	0.7793	1.6229	2.039	3.5616	7.9591
D02-NF-R3	-12.709	-3.017	-5.5382	1.2433	0.9952	0.8099	0.7446	-1.5116	2.04	3.5227	-3.8718	-9.0695	0.7835	3.807	10.4466	-7.5279	1.8616	-1.9383	2.6835	-1.2894	1.6172	-0.4662	0.2399	1.5294	2.1342	3.9056	8.575
D02-OF-R1	-13.4303	-3.2543	-6.1478	-3.4936	2.2756	0.0043	0.1468	-1.307	3.8964	2.5742	-3.2633	-8.0436	0.7342	4.8835	10.5195	-5.2465	2.7578	-0.0471	5.374	-0.7418	1.042	-0.8124	-1.6954	-1.0852	1.6441	3.325	9.3908
D02-OF-R2	-12.7152	-2.1797	-6.2336	-1.9856	2.2615	0.9209	0.0867	-1.466	3.1897	2.5042	-3.5335	-8.0374	0.6244	4.584	9.9222	-5.7509	2.3361	-0.754	5.5299	-1.0023	0.5013	-0.9871	-1.352	-0.4246	1.202	3.826	8.9327
D02-OF-R3	-12.4605	-2.0791	-6.0315	-5.3742	3.3042	0.6293	-0.2715	-1.7147	3.4014	2.689	-3.0376	-7.7457	1.3579	5.3036	10.4887	-5.9848	3.4279	-1.0366	5.7252	-0.4199	0.626	-1.2523	-1.7616	-2.2128	1.3137	3.1823	9.9335
D02-OR-R1	-11.614	-1.5925	-5.3931	1.4228	1.5085	1.885	0.7575	-1.4577	2.196	1.1592	-0.5553	-8.8029	1.9017	2.6842	8.6196	-3.954	0.7239	-2.5632	-0.4132	-1.0168	0.893	0.3702	0.8347	3.3035	-0.0107	1.7715	7.3422
D02-OR-R2	-8.025	-0.6804	-5.6757	3.6835	2.5415	3.3684	2.7564	-0.2607	3.0331	-0.173	-5.2964	-8.0964	2.8608	2.1705	7.1568	-8.127	-0.6008	-2.9466	0.565	-1.925	0.6411	1.3842	2.8856	4.8405	-1.9607	-0.407	6.2874
D02-ZF-R1	-13.0824	-3.0189	-6.1358	-2.395	3.4888	0.899	0.0534	-1.8135	2.7911	1.5977	-3.0678	-6.6494	1.2761	3.5513	10.2519	-4.7751	2.9639	-0.6879	2.055	-0.6207	0.3141	-1.0074	-1.4888	-0.1388	1.9237	3.7983	9.9172
D02-ZF-R2	-11.9622	-2.6826	-6.1764	-2.1124	2.0819	1.1321	0.3923	-1.3992	2.3548	1.6077	-3.7679	-6.6612	1.4851	3.8075	10.2862	-4.4312	2.727	0.535	1.6646	-1.3072	0.3739	-0.7948	-1.2147	-0.5842	2.1006	3.8972	8.648
D02-ZF-R3	-12.1944	-2.8074	-6.6641	-2.1685	2.4382	0.7068	0.1286	-1.7131	2.7563	1.5863	-3.2125	-6.799	1.5347	3.864	10.1512	-3.9628	2.8587	-0.5736	2.1891	-0.6832	0.6625	-0.9811	-1.5442	-1.0693	1.4567	4.2787	9.7616
D02-ZH-R1	-9.392	-0.9054	-6.1835	-0.0063	5.1502	2.0861	-0.6543	-2.5793	4.2395	3.0052	-1.4338	-12.6478	3.1206	2.6473	9.3497	-4.9209	1.1177	-3.2789	2.0758	-0.5962	-0.5634	-0.8767	-0.4803	1.6585	-1.7269	0.4661	11.3293
D02-ZH-R2	-9.2227	0.7156	-4.1802	1.9725	5.169	3.3365	0.8333	-1.8523	3.8579	2.1774	-3.8801	-9.9184	3.9975	2.6619	8.6249	-7.3444	-1.0334	-3.7833	1.7065	-2.1586	-1.4236	0.3695	1.4804	2.9919	-3.9161	-1.5662	10.3845
D02-ZH-R3	-10.9931	0.2296	-5.3523	-1.2556	5.0139	3.245	0.3765	-2.5138	3.9149	2.8119	-3.742	-11.0702	2.4183	2.9182	9.4847	-5.1366	1.2588	-2.7253	2.142	-1.3614	-1.2176	-0.6133	-0.5432	-0.0963	-0.7774	2.358	11.2265
D02-ZR-R1	-12.8896	-2.0634	-6.391	-4.0552	2.6833	0.868	-0.2329	-1.8109	3.1013	2.8015	-2.2052	-6.8853	2.0895	3.5703	10.2295	-3.0886	2.8053	-1.2137	2.0474	-0.7818	0.0362	-1.3445	-1.8494	-1.6432	1.0993	4.2449	10.878
D02-ZR-R2	-13.0878	-1.7296	-5.9259	-2.1675	2.9768	2.1235	-0.1087	-2.1029	2.7637	2.4808	-2.4094	-7.416	2.7191	2.5289	9.5558	-2.6821	1.8714	-1.4168	2.4239	-0.8853	-0.9063	-1.4467	-1.3731	-0.8947	0.5041	4.4556	10.1492
D02-ZR-R3	-13.0976	-2.2473	-6.1137	-3.1381	1.8298	0.6733	0.2205	-1.5677	3.9975	2.2508	-3.2572	-6.6114	1.9196	3.0738	10.2439	-3.8035	3.2002	-0.4352	2.1392	-0.9502	-0.1555	-1.0322	-1.4237	-1.5499	1.8343	4.7536	9.2469
D03-NF-R1	-10.6423	-3.4785	-6.2744	-0.6288	0.771	0.8802	-0.6627	-2.2735	2.4061	0.5274	-0.3975	-6.631	0.3961	1.5018	8.7657	-7.3117	-1.0783	2.9261	1.0272	1.6732	4.0743	-0.5835	-0.1145	1.9345	5.0518	1.2043	6.9372
D03-NF-R2	-11.5277	-2.7112	-5.6975	0.4665	1.2402	1.54	-0.1706	-2.345	1.9299	0.6301	0.2096	-7.0786	0.5285	1.6351	8.4046	-7.9879	-0.9298	3.7063	0.4139	1.658	3.4089	-0.8395	-0.2885	1.39	4.4478	0.6794	7.2873
D03-NF-R3	-10.2771	-3.5219	-5.6192	0.8647	0.7519	1.1954	-0.596	-2.416	1.8325	0.474	0.3	-7.0203	0.2222	1.8993	8.5175	-8.318	-0.801	2.7597	0.6514	1.4379	3.6659	-0.6646	0.1615	1.233	4.9366	1.3418	6.989
D03-OF-R1	-12.4735	-2.6298	-6.3491	-2.2228	1.3251	0.1876	-1.4722	-2.5491	2.1052	0.6213	-0.7147	-8.2072	-0.0478	2.8489	8.2138	-7.7943	1.3648	7.4089	1.9342	3.6428	4.2309	-1.5466	-1.5028	-0.2029	5.6348	0.5524	7.6423
D03-OF-R2	-9.8091	-2.4899	-5.8533	-1.6045	1.0294	0.6467	-0.831	-2.4218	1.9571	0.3277	-1.3698	-8.7709	0.0902	2.5177	7.8566	-7.5406	0.9476	6.6775	1.9408	2.323	4.0806	-1.5021	-1.3693	-0.3055	5.3764	0.7633	7.3332
D03-OF-R3	-11.2029	-3.4194	-5.8664	-1.7562	0.7794	0.3578	-1.1314	-2.2433	2.0565	1.0963	-0.2343	-8.7758	0.225	3.2883	8.24	-7.7308	1.347	6.9116	2.7049	1.6454	4.263	-1.4091	-1.6144	-0.9414	5.2954	0.7108	7.4038
D03-OR-R1	-8.4041	-1.7758	-5.7201	0.7305	1.5923	1.8508	-0.4909	-2.1866	2.9291	-0.2165	-0.0197	-9.363	1.5038	2.2899	7.2963	-7.3523	-0.1945	0.3814	-3.6894	0.2683	3.891	0.0438	0.7356	3.1528	5.6797	-0.5043	7.5719
D03-OR-R2	-8.8083	-1.1244	-6.4598	2.4051	1.7473	2.2936	1.1961	-2.6326	2.7307	-0.279	-1.06	-8.856	1.6991	2.3041	7.1558	-9.8894	-0.072	0.4337	-2.848	0.6352	2.9337	0.0516	1.3903	3.4595	4.8183	-0.2061	6.9814
D03-OR-R3	-8.9286	-1.2645	-5.8537	2.3249	1.8311	1.747	0.3667	-2.1297	2.4694	0.2432	0.0404	-8.6194	1.5351	1.8988	7.1511	-10.6	0.1033	0.528	-3.1205	0.0256	3.8209	-0.0151	1.0368	2.5109	5.8264	-0.3601	7.4321
D03-ZF-R1	-9.2872	-3.208	-5.5433	-3.9616	1.0961	0.5723	-0.7313	-2.144	3.1449	0.0854	-0.9413	-8.0483	0.3564	2.1145	9.2109	-6.2888	1.9933	3.6271	1.2516	3.582	2.4294	-1.0089	-1.4263	-1.1422	4.4605	1.0721	8.7349
D03-ZF-R2	-9.122	-3.2174	-6.4579	-1.3114	2.1003	1.9529	-1.1421	-2.8259	3.7232	-1.2082	-2.3381	-9.3122	0.6624	1.7976	8.8034	-6.8788	1.9877	5.2272	0.002	3.7504	2.9678	-1.8456	-1.2248	-0.1024	4.9485	0.1914	8.8718
D03-ZF-R3	-9.0441	-3.0369	-5.8913	-3.0686	1.6747	0.733	-1.1773	-2.2292	3.8102	-0.863	-2.0862	-8.01	1.2111	1.6742	9.0177	-6.5427	2.0533	4.8424	0.7806	4.3939	2.9346	-1.6009	-1.5912	-1.9927	4.7038	0.309	8.9957
D03-ZH-R1	-12.5501	-2.4594	-5.9671	0.3982	2.2444	1.7211	-0.6319	-3.2917	3.7848	0.7785	1.8516	-10.9273	1.1583	1.6072	8.1924	-4.4745	1.4869	2.3767	0.6718	0.752	0.4439	-0.5739	-0.2307	2.1701	1.7755	-0.9222	10.6155
D03-ZH-R2	-11.5417	-0.9092	-5.6181	0.942	3.9171	2.7223	0.7078	-3.2793	3.7661	-0.8221	-1.3565	-11.7107	0.9818	1.0317	8.3303	-7.523	3.1272	4.7515	-0.4061	1.1921	-0.1307	-0.7799	0.52	2.0234	1.4811	-2.43	11.0129
D03-ZH-R3	-7.9632	-2.07	-6.0672	0.6104	2.8181	2.4722	-1.2223	-1.0947	2.5821	-1.1079	-2.6491	-5.8047	1.0852	1.4271	7.044	-6.931	1.9852	4.1387	-1.7147	0.4104	4.4594	-1.7989	-0.5147	0.8574	0.9262	-1.7041	9.8263
D03-ZR-R1	-6.8242	-2.0255	-6.8432	-2.9062	2.5605	2.3061	-0.969	-2.3361	5.6421	0.408	-1.7024	-10.5397	0.9479	0.4678	8.6742	-5.2841	2.8345	3.7163	-0.0743	1.9413	0.9225	-1.9143	-1.0536	-1.1927	3.4821	-0.4958	10.2575
D03-ZR-R2	-8.4504	-2.745	-6.709	-1.8816	2.636	2.3203	-1.4664	-2.556	3.9375	-0.0971	-0.6401	-8.4216	0.9281	1.2853	8.5807	-6.217	2.1505	3.4276	0.5397	2.2592	0.7718	-1.8271	-1.149	-0.9083	4.341	0.4653	9.4256
D03-ZR-R3	-8.5672	-3.1829	-6.1013	-1.9184	1.8157	0.9286	-1.1167	-2.6243	3.8124	0.0672	-0.5704	-9.2188	0.5311	1.0876	8.8895	-6.8252	2.0614	4.1627	0.6911	3.3193	2.5735	-1.4818	-1.4444	-1.1714	4.6006	0.7119	8.9704
D04-NF-R1	-6.9822	-1.1428	-2.2148	-1.4047	0.2194	0.7352	0.1437	-1.2878	1.7489	2.378	-2.8459	-6.276	0.6587	0.0069	9.2879	-5.937	-0.1473	-0.1611	-1.4299	1.8009	4.0397	-0.1917	-0.5088	0.717	2.8228	-0.6268	6.5978
D04-NF-R2	-6.3252	-1.7003	-2.8538	-1.3749	0.4902	1.0804	0.5363	-1.3187	2.0009	2.2359	-2.4478	-6.2827	0.2067	-0.5227	9.3754	-4.8607	-0.1797	-0.1074	-1.2755	1.8489	3.4595	-0.1179	-0.4202	0.0572	2.5911	-0.9033	6.8084
D04-NF-R3	-6.0156	-0.6347	-1.7956	-0.47	0.4223	0.8142	0.3925	-1.2674	1.9577	2.2224	-2.8359	-6.3779	0.8408	-0.3198	9.3149	-5.6483	-0.1348	-1.4044	-1.3226	1.6243	3.3136	-0.1087	-0.5542	0.1275	1.9481	-0.9662	6.8779
