Tymovirales	Saccharomycetales	Polyporales	Malasseziales	Pseudomonadales	Enterobacterales	Rhizobiales	Rhodospirillales	Burkholderiales	Desulfovibrionales	Verrucomicrobiales	Victivallales	Bacillales	Lactobacillales	Clostridiales	Candidatus Borkfalkiales	Erysipelotrichales	Selenomonadales	Acidaminococcales	Veillonellales	Bifidobacteriales	Micrococcales	Corynebacteriales	Propionibacteriales	Coriobacteriales	Eggerthellales	Bacteroidales
D05-OF-R3	-13.8845	-2.5655	-6.2731	-4.5971	-0.8129	0.1782	-0.6275	-2.0322	4.896	2.0633	4.5819	-4.72	1.7556	0.5577	7.5399	-0.2677	-0.5592	-2.3546	-3.9081	4.3191	3.0182	1.0525	-0.8092	-0.6113	4.9611	1.3558	7.7433
D05-ZF-R1	-12.6828	-3.3553	-6.3228	-2.5213	-1.1163	0.2518	-1.1026	-2.0712	5.7042	1.5872	1.5721	-4.9639	1.2087	-0.3119	7.8619	2.7771	0.4497	-2.4631	-4.2118	4.0917	2.4127	0.1147	-0.988	0.7593	3.5733	0.512	9.2348
D05-ZF-R2	-11.0137	-2.8089	-6.3548	-4.1154	-1.0443	2.4882	-0.7735	-2.3572	4.5037	1.3546	3.0895	-5.5463	0.5503	0.2623	7.8685	2.36	0.4348	-2.3567	-3.9407	4.951	2.1175	0.2161	-1.0986	-0.9347	3.4629	1.2357	7.4496
D05-ZF-R3	-12.9711	-2.5617	-6.1121	-6.3472	-0.9757	1.1439	-0.7141	-2.02	6.3233	1.3199	2.883	-5.1809	1.6735	-0.2008	7.886	3.8377	0.5437	-2.1772	-3.4812	4.3469	1.7591	0.7118	-1.0722	-0.9231	2.9147	0.4634	8.9303
D05-ZH-R1	-12.8659	-1.8411	-6.5214	-0.1903	1.6027	1.8138	-0.9499	-2.8867	6.2907	2.9655	3.6937	-5.934	1.1662	0.7244	6.7791	1.4277	-1.7623	-2.8639	-5.2612	2.607	1.6703	-0.0943	-0.481	1.5346	0.4826	-0.7012	9.595
D05-ZH-R2	-11.4434	-1.2736	-4.58	2.5407	1.4544	2.1092	0.9642	-2.9005	5.0656	1.551	2.0809	-8.8163	1.4061	0.7063	6.2813	-0.1705	-2.7588	-2.4135	-5.2467	1.3527	1.4332	0.2129	1.9134	3.7603	0.3166	-1.7789	8.2334
D05-ZH-R3	-11.6545	-0.0804	-5.2441	-1.1219	1.5518	2.0899	-1.0696	-2.4195	6.7861	3.3667	4.0408	-8.2609	1.066	-0.1705	6.5871	1.9884	-2.3427	-3.5588	-5.2899	2.3545	2.2223	-0.3378	-0.5979	0.4457	0.8893	-1.0155	9.7752
D05-ZR-R1	-14.3236	-3.2468	-6.0101	-2.4154	-1.1289	0.0922	-0.7667	-2.0865	5.3693	2.2692	2.0969	-4.9775	1.3086	-0.2128	7.7271	2.7982	-0.1638	-2.2415	-3.9857	3.9324	2.3702	0.6437	-0.736	0.7502	3.4004	1.5099	8.0268
D05-ZR-R2	-11.7715	-2.7075	-6.3466	-2.4059	-1.1697	1.4005	-1.0946	-2.3283	5.5896	1.6233	1.3272	-5.2688	0.9089	0.0064	7.7861	2.8917	0.6946	-2.3926	-4.0229	3.4766	2.0464	0.2439	-1.4199	-0.1012	3.5217	1.1314	8.3811
D05-ZR-R3	-13.2299	-2.7047	-6.2465	-4.912	-0.5972	0.4109	-0.6508	-1.3986	6.1786	2.5118	1.6993	-5.1919	1.4105	-1.1443	7.6493	3.2221	0.2949	-2.1934	-3.8288	4.7462	1.9323	0.8192	-0.878	-0.334	2.9069	1.2164	8.3116
D06-NF-R1	-11.9061	-3.3603	-4.851	-0.7524	0.5797	0.6382	-0.5641	-1.8934	1.0922	-2.4321	-3.5193	-6.6365	0.3855	1.0202	10.2797	-3.5026	-0.2694	-2.4323	-3.3479	2.8685	9.1967	-0.138	-0.1134	2.1325	6.7206	2.8171	7.9878
D06-NF-R2	-9.6774	-1.5788	-5.1888	2.1184	1.1224	2.0544	0.3624	-1.5361	1.9462	-3.1127	-3.7936	-8.3449	1.2515	1.0639	10.1822	-4.8113	-0.714	-2.5413	-3.5722	0.8519	5.6694	0.2182	0.7744	2.898	4.481	2.175	7.7019
D06-NF-R3	-7.6905	-0.716	-4.4063	-1.5236	1.2232	1.6253	0.1038	-1.8304	1.6242	-2.7544	-3.9442	-5.5308	0.7723	-0.1824	10.2771	-4.3275	0.1333	-2.3569	-3.3801	1.9176	5.8063	-0.5939	-0.5795	0.1148	4.6694	3.0387	8.5105
D06-OF-R1	-10.9387	-1.7053	-6.6184	2.529	1.7105	2.9007	0.7781	-2.463	3.2443	-0.3729	1.5906	-3.9278	2.0492	3.0845	6.8665	-2.8624	0.5972	-2.1557	-11.0633	0.8364	2.2128	1.4596	1.66	4.3355	-1.2468	0.6263	6.8733
D06-OF-R2	-11.7905	-0.8905	-5.3098	-0.7182	1.2176	1.4641	-0.7542	-2.1427	2.3712	-3.0946	-2.5914	-8.1512	0.5267	3.1249	10.0307	-4.5496	1.5143	-2.2479	-4.0439	3.7257	5.6535	-1.4733	-0.8908	0.25	4.5074	3.4898	10.7727
D06-OF-R3	-9.0826	-2.4755	-5.2409	-1.228	0.2944	0.8808	-0.7822	-1.7986	2.5719	-2.624	-3.4087	-5.8449	0.3191	2.0527	10.2728	-3.4942	0.9893	-1.0977	-3.2369	2.9046	5.1024	-1.425	-1.5438	-0.5306	4.44	3.5552	10.4304
D06-OR-R1	-12.3106	-2.644	-5.0839	0.7102	0.516	1.1423	0.0134	-1.9024	2.2361	-1.837	-0.4446	-6.6633	1.8957	1.5854	8.8716	-4.9505	0.2986	-2.7563	-3.9	1.5123	5.9778	-0.1895	0.2208	2.4161	3.9205	1.4015	9.9639
D06-OR-R2	-7.687	-1.0063	-5.1431	2.3863	2.4896	2.6668	1.5349	-1.7681	2.4463	-3.8543	-3.9707	-7.7686	1.7641	1.4553	8.3243	-8.666	-1.7941	-3.0223	-2.8478	1.7268	4.1536	0.2715	1.0243	3.2467	3.6158	0.8856	9.5362
D06-OR-R3	-12.016	-0.4925	-4.6461	-1.8403	1.513	1.8611	0.0949	-1.3696	2.1236	-2.8204	-2.8913	-5.5187	1.6877	0.7729	9.5369	-6.015	0.2959	-2.4576	-3.0067	2.3705	5.6025	-0.5215	-0.6608	-0.104	5.1045	2.8773	10.5198
D06-ZF-R1	-10.7434	-2.6362	-5.1801	-2.7422	0.8068	1.1012	-0.8116	-1.6631	1.9798	-2.0042	-2.8196	-6.013	0.4066	0.9638	10.5213	-2.574	2.263	-1.7129	-3.1409	3.1794	5.4418	-1.1957	-1.3169	0.3314	4.8523	3.1052	9.6012
D06-ZF-R2	-9.9091	-1.3748	-4.931	-2.2426	1.606	1.5474	-0.5244	-1.6362	1.5297	-2.0374	-3.1191	-6.2904	0.4125	0.5672	10.4274	-3.0966	1.8302	-1.6395	-3.2683	3.0756	5.0139	-1.038	-1.0614	-0.333	4.7051	2.7669	9.0199
D06-ZF-R3	-11.599	-1.2868	-5.383	-5.6648	0.5483	1.3281	-0.5059	-1.5728	2.0994	-2.1	-2.4645	-5.7767	0.8132	1.6411	11.0934	-2.8919	3.1729	-1.5628	-2.7543	4.7089	4.8442	-1.216	-1.6523	-1.3399	4.5515	2.9587	10.011
D06-ZH-R1	-7.8265	-0.6338	-6.9231	0.7789	0.999	2.2758	-0.5305	-2.397	3.5993	-1.8584	-0.2897	-9.7919	2.5052	1.7785	8.6523	-2.4356	0.0202	-1.4678	-3.6055	0.9898	0.9211	-0.4104	0.1391	3.1207	0.8511	-0.1356	11.6748
D06-ZH-R2	-10.9083	0.2806	-4.5892	1.7566	2.4279	2.8551	1.7032	-1.687	3.2029	-2.3777	-2.8337	-8.8361	3.2615	1.4165	8.5001	-2.9658	-0.622	-1.9172	-5.038	1.2925	0.7335	-0.1619	1.2571	2.7251	0.464	-1.2104	11.2705
D06-ZH-R3	-12.2366	-0.6679	-4.8325	3.4789	2.0677	2.8327	0.9349	-2.1891	3.2365	-2.335	-2.9912	-12.0743	3.4882	1.7793	8.5405	-4.3151	0.0078	-1.7909	-3.9214	0.8041	1.244	0.6498	2.0669	3.7009	0.9843	0.4542	11.0835
D06-ZR-R1	-10.2058	-1.7522	-5.5588	-1.4703	1.0357	1.4109	-0.781	-1.5132	2.5997	-2.5877	-2.8231	-6.823	0.3499	0.7382	9.5233	-1.779	0.9458	-1.7809	-3.7404	1.6386	5.3339	-1.0768	-0.9242	1.1187	4.6034	3.135	10.3835
D06-ZR-R2	-10.3951	-1.8635	-5.3665	-1.3118	1.2301	1.7355	-0.6025	-1.6984	1.7947	-2.3236	-3.3966	-7.5918	0.4978	0.8585	9.7657	-2.3653	1.9202	-1.4812	-3.1963	2.5249	5.0323	-1.2433	-1.0178	0.2045	5.0287	3.5269	9.734
D06-ZR-R3	-8.5672	-1.3298	-5.4532	-0.9353	0.8394	1.2753	-0.4779	-1.2409	2.7622	-2.6187	-2.9878	-7.3449	0.4577	0.62	9.3342	-0.7001	1.0228	-1.4925	-3.9549	1.5017	5.141	-1.209	-1.1579	-0.1245	3.9502	2.3794	10.3106
D07-NF-R1	-5.2739	-2.9056	-5.6822	-0.6315	-0.2177	0.6166	-0.5009	5.4348	3.2424	2.6882	-3.9302	-3.5744	0.9236	0.9177	8.7534	-7.3543	0.8229	-2.4473	-0.4609	-2.6496	2.1244	-0.2978	-0.2622	1.9324	-1.4724	1.8493	8.3552
D07-NF-R2	-6.809	-1.6227	-5.3145	-0.4837	0.4339	1.3115	0.4881	5.0994	3.501	2.1454	-3.5914	-4.2484	0.1275	0.5493	8.8395	-7.3942	0.6942	-2.3826	-0.9321	-2.9073	2.4076	-0.5824	-0.2613	0.9568	-0.8996	2.429	8.4459
D07-NF-R3	-6.1588	-1.8591	-5.0809	-2.2941	0.6803	1.1756	0.2513	5.5896	3.8578	1.6339	-3.5382	-4.702	-0.0465	0.3787	9.3042	-6.6964	1.4396	-1.986	-0.5971	-2.6257	2.6577	-0.5164	-0.8212	-0.7588	-0.8116	2.4132	9.111
D07-OF-R1	-3.3017	-2.5195	-6.6278	-3.0151	-0.8569	-0.1076	-1.3408	9.1581	3.1082	2.349	-3.4503	-2.6833	-0.6968	0.7058	8.5655	-6.9734	1.4641	-1.3689	1.928	-0.2534	0.4291	-1.5409	-1.9057	-0.9983	-1.8305	2.7994	8.9638
D07-OF-R2	-4.1085	-2.8742	-6.2758	-2.6827	-0.6635	0.2182	-0.9185	8.24	2.7679	2.3617	-4.3676	-4.0978	-0.5923	1.073	8.9259	-7.0775	1.4838	-1.1897	2.4765	-0.1567	1.1616	-1.3175	-1.7227	-0.9698	-1.543	3.577	8.272
D07-OF-R3	-3.6039	-2.7173	-5.9311	0.2952	0.2264	0.8143	-0.6433	8.3919	3.2924	2.2363	-4.4303	-5.3667	-0.3894	0.865	8.2731	-9.1513	0.9332	-1.7872	1.4443	-0.8249	0.1537	-0.8587	-0.6723	0.5604	-2.04	2.2299	8.6999
D07-OR-R1	-2.6225	-0.8621	-5.1551	1.5083	1.1449	5.1447	-0.2841	3.634	2.4705	0.6325	-5.5982	-8.0655	3.6379	3.283	7.1115	-11.1302	-0.8191	-3.5675	-0.4921	-2.7515	0.7567	0.6124	1.4171	3.8354	-2.8139	2.3522	6.6208
D07-OR-R2	-2.7111	-0.6403	-5.6871	1.5442	1.665	1.6298	1.2786	3.8083	2.3601	0.5899	-3.5217	-5.772	1.0323	0.934	7.366	-7.6629	0.1371	-3.2834	0.2273	-2.316	0.6075	-0.4425	0.882	2.4585	-2.7297	1.5444	6.7016
D07-OR-R3	-2.8819	-1.1744	-6.3399	3.3659	1.7365	2.331	0.9791	4.2102	2.4277	1.5069	-3.8594	-9.1639	2.0799	1.3576	7.2719	-11.0317	-0.5445	-2.8824	-0.2068	-2.6598	1.1147	0.5277	1.8231	3.5254	-2.4991	1.2699	7.7163
D07-ZF-R1	-5.2314	-3.2866	-5.6922	-2.9015	-0.7781	-0.1748	-0.3621	9.3583	2.789	2.0684	-2.9146	-3.3952	-0.3297	-0.0241	9.7683	-6.4383	1.6628	-2.2135	-0.2804	-1.9217	1.361	-0.8387	-1.3893	-0.6157	-0.7657	3.4161	9.1296
D07-ZF-R2	-4.4418	-2.8656	-5.8525	-1.848	-1.0215	0.2567	-0.5739	9.8924	2.7621	1.3789	-4.0364	-3.3769	-0.3613	0.542	9.9969	-8.0981	2.1106	-2.1218	-0.204	-2.2072	1.736	-0.8703	-1.1314	-0.1216	-1.244	3.2731	8.4276
D07-ZF-R3	-4.5725	-2.3772	-5.7014	-6.3718	-0.5158	0.5511	-0.2737	9.4442	3.2907	1.5866	-3.6394	-3.8354	-0.0601	0.8754	10.3503	-7.1004	2.6263	-1.8865	0.3425	-1.507	2.0006	-0.671	-1.2805	-2.9097	-0.7758	3.1387	9.2718
D07-ZH-R1	-6.2647	-1.8144	-6.6862	0.8273	0.7776	1.9596	-0.6589	9.014	4.0225	2.973	-3.3639	-3.5369	2.6864	1.4799	8.0213	-6.7141	-1.1892	-4.0871	-2.9562	-3.0834	-0.4939	0.075	0.6583	3.2022	-3.3133	-0.9166	9.3813
D07-ZH-R2	-6.7226	-0.2846	-5.6883	0.74	2.0649	1.8484	0.2185	8.7027	3.7231	2.6751	-3.7284	-3.6201	1.149	0.6968	8.2037	-9.8155	-0.2495	-4.1112	-0.9124	-3.8977	0.1934	-0.447	0.4344	1.7947	-3.2122	0.9315	9.3133
D07-ZH-R3	-6.4306	-0.622	-5.3998	-1.3512	1.5259	1.7267	0.2973	9.1086	4.9888	3.4315	-2.3182	-3.5924	0.6635	0.2353	8.5306	-8.154	0.2629	-3.3092	-2.172	-3.4837	0.304	-0.8717	-0.5479	-0.0867	-3.2692	0.2591	10.2743
D07-ZR-R1	-3.0997	-2.1437	-6.9801	-2.8611	-1.3111	0.2776	-1.4737	11.6343	2.8365	1.4616	-3.5864	-1.6415	-0.3732	0.2745	9.3585	-7.8554	1.6247	-2.8066	0.1288	-2.1968	0.5747	-1.399	-1.9378	-0.2806	-1.9806	3.7869	9.969
D07-ZR-R2	-4.2916	-2.3554	-5.8627	-2.0793	0.2282	1.0315	-0.7147	9.9005	2.8818	2.3373	-4.3073	-3.2371	-0.5149	-0.1368	9.5135	-7.9395	1.3918	-2.4094	-0.1047	-2.0768	1.3137	-0.9525	-1.2005	-0.3965	-1.4996	2.5672	8.9138
D07-ZR-R3	-2.9534	-0.898	-6.4432	-3.8487	-0.038	0.9878	-1.1919	11.2698	2.7969	2.6686	-3.8602	-2.249	-0.2329	0.4704	10.2187	-8.3754	2.2534	-2.9897	-1.1568	-3.342	1.0218	-1.6596	-1.8413	-1.8228	-1.6452	3.2186	9.6418
D08-NF-R1	-11.0483	-2.1249	-5.0899	1.036	0.2725	1.8011	0.0089	-2.009	3.5956	2.6882	-3.6939	-8.587	2.1521	1.8996	9.0243	-2.1584	-1.733	-2.8638	-0.2854	-1.5181	2.2883	0.3525	0.7787	3.3632	2.857	1.8323	7.1614
D08-NF-R2	-10.0553	-1.8819	-5.2056	0.567	-0.3935	1.5946	-0.1189	-2.0638	5.6352	3.9575	-3.442	-7.6209	0.7293	1.4927	9.5515	-6.1697	-0.7907	-1.9595	2.0086	-2.3124	1.7244	-0.3666	-0.4701	1.6041	4.0701	2.237	7.6786
D08-NF-R3	-6.8529	-0.6409	-4.2745	-2.5951	0.0832	1.6116	-0.0832	-1.9793	4.5121	3.6502	-3.2205	-6.6513	2.2912	1.1659	9.4111	-6.1379	-0.2107	-2.1585	0.7135	-2.5002	1.4882	-0.1846	-0.8119	-0.034	3.2558	2.2481	7.9045
D08-OF-R1	-5.5964	-2.1399	-5.4585	-2.7735	-0.9232	0.6691	-1.1539	-2.7547	3.4844	2.1213	-2.5143	-6.4355	1.138	3.1889	9.1958	-4.8456	0.7572	0.5159	2.2071	-2.5685	0.4846	-0.8277	-1.4168	-0.0954	2.9832	2.9444	9.8139
D08-OF-R2	-6.4726	-2.6466	-6.3302	-0.4345	-0.7883	1.3219	-0.8705	-2.8987	4.128	2.3618	-2.7914	-7.7153	0.3456	1.4698	9.2397	-4.666	0.8869	0.7223	2.3049	-2.3623	0.3553	-0.8544	-1.0553	0.704	2.6627	3.1333	10.2497
D08-OF-R3	-6.0303	-2.0645	-5.3633	-4.3585	-0.9093	1.2355	-0.9237	-2.6805	3.5507	3.1319	-2.8404	-6.9576	1.0562	2.8166	9.4651	-5.0225	1.2326	-0.5785	2.4241	-2.5838	1.8121	-0.7944	-1.5579	-0.9927	3.8904	3.3998	9.643
D08-OR-R1	-3.9779	-1.9157	-5.5588	1.6229	0.2703	1.8596	-0.4486	-2.7063	5.2377	3.5897	-3.2309	-7.207	2.2161	1.9702	7.91	-7.0991	-2.2503	-3.0689	-0.4557	-2.0959	0.2564	0.6933	1.5114	3.8254	1.4926	-0.5098	8.0695
D08-OR-R2	-6.4288	-1.3319	-5.2914	2.4608	0.9803	2.3102	1.3512	-2.5936	4.6843	2.9504	-2.6202	-7.2573	1.3856	1.4283	7.2029	-6.2015	-2.4551	-3.4694	-0.9696	-2.6197	0.5113	0.8475	1.0585	3.331	2.2516	0.596	7.8884
D08-OR-R3	-4.7439	-1.2434	-5.8737	4.176	2.1981	2.9244	2.0238	-2.2857	4.507	3.5671	-2.4661	-10.3781	2.8404	1.8865	6.9846	-8.9448	-3.0002	-3.7354	-2.251	-2.7844	-0.6714	1.3219	2.8765	4.3877	0.3934	-0.0196	8.3103
D08-ZF-R1	-9.3166	-3.0466	-5.8521	-2.5417	-0.9506	0.6832	-0.1356	-1.9163	3.7427	3.4391	-2.4827	-7.5041	0.3964	0.8157	9.8509	-3.3612	1.6301	-1.7159	2.458	-1.3156	1.7505	-0.3632	-1.117	0.5927	3.7605	2.5436	9.9557
D08-ZF-R2	-9.3057	-2.9717	-5.2564	-2.1556	-0.9365	0.7015	0.0555	-1.8253	3.1462	3.0462	-2.4065	-6.8368	0.2602	0.8751	9.9752	-4.0135	1.5373	-1.5988	3.1061	-1.2899	1.0184	-0.2037	-0.9372	0.2959	3.4107	3.0941	9.2153
D08-ZF-R3	-6.2524	-2.9607	-5.8046	-0.3774	-1.0217	1.1852	-0.3174	-2.6487	4.0717	2.979	-2.5629	-7.4252	0.3702	0.1862	9.0985	-2.2424	0.7523	-1.8369	3.1392	-2.1757	-0.2368	-0.6191	-0.9402	0.4711	2.6587	1.5079	11.0022
D08-ZH-R1	-10.2322	-2.4939	-5.7783	2.295	1.0247	2.3624	0.4018	-2.2483	5.1297	3.7918	-2.389	-8.3305	3.3508	2.6746	7.4629	-7.5354	-1.4631	-2.1914	2.4562	-2.3816	-0.1183	1.2162	1.7449	4.2449	-1.0562	-2.0398	10.102
D08-ZH-R2	-10.4482	0.6237	-4.1281	1.9552	2.6238	3.4744	1.7216	-2.5143	5.0917	3.7808	-1.7083	-10.2394	2.36	0.7492	7.2388	-5.669	-2.0141	-2.1003	2.4041	-3.7434	-1.6696	0.1819	1.4319	2.9741	-0.6007	-1.8581	10.0822
D08-ZH-R3	-9.144	-2.0622	-5.9125	1.0394	0.4789	2.5396	-0.2993	-3.228	5.9182	4.7378	-0.8213	-9.279	1.3933	1.3354	8.5481	-4.7466	-0.5086	-0.9848	3.568	-3.4568	-2.0643	-0.1371	-0.1002	1.459	0.6317	-0.0813	11.1766
D08-ZR-R1	-7.7282	-2.9844	-5.431	-4.1749	-1.1465	0.6385	-0.0167	-2.1946	5.8395	3.2843	-1.654	-7.0774	0.2488	0.313	9.6432	-3.3344	1.0649	-1.3151	2.8255	-1.8478	0.5062	-0.2149	-1.2272	0.1778	3.0337	2.7915	9.9804
D08-ZR-R2	-7.9285	-1.5845	-5.4696	-2.8941	-0.4198	1.7822	-0.4301	-2.683	7.0116	3.9357	-0.9663	-7.3548	0.859	0.0446	9.0604	-2.7014	0.1047	-1.3008	2.6693	-2.6422	-1.1794	-0.4251	-1.2065	-0.3085	1.0809	2.1765	10.7695
D08-ZR-R3	-5.439	-2.5329	-5.7116	-0.7881	-1.0329	1.4964	-0.9049	-3.0981	4.2797	4.1129	-2.125	-8.9032	1.0091	0.2577	8.7585	-2.0059	1.0398	-1.5674	2.0663	-2.2099	-0.4532	-1.13	-1.2588	-0.0093	2.9957	2.6122	10.5419
D09-NF-R1	-1.6581	-3.007	-6.8918	-1.8729	1.695	1.1791	-2.0417	-3.2361	4.0994	2.7941	-4.0096	0.5347	-0.1233	0.2655	8.3765	-7.7267	-0.5363	-1.6338	2.4822	-0.7598	2.7328	-1.612	-1.59	0.4587	3.3031	1.4676	7.3104
D09-NF-R2	-1.591	-2.0671	-7.2299	-1.9857	1.9937	1.4932	-1.2025	-3.4968	4.1916	2.0964	-4.1216	0.4294	0.344	0.3309	8.3829	-8.533	-0.6976	-1.2665	2.3587	0.574	2.9484	-2.0499	-1.7974	-0.7618	3.237	1.3837	7.0368
D09-NF-R3	2.5664	0.0885	-4.9984	-2.438	0.9464	1.7996	-2.483	-4.0953	3.3766	1.9599	-4.0783	-0.2868	2.6978	-0.2587	8.5217	-8.7761	-0.3668	-2.1075	1.7603	-0.913	2.4984	-1.7967	-2.8184	-1.8968	2.3885	1.9009	6.8088
D09-OF-R1	-0.026	-1.8602	-6.5759	-4.0292	3.6155	2.575	-2.2496	-4.4779	7.291	1.6139	-3.5617	1.6959	0.7075	0.5865	7.7814	-6.4135	-0.3238	-3.1862	1.482	-0.9648	1.0275	-2.989	-3.6242	-1.7478	2.3632	2.5667	8.7238
D09-OF-R2	-0.9292	-2.904	-7.7178	-1.2777	2.3923	2.1792	-2.3858	-4.3654	6.9506	1.6086	-4.5851	1.3494	0.9384	0.407	7.7661	-8.0408	-0.7912	-1.7921	0.0978	-1.2638	2.2421	-2.4954	-2.3149	-0.3264	3.168	3.6872	8.4028
D09-OF-R3	-0.1908	-2.0902	-6.532	-4.5312	3.4656	2.7893	-2.6202	-3.9781	7.0259	1.935	-3.6047	1.094	0.8181	0.402	8.1039	-7.4645	-0.071	-3.0736	2.1239	-1.43	1.8937	-2.7454	-3.335	-2.6605	2.831	2.9557	8.8893
D09-OR-R1	-1.4372	-1.1645	-5.7957	1.3574	1.823	1.9403	-0.4742	-2.9044	4.8011	2.6806	-4.1751	0.9738	3.0201	1.6593	6.0394	-8.3484	-1.1636	-3.8773	-2.1643	-2.7995	0.4208	0.16	0.9813	3.4756	-1.2664	-1.0245	7.2624
D09-OR-R2	-3.1012	-1.06	-4.4783	2.9157	2.7902	2.9418	1.4933	-1.8851	3.7304	2.1517	-4.0132	-1.5248	2.5662	1.4024	5.0664	-7.2909	-3.2762	-2.8953	-3.8613	-2.6143	0.5516	0.6856	1.8154	3.9286	-0.993	-1.1797	6.1338
D09-OR-R3	-2.2377	0.2337	-5.4285	-1.0771	2.0968	2.0286	-0.6641	-3.2013	5.3241	2.8614	-4.4686	1.3884	2.3585	-0.7864	6.9373	-6.8102	-1.5554	-2.9916	-0.5034	-2.6031	2.4595	-1.1871	-0.827	0.3681	1.449	-0.6041	7.4401
D09-ZF-R1	-0.9606	-2.3152	-6.6828	-3.4952	4.0731	2.4	-2.4265	-4.9562	8.0803	1.9477	-3.902	3.8035	0.5334	-0.9322	7.9709	-5.285	-0.1705	-2.9339	-0.2138	-1.216	2.3667	-3.108	-3.448	-1.7556	2.4143	1.202	9.0096
D09-ZF-R2	-1.4053	-2.5495	-8.0788	-1.2581	3.3852	3.1882	-1.6428	-4.2134	7.1921	1.3187	-4.2156	2.3143	0.7535	-0.9538	7.7736	-5.9445	0.0166	-2.8249	-0.6766	-1.1052	1.6245	-2.9112	-1.8139	-0.0431	2.4588	1.5533	8.0579
D09-ZF-R3	-0.865	-1.6776	-6.7429	-4.8364	3.8882	3.0578	-2.2493	-4.1258	7.7332	1.774	-4.1018	3.1411	0.9505	-0.845	8.0162	-5.2508	0.0522	-3.1203	0.3624	-1.4038	1.7904	-2.7951	-3.0895	-2.2774	2.3197	1.5124	8.7825
D09-ZH-R1	-2.3347	-2.4138	-5.5909	0.7866	3.356	3.2785	-1.1177	-3.1814	6.5829	2.5669	-4.3254	1.6303	2.2204	1.0815	6.2056	-6.2555	-2.8105	-3.277	-0.4102	-1.7063	0.3451	-0.3227	0.4871	2.8932	-2.3793	-3.9145	8.6057
D09-ZH-R2	-3.1759	0.3483	-4.5205	1.697	3.0236	3.1835	0.4542	-1.5191	5.498	1.5777	-3.6965	0.6613	1.9347	-0.2283	5.6369	-7.1939	-2.7782	-3.4499	-1.2981	-2.4434	0.0335	-0.3527	0.9738	2.6127	-2.1275	-2.735	7.8838
D09-ZH-R3	-4.8843	-0.7341	-5.0392	-0.4852	2.7277	2.8537	-0.3907	-3.0721	6.9252	2.8624	-4.46	1.9795	1.3342	-0.8003	6.6352	-5.3363	-2.3121	-3.1358	-0.3621	-2.5546	1.3425	-0.7399	-0.4185	0.6579	0.3259	-1.2272	8.3082
D09-ZR-R2	-1.8706	-2.6184	-7.647	-3.5281	3.921	2.7192	-2.0596	-4.2984	7.625	2.9728	-4.302	2.4428	0.1937	-0.7558	7.9737	-5.6502	-0.3555	-2.1839	0.6344	-1.7159	2.6223	-2.8589	-3.057	-1.798	3.1767	1.7333	8.6847
D09-ZR-R3	-1.1361	-2.2497	-7.7168	-4.7618	4.0179	3.7463	-2.755	-4.457	8.5513	3.111	-4.027	3.1248	1.1513	-0.9386	7.6561	-5.1185	-0.2066	-3.165	0.6071	-1.9485	2.2854	-3.0789	-3.3657	-2.8466	2.6399	1.5953	9.2854
D10-NF-R1	-9.9864	-2.7302	-5.262	0.5179	0.9179	2.9738	-0.3948	-2.5837	1.0727	-1.3131	-1.0219	-9.1611	0.3172	1.7513	10.1096	-5.1864	0.8258	-1.1285	2.4088	-2.4242	1.0179	3e-04	0.2376	2.2975	6.2696	2.3364	8.1382
D10-NF-R2	-10.4343	0.6469	-4.2919	1.3213	2.3259	2.6862	0.2727	-2.5394	1.9216	-0.9372	-2.038	-10.5516	1.1733	-0.067	8.2428	1.0234	-0.5113	-2.8069	-0.3557	1.0037	-0.9352	-0.2085	0.9791	2.3441	3.2197	0.0641	8.4524
D10-NF-R3	-10.3699	-0.4972	-3.3361	4.4204	2.7455	4.4112	2.322	-1.8407	2.8307	-3.3958	-4.0233	-10.272	2.8576	2.1068	8.6929	-10.2684	-1.1184	-3.3439	0.1109	-2.5403	-0.3565	1.9941	3.0423	4.6545	4.4632	0.4748	6.2354
D10-OF-R1	-9.9838	-0.2709	-4.3095	2.4766	1.664	2.577	0.3421	-2.0074	2.5754	-0.462	0.6053	-10.3214	2.3572	2.6251	6.32	-4.2447	-0.7727	-2.6689	-2.9197	-0.5399	1.4655	3.0554	2.0406	4.447	0.3046	-0.2102	5.8554
D10-OF-R2	-10.6274	-2.6219	-6.0507	1.0945	0.9387	4.4154	-0.8613	-2.9393	0.3584	-3.2073	-5.1623	-8.7185	1.1484	3.8535	9.4477	-10.466	2.2051	0.6228	3.7017	-2.3347	1.3406	-0.7382	-0.3202	1.5861	7.4676	4.6861	11.1812
D10-OF-R3	-11.8047	-1.7353	-5.9065	1.9745	1.133	4.1108	-0.22	-3.2671	0.1445	-3.3561	-4.0091	-10.1768	1.198	2.8865	9.608	-9.8839	1.1254	1.1879	3.5039	-2.7351	1.0812	-0.3537	0.589	2.1874	6.8332	4.5817	11.3034
D10-ZF-R1	-11.8391	-2.8481	-6.4683	-1.0833	0.1579	3.8388	-1.2261	-2.077	0.1672	-2.3306	-1.8825	-11.8303	0.3106	3.204	9.9875	-6.9352	3.7586	1.241	4.1951	-1.3164	1.3218	-0.7614	-0.9773	0.7261	8.1527	3.9066	10.6079
