metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Temperature	Phocea	Hot	0.00215597306723755	0.000538054692005632	210	209	8.71625781768084e-05	0.000916190107452468
Temperature	Actinomyces	Hot	-0.00277260822920404	0.000696307593613457	210	209	9.61341129652806e-05	0.0010029514173542
Kit	Lactonifactor	Zymo	0.000651399229885673	0.000164826333475973	210	209	0.000107940949974762	0.00111778850418309
Temperature	unclassified.Flavobacteriales..miscellaneous.	Hot	0.000200652809900696	5.10205428241267e-05	210	206	0.000116275621001341	0.00119524498646967
Temperature	Trichoderma	Hot	0.000240887834551775	6.149393253179e-05	210	136	0.00012343870168159	0.00125961536460483
Temperature	Alistipes	Hot	0.829754986567867	0.212163906794209	210	209	0.000126486595794916	0.00127214576202369
Temperature	Candidatus.Stoquefichus	Hot	-0.0012652498075489	0.000323463823102336	210	204	0.000126171099568271	0.00127214576202369
Kit	Paraclostridium	Zymo	-0.00014696145589377	3.76829635971265e-05	210	37	0.000131924133972992	0.00131735670924459
Kit	Fusicatenibacter	Zymo	0.110695878457636	0.0286493157079839	210	209	0.000151438568693261	0.00150149729810765
Temperature	Diversispora	Room Temp	0.000200468747212856	5.1930592540088e-05	210	92	0.000153469660685444	0.00151091961717078
Temperature	Sanguibacter	Hot	-0.000854771224429733	0.000222183978215061	210	149	0.000161352922277247	0.00157742227513
Kit	Guerin_crAss_Delta	Zymo	0.0283226583503632	0.00736899557912311	210	106	0.000163597251589567	0.00158825665084871
Kit	Tyzzerella	Zymo	0.00495864801022212	0.00130227217797842	210	209	0.00018728480733368	0.00180568386656886
Temperature	Alistipes	Room Temp	0.805233485782018	0.212163906794209	210	209	0.000196186456497147	0.00187855250810282
Kit	unclassified.Clostridiales..miscellaneous.	Zymo	0.263192262250033	0.0694420978281728	210	209	0.000200082417425896	0.00190282462286669
Kit	unclassified.Spirochaetales	Zymo	0.000216967267753406	5.73982215317654e-05	210	98	0.000207769520751554	0.00196257966223428
Kit	Stomatobaculum	Zymo	0.000190354283391994	5.04478698944345e-05	210	205	0.000213080383583154	0.0019992374244916
Temperature	Guerin_crAss_Delta	Hot	0.0328704851801959	0.00877085908642606	210	106	0.000234414752949041	0.00218474549748507
Temperature	Lactobacillus	Hot	-0.0176055033056206	0.00471543783633291	210	209	0.0002470194468423	0.00228697474626182
Temperature	Succinivibrio	Hot	-0.000413867517425691	0.000111627438579344	210	73	0.000271960240333598	0.00250131852622612
Temperature	Raoultibacter	Hot	-0.00125027311586338	0.000337767361250878	210	209	0.000278040190995288	0.00254052409811381
Kit	unclassified.Veillonellaceae	Zymo	0.00714678660279581	0.00193407829991207	210	97	0.000284659190878313	0.00258411395355768
