metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Temperature	Rhodoferax	Hot	-1.16887670724555e-05	6.35390714217656e-05	210	101	0.854232577624373	0.909533239542173
Temperature	unclassified.Ruminococcaceae	Room Temp	0.0234379085942754	0.129933036381096	210	209	0.857036130768575	0.910438078126496
Temperature	Geoglossum	Room Temp	-2.68561579958422e-05	0.00014886416167195	210	209	0.857018397253817	0.910438078126496
Temperature	Dehalobacterium	Hot	5.15747144401965e-06	2.85249611779174e-05	210	43	0.85670607425649	0.910438078126496
Temperature	unclassified.Elusimicrobia	Hot	1.34161132859745e-05	7.53597925419906e-05	210	187	0.858884331938123	0.911708653036823
Temperature	Hungatella	Room Temp	-0.000224398075543562	0.00128571241224319	210	209	0.861626547957727	0.913925579700229
Kit	Amycolatopsis	Zymo	1.00295679923658e-05	5.84281884897048e-05	210	148	0.863883924498863	0.915625266451411
Temperature	Butyricimonas	Hot	0.00135460623203922	0.0080022814402908	210	193	0.86575206053895	0.915959397807738
Kit	unclassified.Myxococcales	Zymo	1.01385230541371e-05	6.02750361636975e-05	210	168	0.866595082263879	0.915959397807738
Temperature	unclassified.Lentisphaerae	Room Temp	0.000120245162389993	0.000709444774605207	210	79	0.865583638356192	0.915959397807738
Temperature	Mucilaginibacter	Room Temp	4.99636026574639e-06	2.97547396164188e-05	210	24	0.866819945135649	0.915959397807738
Temperature	unclassified.Acidimicrobiia	Hot	6.66556836073662e-06	3.99368793436882e-05	210	26	0.867617889590427	0.91611012813249
Temperature	Sarcina	Hot	0.000115774537565104	0.00070772541890181	210	209	0.870224137461733	0.917476126826171
Temperature	Pseudoramibacter	Room Temp	-6.74148183837774e-06	4.11522079285365e-05	210	30	0.870042185642753	0.917476126826171
Temperature	Ruthenibacterium	Room Temp	0.185577046314603	1.15905823760386	210	210	0.872951153794307	0.919657658631832
Temperature	Brevibacillus	Room Temp	-8.39176261300366e-06	5.42886718318554e-05	210	128	0.877313305721033	0.923557229968377
Kit	Acinetobacter	Zymo	-0.00110889167909059	0.00743714263740074	210	209	0.881625794641315	0.926454809275373
Temperature	Sphingopyxis	Hot	-6.6355989619482e-06	4.43992512532295e-05	210	31	0.881349125203507	0.926454809275373
Kit	Frankia	Zymo	-6.64211700927313e-06	4.47104174893123e-05	210	79	0.882053899245724	0.926454809275373
Temperature	Malassezia	Room Temp	1.70729199853215e-06	1.1615991879545e-05	210	22	0.883299911894951	0.927067024646502
Temperature	Brevundimonas	Hot	6.74101680810446e-06	4.84950785098453e-05	210	73	0.889588871547701	0.932267797918805
Kit	Bacteroidia..environmental.samples	Zymo	2.36368855204443e-05	0.000169297790180418	210	209	0.889105074349108	0.932267797918805
Kit	Talaromyces	Zymo	3.36360973287851e-06	2.45068296454141e-05	210	41	0.890971836410806	0.933017698353787
Temperature	Streptomyces	Hot	8.15269472523387e-05	0.000599765802692069	210	209	0.892014389304171	0.933410266652119
Kit	Zopfia	Zymo	-6.79171279036891e-06	5.05698220790425e-05	210	52	0.89329955942914	0.934055934242287
Kit	unclassified.Lentisphaeria	Zymo	-0.00120271663289689	0.00967731848392386	210	90	0.901218707332638	0.937689836266218
Temperature	Frankia	Hot	-6.66890148508799e-06	5.32160410850323e-05	210	79	0.900399986208912	0.937689836266218
Temperature	Frankia	Room Temp	-6.74245339452474e-06	5.32160410850323e-05	210	79	0.899307351424735	0.937689836266218
Temperature	unclassified.Spirochaetales	Hot	8.5464728560526e-06	6.83175484991249e-05	210	98	0.900572556884052	0.937689836266218
Temperature	unclassified.Anaerolineaceae	Hot	-6.67256239232177e-06	5.38265523129239e-05	210	97	0.901470057182974	0.937689836266218
Temperature	Filifactor	Room Temp	6.64816335097025e-06	5.17919761673757e-05	210	62	0.897992810672459	0.937689836266218
Temperature	Halotalea	Room Temp	3.29538450990541e-06	2.65607931019764e-05	210	25	0.901386741263945	0.937689836266218
Temperature	unclassified.Verrucomicrobia.subdivision.3	Hot	3.38303494626223e-06	2.77467225429348e-05	210	40	0.903082247426154	0.93866838803105
Temperature	unclassified.Verrucomicrobia.subdivision.3	Room Temp	3.32386849787576e-06	2.77467225429348e-05	210	40	0.904769052140188	0.939722982832083
Temperature	unclassified.Chloroflexi	Hot	2.20513445743419e-05	0.000186147166710364	210	209	0.905822395205497	0.940118566070739
Temperature	Anaerotruncus	Room Temp	-0.000166025991775923	0.00144335355291486	210	209	0.908540131101804	0.940934762171734
Temperature	Xylaria	Room Temp	1.20490272476245e-05	0.000104849864695064	210	139	0.908627989221631	0.940934762171734
Temperature	unclassified.Bryobacterales	Room Temp	6.71231875350311e-06	5.80017974442499e-05	210	176	0.907987540693961	0.940934762171734
Kit	Verticillium	Zymo	3.35686834858255e-06	3.15505054268132e-05	210	47	0.915375910420647	0.947220964299085
Temperature	Erysipelatoclostridium	Room Temp	0.000636000291098072	0.00602761680143465	210	209	0.916075013251133	0.947243245950505
Kit	Anaerococcus	Zymo	-6.73823505673448e-06	6.51251780953251e-05	210	148	0.917698465670517	0.947599860194264
Temperature	Nocardia	Hot	-6.62005378044713e-06	6.40431477408749e-05	210	143	0.917775544136647	0.947599860194264
Kit	Citrobacter	Zymo	3.33079860839107e-06	3.39518441886657e-05	210	53	0.921949762651305	0.950717064807861
