taxa	n.pos	n.neg	rab.all	rab.win.Flex	rab.win.XT	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	abs.effect
Actinobacteria (201174)	30	10	0.2486	0.8803	0.1971	-0.509	1.95	-0.2724	0.3791	0.2656	0.9147	0.2688	0.8972	0.2724
Bacteroidetes	30	10	3.269	3.114	3.421	0.3018	1.541	0.1816	0.4094	0.3659	0.9147	0.3626	0.8972	0.1816
Proteobacteria	30	10	-2.009	-1.944	-2.009	0.1942	1.726	0.08508	0.4509	0.7628	0.9384	0.7022	0.8999	0.08508
Verrucomicrobia	30	10	-5.948	-6.132	-5.816	0.01016	3.055	0.003278	0.4969	0.9384	0.9384	0.9869	0.9869	0.003278
Firmicutes	30	10	4.369	4.484	4.369	-0.04744	0.9607	-0.05597	0.4516	0.8724	0.9384	0.7191	0.8999	0.05597
