taxa	n.pos	n.neg	rab.all	rab.win.Flex	rab.win.XT	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	abs.effect
Pseudomonadaceae	30	10	-5.882	-6.028	-5.791	0.2037	1.215	0.07944	0.3713	0.9418	0.957	0.2363	0.87	0.07944
Sutterellaceae	30	10	-2.482	-2.41	-2.482	0.2005	4.201	0.04423	0.4531	0.8885	0.957	0.691	0.87	0.04423
Akkermansiaceae	30	10	-4.846	-5.072	-4.755	0.2171	4.028	0.05705	0.4516	0.8524	0.957	0.6564	0.87	0.05705
Streptococcaceae	30	10	-0.852	-0.7941	-0.852	-0.07215	1.813	-0.02596	0.475	0.8974	0.957	0.7624	0.87	0.02596
Clostridiaceae	30	10	2.597	2.708	2.583	-0.01235	0.7527	-0.01728	0.4852	0.641	0.957	0.7769	0.87	0.01728
Lachnospiraceae	30	10	4.866	4.821	4.906	-0.009272	1.013	-0.008391	0.4875	0.8899	0.957	0.8704	0.9187	0.008391
Eubacteriaceae	30	10	1.847	1.771	1.847	0.06116	1.04	0.06054	0.4672	0.9092	0.957	0.7571	0.87	0.06054
Oscillospiraceae	30	10	0.03918	-0.01563	0.05757	0.1152	1.714	0.06848	0.45	0.8011	0.957	0.7248	0.87	0.06848
Ruminococcaceae	30	10	4.784	4.784	4.736	-0.0008723	1.25	-0.0005511	0.4992	0.9323	0.957	0.9796	0.9796	0.0005511
Erysipelotrichaceae	30	10	-0.157	0.1827	-0.2785	-0.5028	1.537	-0.3276	0.3469	0.2219	0.957	0.1597	0.87	0.3276
Selenomonadaceae	30	10	-6.041	-5.887	-6.101	-0.1616	6.515	-0.02538	0.4353	0.9567	0.957	0.6649	0.87	0.02538
Veillonellaceae	30	10	-0.6715	-0.2692	-0.753	-0.199	5.685	-0.04803	0.4297	0.8705	0.957	0.4365	0.87	0.04803
Bifidobacteriaceae	30	10	1.275	1.505	0.9207	-0.5302	2.64	-0.1911	0.4078	0.392	0.957	0.4139	0.87	0.1911
Coriobacteriaceae	30	10	0.3562	0.3562	0.3009	-0.5403	4.77	-0.1039	0.4313	0.6552	0.957	0.5251	0.87	0.1039
Bacteroidaceae	30	10	4.845	4.703	5.012	0.3443	2.428	0.1716	0.3869	0.5812	0.957	0.3964	0.87	0.1716
Rikenellaceae	30	10	1.455	1.173	1.483	0.1777	2.326	0.08422	0.4625	0.7776	0.957	0.6284	0.87	0.08422
Prevotellaceae	30	10	-3.327	-3.697	-3.091	0.4121	4.978	0.1037	0.4	0.6673	0.957	0.3633	0.87	0.1037
Odoribacteraceae	30	10	-0.9065	-1.037	-0.9018	0.01681	4.111	0.002861	0.4922	0.9071	0.957	0.7137	0.87	0.002861
Tannerellaceae	30	10	1.879	1.531	1.98	0.3695	2.597	0.166	0.3828	0.5061	0.957	0.3152	0.87	0.166
