taxa	n.pos	n.neg	rab.all	rab.win.Flex	rab.win.XT	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	abs.effect
Pseudomonadales	30	10	-3.516	-4.151	-3.278	0.7525	2.295	0.2682	0.3172	0.4103	0.9621	0.09665	0.8157	0.2682
Burkholderiales	30	10	-1.635	-1.673	-1.635	0.1321	3.692	0.04031	0.4555	0.8294	0.9621	0.6698	0.857	0.04031
Verrucomicrobiales	30	10	-4.287	-4.48	-4.077	0.161	3.858	0.0478	0.4867	0.7784	0.9621	0.7629	0.8588	0.0478
Lactobacillales	30	10	0.3333	0.2559	0.3333	0.191	1.698	0.09556	0.4462	0.7352	0.9621	0.6286	0.857	0.09556
Clostridiales	30	10	6.917	6.885	6.917	0.1057	1.34	0.07272	0.4516	0.7908	0.9621	0.6576	0.857	0.07272
Erysipelotrichales	30	10	0.1392	0.5006	0.03826	-0.4468	1.569	-0.2305	0.3775	0.3869	0.9621	0.2567	0.8157	0.2305
Selenomonadales	30	10	-4.339	-4.309	-4.374	0.01132	5.835	0.001526	0.4977	0.9621	0.9621	0.8873	0.8888	0.001526
Veillonellales	30	10	-0.3876	-0.1824	-0.5864	-0.08214	5.244	-0.02446	0.4672	0.9437	0.9621	0.7988	0.8596	0.02446
Bifidobacteriales	30	10	1.554	1.725	1.298	-0.5053	2.602	-0.1813	0.4275	0.4882	0.9621	0.5279	0.857	0.1813
Coriobacteriales	30	10	0.8337	0.9116	0.8337	-0.3929	3.87	-0.1042	0.4181	0.7147	0.9621	0.4996	0.857	0.1042
Eggerthellales	30	10	-0.8772	-0.7766	-1.224	-0.7158	2.499	-0.2773	0.3609	0.3215	0.9621	0.2333	0.8157	0.2773
Bacteroidales	30	10	5.818	5.535	6.133	0.3828	2.106	0.2526	0.3781	0.3176	0.9621	0.2722	0.8157	0.2526
