D01-NF-R1_1	1204612703	1149723966	1161176231	1200042013
D01-NF-R1_2	1204129749	1151745793	1161966001	1201606011
D01-NF-R2_1	512027058	534933800	540738728	509530024
D01-NF-R2_2	511580468	536673604	541614296	511581517
D01-NF-R3_1	1454917374	1385843109	1400235628	1449099373
D01-NF-R3_2	1451844000	1388616716	1400961828	1450041926
D01-OF-R1_1	3731352292	3389330981	3426211338	3713035929
D01-OF-R1_2	3730369753	3399081554	3425929158	3726403663
D01-OF-R2_1	584905980	525955630	531297687	582575227
D01-OF-R2_2	584208108	527229628	531596549	583541433
D01-OF-R3_1	3227712636	2860123076	2891457767	3214354760
D01-OF-R3_2	3221806311	2866403526	2891218930	3220518527
D01-OH-R1_1	2911576718	2666452222	2693923712	2897546323
D01-OH-R1_2	2907857651	2673223150	2695308332	2902802655
D01-OH-R2_1	987562178	918380260	928878012	982506323
D01-OH-R2_2	989164328	922135644	929480023	990622661
D01-OH-R3_1	1736211117	1617812589	1632944019	1730072776
D01-OH-R3_2	1731599341	1619431570	1636149981	1730141737
D01-OR-R1_1	1884390991	1768968469	1786065185	1878025127
D01-OR-R1_2	1884914761	1771929983	1787811689	1881072131
D01-OR-R2_1	1069367004	956790654	967212153	1063715709
D01-OR-R2_2	1068343778	960961023	968273897	1069125324
D01-OR-R3_1	708000621	613525791	620170105	705233842
D01-OR-R3_2	707480425	614592510	620035145	706618080
D01-ZF-R1_1	4763036297	4470229753	4515543476	4741677283
D01-ZF-R1_2	4759952178	4479466178	4516248997	4747037176
D01-ZF-R2_1	1057966277	942370543	952501486	1053656267
D01-ZF-R2_2	1056862330	943954692	953044404	1053803719
D01-ZF-R3_1	1313231695	1252849840	1264525943	1309068832
D01-ZF-R3_2	1311274131	1253635566	1264987842	1308015230
D01-ZH-R1_1	960968294	898276846	907687695	956149515
D01-ZH-R1_2	959845192	901158575	907579568	958605353
D01-ZH-R2_1	1208494703	1109975236	1120539625	1203274378
D01-ZH-R2_2	1207821739	1112226232	1121979890	1205964890
D01-ZH-R3_1	919148549	863904788	871948000	915370122
D01-ZH-R3_2	918231693	864716822	872025291	915407501
D01-ZR-R1_1	4205746444	3848136267	3885828401	4183597415
D01-ZR-R1_2	4200880012	3856405624	3890197630	4194777686
D01-ZR-R2_1	1850597806	1733699756	1749964913	1842788032
D01-ZR-R2_2	1850271432	1736736287	1751970670	1846980432
D01-ZR-R3_1	910679422	795094890	803077838	906841924
D01-ZR-R3_2	909110969	796726326	803679130	907915964
