feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Faecalibacterium	Kit	Omnigene	-3.95932485071	0.489365153446809	90	90	6.27787179636312e-12	1.7703598465744e-09
unclassified.Clostridiales..miscellaneous.	Kit	Omnigene	-0.624901726832979	0.0790716604961307	90	90	1.45020273730752e-11	2.0447858596036e-09
Bittarella	Kit	Omnigene	-0.0071521633543335	0.000936991761872596	90	90	4.8169519653879e-11	4.52793484746463e-09
Gordonibacter	Kit	Zymo	-0.0220478299923548	0.00303084278388205	90	90	2.35623280227618e-10	1.6611441256047e-08
unclassified.Ruminococcaceae	Kit	Omnigene	-1.1979721116679	0.167872122418946	90	90	4.33215246179955e-10	2.33686249832402e-08
Phocea	Kit	Omnigene	-0.00484344303556679	0.000681706910866433	90	90	4.97204786877452e-10	2.33686249832402e-08
Subdoligranulum	Kit	Omnigene	-0.206733684573091	0.0301008325304611	90	90	1.40293891064877e-09	5.65183961147078e-08
Bacteroides	Kit	Omnigene	9.43253574996729	1.40139819589469	90	90	2.55058415886611e-09	8.99080916000304e-08
Gordonibacter	Kit	Omnigene	-0.0202788213374552	0.00303084278388205	90	90	3.034281279604e-09	9.50741467609252e-08
Anaerotruncus	Kit	Omnigene	-0.0143666935210966	0.00223602068172511	90	90	9.55943768506467e-09	2.69576142718824e-07
Anaerotruncus	Kit	Zymo	-0.0139980996206121	0.00223602068172511	90	90	1.93619070081639e-08	4.96368888754748e-07
Actinomyces	Kit	Zymo	-0.0065129382296383	0.00106535194753166	90	90	3.61481674329793e-08	8.49481934675013e-07
Catabacter	Kit	Omnigene	-0.00354307328468406	0.000582727964207848	90	90	4.16132856589663e-08	9.02688196602192e-07
Lachnoclostridium	Kit	Omnigene	-0.1300834209063	0.0215725126340318	90	90	5.14184245704055e-08	1.03571398063245e-06
Pseudoflavonifractor	Kit	Omnigene	-0.0152460772355498	0.00256501818102454	90	90	7.39049133188954e-08	1.38941237039523e-06
Raoultibacter	Kit	Zymo	-0.0025390310315569	0.00043601969464383	90	90	1.22435560515369e-07	2.15792675408337e-06
Christensenella	Kit	Omnigene	-0.00250779841465598	0.000434356013593367	90	90	1.50520983188125e-07	2.49687748582655e-06
Harryflintia	Kit	Omnigene	-0.00250794000600308	0.000443587553922744	90	90	2.4726459184772e-07	3.87381193894761e-06
Ruthenibacterium	Kit	Omnigene	-0.0226469794492686	0.00407445546156792	90	90	3.66212175935123e-07	5.43535966387919e-06
Enterorhabdus	Kit	Zymo	-0.0171294257828764	0.0031254379203183	90	81	5.03051171937644e-07	7.09302152432078e-06
Flavonifractor	Kit	Omnigene	-0.0835699311647217	0.0153852454217536	90	90	6.1367711787476e-07	8.24080701146106e-06
Lachnotalea	Kit	Omnigene	-0.00641508231571495	0.00118820780352875	90	90	7.01261351983251e-07	8.98889551178531e-06
Actinomyces	Kit	Omnigene	-0.00571164284178407	0.00106535194753166	90	90	8.16843430316698e-07	1.00152107543178e-05
Hungatella	Kit	Omnigene	-0.0107668874104824	0.00201730668879863	90	90	9.00049482573624e-07	1.05755814202401e-05
Gemmiger	Kit	Omnigene	-0.188376254205626	0.0355139099891156	90	90	1.02793900948521e-06	1.15951520269932e-05
Holdemania	Kit	Omnigene	-0.0101646712510017	0.00193999853226008	90	90	1.3332562446153e-06	1.44607023454429e-05
unclassified.Lachnospiraceae	Kit	Zymo	-1.09671091938253	0.213580263348725	90	90	2.02368306551018e-06	2.03813794454953e-05
Absiella	Kit	Omnigene	-0.00344095770208833	0.000669149519354865	90	90	1.96509433382941e-06	2.03813794454953e-05
unclassified.Eubacteriaceae	Kit	Omnigene	-0.0175760334448235	0.00347810547146854	90	90	2.79444449342271e-06	2.71735636946622e-05
Dysosmobacter	Kit	Zymo	0.0209559156256553	0.00416994257811128	90	90	3.11859550218097e-06	2.93147977205012e-05
Alistipes	Kit	Omnigene	1.46110087110536	0.291419227507801	90	90	3.26573578896391e-06	2.97076610479943e-05
Eisenbergiella	Kit	Omnigene	-0.0332459637814114	0.00672281446406698	90	90	4.27084708432927e-06	3.76368399306517e-05
unclassified.Ruminococcaceae	Kit	Zymo	-0.808156543260494	0.167872122418946	90	90	7.10452374628359e-06	6.07113847409689e-05
Oscillibacter	Kit	Zymo	0.240711321330228	0.0504552394875657	90	90	8.39380848370896e-06	6.96192350707626e-05
Streptomyces	Kit	Omnigene	-0.00468292678174309	0.000985864458752525	90	90	9.08818510081397e-06	7.32248056694154e-05
Paenibacillus	Kit	Omnigene	-0.00287701460521801	0.000608045961419142	90	90	9.75517346370814e-06	7.64155254657138e-05
Collinsella	Kit	Omnigene	-0.56558843967075	0.119969588672058	90	90	1.04156950864683e-05	7.93844868752452e-05
unclassified.Firmicutes.sensu.stricto..miscellaneous.	Kit	Omnigene	-0.189748351146101	0.040823554290025	90	90	1.34109268083617e-05	9.95231936831052e-05
Collinsella	Kit	Zymo	-0.549254630364439	0.119969588672058	90	90	1.74530662628623e-05	0.000126199094516081
Coriobacteriaceae..environmental.samples	Kit	Zymo	-0.00876366279222378	0.00192159369924048	90	90	1.8651415743375e-05	0.000131492480990794
unclassified.Lachnospiraceae	Kit	Omnigene	-0.964719394578813	0.213580263348725	90	90	2.19726040992128e-05	0.000150240272944456
unclassified.Muribaculaceae	Kit	Omnigene	0.00210317559947617	0.000466126892163126	90	90	2.23762108640679e-05	0.000150240272944456
Monoglobus	Kit	Zymo	0.0267350373577805	0.00600847397901058	90	73	2.82354986422295e-05	0.000181121702821784
Faecalicatena	Kit	Omnigene	-0.00705620713074399	0.00158590674519416	90	90	2.82601238445336e-05	0.000181121702821784
