Sample	raw_reads	dedup_reads	dedup_frac	trimmed_reads	trimmed_frac	host_removed_reads	host_removed_frac	orphan_reads	orphan_frac
NCO-B1-R1-B_S122_L002	12846191	12846191	1.0	1932835	0.15	543233	0.042	3718547	0.289
D07-ZH-R2-B_S51_L002	25972364	25972364	1.0	6795280	0.262	1831455	0.071	12449205	0.479
D07-OR-R2-B_S45_L002	30244830	30244830	1.0	6391015	0.211	1248683	0.041	22264268	0.736
D09-OF-R3-B_S36_L004	38049859	38049859	1.0	34239315	0.9	13119150	0.345	3398161	0.089
D04-ZH-R3-B_S58_L003	30872327	30872327	1.0	15072077	0.488	4134357	0.134	5006897	0.162
D06-NF-R3-A_S15_L004	40028585	40028585	1.0	26189378	0.654	9997883	0.25	13923344	0.348
D09-ZH-R3-A_S8_L004	36063264	36063264	1.0	10388942	0.288	3633465	0.101	13420139	0.372
D04-ZR-R3-B_S48_L003	31573886	31573886	1.0	30108095	0.954	10709112	0.339	1320668	0.042
D03-NF-R2-A_S32_L001	20543153	20543153	1.0	4333871	0.211	1439501	0.07	6758786	0.329
D01-NF-R2-B_S42_L001	49293405	49293405	1.0	11141492	0.226	3374600	0.068	15528384	0.315
D08-OF-R3-B_S33_L004	30108979	30108979	1.0	28066393	0.932	10640629	0.353	2165833	0.072
D09-ZF-R1-B_S115_L002	40680404	40680404	1.0	36146131	0.889	14492508	0.356	3520910	0.087
D02-ZF-R3-B_S43_L003	1161	1161	1.0	759	0.654	270	0.233	229	0.197
D02-OF-R2-B_S50_L002	29019735	29019735	1.0	22132617	0.763	8146772	0.281	4185655	0.144
D07-NF-R2-A_S2_L002	42670031	42670031	1.0	16810612	0.394	7615901	0.178	2651060	0.062
D05-OF-R2-B_S57_L001	21579567	21579567	1.0	6701530	0.311	2839062	0.132	5892928	0.273
D04-ZF-R2-A_S26_L002	33424077	33424077	1.0	28360370	0.849	9608213	0.287	5205426	0.156
NCO-B4-R1-A_S81_L002	20926095	20926095	1.0	5226507	0.25	1400008	0.067	9464083	0.452
D03-OF-R2-B_S35_L002	33903846	33903846	1.0	16200845	0.478	4983892	0.147	12142902	0.358
D03-OR-R1-A_S13_L001	21086485	21086485	1.0	5829228	0.276	777066	0.037	5948497	0.282
D09-ZR-R2-A_S5_L002	33232574	33232574	1.0	30612906	0.921	11419158	0.344	1877797	0.057
D01-ZF-R3-B_S39_L003	47980337	47980337	1.0	45470124	0.948	22750601	0.474	1552368	0.032
D06-OF-R1-B_S116_L002	15351349	15351349	1.0	1518408	0.099	310231	0.02	6732585	0.439
D06-ZH-R2-A_S12_L002	30050109	30050109	1.0	13950623	0.464	4189262	0.139	5472915	0.182
D05-OF-R1-B_S103_L002	24065317	24065317	1.0	16629028	0.691	7375501	0.306	4616309	0.192
D02-NF-R2-B_S58_L001	35459169	35459169	1.0	6156549	0.174	2705735	0.076	2568450	0.072
D06-ZR-R3-A_S20_L003	46247221	46247221	1.0	36831027	0.796	14968454	0.324	2997003	0.065
D07-NF-R2-B_S33_L002	46957774	46957774	1.0	14866977	0.317	4789770	0.102	23718002	0.505
D10-ZF-R2-B_S43_L001	26957989	26957989	1.0	16892119	0.627	6279165	0.233	4798623	0.178
