A1	Rep1	A1
A1	Rep2	A2
A1	Rep3	B1
A1	Rep4	B2
B1	Rep1	C1
B1	Rep2	C2
B1	Rep3	D1
B1	Rep4	D2
C1	Rep1	E1
C1	Rep2	E2
C1	Rep3	F1
C1	Rep4	F2
D1	Rep1	G1
D1	Rep2	G2
D1	Rep3	H1
D1	Rep4	H2
E1	Rep1	I1
E1	Rep2	I2
E1	Rep3	J1
E1	Rep4	J2
F1	Rep1	K1
F1	Rep2	K2
F1	Rep3	L1
F1	Rep4	L2
G1	Rep1	M1
G1	Rep2	M2
G1	Rep3	N1
G1	Rep4	N2
H1	Rep1	O1
H1	Rep2	O2
H1	Rep3	P1
H1	Rep4	P2
A2	Rep1	A3
A2	Rep2	A4
A2	Rep3	B3
A2	Rep4	B4
B2	Rep1	C3
B2	Rep2	C4
B2	Rep3	D3
B2	Rep4	D4
C2	Rep1	E3
C2	Rep2	E4
C2	Rep3	F3
C2	Rep4	F4
D2	Rep1	G3
D2	Rep2	G4
D2	Rep3	H3
D2	Rep4	H4
E2	Rep1	I3
E2	Rep2	I4
E2	Rep3	J3
E2	Rep4	J4
F2	Rep1	K3
F2	Rep2	K4
F2	Rep3	L3
F2	Rep4	L4
G2	Rep1	M3
G2	Rep2	M4
G2	Rep3	N3
G2	Rep4	N4
H2	Rep1	O3
H2	Rep2	O4
H2	Rep3	P3
H2	Rep4	P4
A3	Rep1	A5
A3	Rep2	A6
A3	Rep3	B5
A3	Rep4	B6
B3	Rep1	C5
B3	Rep2	C6
B3	Rep3	D5
B3	Rep4	D6
C3	Rep1	E5
C3	Rep2	E6
C3	Rep3	F5
C3	Rep4	F6
D3	Rep1	G5
D3	Rep2	G6
D3	Rep3	H5
D3	Rep4	H6
E3	Rep1	I5
E3	Rep2	I6
E3	Rep3	J5
E3	Rep4	J6
F3	Rep1	K5
F3	Rep2	K6
F3	Rep3	L5
F3	Rep4	L6
G3	Rep1	M5
G3	Rep2	M6
G3	Rep3	N5
G3	Rep4	N6
H3	Rep1	O5
H3	Rep2	O6
H3	Rep3	P5
H3	Rep4	P6
A4	Rep1	A7
A4	Rep2	A8
A4	Rep3	B7
A4	Rep4	B8
B4	Rep1	C7
B4	Rep2	C8
B4	Rep3	D7
B4	Rep4	D8
C4	Rep1	E7
C4	Rep2	E8
C4	Rep3	F7
C4	Rep4	F8
D4	Rep1	G7
D4	Rep2	G8
D4	Rep3	H7
D4	Rep4	H8
E4	Rep1	I7
E4	Rep2	I8
E4	Rep3	J7
E4	Rep4	J8
F4	Rep1	K7
F4	Rep2	K8
F4	Rep3	L7
F4	Rep4	L8
G4	Rep1	M7
G4	Rep2	M8
G4	Rep3	N7
G4	Rep4	N8
H4	Rep1	O7
H4	Rep2	O8
H4	Rep3	P7
H4	Rep4	P8
A5	Rep1	A9
A5	Rep2	A10
A5	Rep3	B9
A5	Rep4	B10
B5	Rep1	C9
B5	Rep2	C10
B5	Rep3	D9
B5	Rep4	D10
C5	Rep1	E9
C5	Rep2	E10
C5	Rep3	F9
C5	Rep4	F10
D5	Rep1	G9
D5	Rep2	G10
D5	Rep3	H9
D5	Rep4	H10
E5	Rep1	I9
E5	Rep2	I10
E5	Rep3	J9
E5	Rep4	J10
F5	Rep1	K9
F5	Rep2	K10
F5	Rep3	L9
F5	Rep4	L10
G5	Rep1	M9
G5	Rep2	M10
G5	Rep3	N9
G5	Rep4	N10
H5	Rep1	O9
H5	Rep2	O10
H5	Rep3	P9
H5	Rep4	P10
A6	Rep1	A11
A6	Rep2	A12
A6	Rep3	B11
A6	Rep4	B12
B6	Rep1	C11
B6	Rep2	C12
B6	Rep3	D11
B6	Rep4	D12
C6	Rep1	E11
C6	Rep2	E12
C6	Rep3	F11
C6	Rep4	F12
D6	Rep1	G11
D6	Rep2	G12
D6	Rep3	H11
D6	Rep4	H12
E6	Rep1	I11
