Plate 4,A1,D01_ZH_R1_10
Plate 4,A2,D01_ZH_R1_100
Plate 4,A3,"D01_ZH_R1_1,000"
Plate 4,A4,"D01_ZH_R1_10,000"
Plate 4,A5,"D01_ZH_R1_100,000"
Plate 4,A6,"D01_ZH_R1_1,000,000"
Plate 4,A7,water
Plate 4,B1,D03_ZF_R3_10
Plate 4,B2,D03_ZF_R3_100
Plate 4,B3,"D03_ZF_R3_1,000"
Plate 4,B4,"D03_ZF_R3_10,000"
Plate 4,B5,"D03_ZF_R3_100,000"
Plate 4,B6,"D03_ZF_R3_1,000,000"
Plate 4,B7,buffer
Plate 4,C1,D05_ZH_R3_10
Plate 4,C2,D05_ZH_R3_100
Plate 4,C3,"D05_ZH_R3_1,000"
Plate 4,C4,"D05_ZH_R3_10,000"
Plate 4,C5,"D05_ZH_R3_100,000"
Plate 4,C6,"D05_ZH_R3_1,000,000"
Plate 4,D1,D07_NF_R3_10
Plate 4,D2,D07_NF_R3_100
Plate 4,D3,"D07_NF_R3_1,000"
Plate 4,D4,"D07_NF_R3_10,000"
Plate 4,D5,"D07_NF_R3_100,000"
Plate 4,D6,"D07_NF_R3_1,000,000"
Plate 4,E1,D09_ZH_R1_10
Plate 4,E2,D09_ZH_R1_100
Plate 4,E3,"D09_ZH_R1_1,000"
Plate 4,E4,"D09_ZH_R1_10,000"
Plate 4,E5,"D09_ZH_R1_100,000"
Plate 4,E6,"D09_ZH_R1_1,000,000"
Plate 4,F1,D09_ZR_R1_10
Plate 4,F2,D09_ZR_R1_100
Plate 4,F3,"D09_ZR_R1_1,000"
Plate 4,F4,"D09_ZR_R1_10,000"
Plate 4,F5,"D09_ZR_R1_100,000"
Plate 4,F6,"D09_ZR_R1_1,000,000"
Plate 4,G1,"standardB_1,000"
Plate 4,G2,"standardB_10,000"
Plate 4,G3,"standardB_100,000"
Plate 4,G4,"standardB_1,000,000"
Plate 4,G5,"standardB_10,000,000"
Plate 4,G6,"standardB_100,000,000"
Plate 4,H1,"standardF_1,000"
Plate 4,H2,"standardF_10,000"
Plate 4,H3,"standardF_100,000"
Plate 4,H4,"standardF_1,000,000"
Plate 4,H5,"standardF_10,000,000"
Plate 4,H6,"standardF_100,000,000"
