taxid	Genus	mean16S	kingdom
1375	Aerococcus	4.78	Bacteria
1378	Gemella	4	Bacteria
1379908	Rufibacter	3	Bacteria
1380	Atopobium	1.94	Bacteria
1386	Bacillus	10.33	Bacteria
1387506	Selenomonadales: environmental samples	1.94	Bacteria
1392389	Intestinimonas	2	Bacteria
1400055	Murinocardiopsis	1.94	Bacteria
1407607	Fusicatenibacter	1.94	Bacteria
1432051	Eisenbergiella	1.94	Bacteria
143222	Salegentibacter	3	Bacteria
1434021	Motilibacter	1.94	Bacteria
1434046	Sphingorhabdus	1.75	Bacteria
1458928	Okeania	1.94	Bacteria
1470349	Candidatus Stoquefichus	1.94	Bacteria
1470392	unclassified Bryobacterales	1.94	Bacteria
1472649	Dielma	1.94	Bacteria
1485	Clostridium	9.19	Bacteria
149698	Massilia	7	Bacteria
150022	Finegoldia	4	Bacteria
1500946	unclassified Phycisphaerales	1.94	Bacteria
1501226	Romboutsia	16	Bacteria
150203	Blastomonas	2	Bacteria
1504576	Pseudocitrobacter	1.94	Bacteria
1505652	Terrisporobacter	1.94	Bacteria
1505657	Intestinibacter	1.94	Bacteria
1505660	Asaccharospora	1.94	Bacteria
1505663	Erysipelatoclostridium	5.25	Bacteria
1506553	Lachnoclostridium	5	Bacteria
1506577	Tyzzerella	1.94	Bacteria
1507525	unclassified Sutterellaceae	1.94	Bacteria
1508657	Ruminiclostridium	6.5	Bacteria
1510979	unclassified Syntrophaceae	1.94	Bacteria
1535326	Candida (1535326)	0	Fungi
155415	Monosporascus	0	Fungi
1562	Desulfotomaculum	7.5	Bacteria
156454	Anaeroglobus	1.94	Bacteria
156614	unclassified bacterial viruses: environmental samples	0	Viruses
156973	Dysgonomonas	4	Bacteria
157	Treponema	2.53	Bacteria
1573534	Faecalitalea	1.94	Bacteria
1573806	Mariniphaga	1.94	Bacteria
1577790	unclassified Methanomassiliicoccales	0	Archaea
1578	Lactobacillus	4.78	Bacteria
158483	Cedecea	7	Bacteria
158846	Megamonas	5.5	Bacteria
158851	Trabulsiella	1.94	Bacteria
158876	Yokenella	7	Bacteria
160034	Zopfia	0	Fungi
160674	Raoultella	8	Bacteria
162289	Peptoniphilus	3	Bacteria
1623303	Brussowvirus	0	Viruses
1623304	Moineauvirus	0	Viruses
1623305	Skunavirus	0	Viruses
1637	Listeria	5.67	Bacteria
1637257	Mageeibacillus	2	Bacteria
1648508	Ciceribacter	3	Bacteria
1649295	Franconibacter	1.94	Bacteria
1649459	Hungatella	4	Bacteria
1654	Actinomyces	3	Bacteria
165695	Sphingobium	2.83	Bacteria
165696	Novosphingobium	2.64	Bacteria
165697	Sphingopyxis	1.08	Bacteria
165779	Anaerococcus	3.33	Bacteria
1660158	unclassified Nitrosomonadales	1.94	Bacteria
1663	Arthrobacter	5.5	Bacteria
1663717	Herbinix	4	Bacteria
1674871	unclassified Anaerolineales	1.94	Bacteria
1674876	unclassified Victivallales	1.94	Bacteria
1678	Bifidobacterium	3.34	Bacteria
1679449	Pseudooceanicola	3	Bacteria
167963	unclassified Chloroflexi	1.94	Bacteria
1689250	Gorillibacterium	1.94	Bacteria
1696	Brevibacterium	5.23	Bacteria
1707	Cellulomonas	2.44	Bacteria
171558	unclassified Bacteroidetes	1.94	Bacteria
1716	Corynebacterium	4.24	Bacteria
1720314	unclassified Eggerthellaceae	1.94	Bacteria
172900	Victivallis	1.94	Bacteria
1730	Eubacterium	4.5	Bacteria
1738645	Caproiciproducens	3.5	Bacteria
1742989	Glutamicibacter	5.6	Bacteria
1743	Propionibacterium	2.25	Bacteria
1752188	unclassified Actinobacteria	1.94	Bacteria
1763	Mycobacterium	1.37	Bacteria
1763508	Lachnotalea	1.94	Bacteria
1769710	Sellimonas	1.94	Bacteria
1774128	Murimonas	1.94	Bacteria
1797919	unclassified Elusimicrobia	1.94	Bacteria
1798416	unclassified Ignavibacteria	1.94	Bacteria
1806835	unclassified Selenomonadales	1.94	Bacteria
1813	Amycolatopsis	3.9	Bacteria
1817	Nocardia	3.31	Bacteria
1817891	unclassified Bacteria candidate phyla	1.94	Bacteria
1822464	Paraburkholderia	6.04	Bacteria
182269	Aurantimonas	1.94	Bacteria
1827	Rhodococcus	4.15	Bacteria
1839	Nocardioides	2.59	Bacteria
1843210	Anaerocolumna	6.33	Bacteria
1847	Pseudonocardia	3.3	Bacteria
1847725	Lawsonella	2	Bacteria
184869	Varibaculum	1.94	Bacteria
1849822	Paraclostridium	1.94	Bacteria
1849828	Paeniclostridium	17	Bacteria
1851	Saccharomonospora	3	Bacteria
185291	unclassified Bacteroidales (miscellaneous)	1.94	Bacteria
1852932	unclassified Ignavibacteriae	1.94	Bacteria
1854	Frankia	2.33	Bacteria
1860	Geodermatophilus	3	Bacteria
186188	Xylanimonas	3	Bacteria
1865	Actinoplanes	5.29	Bacteria
186616	Viruses: environmental samples (186616)	0	Viruses
