taxa	n.pos	n.neg	rab.all	rab.win.Flex	rab.win.XT	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	abs.effect
Actinobacteria (201174)	30	10	0.4156	0.9382	0.2629	-0.3809	1.835	-0.2161	0.4087	0.3241	0.8101	0.3901	0.9461	0.2161
Bacteroidetes	30	10	3.393	3.204	3.567	0.3818	1.67	0.2866	0.3938	0.3084	0.8101	0.337	0.9461	0.2866
Proteobacteria	30	10	-1.856	-1.847	-1.856	0.03952	1.742	0.02758	0.4797	0.8303	0.8989	0.9468	0.9518	0.02758
Verrucomicrobia	30	10	-6.67	-6.655	-6.67	-0.0653	3.318	-0.01893	0.4844	0.8989	0.8989	0.9344	0.9518	0.01893
Firmicutes	30	10	4.555	4.619	4.555	0.05571	0.911	0.04415	0.4618	0.8771	0.8989	0.7214	0.9518	0.04415
