Well,Well96,PCR_Replicate,Plate,SampleName,Donor,Condition,Replicate,SampleCode,SampleNameFull,Omit,Sample,Target,Task,Dyes,Cq,Cq.Conf,Amp.Score,Amp.Status,Annotated,Baseline.Start,Baseline.End,Curve.Quality,Result.Quality.Issues,logCopyNumber,CopyNumber,PlotOrder
C3,B2,Rep1,Plate2,D07_ZH_R2,D07,ZH,R2,2/4/16,D07_ZH_R2_Rep1,FALSE,Sample,16S,Unknown,SYBR,17.62425849,0.976054497,3.199932674,Amp,FALSE,3,9,NA,NA,5.80589418936877,106596498.46064,7
C4,B2,Rep2,Plate2,D07_ZH_R2,D07,ZH,R2,2/4/16,D07_ZH_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,16.43689728,0.88102628,3.399003714,Amp,FALSE,3,9,NA,NA,6.20036635215947,264371784.049312,7
C5,B3,Rep1,Plate2,D08_OR_R2,D08,OR,R2,2/3/12,D08_OR_R2_Rep1,FALSE,Sample,16S,Unknown,SYBR,13.17200331,0.921450157,3.384864119,Amp,FALSE,3,6,NA,NA,7.28504873421927,3212902036.55278,3
C6,B3,Rep2,Plate2,D08_OR_R2,D08,OR,R2,2/3/12,D08_OR_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,13.19783411,0.926699981,3.413155212,Amp,FALSE,3,6,NA,NA,7.2764670730897,3150038216.43657,3
C7,B4,Rep1,Plate2,buffer_2,buffer,2,NA,NA,buffer_2_Rep1,FALSE,Sample,16S,Unknown,SYBR,25.44476481,0.93972663,3.400286477,Amp,FALSE,3,13,NA,NA,3.20771933222591,268885.932700264,7
C8,B4,Rep2,Plate2,buffer_2,buffer,2,NA,NA,buffer_2_Rep2,FALSE,Sample,16S,Unknown,SYBR,23.88075755,0.935318974,3.377951809,Amp,FALSE,3,12,NA,NA,3.7273230730897,889552.987790211,7
C9,B5,Rep1,Plate2,D05_NF_R2,D05,NF,R2,2/3/15,D05_NF_R2_Rep1,FALSE,Sample,16S,Unknown,SYBR,13.83607748,0.907879917,3.464127444,Amp,FALSE,3,8,NA,NA,7.06442608637874,1933191317.77245,1
D1,B1,Rep3,Plate2,D09_OF_R2,D09,OF,R2,2/2/18,D09_OF_R2_Rep3,FALSE,Sample,16S,Unknown,SYBR,16.62707251,0.97836396,3.438873421,Amp,FALSE,3,9,NA,NA,6.13718521262459,228577754.636137,2
D13,B7,Rep3,Plate2,D05_OH_R2,D05,OH,R2,2/3/16,D05_OH_R2_Rep3,FALSE,Sample,16S,Unknown,SYBR,12.98286889,0.800442362,3.496830176,Inconclusive,FALSE,3,7,NA,NA,7.347884089701,3713067456.93521,4
D15,B8,Rep3,Plate2,D01_NF_R2,D01,NF,R2,2/3/13,D01_NF_R2_Rep3,FALSE,Sample,16S,Unknown,SYBR,11.79749625,0.915874019,3.512537025,Amp,FALSE,3,6,NA,NA,7.74169559800665,9194843623.97946,1
