Well,Well96,PCR_Replicate,Plate,SampleName,Donor,Condition,Replicate,SampleCode,SampleNameFull,label,Omit,Sample,Target,Task,Dyes,Cq,Cq.Conf,Amp.Score,Amp.Status,Annotated,Baseline.Start,Baseline.End,Curve.Quality,Result.Quality.Issues,logCopyNumber,CopyNumber,PlotOrder
G5,D3,Rep1,1,D10_ZH_R1,D10,ZH,R1,35,D10_ZH_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,18.3567652111555,0.904711166436927,NA,Amp,false,3,11,NA,NA,5.04023449124846,18284506.4018366,7
G7,D4,Rep1,1,D02_OF_R1,D02,OF,R1,36,D02_OF_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,15.9785458260725,0.86747862693602,3.42386052942963,Amp,false,3,8,NA,NA,5.70827364436166,85137794.189761,2
G9,D5,Rep1,1,D08_NF_R1,D08,NF,R1,37,D08_NF_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,10.2702953852396,0.913634624044489,3.43206604733541,Amp,false,3,5,NA,NA,7.31171477942707,3416359218.85028,1
H1,D1,Rep2,1,D02_OR_R1,D02,OR,R1,33,D02_OR_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,12.1024953312114,0.907870088271168,3.45701209796431,Amp,false,3,6,NA,NA,6.79705187325522,1044481189.20267,3
H11,D6,Rep2,1,D08_ZR_R1,D08,ZR,R1,38,D08_ZR_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,18.498741998368,0.878217505876231,NA,Amp,false,3,10,NA,NA,5.00035337124493,16680233.3079661,6
H13,D7,Rep2,1,Water_R1,Water,R1,NA,39,Water_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,22.747453247174,0.935479570327141,3.43554538519761,Amp,false,3,12,NA,NA,3.8068951552882,1068424.66397174,7
H17,D9,Rep2,1,D06_OF_R1,D06,OF,R1,41,D06_OF_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,13.1096554088495,0.853479029627673,3.54431117513965,Amp,false,3,8,NA,NA,6.51414173908722,544490728.054892,2
H19,D10,Rep2,1,Buffer_R2,Buffer,R2,NA,42,Buffer_R2_Rep2,none,false,Sample,16S,Unknown,SYBR,23.140946738207,0.974921708542821,3.40970411510873,Amp,false,3,13,NA,NA,3.69636327578455,828346.469165263,7
H3,D2,Rep2,1,D07_NF_R1,D07,NF,R1,34,D07_NF_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,15.9312065010661,0.890128438485855,3.42910893537488,Amp,false,3,8,NA,NA,5.72157120756569,87784927.9823859,1
H5,D3,Rep2,1,D10_ZH_R1,D10,ZH,R1,35,D10_ZH_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,18.3219247466727,0.907344113048565,NA,Amp,false,3,10,NA,NA,5.05002113857509,18701217.8008012,7
H7,D4,Rep2,1,D02_OF_R1,D02,OF,R1,36,D02_OF_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,16.2353706192041,0.872083945071001,3.42574786946139,Amp,false,3,8,NA,NA,5.63613184853818,72107526.4858413,2
H9,D5,Rep2,1,D08_NF_R1,D08,NF,R1,37,D08_NF_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,10.552634498132,0.909352145312115,3.44031545365937,Amp,false,3,5,NA,NA,7.23240603985056,2846130369.65103,1
I1,E1,Rep1,1,PCO_B2_R1,PCO,B2,R1,43,PCO_B2_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,18.5545740342433,0.882952731429232,3.48853504747434,Amp,false,3,9,NA,NA,4.9846702151002,16088626.3196498,7
I13,E7,Rep1,1,D04_OR_R1,D04,OR,R1,49,D04_OR_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,12.2464546045422,0.823400978830057,3.43826162043679,Amp,false,3,6,NA,NA,6.7566138751286,951617948.628832,3
I15,E8,Rep1,1,D06_ZR_R1,D06,ZR,R1,50,D06_ZR_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,17.9842205417201,0.926056418664492,NA,Inconclusive,false,3,11,NA,NA,5.14488187030334,23266476.5896042,6
I19,E10,Rep1,1,D04_NF_R1,D04,NF,R1,52,D04_NF_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,10.368106884779,0.87352427756964,NA,Amp,false,3,5,NA,NA,7.28423963910701,3206921939.04488,1
I3,E2,Rep1,1,D02_OH_R1,D02,OH,R1,44,D02_OH_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,14.1851091335017,0.879416580113193,3.44717434446987,Amp,false,3,7,NA,NA,6.21204799620738,271579350.802313,4
I5,E3,Rep1,1,D01_OR_R1,D01,OR,R1,45,D01_OR_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,13.9992080392438,0.884968268178315,3.44932986544608,Amp,false,3,7,NA,NA,6.26426740470681,306278248.129746,3
J1,E1,Rep2,1,PCO_B2_R1,PCO,B2,R1,43,PCO_B2_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,23.0913003466299,0.609398817151212,3.01217327093987,Inconclusive,false,3,9,NA,NA,3.7103088913961,855377.142914821,7
J13,E7,Rep2,1,D04_OR_R1,D04,OR,R1,49,D04_OR_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,12.5673365814275,0.839937181231722,3.4436894466557,Amp,false,3,6,NA,NA,6.66647848836306,773263014.135039,3
J15,E8,Rep2,1,D06_ZR_R1,D06,ZR,R1,50,D06_ZR_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,17.9871707567296,0.91383142578395,NA,Inconclusive,false,3,10,NA,NA,5.14405315822203,23222122.293783,6
J19,E10,Rep2,1,D04_NF_R1,D04,NF,R1,52,D04_NF_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,10.5107695751296,0.8700113073505,3.42789360292896,Amp,false,3,5,NA,NA,7.24416584968268,2924250678.17719,1
J3,E2,Rep2,1,D02_OH_R1,D02,OH,R1,44,D02_OH_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,14.2824284912688,0.882147021287208,3.44448434056587,Amp,false,3,7,NA,NA,6.18471109795819,255011548.003986,4
J5,E3,Rep2,1,D01_OR_R1,D01,OR,R1,45,D01_OR_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,14.1141253332007,0.875746789287494,3.4255577945886,Amp,false,3,7,NA,NA,6.23198726595485,284338727.552517,3
K1,F1,Rep1,1,D08_OH_R1,D08,OH,R1,53,D08_OH_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,14.1638043783292,0.89702622448304,3.48282808920317,Amp,false,3,7,NA,NA,6.21803247799741,275347557.015042,4
K15,F8,Rep1,1,D09_NF_R1,D09,NF,R1,60,D09_NF_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,13.4411057573257,0.859837757989716,3.44258389009813,Amp,false,3,6,NA,NA,6.42103770861636,439426716.882321,1
K17,F9,Rep1,1,D09_ZR_R1,D09,ZR,R1,61,D09_ZR_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,21.0413180899083,0.931100934183619,NA,Amp,false,3,13,NA,NA,4.28614660395834,3221034.32993033,6
K19,F10,Rep1,1,D03_ZF_R1,D03,ZF,R1,62,D03_ZF_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,17.2109695168292,0.92433390503394,NA,Inconclusive,false,3,9,NA,NA,5.36208721437381,38365067.2658464,5
K3,F2,Rep1,1,D02_ZF_R1,D02,ZF,R1,54,D02_ZF_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,15.8395990780671,0.874237864816193,3.4505347173508,Amp,false,3,8,NA,NA,5.74730362975643,93143462.7323171,5
K5,F3,Rep1,1,D05_ZR_R1,D05,ZR,R1,55,D05_ZR_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,16.8283971647217,0.884810416156235,NA,Inconclusive,false,3,9,NA,NA,5.46955135822424,49136034.930982,6
K7,F4,Rep1,1,D09_ZH_R1,D09,ZH,R1,56,D09_ZH_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,17.5842737808206,0.877066323351865,NA,Inconclusive,false,3,10,NA,NA,5.25722646606163,30135278.9339271,7
K9,F5,Rep1,1,D05_OH_R1,D05,OH,R1,57,D05_OH_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,10.9506750740631,0.898223011345838,3.42526082813451,Amp,false,3,5,NA,NA,7.12059688930811,2200116301.63884,4
L1,F1,Rep2,1,D08_OH_R1,D08,OH,R1,53,D08_OH_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,14.3135851701301,0.898413941827557,3.46343734212879,Amp,false,3,7,NA,NA,6.17595922187356,249924004.84105,4
L15,F8,Rep2,1,D09_NF_R1,D09,NF,R1,60,D09_NF_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,13.1731182283111,0.849071267107862,3.43798299903248,Amp,false,3,6,NA,NA,6.49631510440699,522593319.909701,1
L17,F9,Rep2,1,D09_ZR_R1,D09,ZR,R1,61,D09_ZR_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,20.9881860372153,0.921910249142947,NA,Amp,false,3,13,NA,NA,4.30107133786087,3333650.66152448,6
L19,F10,Rep2,1,D03_ZF_R1,D03,ZF,R1,62,D03_ZF_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,17.267693973866,0.879204458828231,NA,Inconclusive,false,3,10,NA,NA,5.34615337812752,36982999.1688097,5
L3,F2,Rep2,1,D02_ZF_R1,D02,ZF,R1,54,D02_ZF_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,15.946594920985,0.904014109971166,3.44149383559136,Amp,false,3,8,NA,NA,5.71724861770083,86915526.9042329,5
L5,F3,Rep2,1,D05_ZR_R1,D05,ZR,R1,55,D05_ZR_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,16.7193688546559,0.880115028938721,NA,Amp,false,3,8,NA,NA,5.50017728801802,52726147.1840316,6
L7,F4,Rep2,1,D09_ZH_R1,D09,ZH,R1,56,D09_ZH_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,17.8224092389655,0.890314352883325,NA,Inconclusive,false,3,9,NA,NA,5.19033448343664,25833499.0111114,7
L9,F5,Rep2,1,D05_OH_R1,D05,OH,R1,57,D05_OH_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,10.6071297959469,0.899049383431743,3.4374976083278,Amp,false,3,5,NA,NA,7.21709837192503,2747559597.70801,4
M1,G1,Rep1,1,D09_ZF_R1,D09,ZF,R1,63,D09_ZF_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,17.1392552270682,0.852776813883373,NA,Inconclusive,false,3,8,NA,NA,5.38223167778983,40186522.5759784,5
M11,G6,Rep1,1,D02_NF_R1,D02,NF,R1,68,D02_NF_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,13.4135947261539,0.836763095892282,3.43553623219097,Amp,false,3,6,NA,NA,6.42876552636127,447315838.593929,1
M13,G7,Rep1,1,D05_NF_R1,D05,NF,R1,69,D05_NF_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,12.6800626774274,0.858871039406123,3.46052577578127,Amp,false,3,6,NA,NA,6.63481385465522,718890267.827337,1
M15,G8,Rep1,1,D02_ZR_R1,D02,ZR,R1,70,D02_ZR_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,15.8214506076497,0.899431810134622,3.44312464311207,Amp,false,3,8,NA,NA,5.75240151470513,94243252.1430846,6
M19,G10,Rep1,1,D07_OH_R1,D07,OH,R1,72,D07_OH_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,13.1901108310311,0.861848981581695,3.44645375164029,Amp,false,3,6,NA,NA,6.49154190139574,516881098.495199,4
M3,G2,Rep1,1,D09_OH_R1,D09,OH,R1,64,D09_OH_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,13.8430696491675,0.86392655553503,3.44520252343326,Amp,false,3,7,NA,NA,6.30812650304283,338824848.380866,4
