sample	tax.level	method	value
XT_D10-NFlex-R1-B	phylum	shannon	0.886
XT_D09-NFlex-R1-C	phylum	shannon	0.919
XT_D02-NFlex-R1-A	phylum	shannon	0.771
XT_D09-NFlex-R1-A	phylum	shannon	0.918
XT_D04-NFlex-R1-B	phylum	shannon	0.714
XT_D08-NFlex-R1-A	phylum	shannon	0.812
XT_D06-NFlex-R1-C	phylum	shannon	0.836
XT_D02-NFlex-R1-C	phylum	shannon	0.771
XT_D01-NFlex-R1-C	phylum	shannon	0.798
XT_D07-NFlex-R1-A	phylum	shannon	0.733
XT_D03-NFlex-R1-A	phylum	shannon	0.799
XT_D01-NFlex-R1-B	phylum	shannon	0.798
Flex_D10-NF-R1	phylum	shannon	0.911
Flex_D07-NF-R1	phylum	shannon	0.739
Flex_D08-NF-R1	phylum	shannon	0.849
Flex_D05-NF-R1	phylum	shannon	1.024
Flex_D02-NF-R1	phylum	shannon	0.787
Flex_D03-NF-R1	phylum	shannon	0.7
Flex_D09-NF-R1	phylum	shannon	0.933
Flex_D01-NF-R1	phylum	shannon	0.817
Flex_D06-NF-R1	phylum	shannon	0.857
Flex_D04-NF-R1	phylum	shannon	0.751
XT_D04-NFlex-R1-A	phylum	simpson	0.343
XT_D06-NFlex-R1-A	phylum	simpson	0.499
XT_D08-NFlex-R1-C	phylum	simpson	0.519
XT_D07-NFlex-R1-C	phylum	simpson	0.433
XT_D10-NFlex-R1-C	phylum	simpson	0.549
XT_D05-NFlex-R1-C	phylum	simpson	0.584
XT_D05-NFlex-R1-A	phylum	simpson	0.586
XT_D05-NFlex-R1-B	phylum	simpson	0.583
XT_D08-NFlex-R1-B	phylum	simpson	0.519
XT_D02-NFlex-R1-B	phylum	simpson	0.513
XT_D07-NFlex-R1-B	phylum	simpson	0.431
XT_D09-NFlex-R1-B	phylum	simpson	0.512
XT_D03-NFlex-R1-C	phylum	simpson	0.474
XT_D01-NFlex-R1-A	phylum	simpson	0.44
XT_D04-NFlex-R1-C	phylum	simpson	0.344
XT_D10-NFlex-R1-A	phylum	simpson	0.55
XT_D06-NFlex-R1-B	phylum	simpson	0.498
XT_D03-NFlex-R1-B	phylum	simpson	0.468
XT_D10-NFlex-R1-B	phylum	simpson	0.55
XT_D09-NFlex-R1-C	phylum	simpson	0.511
XT_D02-NFlex-R1-A	phylum	simpson	0.513
XT_D09-NFlex-R1-A	phylum	simpson	0.511
XT_D04-NFlex-R1-B	phylum	simpson	0.352
XT_D08-NFlex-R1-A	phylum	simpson	0.519
XT_D06-NFlex-R1-C	phylum	simpson	0.499
XT_D02-NFlex-R1-C	phylum	simpson	0.513
XT_D01-NFlex-R1-C	phylum	simpson	0.445
XT_D07-NFlex-R1-A	phylum	simpson	0.431
XT_D03-NFlex-R1-A	phylum	simpson	0.471
XT_D01-NFlex-R1-B	phylum	simpson	0.445
Flex_D10-NF-R1	phylum	simpson	0.55
Flex_D07-NF-R1	phylum	simpson	0.413
Flex_D08-NF-R1	phylum	simpson	0.523
Flex_D05-NF-R1	phylum	simpson	0.569
Flex_D02-NF-R1	phylum	simpson	0.515
Flex_D03-NF-R1	phylum	simpson	0.365
Flex_D09-NF-R1	phylum	simpson	0.502
Flex_D01-NF-R1	phylum	simpson	0.426
Flex_D06-NF-R1	phylum	simpson	0.491
Flex_D04-NF-R1	phylum	simpson	0.368
XT_D04-NFlex-R1-A	class	shannon	0.934
XT_D06-NFlex-R1-A	class	shannon	0.951
XT_D08-NFlex-R1-C	class	shannon	0.897
XT_D07-NFlex-R1-C	class	shannon	0.861
XT_D10-NFlex-R1-C	class	shannon	1.04
XT_D05-NFlex-R1-C	class	shannon	1.261
XT_D05-NFlex-R1-A	class	shannon	1.271
XT_D05-NFlex-R1-B	class	shannon	1.26
XT_D08-NFlex-R1-B	class	shannon	0.897
XT_D02-NFlex-R1-B	class	shannon	0.819
XT_D07-NFlex-R1-B	class	shannon	0.862
XT_D09-NFlex-R1-B	class	shannon	1.157
XT_D03-NFlex-R1-C	class	shannon	1.212
XT_D01-NFlex-R1-A	class	shannon	0.913
XT_D04-NFlex-R1-C	class	shannon	0.935
XT_D10-NFlex-R1-A	class	shannon	1.04
XT_D06-NFlex-R1-B	class	shannon	0.951
XT_D03-NFlex-R1-B	class	shannon	1.22
XT_D10-NFlex-R1-B	class	shannon	1.044
XT_D09-NFlex-R1-C	class	shannon	1.156
XT_D02-NFlex-R1-A	class	shannon	0.819
XT_D09-NFlex-R1-A	class	shannon	1.154
XT_D04-NFlex-R1-B	class	shannon	0.949
XT_D08-NFlex-R1-A	class	shannon	0.895
XT_D06-NFlex-R1-C	class	shannon	0.952
XT_D02-NFlex-R1-C	class	shannon	0.818
XT_D01-NFlex-R1-C	class	shannon	0.919
XT_D07-NFlex-R1-A	class	shannon	0.856
XT_D03-NFlex-R1-A	class	shannon	1.218
