feature,Sample_Type,estimate,CI_low,CI_high
Firmicutes: unclassified Clostridia,ZH,0.000296773,0.00011582,0.000760443
Firmicutes: Intestinimonas,NF,0.000853977,0.000570343,0.001278662
Firmicutes: Intestinimonas,OF,0.000638551,0.000454054,0.000898015
Firmicutes: Intestinimonas,OR,0.00079277,0.000525908,0.001195046
Firmicutes: Intestinimonas,OH,0.00082278,0.000525434,0.001288395
Firmicutes: Intestinimonas,ZF,0.000832098,0.000558931,0.00123877
Firmicutes: Intestinimonas,ZR,0.000956817,0.000572423,0.001599339
Firmicutes: Intestinimonas,ZH,0.00097782,0.000612868,0.001560093
Bacteroidetes: Bacteroides,NF,0.177455785,0.106193563,0.296539213
Bacteroidetes: Bacteroides,OF,0.272930876,0.174369347,0.427203888
Bacteroidetes: Bacteroides,OR,0.272512918,0.169069653,0.43924672
Bacteroidetes: Bacteroides,OH,0.256733524,0.164737014,0.400104996
Bacteroidetes: Bacteroides,ZF,0.225734333,0.144516076,0.352597376
Bacteroidetes: Bacteroides,ZR,0.264382366,0.16837039,0.415144466
Bacteroidetes: Bacteroides,ZH,0.275981564,0.174630962,0.436153034
Bacteroidetes: Alistipes,NF,0.019432422,0.012049416,0.031339197
Bacteroidetes: Alistipes,OF,0.033454003,0.021917152,0.051063675
Bacteroidetes: Alistipes,OR,0.033934112,0.021018133,0.054787168
Bacteroidetes: Alistipes,OH,0.032504623,0.021318037,0.04956134
Bacteroidetes: Alistipes,ZF,0.027569227,0.017479805,0.04348231
Bacteroidetes: Alistipes,ZR,0.033593673,0.021107147,0.053466954
Bacteroidetes: Alistipes,ZH,0.03772609,0.024193483,0.058828151
Bacteroidetes: Prevotella,NF,0.000843706,0.00019156,0.003716012
Bacteroidetes: Prevotella,OF,0.001208396,0.000247875,0.00589096
Bacteroidetes: Prevotella,OR,0.001202545,0.00024978,0.005789539
Bacteroidetes: Prevotella,OH,0.001182484,0.000238541,0.005861761
Bacteroidetes: Prevotella,ZF,0.001176136,0.000234462,0.005899873
Bacteroidetes: Prevotella,ZR,0.001353027,0.000276894,0.006611485
Bacteroidetes: Prevotella,ZH,0.001438543,0.00029222,0.007081677
Bacteroidetes: Parabacteroides,NF,0.007763187,0.003953185,0.015245194
Bacteroidetes: Parabacteroides,OF,0.012096792,0.006078842,0.024072412
Bacteroidetes: Parabacteroides,OR,0.012251632,0.006147101,0.024418417
Bacteroidetes: Parabacteroides,OH,0.011159828,0.005299422,0.023501009
Bacteroidetes: Parabacteroides,ZF,0.010130109,0.004869477,0.021073952
Bacteroidetes: Parabacteroides,ZR,0.011927478,0.005929171,0.023994034
Bacteroidetes: Parabacteroides,ZH,0.012713581,0.006296103,0.02567225
Bacteroidetes: Odoribacter,NF,0.002202244,0.000771288,0.006288024
Bacteroidetes: Odoribacter,OF,0.003076283,0.001175977,0.008047366
Bacteroidetes: Odoribacter,OR,0.003126298,0.001244543,0.007853276
Bacteroidetes: Odoribacter,OH,0.002819939,0.001075862,0.007391334
Bacteroidetes: Odoribacter,ZF,0.00262708,0.001016287,0.006790944
Bacteroidetes: Odoribacter,ZR,0.002923836,0.001142301,0.007483861
Bacteroidetes: Odoribacter,ZH,0.003211153,0.001254114,0.008222143
Bacteroidetes: unclassified Bacteroidaceae,NF,0.000330568,0.00011963,0.000913442
Bacteroidetes: unclassified Bacteroidaceae,OF,0.000516503,0.000179349,0.00148747
Bacteroidetes: unclassified Bacteroidaceae,OR,0.000533438,0.000181704,0.001566048
Bacteroidetes: unclassified Bacteroidaceae,OH,0.000498432,0.000171183,0.001451281
Bacteroidetes: unclassified Bacteroidaceae,ZF,0.000388886,0.000129816,0.001164979
Bacteroidetes: unclassified Bacteroidaceae,ZR,0.000494271,0.000164109,0.001488668
Bacteroidetes: unclassified Bacteroidaceae,ZH,0.000552842,0.000185976,0.001643404
Bacteroidetes: Butyricimonas,NF,0.000147772,3.50E-05,0.000623351
Bacteroidetes: Butyricimonas,OF,0.000220731,5.17E-05,0.000943069
Bacteroidetes: Butyricimonas,OR,0.00023038,5.70E-05,0.000930586
Bacteroidetes: Butyricimonas,OH,0.000212828,5.46E-05,0.000829176
Bacteroidetes: Butyricimonas,ZF,0.000201677,5.01E-05,0.000811997
Bacteroidetes: Butyricimonas,ZR,0.000238141,5.99E-05,0.000947129
Bacteroidetes: Butyricimonas,ZH,0.000245363,6.29E-05,0.00095781
Bacteroidetes: Barnesiella,NF,0.000146714,2.62E-05,0.000821546
Bacteroidetes: Barnesiella,OF,0.000220766,4.19E-05,0.001163116
Bacteroidetes: Barnesiella,OR,0.000229454,4.56E-05,0.001155772
Bacteroidetes: Barnesiella,OH,0.000193329,3.46E-05,0.001081472
Bacteroidetes: Barnesiella,ZF,0.000173081,3.11E-05,0.000964283
Bacteroidetes: Barnesiella,ZR,0.000219489,3.81E-05,0.001264781
Bacteroidetes: Barnesiella,ZH,0.000249797,4.41E-05,0.001415111
Actinobacteria: Bifidobacterium,NF,0.025502653,0.012404626,0.052430869
Actinobacteria: Bifidobacterium,OF,0.018886233,0.009204831,0.038750283
Actinobacteria: Bifidobacterium,OR,0.015957221,0.007875891,0.032330678
Actinobacteria: Bifidobacterium,OH,0.012778117,0.005966214,0.027367485
Actinobacteria: Bifidobacterium,ZF,0.020930905,0.00964725,0.045412197
Actinobacteria: Bifidobacterium,ZR,0.016522417,0.007450002,0.036642978
Actinobacteria: Bifidobacterium,ZH,0.011238245,0.00450685,0.028023592
Actinobacteria: Collinsella,NF,0.006395662,0.00182056,0.022468087
Actinobacteria: Collinsella,OF,0.004331734,0.001266296,0.014817954
Actinobacteria: Collinsella,OR,0.003676011,0.00106564,0.012680691
Actinobacteria: Collinsella,OH,0.003127671,0.000922085,0.010608917
Actinobacteria: Collinsella,ZF,0.004357168,0.001207205,0.015726338
Actinobacteria: Collinsella,ZR,0.004169748,0.001213214,0.014331188
Actinobacteria: Collinsella,ZH,0.003234196,0.00100311,0.010427593
Actinobacteria: Eggerthella,NF,0.001415861,0.000853765,0.002348028
Actinobacteria: Eggerthella,OF,0.000940721,0.000564861,0.001566679
Actinobacteria: Eggerthella,OR,0.000866858,0.000522782,0.001437392
Actinobacteria: Eggerthella,OH,0.000849907,0.0005,0.001444684
Actinobacteria: Eggerthella,ZF,0.000873958,0.000518449,0.001473244
Actinobacteria: Eggerthella,ZR,0.000880695,0.000463424,0.001673683
Actinobacteria: Eggerthella,ZH,0.000702602,0.00038904,0.001268892
Proteobacteria: Sutterella,NF,0.00032579,4.92E-05,0.002155582
Proteobacteria: Sutterella,OF,0.000401399,5.45E-05,0.002953763
Proteobacteria: Sutterella,OR,0.000444927,6.31E-05,0.003139246
Proteobacteria: Sutterella,OH,0.00040409,5.73E-05,0.002852077
Proteobacteria: Sutterella,ZF,0.000355668,5.19E-05,0.002435062
Proteobacteria: Sutterella,ZR,0.000435253,6.18E-05,0.003065828
Proteobacteria: Sutterella,ZH,0.000487072,7.32E-05,0.003240093
Proteobacteria: Azospirillum,NF,4.97E-05,1.42E-05,0.000173935
Proteobacteria: Azospirillum,OF,4.96E-05,1.10E-05,0.000224401
Proteobacteria: Azospirillum,OR,4.92E-05,1.07E-05,0.000225065
Proteobacteria: Azospirillum,OH,5.04E-05,1.17E-05,0.00021673
Proteobacteria: Azospirillum,ZF,5.08E-05,1.17E-05,0.000221179
Proteobacteria: Azospirillum,ZR,4.76E-05,1.05E-05,0.000214446
Proteobacteria: Azospirillum,ZH,6.08E-05,1.39E-05,0.000265742
Proteobacteria: Bilophila,NF,0.000632269,0.000102017,0.003918602
Proteobacteria: Bilophila,OF,0.000449604,7.91E-05,0.00255427
Proteobacteria: Bilophila,OR,0.000506476,8.68E-05,0.002954683
Proteobacteria: Bilophila,OH,0.00046363,8.02E-05,0.002678659
Proteobacteria: Bilophila,ZF,0.00047488,9.09E-05,0.002481879
Proteobacteria: Bilophila,ZR,0.000485702,9.02E-05,0.002614513
Proteobacteria: Bilophila,ZH,0.00053327,0.000105009,0.002708118
Verrucomicrobia: Akkermansia,NF,0.000261311,6.62E-05,0.001032178
Verrucomicrobia: Akkermansia,OF,0.000249612,7.91E-05,0.000788024
Verrucomicrobia: Akkermansia,OR,0.000286745,8.52E-05,0.000964855
Verrucomicrobia: Akkermansia,OH,0.000262985,8.41E-05,0.000822044
Verrucomicrobia: Akkermansia,ZF,0.000270089,7.56E-05,0.000964384
Verrucomicrobia: Akkermansia,ZR,0.000283562,8.53E-05,0.000942117
Verrucomicrobia: Akkermansia,ZH,0.000314493,9.49E-05,0.001042497
Lentisphaerae: unclassified Lentisphaeria,NF,1.59E-05,2.99E-06,8.43E-05
Lentisphaerae: unclassified Lentisphaeria,OF,1.51E-05,2.20E-06,0.000103857
Lentisphaerae: unclassified Lentisphaeria,OR,1.62E-05,2.51E-06,0.000104542
Lentisphaerae: unclassified Lentisphaeria,OH,1.65E-05,2.63E-06,0.000102929
Lentisphaerae: unclassified Lentisphaeria,ZF,1.64E-05,2.55E-06,0.000105051
Lentisphaerae: unclassified Lentisphaeria,ZR,1.88E-05,3.00E-06,0.000118538
Lentisphaerae: unclassified Lentisphaeria,ZH,2.12E-05,3.26E-06,0.000137632
null: crAss-like viruses,NF,0.000375574,0.000101194,0.001393913
null: crAss-like viruses,OF,0.000246308,7.16E-05,0.000847664
null: crAss-like viruses,OR,0.000316963,8.61E-05,0.001166876
null: crAss-like viruses,OH,0.000378836,0.000104782,0.001369674
null: crAss-like viruses,ZF,0.0004037,0.000112938,0.001443042
null: crAss-like viruses,ZR,0.000598747,0.00016321,0.00219654
null: crAss-like viruses,ZH,0.000730184,0.000197878,0.002694433
