feature,Sample_Type,estimate,CI_low,CI_high
Richness 0.0001%,OF,922.149807,808.4170851,1051.883096
Richness 0.0001%,OR,937.1358613,822.6768234,1067.519587
Richness 0.0001%,OH,960.4993501,843.5790464,1093.624842
Richness 0.0001%,ZF,942.4027007,844.0505227,1052.215272
Richness 0.0001%,ZR,948.3340223,836.934813,1074.56089
Richness 0.0001%,ZH,963.5136251,853.4819339,1087.730705
Richness 0.00001%,NF,2416.500301,2299.647713,2539.290548
Richness 0.00001%,OF,2292.923412,2158.130987,2436.134696
Richness 0.00001%,OR,2313.95641,2197.362529,2436.736859
Richness 0.00001%,OH,2325.500842,2213.472092,2443.199617
Richness 0.00001%,ZF,2317.460005,2183.91229,2459.174253
Richness 0.00001%,ZR,2304.25997,2178.980793,2436.741998
Richness 0.00001%,ZH,2354.514151,2228.095321,2488.105798
Richness Any%,NF,2793.966947,2707.99257,2882.670871
Richness Any%,OF,2782.183973,2661.946803,2907.852121
Richness Any%,OR,2745.351132,2680.030797,2812.263518
Richness Any%,OH,2760.475323,2689.05268,2833.794988
Richness Any%,ZF,2790.797132,2683.977483,2901.868098
Richness Any%,ZR,2761.527627,2653.28596,2874.185049
Richness Any%,ZH,2762.352836,2668.756496,2859.231708
Shannon Entropy,NF,2.907837276,2.737415097,3.088869363
Shannon Entropy,OF,2.645311606,2.409505218,2.904195202
Shannon Entropy,OR,2.642620105,2.410816972,2.896711406
Shannon Entropy,OH,2.655798973,2.457601755,2.869980122
Shannon Entropy,ZF,2.809036494,2.637205064,2.992063883
Shannon Entropy,ZR,2.703724788,2.484314279,2.942513268
Shannon Entropy,ZH,2.645166462,2.405559692,2.908639365
Inv Simpson,NF,8.999700061,7.030367292,11.52067848
Inv Simpson,OF,6.443444181,4.683403878,8.864914065
Inv Simpson,OR,6.294618407,4.58477124,8.642136939
Inv Simpson,OH,6.551127165,4.929548023,8.706126187
Inv Simpson,ZF,7.858293457,6.187727842,9.979879148
Inv Simpson,ZR,6.799323902,5.024773893,9.200574296
Inv Simpson,ZH,6.285130417,4.600289504,8.587038777
Firmicutes: Faecalibacterium,NF,0.086759213,0.036124972,0.208364477
Firmicutes: Faecalibacterium,OF,0.055628844,0.023825846,0.129882826
Firmicutes: Faecalibacterium,OR,0.053700369,0.02333042,0.123603847
Firmicutes: Faecalibacterium,OH,0.076411447,0.031267243,0.186735657
Firmicutes: Faecalibacterium,ZF,0.070600243,0.029793232,0.16729955
