Genus,Phylum,PlotOrder
Bifidobacterium,Actinobacteria,1
Alistipes,Bacteroidetes,2
Bacteroides,Bacteroidetes,3
Parabacteroides,Bacteroidetes,4
Prevotella,Bacteroidetes,5
Blautia,Firmicutes,6
Clostridiales ,Firmicutes,7
Clostridium,Firmicutes,8
Coprococcus,Firmicutes,9
Eubacterium,Firmicutes,10
Faecalibacterium,Firmicutes,11
Lachnospiraceae,Firmicutes,12
Roseburia,Firmicutes,13
Ruminococcaceae,Firmicutes,14
Ruminococcus,Firmicutes,15
Other,Other,16
