Sample,Relative.Abundance..Firmicutes,Relative.Abundance..Bacteroidetes,Relative.Abundance..Actinobacteria,Relative.Abundance..Other.Bacteria,Relative.Abundance..Viruses,Relative.Abundance..Fungi,Relative.Abundance..Unclassified...Root,Relative.Abundance..Unclassified,Richness.0.01.,Richness.0.001.,Richness.0.0001.,Richness.0.00001.,Richness.Any.,Shannon.Entropy,Inv.Simpson,Firmicutes..Faecalibacterium,Firmicutes..Ruminococcus,Firmicutes..Clostridium,Firmicutes..Blautia,Firmicutes..unclassified.Lachnospiraceae,Firmicutes..unclassified.Ruminococcaceae,Firmicutes..Eubacterium,Firmicutes..Roseburia,Firmicutes..unclassified.Clostridiales..miscellaneous.,Firmicutes..Coprococcus,Firmicutes..Firmicutes..environmental.samples,Firmicutes..Oscillibacter,Firmicutes..Dorea,Firmicutes..Megamonas,Firmicutes..unclassified.Firmicutes.sensu.stricto..miscellaneous.,Firmicutes..Dialister,Firmicutes..Subdoligranulum,Firmicutes..Gemmiger,Firmicutes..Butyricicoccus,Firmicutes..unclassified.Oscillospiraceae,Firmicutes..unclassified.Clostridiaceae,Firmicutes..Streptococcus,Firmicutes..Anaerostipes,Firmicutes..Flavonifractor,Firmicutes..Lachnoclostridium,Firmicutes..Clostridiales..environmental.samples,Firmicutes..Coprobacillus,Firmicutes..Lachnospira,Firmicutes..Phascolarctobacterium,Firmicutes..Mitsuokella,Firmicutes..Anaerobutyricum,Firmicutes..Butyrivibrio,Firmicutes..unclassified.Erysipelotrichaceae,Firmicutes..Fusicatenibacter,Firmicutes..Megasphaera,Firmicutes..unclassified.Clostridia,Firmicutes..Intestinimonas,Bacteroidetes..Bacteroides,Bacteroidetes..Alistipes,Bacteroidetes..Prevotella,Bacteroidetes..Parabacteroides,Bacteroidetes..Odoribacter,Bacteroidetes..unclassified.Bacteroidaceae,Bacteroidetes..Butyricimonas,Bacteroidetes..Barnesiella,Actinobacteria..Bifidobacterium,Actinobacteria..Collinsella,Actinobacteria..Eggerthella,Proteobacteria..Sutterella,Proteobacteria..Azospirillum,Proteobacteria..Bilophila,Verrucomicrobia..Akkermansia,Lentisphaerae..unclassified.Lentisphaeria,null..crAss.like.viruses,Patient,Sample_Type,Replication,MicrobesPerGram,mean_16s_count,DNAConcentration,Absolute.Abundance..Firmicutes,Absolute.Abundance..Bacteroidetes,Absolute.Abundance..Actinobacteria,Absolute.Abundance..Other.Bacteria,Absolute.Abundance..Viruses,Absolute.Abundance..Fungi,Absolute.Abundance..Unclassified...Root,Absolute.Abundance..Unclassified,Richness.100M,Richness.10M,Richness.1M
D03-OH-R1,0.434815503,0.434974619,0.044440955,0.005785561,0.001663512,0.000664865,0.077472593,0.058000422,86,240,882,2388,2988,2.720977406,6.487628925,0.084583878,0.026153067,0.029252465,0.030133562,0.032655494,0.038136935,0.013963899,0.018814339,0.011154298,0.010022227,0.003084263,0.008178539,0.01232887,0.046421449,0.004298198,0.004366547,0.002723267,0.003185462,0.002786993,0.001526896,0.002240554,0.015280214,0.001258629,0.001746656,0.00105591,0.000996908,0.000626986,0.001812626,0.002028809,1.15e-05,0.001582135,0.000195548,0.002837272,0.000827663,8.6e-06,0.000111356,0.000388498,0.114971737,0.025759727,0.351235688,0.005552457,0.000226998,0.001824082,1.85e-05,0.001403898,0.021268664,0.027191093,0.00051784,0.001003319,8.18e-06,0.000268824,0.000502453,3.05e-06,0.001049971,D03,OH,R1,5.71842e+12,4.465382506,38.8,2.48646e+12,2.48737e+12,2.54132e+11,33084262831,9512658482,3801974117,4.43021e+11,3.31671e+11,153,535,1829
D03-OH-R2,0.404371533,0.46750975,0.027719154,0.006615426,0.003222267,0.000595728,0.089848621,0.068416598,86,248,967,2213,2591,2.609193238,6.06367145,0.111918528,0.017388356,0.043264848,0.01654824,0.032532243,0.04583712,0.011538438,0.014812463,0.016916027,0.007286859,0.0030691,0.010825977,0.006401829,0.023268474,0.005721108,0.003696279,0.002733978,0.002946992,0.002481597,0.001906111,0.002423971,0.006192127,0.000606455,0.001791169,0.001216454,0.001298424,0.000487044,0.000944967,0.001580234,1.2e-05,0.000778253,0.000208546,0.001771523,0.00047179,9.86e-06,0.000140058,0.000485426,0.135412573,0.036081607,0.353622895,0.007195413,0.00025893,0.002138463,2.13e-05,0.001798025,0.013491159,0.016473512,0.000231196,0.001811276,8.55e-06,0.000312164,0.000550524,3.54e-06,0.002108957,D03,OH,R2,2.5147e+12,4.477203931,28,1.01687e+12,1.17565e+12,69705382262,16635818442,8103038898,1498077344,2.25942e+11,1.72047e+11,105,355,1342
D03-OH-R3,0.411908702,0.464427499,0.026726476,0.006259224,0.003531221,0.000599204,0.086399854,0.065503212,87,236,918,2376,2691,2.650513705,6.409321984,0.098174836,0.018993267,0.049145332,0.018679549,0.032397234,0.046973851,0.01252307,0.015900121,0.015000895,0.007973632,0.002961728,0.010127046,0.007444904,0.027603606,0.005918294,0.003559404,0.002551882,0.002722805,0.002272402,0.001782968,0.00250474,0.006887523,0.00076528,0.001741988,0.001236331,0.001222847,0.000569075,0.001102174,0.001836009,1.1e-05,0.000925458,0.000209584,0.002138508,0.000519352,9.96e-06,0.000144692,0.000466679,0.147469231,0.035361385,0.33866647,0.007606451,0.000273845,0.002156785,2.83e-05,0.001996871,0.012774266,0.016186976,0.000256305,0.001550629,0.000122253,0.000320197,0.000654984,9.01e-06,0.002301003,D03,OH,R3,3.56401e+11,4.506291267,35.6,1.46805e+11,1.65523e+11,9525348784,2230795042,1258531563,213557008.5,30793013860,23345425052,57,127,412
D03-OR-R1,0.324567456,0.537458282,0.030707603,0.007295566,0.002526937,0.000675038,0.096614681,0.072806078,86,258,1001,2386,2929,2.530950809,4.987538743,0.033968922,0.020279796,0.02493139,0.020396305,0.030329977,0.031441937,0.012407157,0.015042363,0.014402741,0.006765589,0.003972351,0.011943022,0.007175344,0.028207014,0.005286108,0.002897203,0.001738185,0.001778063,0.002896976,0.00220899,0.002575121,0.008236811,0.000804211,0.001969671,0.001049746,0.001371657,0.000444721,0.000744637,0.001469576,1.49e-05,0.001217201,0.00020333,0.002655131,0.000630256,1.12e-05,0.000156784,0.000502621,0.166860669,0.041581721,0.404819572,0.009794202,0.000335393,0.002356322,2.44e-05,0.002183333,0.013260242,0.020022482,0.000351514,0.001861393,8.29e-06,0.000444324,0.000966586,4.12e-06,0.001677504,D03,OR,R1,9.93592e+11,4.295434664,24,3.22488e+11,5.34014e+11,30510831383,7248817056,2510744879,670712008.8,95995583543,72339543570,76,220,854
D03-OR-R2,0.405964012,0.451883645,0.046815731,0.005365221,0.002163185,0.000600848,0.086935268,0.063275826,93,249,924,2177,2619,2.750233165,6.533239658,0.031823732,0.031090902,0.028067093,0.036867468,0.034844957,0.033873739,0.015133375,0.019695668,0.013966846,0.01134224,0.004451556,0.011190175,0.013095033,0.038542603,0.005311204,0.003271696,0.002136414,0.002400799,0.00323345,0.002064339,0.002710179,0.011740276,0.00165722,0.00191469,0.001135449,0.001285764,0.000680836,0.00145966,0.001686134,1.53e-05,0.001986765,0.000229223,0.003409596,0.001128033,1.13e-05,0.000142816,0.000485526,0.148727222,0.033335802,0.344697099,0.007358045,0.000292965,0.001961184,2.38e-05,0.001978099,0.020272183,0.031872642,0.000457446,0.001082122,9.67e-06,0.000342543,0.000890561,4e-06,0.001450578,D03,OR,R2,1.12957e+11,4.369110468,37.8,45856354877,51043285038,5288150487,606037677.4,244346248.2,67869805.26,9819920942,7147428445,45,84,230
D03-OR-R3,0.439895493,0.415857476,0.05034125,0.005244937,0.002125819,0.000614866,0.085583822,0.062970182,93,250,939,2379,2725,2.852452505,7.603319791,0.037112311,0.033239113,0.030647269,0.040539476,0.039888739,0.036126697,0.016804386,0.023257282,0.014120832,0.012460128,0.004757103,0.011539968,0.013724611,0.039657166,0.005762163,0.003713581,0.002514919,0.002826915,0.00334386,0.002127471,0.002847465,0.012594042,0.001841117,0.002027603,0.001203324,0.001336256,0.000766309,0.001598747,0.001869458,1.47e-05,0.002144647,0.000241634,0.003728733,0.001278163,1.04e-05,0.000142563,0.000493083,0.145022016,0.032626041,0.310313125,0.007105105,0.000263963,0.001904117,2.23e-05,0.001904976,0.021338136,0.035031646,0.000574854,0.00099776,1.34e-05,0.00035604,0.000922797,4.17e-06,0.001426677,D03,OR,R3,2.6026e+12,4.410526771,37.4,1.14487e+12,1.08231e+12,1.31018e+11,13650485420,5532661409,1600251252,2.22741e+11,1.63886e+11,113,341,1383
D03-ZF-R1,0.451388557,0.402683082,0.043937613,0.006612146,0.002943393,0.000623448,0.091405113,0.069636806,89,265,1047,2404,2837,2.904985176,8.570846367,0.067150982,0.027283462,0.026481998,0.039790828,0.030766451,0.036433198,0.013478924,0.016151271,0.016434473,0.011144817,0.004836472,0.016424545,0.014547218,0.052821064,0.005924922,0.01619844,0.002430693,0.002590521,0.003812837,0.00293824,0.003064461,0.00481965,0.001233742,0.002101783,0.001379184,0.001608323,0.000654449,0.002036668,0.003192781,2.04e-05,0.001549015,0.000232924,0.003109832,0.001223402,1.39e-05,0.000231875,0.000572662,0.15398388,0.039397327,0.275100875,0.008709291,0.000295117,0.001082868,2.23e-05,0.00241522,0.020396573,0.028914789,0.000347306,0.001286044,1.3e-05,0.000328985,0.00175043,4.61e-06,0.002005796,D03,ZF,R1,5.80057e+11,4.421716852,9.16,2.61831e+11,2.33579e+11,25486306687,3835419690,1707334956,361635006.9,53020148353,40393295874,69,167,619
D03-ZF-R2,0.537150324,0.321916935,0.055572025,0.004860658,0.00175069,0.000609301,0.077729515,0.058880433,87,254,960,2403,2742,2.991331671,10.04225688,0.084513111,0.03302699,0.028813151,0.055510537,0.035335232,0.040274391,0.015244616,0.018521522,0.013703447,0.012925975,0.005191401,0.011965404,0.014216348,0.076149967,0.005271051,0.016045243,0.003365508,0.003937155,0.003793131,0.002276672,0.003094237,0.014212381,0.001833558,0.002071544,0.00143831,0.001189283,0.000885745,0.003257021,0.002727343,1.84e-05,0.002128735,0.000236806,0.003411604,0.001674901,1.31e-05,0.000148687,0.000474309,0.099354867,0.024709781,0.253520949,0.005208875,0.0001995,0.001251888,1.58e-05,0.001427375,0.025343712,0.037461609,0.000445794,0.000769432,1.09e-05,0.000207969,0.00079843,3.7e-06,0.001159213,D03,ZF,R2,2.29103e+11,4.538685312,8,1.23063e+11,73752122757,12731715399,1113591131,401088318.1,139592604,17808061937,13489681535,52,109,325
D03-ZF-R3,0.506744643,0.363328847,0.04466141,0.004932182,0.002000537,0.000627614,0.077285832,0.058287603,86,249,902,2311,2891,2.900138316,8.643618311,0.086828069,0.032152144,0.025335537,0.04694404,0.033043731,0.036037105,0.014678675,0.016871689,0.011611498,0.012024702,0.004141244,0.010437868,0.01856953,0.075134373,0.005015379,0.013691637,0.002553719,0.003057517,0.003115737,0.001877245,0.002638563,0.01341701,0.001888803,0.001699969,0.001280353,0.001032666,0.000904582,0.002917185,0.002220241,1.43e-05,0.002033908,0.000225635,0.003185515,0.001321955,1.08e-05,0.000136623,0.000521192,0.109769999,0.02477372,0.283720773,0.005901331,0.00023863,0.001147841,2.16e-05,0.001554749,0.019906809,0.029508349,0.000432122,0.000887878,9.11e-05,0.000214192,0.000876464,6.64e-06,0.001311519,D03,ZF,R3,1390941373,4.533465525,14.3,704852089.5,505369124.9,62121402.57,6860376.251,2782628.992,872974.1755,107500061.2,81074637.98,3,22,49
D03-ZH-R1,0.398738402,0.447333474,0.048427219,0.006663298,0.003921074,0.000595876,0.094167822,0.070435933,91,260,1000,2367,2814,2.849936846,8.129033434,0.033780072,0.02021596,0.030216977,0.030757952,0.031618277,0.060966742,0.016209165,0.013032256,0.019789243,0.010480101,0.004842273,0.017650754,0.00434037,0.022585641,0.006867436,0.018586426,0.003427395,0.003540235,0.003156441,0.003526252,0.002937043,0.003739286,0.000688268,0.002241277,0.00152176,0.002034242,0.00067781,0.001248739,0.004101639,1.46e-05,0.00053522,0.000246473,0.001965095,0.00091034,9.77e-06,0.0002562,0.000656491,0.199231147,0.055533355,0.260997416,0.010901305,0.000286153,0.002459702,2.61e-05,0.003115139,0.022671447,0.031690261,0.000280722,0.00143182,1.22e-05,0.000543164,0.001260736,5.23e-06,0.002675574,D03,ZH,R1,3.9823e+11,4.318884391,5.2,1.5879e+11,1.78142e+11,19285193839,2653528343,1561491133,237296089,37500495294,28049734367,57,136,477
D03-ZH-R3,0.410868443,0.458426036,0.042708454,0.005296107,0.002903944,0.000555036,0.079161933,0.060050663,84,233,862,2364,2906,2.668883693,5.93814318,0.071258784,0.021452365,0.024952432,0.030814441,0.031812209,0.04783942,0.013144292,0.013549009,0.013823387,0.009657248,0.003596237,0.010209713,0.00554913,0.03805316,0.005674596,0.011366493,0.003912528,0.004766554,0.002763275,0.001973849,0.002968287,0.006102895,0.000588204,0.001830974,0.001241145,0.001183232,0.000609269,0.002316348,0.002960137,1.08e-05,0.001031476,0.000220309,0.001177925,0.000997254,8.2e-06,0.000132613,0.000465176,0.119651049,0.027944951,0.373047554,0.005489592,0.000230814,0.002532677,2.26e-05,0.001630538,0.019994566,0.026778343,0.000447739,0.000792079,8.39e-06,0.000313853,0.000681532,3.03e-06,0.001922731,D03,ZH,R3,1.78915e+12,4.386005407,12.9,7.35106e+11,8.20194e+11,76411948901,9475543782,5195598673,993044371.9,1.41633e+11,1.0744e+11,93,272,1039
D03-ZR-R1,0.412434605,0.44455484,0.044417863,0.005984355,0.004797985,0.000522513,0.087035985,0.065176598,87,238,912,2370,3005,2.768653733,7.834665659,0.088273956,0.026555475,0.020860394,0.029514038,0.042022566,0.05554149,0.017722921,0.010805084,0.016937099,0.01065269,0.002982445,0.01146556,0.005615778,0.00931997,0.007297714,0.007129764,0.003292758,0.003977546,0.00195455,0.001888031,0.003010698,0.003819198,0.000503039,0.002210801,0.001141955,0.001346003,0.000758172,0.001290066,0.002667332,1.08e-05,0.000440082,0.000252827,0.002666076,0.000831298,9.53e-06,0.000172647,0.000544351,0.207033032,0.042672838,0.256099331,0.010476533,0.000220858,0.003221886,2.58e-05,0.003049601,0.017822596,0.030590145,0.000379052,0.001331911,8.52e-06,0.000347375,0.000563674,3.97e-06,0.003247214,D03,ZR,R1,2.43605e+11,4.363712801,3.3,1.00471e+11,1.08296e+11,10820427347,1457820758,1168814558,127286943.2,21202428027,15877365363,49,109,325
D03-ZR-R2,0.415165125,0.423702483,0.060197522,0.006022488,0.002839899,0.000552594,0.091370669,0.068829622,88,256,1016,2482,2773,2.879091903,8.35602404,0.051280662,0.02380706,0.028688087,0.037334438,0.031071472,0.049915415,0.012929459,0.01283353,0.019225494,0.009987457,0.004493878,0.020060859,0.007308679,0.025183822,0.007185439,0.015384949,0.003934837,0.00436113,0.003390746,0.003821476,0.003408547,0.00324363,0.000761411,0.002517611,0.001577231,0.001836757,0.000613291,0.002194537,0.003658618,1.56e-05,0.000778896,0.000243256,0.001390233,0.001047297,1.09e-05,0.000235702,0.000690521,0.16906471,0.046408667,0.274274067,0.009262653,0.000270408,0.001920325,2.2e-05,0.002608786,0.025605414,0.041594145,0.000361425,0.001427738,9.98e-06,0.000353712,0.001022258,5.07e-06,0.001929623,D03,ZR,R2,3.46597e+11,4.352975234,3.04,1.43895e+11,1.46854e+11,20864274533,2087375530,984300184.4,191527437.1,31668790851,23856133870,56,125,420
D03-ZR-R3,0.318760983,0.53852199,0.040893473,0.006581396,0.003400732,0.000427519,0.091283852,0.065483368,84,244,916,2209,2576,2.578064125,5.889942862,0.057037998,0.013880883,0.020246918,0.019568268,0.025833215,0.039688696,0.00999734,0.009052934,0.017988884,0.006203225,0.003215216,0.018336343,0.00404821,0.008526027,0.00711495,0.01172,0.003004275,0.003313036,0.002825049,0.003470202,0.00273436,0.002263085,0.00030839,0.002388313,0.001156982,0.001612733,0.000332455,0.000881124,0.003221678,1.26e-05,0.000255803,0.000200394,0.001104989,0.000534409,9.43e-06,0.000187396,0.000649386,0.204273546,0.060758804,0.339754184,0.0111899,0.000273555,0.002494823,2.48e-05,0.003146215,0.017931915,0.026317191,0.00025818,0.001694584,7.28e-06,0.000431315,0.000828389,5.94e-06,0.002275266,D03,ZR,R3,2.07473e+11,4.232781586,8.54,66134382693,1.11729e+11,8484302547,1365463779,705560936.4,88698698.96,18938958948,13586048229,47,102,306
D04-NF-R1,0.681418943,0.081686225,0.093672368,0.012618963,4.61e-05,0.001658516,0.128809942,0.116315008,103,333,1357,2790,3099,3.302011227,15.94630326,0.130072251,0.039379563,0.04513015,0.026807041,0.06634859,0.028781917,0.052040993,0.04117703,0.02813631,0.118048571,0.009364244,0.021855336,0.014242129,1.98e-05,0.01113569,0.007288921,0.002565051,0.002715721,0.00376911,0.007554788,0.005949482,0.000447924,0.00488846,0.001498506,0.00147592,0.006849686,0.001131631,0.005368579,0.00029923,0.010892072,0.002496979,0.019258516,0.01550144,0.000620731,0.000107968,0.00035547,0.001510181,0.027705785,0.005879546,0.051763585,0.005608605,0.004446014,0.000118116,0.000607036,0.00072724,0.107170936,0.009835495,0.000525291,0.000258952,2.49e-05,0.000667093,4.88e-05,0.006783993,1.73e-06,D04,NF,R1,8.51472e+11,4.61876433,104,5.80209e+11,69553555023,79759423950,10744696670,39281573.36,1412180194,1.09678e+11,99039003312,88,252,1036
D04-NF-R2,0.675606026,0.077001409,0.103121285,0.011156867,4.9e-05,0.001642829,0.131324731,0.118124718,104,339,1465,2861,3211,3.316202164,15.96550534,0.131904382,0.038069444,0.045422555,0.02517925,0.061721111,0.030856725,0.04982832,0.039819152,0.030932317,0.113323289,0.009671942,0.025051846,0.014542846,1.84e-05,0.011190261,0.00693215,0.002843814,0.003045939,0.003917606,0.008614417,0.005645469,0.000437255,0.004832794,0.00158612,0.001485451,0.007736785,0.001089864,0.004861687,0.000293965,0.011348299,0.002401992,0.018049274,0.014542059,0.000565613,0.000105523,0.000382099,0.001639923,0.026652862,0.006333252,0.047309985,0.005495685,0.004230774,0.000119381,0.00053672,0.000736778,0.114682661,0.012560787,0.000652979,0.000215001,2.74e-05,0.000691553,4.99e-05,0.004993528,1.44e-06,D04,NF,R2,1.66214e+12,4.605192888,116,1.12295e+12,1.27987e+11,1.71402e+11,18544282299,81459560.74,2730612672,2.1828e+11,1.9634e+11,111,387,1596
D04-NF-R3,0.689550314,0.06741949,0.110561522,0.009455802,4.67e-05,0.001549337,0.121331746,0.107983848,101,324,1342,2694,2694,3.236628329,14.63177846,0.123639145,0.038974856,0.044220937,0.026475514,0.070348082,0.027987845,0.052297352,0.040268163,0.026193978,0.132367076,0.009282205,0.019343264,0.014972662,2.05e-05,0.010685255,0.006935452,0.002402627,0.002591707,0.003753044,0.006707785,0.005316002,0.000472777,0.005212587,0.001398265,0.001397185,0.006192252,0.001169054,0.00534502,0.000268262,0.009408618,0.002482581,0.017397516,0.016294678,0.000605056,9.04e-05,0.000322748,0.001355665,0.022753649,0.004128117,0.043881057,0.004318123,0.003538187,0.000100174,0.000441598,0.000624041,0.127211907,0.01134881,0.000570636,0.000157284,2.05e-05,0.000559368,4.35e-05,0.004152813,1.54e-06,D04,NF,R3,2.26547e+13,4.605008864,96.6,1.56216e+13,1.52737e+12,2.50474e+12,2.14218e+11,1057787389,35099770039,2.74874e+12,2.44634e+12,426,1799,2696
D04-OF-R1,0.658839785,0.088992005,0.114518604,0.010816644,4.25e-05,0.001700785,0.125006243,0.111434347,101,332,1342,2807,3052,3.317435121,16.09306847,0.101601473,0.036265886,0.038938082,0.028534854,0.066703487,0.028890938,0.048293053,0.040220274,0.02722859,0.120051441,0.009702446,0.021005285,0.015448641,1.7e-05,0.010794805,0.005721772,0.002624791,0.002862063,0.004077733,0.008684409,0.005699212,0.000495348,0.005357149,0.001555167,0.001414076,0.010769293,0.001172025,0.005485062,0.000255229,0.007348944,0.002629465,0.016773213,0.019196259,0.000567001,9.4e-05,0.000283799,0.001232221,0.029639197,0.008025725,0.054668484,0.006666575,0.004300844,0.000170926,0.000522337,0.001072083,0.132568966,0.012313953,0.000605902,0.000207262,2.29e-05,0.000469449,4.03e-05,0.00541225,1.34e-06,D04,OF,R1,1.03289e+13,4.556654902,21.6,6.80508e+12,9.19188e+11,1.18285e+12,1.11724e+11,439449182.1,17567204192,1.29117e+12,1.15099e+12,281,1127,2720
D04-OF-R2,0.537120428,0.212511738,0.070796305,0.022472724,4.89e-05,0.00249403,0.15444314,0.138669879,110,376,1549,2838,3046,3.434204061,18.41428387,0.080830599,0.027167805,0.069192098,0.018712936,0.038182728,0.030000216,0.033328418,0.031631671,0.033630781,0.061816578,0.011022657,0.032148315,0.008190971,2.1e-05,0.011075347,0.005123077,0.002245848,0.002078317,0.003936587,0.015158748,0.006368231,0.000476626,0.00276995,0.002246159,0.00137308,0.02279126,0.000773327,0.003923811,0.000212728,0.006278906,0.001469828,0.011664017,0.01079895,0.000463506,0.000127443,0.000541436,0.001826745,0.064014743,0.022531402,0.134012727,0.01690342,0.011012437,0.000390064,0.001318733,0.002413758,0.081410637,0.00737438,0.000337651,0.00056854,2.9e-05,0.000599857,8.48e-05,0.01464307,4.04e-06,D04,OF,R2,1.6187e+12,4.571838654,23.2,8.69435e+11,3.43992e+11,1.14598e+11,36376540602,79152085.81,4037080438,2.49997e+11,2.24465e+11,118,422,1671
D04-OF-R3,0.612701456,0.134433999,0.101992891,0.014043652,4.59e-05,0.001875004,0.134815447,0.11926615,103,349,1448,2783,2971,3.368964761,17.36454708,0.092531528,0.03523528,0.045926254,0.02795573,0.056392549,0.02707642,0.04257672,0.038322503,0.026495807,0.103810458,0.009796192,0.022072966,0.013759185,1.75e-05,0.010291181,0.005674147,0.002333463,0.002546538,0.004104016,0.009887453,0.006092167,0.000483909,0.004663714,0.001698435,0.001474936,0.013562566,0.000874721,0.005239999,0.000222384,0.007017698,0.002393714,0.014068831,0.015223369,0.00059615,0.00010739,0.000325185,0.001307295,0.042917049,0.012576194,0.084497694,0.010446692,0.006883362,0.000236283,0.000868689,0.001543907,0.12203418,0.009577872,0.000469617,0.000312138,2.27e-05,0.000532293,5.01e-05,0.008103723,2.88e-06,D04,OF,R3,1.57699e+12,4.546271575,18,9.66221e+11,2.12e+11,1.60841e+11,22146633723,72403109.96,2956854354,2.12602e+11,1.88081e+11,107,376,1548
D04-OH-R1,0.629996676,0.157090797,0.034307093,0.017697033,8.37e-05,0.002773893,0.157922695,0.143505552,114,394,1563,2822,2986,3.269194161,14.4868319,0.173701526,0.014067006,0.092934993,0.007630567,0.029167561,0.053319814,0.046643124,0.039745383,0.05044409,0.051521097,0.012179521,0.04093766,0.004995376,2.98e-05,0.014743406,0.009315138,0.002102583,0.001512256,0.003133943,0.015630693,0.006606956,0.000405492,0.001797707,0.002410268,0.001675363,0.014319498,0.000765785,0.003742237,0.000424245,0.004912223,0.000369221,0.011555674,0.004773933,0.000198872,0.000110946,0.000708684,0.002233181,0.046630378,0.01305788,0.102280675,0.011173371,0.006991674,0.000274614,0.000878304,0.001699169,0.036056767,0.002898688,0.000175964,0.000390108,3.08e-05,0.000587913,8.85e-05,0.009505925,3.71e-06,D04,OH,R1,5.54026e+13,4.842331837,83.2,3.49035e+13,8.70324e+12,1.9007e+12,9.80462e+11,4639294432,1.53681e+11,8.74933e+12,7.95058e+12,962,2440,2988
D04-OH-R2,0.637243214,0.136484766,0.049349712,0.015294059,8.44e-05,0.002730117,0.158680833,0.143973323,109,410,1589,2866,2866,3.347449644,16.41557213,0.157544665,0.017206302,0.073912623,0.012257161,0.032357865,0.058025794,0.047883134,0.034883783,0.052382614,0.056098358,0.013106946,0.047435391,0.006705171,2.88e-05,0.015888534,0.008488472,0.002237543,0.001608274,0.00342151,0.018120324,0.006843446,0.00041898,0.001918807,0.002618065,0.001726841,0.016360033,0.000725678,0.004121301,0.00039533,0.005476994,0.000723654,0.015521007,0.00626382,0.000291145,9.96e-05,0.000616166,0.002149017,0.043474843,0.012274738,0.085726089,0.009882196,0.006042345,0.000265684,0.000737822,0.001669422,0.054070998,0.004384109,0.000235323,0.000295406,3.39e-05,0.000693613,6.51e-05,0.007123085,3.2e-06,D04,OH,R2,7.89343e+13,4.725269168,52.4,5.03003e+13,1.07733e+13,3.89538e+12,1.20723e+12,6664878716,2.155e+11,1.25254e+13,1.13644e+13,1201,2616,2868
D04-OH-R3,0.630671519,0.129771142,0.070456282,0.0160882,7.44e-05,0.002484595,0.150328748,0.136248129,111,386,1576,2820,3060,3.379169502,17.43863853,0.142069412,0.020258894,0.071690113,0.01576116,0.040447661,0.050720083,0.044185531,0.037026336,0.048419428,0.062245881,0.012230591,0.041852891,0.007999659,2.43e-05,0.014486159,0.006855301,0.002750094,0.002385685,0.003428833,0.016096024,0.006112255,0.00043127,0.00259216,0.002355014,0.001579157,0.015267797,0.000860287,0.004346557,0.000393353,0.005842298,0.000982407,0.012693695,0.008360577,0.000344062,0.000102111,0.000604258,0.002029572,0.040758312,0.012942891,0.080650556,0.009543415,0.006144803,0.000249647,0.000731259,0.001547698,0.076705949,0.007337476,0.000366662,0.000322063,3.18e-05,0.000622803,7e-05,0.008367485,2.14e-06,D04,OH,R3,2.30887e+12,4.681049049,16.5,1.45614e+12,2.99625e+11,1.62674e+11,37145584340,171687514.8,5736610680,3.4709e+11,3.14579e+11,138,538,1962
D04-OR-R1,0.657431901,0.102801863,0.091361441,0.012535916,5.17e-05,0.00206905,0.133643284,0.119974824,108,355,1456,2756,2956,3.361844729,17.2509984,0.109500739,0.028697275,0.048968268,0.024177115,0.059579236,0.031760979,0.04567695,0.04261592,0.037277147,0.114945873,0.012822196,0.027922518,0.014685955,2.22e-05,0.013200855,0.006273103,0.002381749,0.00229913,0.004444734,0.010634073,0.005803042,0.000498895,0.004576746,0.001868405,0.001416739,0.011696596,0.001011475,0.005109058,0.000325574,0.009303963,0.002062795,0.012981069,0.013673016,0.000418186,0.000108334,0.000415767,0.00150655,0.032563615,0.009057825,0.065781369,0.007311439,0.00468578,0.000197063,0.000631161,0.001186323,0.105857814,0.008502408,0.000501123,0.000252503,2.76e-05,0.000504369,4.7e-05,0.006001251,2.23e-06,D04,OR,R1,1.7895e+12,4.585208526,79.8,1.17648e+12,1.83964e+11,1.63492e+11,22433072195,92444771.77,3702573919,2.39155e+11,2.14695e+11,117,417,1617
D04-OR-R2,0.620560631,0.155701469,0.041541609,0.018317399,6.46e-05,0.002725039,0.160948422,0.146489506,111,405,1615,2811,2969,3.322893062,15.07788088,0.176892406,0.01813272,0.07937745,0.012204029,0.029951615,0.04105212,0.037596655,0.035484952,0.055537002,0.04664348,0.013863325,0.041040024,0.006095319,2.49e-05,0.015169312,0.005421433,0.001853221,0.001181146,0.004495081,0.015720298,0.007021025,0.000413789,0.001834204,0.002582931,0.00152928,0.018536548,0.000665737,0.003471507,0.00031398,0.006158128,0.000731133,0.017702372,0.005617945,0.00024231,0.000109188,0.000715997,0.002396704,0.048380139,0.015428246,0.097029755,0.011969546,0.007473495,0.000319931,0.000889158,0.001943004,0.046069854,0.003628303,0.000182282,0.000390114,3.63e-05,0.00076975,7.85e-05,0.00982175,2.85e-06,D04,OR,R2,1.86919e+13,4.779492848,25.8,1.15995e+13,2.91036e+12,7.76493e+11,3.42387e+11,1207552920,50936218047,3.00844e+12,2.73817e+12,495,1835,2813
