Sample,Patient,Sample_Type,Replication,MicrobesPerGram,mean_16s_count,DNAConcentration,Absolute Abundance: Firmicutes,Absolute Abundance: Bacteroidetes,Absolute Abundance: Actinobacteria,Absolute Abundance: Other Bacteria,Absolute Abundance: Viruses,Absolute Abundance: Fungi,Absolute Abundance: Unclassified + Root,Absolute Abundance: Unclassified,Richness 100M,Richness 10M,Richness 1M,ratio of B/F
D04-ZF-R2,D04,ZF,R2,1.24E+12,4.523547664,6.84,7.54E+11,1.96E+11,1.03E+11,20370822039,61936149.34,2154927552,1.63E+11,1.46E+11,99,327,1320,0.259677553
D04-ZF-R3,D04,ZF,R3,9.27E+11,4.51210512,7.32,5.63E+11,1.54E+11,77775051921,13608017335,40907034.85,1461874575,1.17E+11,1.05E+11,94,256,1112,0.274583043
D04-ZH-R1,D04,ZH,R1,2.32E+12,4.475588144,9.32,1.34E+12,4.48E+11,1.46E+11,45053917015,137057598,5081662501,3.35E+11,3.05E+11,134,513,1882,0.334736276
D04-ZH-R2,D04,ZH,R2,2.10E+11,4.487576318,3.8,1.22E+11,40202644425,12847640115,3767761960,13411523.59,504027345,29942075682,27073047201,60,127,472,0.328262735
D04-ZH-R3,D04,ZH,R3,5.70E+11,4.467984432,10,3.31E+11,1.00E+11,45070131585,11406046753,33556246.2,1350580854,80204072891,72271126648,85,212,906,0.303077655
D04-ZR-R1,D04,ZR,R1,8.12E+11,4.514360373,9.08,4.70E+11,1.63E+11,39326023215,17404076213,47285057.71,1670495348,1.21E+11,1.10E+11,94,270,1152,0.347102436
D04-ZR-R2,D04,ZR,R2,1.49E+12,4.514551069,5.4,9.14E+11,2.38E+11,97846200785,25291398119,83109115.34,3197452907,2.11E+11,1.92E+11,111,385,1578,0.260889086
D04-ZR-R3,D04,ZR,R3,3.99E+12,4.535650385,16.6,2.45E+12,6.40E+11,2.63E+11,73521516847,240269486.2,8654115905,5.56E+11,5.05E+11,174,720,2208,0.261543278
D05-NF-R1,D05,NF,R1,1.30E+12,4.733213312,87.4,5.92E+11,3.54E+11,77258407408,32843672250,3893310745,1761822351,2.34E+11,1.81E+11,104,366,1215,0.597865778
D05-NF-R2,D05,NF,R2,3.33E+11,4.679031795,26,1.77E+11,53411371423,26460241466,5014709683,525967503.4,526696728.9,70455972839,59925412289,67,184,722,0.302154653
D05-NF-R3,D05,NF,R3,8.71E+11,4.701943864,129.2,4.27E+11,1.75E+11,66379485973,21005394058,1503479719,1311881657,1.78E+11,1.45E+11,90,321,1092,0.410246522
D05-OF-R1,D05,OF,R1,1.04E+13,4.704237739,84.8,3.95E+12,4.01E+12,6.35E+11,2.28E+11,17615308251,11625833739,1.56E+12,1.07E+12,278,975,2120,1.013959351
D05-OF-R2,D05,OF,R2,6.03E+12,4.695736026,79.2,2.53E+12,1.98E+12,4.30E+11,1.21E+11,8317380087,7223278689,9.54E+11,6.85E+11,211,803,1965,0.780010087
D05-OF-R3,D05,OF,R3,1.71E+12,4.709813235,81.8,7.42E+11,5.53E+11,1.18E+11,30588662950,2362469501,1964855421,2.64E+11,1.89E+11,105,385,1215,0.744895474
D05-OH-R1,D05,OH,R1,7.41E+12,4.694000961,68.4,3.06E+12,2.43E+12,4.65E+11,1.57E+11,14458406527,10199340078,1.27E+12,9.50E+11,255,960,2115,0.795960067
D05-OH-R2,D05,OH,R2,3.23E+12,4.763346223,50.4,1.19E+12,1.26E+12,1.38E+11,76255466044,7365124326,4482007418,5.56E+11,4.01E+11,139,608,1589,1.059447202
D05-OH-R3,D05,OH,R3,2.71E+12,4.840513253,42.8,8.01E+11,1.32E+12,52987817836,71619605456,7862739706,3584804091,4.55E+11,3.11E+11,127,518,1393,1.641900066
D05-OR-R1,D05,OR,R1,9.89E+12,4.783278466,60,3.25E+12,4.60E+12,3.84E+11,2.72E+11,26044061326,10330931400,1.35E+12,8.21E+11,235,897,2185,1.415385629
D05-OR-R2,D05,OR,R2,2.16E+12,4.700916111,64.4,9.29E+11,7.01E+11,1.35E+11,44480719175,3870866862,2725563504,3.45E+11,2.43E+11,120,446,1485,0.754444404
D05-OR-R3,D05,OR,R3,6.83E+12,4.735249285,82.2,2.96E+12,2.22E+12,4.69E+11,1.40E+11,12907460854,8159749283,1.02E+12,7.25E+11,221,826,2095,0.748538032
D05-ZF-R1,D05,ZF,R1,2.64E+12,4.674732211,15.4,1.21E+12,7.75E+11,1.82E+11,55362835966,4940075974,3076195388,4.12E+11,3.12E+11,133,533,1469,0.641500392
D05-ZF-R2,D05,ZF,R2,1.14E+11,4.700174949,4.52,45986052744,40958579996,6531481732,2902641940,204360898.3,128291553.6,17674589421,12530540506,42,92,301,0.890673966
D05-ZF-R3,D05,ZF,R3,1.70E+11,4.703950885,10.4,77716833042,50343341682,11043391456,3884776413,294745983.4,203006595.8,26510153913,20120701828,52,109,397,0.64777912
D05-ZH-R1,D05,ZH,R1,9.79E+11,4.669754354,10.1,3.66E+11,3.63E+11,52671418780,27594382842,4083096393,1310750766,1.64E+11,1.23E+11,89,292,1064,0.990578412
D05-ZH-R2,D05,ZH,R2,5.82E+11,4.685718863,9.44,2.00E+11,2.43E+11,27339671679,16506280427,2413894946,720146991.3,92688996536,67025291404,77,199,758,1.215478407
D05-ZH-R3,D05,ZH,R3,8501857470,4.745907915,7.2,3105125097,3375055264,357284105,222158116,44649990.8,11603124.43,1385504025,1040213026,12,41,87,1.086930529
D05-ZR-R1,D05,ZR,R1,3.84E+11,4.622387419,11.8,1.48E+11,1.36E+11,24781380895,10933358089,1098239075,470411404.3,62798331833,47061116418,66,162,653,0.922335691
D05-ZR-R2,D05,ZR,R2,8.68E+11,4.613541429,6.42,3.48E+11,2.88E+11,62025314764,22017726754,2149771005,1071380701,1.44E+11,1.07E+11,84,276,984,0.828020298
D05-ZR-R3,D05,ZR,R3,3.78E+11,4.704729828,9.38,1.39E+11,1.57E+11,16542606955,9356775161,1660976019,433873042.2,54143756382,38197664999,64,143,575,1.128067823
D06-NF-R1,D06,NF,R1,4.94E+12,4.66671385,140.8,3.00E+12,1.04E+12,4.40E+11,9921161102,1466073142,2508955335,4.44E+11,2.75E+11,128,465,1699,0.34671462
D06-NF-R2,D06,NF,R2,1.12E+12,4.674687443,12.8,6.19E+11,3.03E+11,82676948020,2293869739,884741033.4,527955527.7,1.07E+11,60994135606,72,201,756,0.489700908
D06-NF-R3,D06,NF,R3,1.50E+13,4.651189802,13.4,8.46E+12,3.86E+12,1.18E+12,30637743725,9722513001,7060628501,1.41E+12,8.39E+11,234,914,2354,0.456137659
D06-OF-R1,D06,OF,R1,1.07E+13,4.490133158,37.2,3.56E+12,5.64E+12,4.57E+11,32443086297,4998530793,4075957518,1.01E+12,4.20E+11,157,600,1964,1.586071776
D06-OF-R2,D06,OF,R2,5.97E+12,4.488166997,29,2.14E+12,2.93E+12,3.01E+11,22721779518,2065643449,2176356208,5.71E+11,2.29E+11,122,435,1544,1.372824491
D06-OF-R3,D06,OF,R3,1.85E+13,4.576688685,7.12,9.64E+12,5.64E+12,1.46E+12,39131851013,6361280442,8215259703,1.74E+12,9.36E+11,258,961,2507,0.584422852
D06-OH-R1,D06,OH,R1,1.32E+13,4.545505987,102,6.58E+12,4.44E+12,7.74E+11,29576934846,8369734149,6424693562,1.32E+12,7.44E+11,219,851,2171,0.675413122
D06-OH-R2,D06,OH,R2,8.82E+12,4.571609413,54.8,4.39E+12,3.10E+12,4.48E+11,20967887334,6490676311,4109026101,8.55E+11,4.78E+11,169,647,1915,0.704488928
D06-OH-R3,D06,OH,R3,3.04E+12,4.557710205,94.8,1.59E+12,9.37E+11,2.03E+11,6667453670,1729819519,1447367821,2.92E+11,1.71E+11,107,330,1265,0.588253581
D06-OR-R1,D06,OR,R1,4.57E+12,4.533452573,44.6,1.61E+12,2.36E+12,1.18E+11,10752689389,3391073699,1921403168,4.69E+11,2.16E+11,109,390,1465,1.462969959
D06-OR-R2,D06,OR,R2,1.45E+12,4.499601986,66.4,5.52E+11,6.91E+11,52666621485,3542707274,981319457.8,585792668.8,1.45E+11,70049741062,76,211,812,1.251318101
D06-OR-R3,D06,OR,R3,7.58E+12,4.554841571,116,3.83E+12,2.52E+12,4.90E+11,18630826375,3385152830,3362844849,7.12E+11,3.83E+11,155,570,1769,0.657647272
D06-ZF-R1,D06,ZF,R1,1.29E+12,4.480728782,8.5,6.02E+11,4.58E+11,1.01E+11,2823901503,1429051462,591330166.9,1.24E+11,70960922332,77,215,808,0.76014411
D06-ZF-R2,D06,ZF,R2,1.11E+12,4.527011194,10.4,5.70E+11,3.43E+11,91108498619,2302777508,871781316.1,520718375.1,1.04E+11,60767162140,74,202,755,0.600944599
D06-ZF-R3,D06,ZF,R3,1.98E+12,4.618734421,19.9,1.29E+12,3.44E+11,1.79E+11,3747431395,1002759378,932397810.2,1.58E+11,99046751156,86,251,929,0.266771913
D06-ZH-R1,D06,ZH,R1,3.15E+11,4.455324884,6.06,1.22E+11,1.54E+11,5351111403,858813795.1,617401838.8,141173361.2,32214959757,17709329287,49,102,348,1.2584416
D06-ZH-R2,D06,ZH,R2,19286729622,4.379712931,1.74,8175767920,7592800873,1414931683,54628291.93,33280275.65,9041333.263,2005569132,1097092961,18,51,90,0.928695744
D06-ZH-R3,D06,ZH,R3,37842296989,4.454676768,2.16,16702508970,14907414683,2286342586,91538428.58,53867588.71,16575169.54,3782847522,2023263139,23,59,112,0.892525471
D06-ZR-R1,D06,ZR,R1,7.68E+11,4.378510703,8.84,3.93E+11,2.04E+11,88995304779,1817073841,831318646.6,407465943.3,78767417009,50596051916,65,178,664,0.517747788
D06-ZR-R2,D06,ZR,R2,4.98E+11,4.361541411,3.42,1.83E+11,2.37E+11,20814787064,1243344302,1235934267,243936174,54155615533,29851756906,61,131,462,1.294069747
D06-ZR-R3,D06,ZR,R3,1.27E+11,4.35682737,2.28,61759293697,37187680286,14453271739,285041398.3,156240814,62602889.6,12865046048,8046889763,39,77,223,0.602139015
D07-NF-R1,D07,NF,R1,1.79E+12,4.502333663,61.4,1.21E+12,3.63E+11,58396823072,17934879985,1505802465,1047762851,1.40E+11,95973189829,96,280,1054,0.300120574
D07-NF-R2,D07,NF,R2,1.89E+12,4.605157377,34.6,1.11E+12,4.73E+11,49481452246,84696764468,1459654379,1188845002,1.72E+11,1.13E+11,98,308,1177,0.425500801
D07-NF-R3,D07,NF,R3,59146492791,4.577847092,26.4,38427216820,11299132702,1822653290,2073468192,36137071.52,39111383.6,5445721673,3778740455,37,72,178,0.29403984
D07-OF-R1,D07,OF,R1,1.71E+13,4.672669815,85.8,1.04E+13,4.20E+12,2.98E+11,7.80E+11,3802292337,9891523765,1.34E+12,8.28E+11,266,997,2458,0.402968312
D07-OF-R2,D07,OF,R2,5.58E+12,4.720326336,78.8,2.75E+12,1.91E+12,71868623020,3.64E+11,1504037743,3057725684,4.81E+11,2.62E+11,154,530,1717,0.693012726
D07-OF-R3,D07,OF,R3,1.36E+12,4.692436771,8.88,8.44E+11,3.27E+11,22342312333,59984367950,274515817.5,751562276,1.06E+11,63730779749,81,246,871,0.387187034
D07-OH-R1,D07,OH,R1,5.97E+13,4.702310717,132.8,3.86E+13,1.30E+13,8.24E+11,2.35E+12,15139773138,36705001110,4.86E+12,3.14E+12,587,1936,2765,0.335709359
D07-OH-R2,D07,OH,R2,1.43E+13,4.706214056,66.6,8.71E+12,3.51E+12,2.27E+11,6.70E+11,4324439754,8731717802,1.19E+12,7.37E+11,251,929,2315,0.402297671
D07-OH-R3,D07,OH,R3,3.76E+12,4.720510421,150.8,2.18E+12,1.00E+12,49921889024,2.04E+11,541716540.1,1863820412,3.23E+11,1.96E+11,125,433,1667,0.459312588
D07-OR-R1,D07,OR,R1,2.16E+12,4.631335562,106,1.41E+12,4.50E+11,42768552872,77521418049,542077691,1377537932,1.74E+11,1.10E+11,97,305,1163,0.31813996
D07-OR-R2,D07,OR,R2,2.56E+12,4.686800697,22.8,1.05E+12,1.04E+12,22098914094,2.01E+11,831569522.3,1575876333,2.42E+11,1.25E+11,105,334,1199,0.993521946
D07-OR-R3,D07,OR,R3,2.01E+12,4.686680554,47.2,1.17E+12,5.41E+11,30628892032,1.06E+11,428272680.9,1199820871,1.66E+11,97945534841,94,293,1064,0.463428059
