Patient,Protocol_1,Protocol_2,Protocols,bcdist
D01,OR,OR,OR_OR,0.350004414
D01,OR,ZF,OR_ZF,0.371082606
D01,OR,ZF,OR_ZF,0.324609346
D01,OR,ZF,OR_ZF,0.344194731
D01,OR,ZH,OR_ZH,0.450031153
D01,OR,ZH,OR_ZH,0.508985507
D01,OR,ZH,OR_ZH,0.27250673
D01,OR,ZR,OR_ZR,0.47894922
D01,OR,ZR,OR_ZR,0.495649992
D01,OR,ZR,OR_ZR,0.368025884
D01,OR,NF,OR_NF,0.486837641
D01,OR,NF,OR_NF,0.549481197
D01,OR,NF,OR_NF,0.699163195
D01,OR,OF,OR_OF,0.389297642
D01,OR,OF,OR_OF,0.434287218
D01,OR,OF,OR_OF,0.416135494
D01,OR,OR,OR_OR,0.33550393
D01,OR,OR,OR_OR,0.350004414
D01,OR,ZF,OR_ZF,0.492253648
D01,OR,ZF,OR_ZF,0.539270321
D01,OR,ZF,OR_ZF,0.553458563
D01,OR,ZH,OR_ZH,0.544436457
D01,OR,ZH,OR_ZH,0.556893585
D01,OR,ZH,OR_ZH,0.501886914
D01,OR,ZR,OR_ZR,0.442890017
D01,OR,ZR,OR_ZR,0.376019624
D01,OR,ZR,OR_ZR,0.60364186
D01,ZF,NF,ZF_NF,0.403700188
D01,ZF,NF,ZF_NF,0.475217226
D01,ZF,NF,ZF_NF,0.653069084
D01,ZF,OF,ZF_OF,0.295983753
D01,ZF,OF,ZF_OF,0.209852278
D01,ZF,OF,ZF_OF,0.235780541
D01,ZF,OR,ZF_OR,0.356648543
D01,ZF,OR,ZF_OR,0.371082606
D01,ZF,OR,ZF_OR,0.492253648
D01,ZF,ZF,ZF_ZF,0.219075899
D01,ZF,ZF,ZF_ZF,0.215660262
D01,ZF,ZH,ZF_ZH,0.25050918
D01,ZF,ZH,ZF_ZH,0.346853946
D01,ZF,ZH,ZF_ZH,0.15821818
D01,ZF,ZR,ZF_ZR,0.200126879
D01,ZF,ZR,ZF_ZR,0.433181776
D01,ZF,ZR,ZF_ZR,0.311738177
D01,ZF,NF,ZF_NF,0.522641233
D01,ZF,NF,ZF_NF,0.592018453
D01,ZF,NF,ZF_NF,0.735806051
D01,ZF,OF,ZF_OF,0.408350563
D01,ZF,OF,ZF_OF,0.336000006
D01,ZF,OF,ZF_OF,0.37139658
D01,ZF,OR,ZF_OR,0.463447847
D01,ZF,OR,ZF_OR,0.324609346
D01,ZF,OR,ZF_OR,0.539270321
D01,ZF,ZF,ZF_ZF,0.219075899
D01,ZF,ZF,ZF_ZF,0.055255562
D01,ZF,ZH,ZF_ZH,0.327068827
D01,ZF,ZH,ZF_ZH,0.416472723
D01,ZF,ZH,ZF_ZH,0.19437536
D01,ZF,ZR,ZF_ZR,0.383649167
D01,ZF,ZR,ZF_ZR,0.514582191
D01,ZF,ZR,ZF_ZR,0.120679622
D01,ZF,NF,ZF_NF,0.551524568
D01,ZF,NF,ZF_NF,0.621706254
D01,ZF,NF,ZF_NF,0.731733045
D01,ZF,OF,ZF_OF,0.440089118
D01,ZF,OF,ZF_OF,0.357947157
D01,ZF,OF,ZF_OF,0.395755353
D01,ZF,OR,ZF_OR,0.476649015
D01,ZF,OR,ZF_OR,0.344194731
D01,ZF,OR,ZF_OR,0.553458563
D01,ZF,ZF,ZF_ZF,0.215660262
D01,ZF,ZF,ZF_ZF,0.055255562
D01,ZF,ZH,ZF_ZH,0.320444423
D01,ZF,ZH,ZF_ZH,0.410315912
D01,ZF,ZH,ZF_ZH,0.186196347
D01,ZF,ZR,ZF_ZR,0.385478769
D01,ZF,ZR,ZF_ZR,0.544476144
D01,ZF,ZR,ZF_ZR,0.121974047
D01,ZH,NF,ZH_NF,0.49754959
D01,ZH,NF,ZH_NF,0.570634054
D01,ZH,NF,ZH_NF,0.734470641
D01,ZH,OF,ZH_OF,0.407841264
D01,ZH,OF,ZH_OF,0.319118395
D01,ZH,OF,ZH_OF,0.343846341
D01,ZH,OR,ZH_OR,0.465509206
D01,ZH,OR,ZH_OR,0.450031153
D01,ZH,OR,ZH_OR,0.544436457
D01,ZH,ZF,ZH_ZF,0.25050918
D01,ZH,ZF,ZH_ZF,0.327068827
D01,ZH,ZF,ZH_ZF,0.320444423
D01,ZH,ZH,ZH_ZH,0.181255333
D01,ZH,ZH,ZH_ZH,0.219059678
