Patient,Protocol_1,Protocol_2,Protocols,bcdist
D03,NF,OR,NF_OR,0.351626543
D03,NF,ZF,NF_ZF,0.208940604
D03,NF,ZF,NF_ZF,0.223327941
D03,NF,ZF,NF_ZF,0.225303066
D03,NF,ZH,NF_ZH,0.560656316
D03,NF,ZH,NF_ZH,0.563931724
D03,NF,ZH,NF_ZH,0.559067319
D03,NF,ZR,NF_ZR,0.459812116
D03,NF,ZR,NF_ZR,0.383794894
D03,NF,ZR,NF_ZR,0.217482326
D03,NF,NF,NF_NF,0.086677176
D03,NF,NF,NF_NF,0.071156125
D03,NF,OF,NF_OF,0.340016102
D03,NF,OF,NF_OF,0.355795786
D03,NF,OF,NF_OF,0.307774281
D03,NF,OR,NF_OR,0.406883725
D03,NF,OR,NF_OR,0.356009532
D03,NF,OR,NF_OR,0.370829074
D03,NF,ZF,NF_ZF,0.237795156
D03,NF,ZF,NF_ZF,0.276984709
D03,NF,ZF,NF_ZF,0.277249391
D03,NF,ZH,NF_ZH,0.600588976
D03,NF,ZH,NF_ZH,0.608159758
D03,NF,ZH,NF_ZH,0.605814618
D03,NF,ZR,NF_ZR,0.500811837
D03,NF,ZR,NF_ZR,0.425719217
D03,NF,ZR,NF_ZR,0.266049256
D03,OF,NF,OF_NF,0.384552064
D03,OF,NF,OF_NF,0.323792629
D03,OF,NF,OF_NF,0.340016102
D03,OF,OF,OF_OF,0.137502583
D03,OF,OF,OF_OF,0.118427179
D03,OF,OR,OF_OR,0.426891804
D03,OF,OR,OF_OR,0.389054323
D03,OF,OR,OF_OR,0.399694097
D03,OF,ZF,OF_ZF,0.373334175
D03,OF,ZF,OF_ZF,0.335715816
D03,OF,ZF,OF_ZF,0.352753434
D03,OF,ZH,OF_ZH,0.59971518
D03,OF,ZH,OF_ZH,0.594115228
D03,OF,ZH,OF_ZH,0.58235553
D03,OF,ZR,OF_ZR,0.493078739
D03,OF,ZR,OF_ZR,0.465841892
D03,OF,ZR,OF_ZR,0.365915329
D03,OF,NF,OF_NF,0.37932641
D03,OF,NF,OF_NF,0.353446276
D03,OF,NF,OF_NF,0.355795786
D03,OF,OF,OF_OF,0.137502583
D03,OF,OF,OF_OF,0.089768923
D03,OF,OR,OF_OR,0.39199339
D03,OF,OR,OF_OR,0.36123979
D03,OF,OR,OF_OR,0.358387938
D03,OF,ZF,OF_ZF,0.353067512
D03,OF,ZF,OF_ZF,0.330389676
D03,OF,ZF,OF_ZF,0.349509364
D03,OF,ZH,OF_ZH,0.555922296
D03,OF,ZH,OF_ZH,0.56068785
D03,OF,ZH,OF_ZH,0.546226275
D03,OF,ZR,OF_ZR,0.457293037
D03,OF,ZR,OF_ZR,0.410886344
D03,OF,ZR,OF_ZR,0.347683646
D03,OF,NF,OF_NF,0.342160915
D03,OF,NF,OF_NF,0.302901286
D03,OF,NF,OF_NF,0.307774281
D03,OF,OF,OF_OF,0.118427179
D03,OF,OF,OF_OF,0.089768923
D03,OF,OR,OF_OR,0.400104378
D03,OF,OR,OF_OR,0.351918734
D03,OF,OR,OF_OR,0.36255319
D03,OF,ZF,OF_ZF,0.332624976
D03,OF,ZF,OF_ZF,0.322494413
D03,OF,ZF,OF_ZF,0.338045167
D03,OF,ZH,OF_ZH,0.583816656
D03,OF,ZH,OF_ZH,0.589625936
D03,OF,ZH,OF_ZH,0.577021553
D03,OF,ZR,OF_ZR,0.47451556
D03,OF,ZR,OF_ZR,0.420986395
D03,OF,ZR,OF_ZR,0.331493846
D03,OR,NF,OR_NF,0.446623608
D03,OR,NF,OR_NF,0.384486788
D03,OR,NF,OR_NF,0.406883725
D03,OR,OF,OR_OF,0.426891804
D03,OR,OF,OR_OF,0.39199339
D03,OR,OF,OR_OF,0.400104378
D03,OR,OR,OR_OR,0.177668533
D03,OR,OR,OR_OR,0.12560839
D03,OR,ZF,OR_ZF,0.39457751
D03,OR,ZF,OR_ZF,0.346328667
D03,OR,ZF,OR_ZF,0.357575668
D03,OR,ZH,OR_ZH,0.335204639
D03,OR,ZH,OR_ZH,0.371718058
D03,OR,ZH,OR_ZH,0.358135978
D03,OR,ZR,OR_ZR,0.316985625
D03,OR,ZR,OR_ZR,0.303762365
D03,OR,ZR,OR_ZR,0.347727898
D03,OR,NF,OR_NF,0.399782823
D03,OR,NF,OR_NF,0.33279753
D03,OR,NF,OR_NF,0.356009532
D03,OR,OF,OR_OF,0.389054323
D03,OR,OF,OR_OF,0.36123979
D03,OR,OF,OR_OF,0.351918734
D03,OR,OR,OR_OR,0.177668533
D03,OR,OR,OR_OR,0.133050785
D03,OR,ZF,OR_ZF,0.317610747
D03,OR,ZF,OR_ZF,0.300050168
D03,OR,ZF,OR_ZF,0.309972371
D03,OR,ZH,OR_ZH,0.416426167
D03,OR,ZH,OR_ZH,0.462207787
D03,OR,ZH,OR_ZH,0.44674368
D03,OR,ZR,OR_ZR,0.334971733
D03,OR,ZR,OR_ZR,0.29503435
D03,OR,ZR,OR_ZR,0.28861185
D03,OR,NF,OR_NF,0.407643872
D03,OR,NF,OR_NF,0.351626543
D03,OR,NF,OR_NF,0.370829074
D03,OR,OF,OR_OF,0.399694097
D03,OR,OF,OR_OF,0.358387938
D03,OR,OF,OR_OF,0.36255319
D03,OR,OR,OR_OR,0.12560839
D03,OR,OR,OR_OR,0.133050785
D03,OR,ZF,OR_ZF,0.350147844
D03,OR,ZF,OR_ZF,0.310547636
D03,OR,ZF,OR_ZF,0.318022433
D03,OR,ZH,OR_ZH,0.37274791
D03,OR,ZH,OR_ZH,0.430475682
D03,OR,ZH,OR_ZH,0.416877184
D03,OR,ZR,OR_ZR,0.297762446
D03,OR,ZR,OR_ZR,0.285075533
D03,OR,ZR,OR_ZR,0.311211841
D03,ZF,NF,ZF_NF,0.283413202
D03,ZF,NF,ZF_NF,0.208940604
D03,ZF,NF,ZF_NF,0.237795156
D03,ZF,OF,ZF_OF,0.373334175
D03,ZF,OF,ZF_OF,0.353067512
D03,ZF,OF,ZF_OF,0.332624976
D03,ZF,OR,ZF_OR,0.39457751
D03,ZF,OR,ZF_OR,0.317610747
D03,ZF,OR,ZF_OR,0.350147844
D03,ZF,ZF,ZF_ZF,0.190171765
D03,ZF,ZF,ZF_ZF,0.134514345
D03,ZF,ZH,ZF_ZH,0.468327089
D03,ZF,ZH,ZF_ZH,0.500091327
D03,ZF,ZH,ZF_ZH,0.509473444
D03,ZF,ZR,ZF_ZR,0.347674042
D03,ZF,ZR,ZF_ZR,0.238316625
D03,ZF,ZR,ZF_ZR,0.108406072
D03,ZF,NF,ZF_NF,0.308637032
D03,ZF,NF,ZF_NF,0.223327941
D03,ZF,NF,ZF_NF,0.276984709
D03,ZF,OF,ZF_OF,0.335715816
D03,ZF,OF,ZF_OF,0.330389676
D03,ZF,OF,ZF_OF,0.322494413
D03,ZF,OR,ZF_OR,0.346328667
D03,ZF,OR,ZF_OR,0.300050168
D03,ZF,OR,ZF_OR,0.310547636
D03,ZF,ZF,ZF_ZF,0.190171765
D03,ZF,ZF,ZF_ZF,0.077265021
D03,ZF,ZH,ZF_ZH,0.417828837
D03,ZF,ZH,ZF_ZH,0.421897186
D03,ZF,ZH,ZF_ZH,0.426181873
D03,ZF,ZR,ZF_ZR,0.293273914
D03,ZF,ZR,ZF_ZR,0.221569489
D03,ZF,ZR,ZF_ZR,0.106800054
D03,ZF,NF,ZF_NF,0.308687912
D03,ZF,NF,ZF_NF,0.225303066
D03,ZF,NF,ZF_NF,0.277249391
D03,ZF,OF,ZF_OF,0.352753434
D03,ZF,OF,ZF_OF,0.349509364
D03,ZF,OF,ZF_OF,0.338045167
D03,ZF,OR,ZF_OR,0.357575668
D03,ZF,OR,ZF_OR,0.309972371
D03,ZF,OR,ZF_OR,0.318022433
D03,ZF,ZF,ZF_ZF,0.134514345
D03,ZF,ZF,ZF_ZF,0.077265021
D03,ZF,ZH,ZF_ZH,0.416664156
D03,ZF,ZH,ZF_ZH,0.443190959
D03,ZF,ZH,ZF_ZH,0.444328447
D03,ZF,ZR,ZF_ZR,0.291290791
D03,ZF,ZR,ZF_ZR,0.202867254
D03,ZF,ZR,ZF_ZR,0.051454252
D03,ZH,NF,ZH_NF,0.631397479
D03,ZH,NF,ZH_NF,0.560656316
D03,ZH,NF,ZH_NF,0.600588976
D03,ZH,OF,ZH_OF,0.59971518
D03,ZH,OF,ZH_OF,0.555922296
D03,ZH,OF,ZH_OF,0.583816656
D03,ZH,OR,ZH_OR,0.335204639
D03,ZH,OR,ZH_OR,0.416426167
D03,ZH,OR,ZH_OR,0.37274791
D03,ZH,ZF,ZH_ZF,0.468327089
D03,ZH,ZF,ZH_ZF,0.417828837
D03,ZH,ZF,ZH_ZF,0.416664156
D03,ZH,ZH,ZH_ZH,0.261036596
D03,ZH,ZH,ZH_ZH,0.279107153
D03,ZH,ZR,ZH_ZR,0.172314789
D03,ZH,ZR,ZH_ZR,0.266201076
D03,ZH,ZR,ZH_ZR,0.408085797
D03,ZH,NF,ZH_NF,0.638548295
D03,ZH,NF,ZH_NF,0.563931724
D03,ZH,NF,ZH_NF,0.608159758
D03,ZH,OF,ZH_OF,0.594115228
D03,ZH,OF,ZH_OF,0.56068785
D03,ZH,OF,ZH_OF,0.589625936
D03,ZH,OR,ZH_OR,0.371718058
D03,ZH,OR,ZH_OR,0.462207787
D03,ZH,OR,ZH_OR,0.430475682
D03,ZH,ZF,ZH_ZF,0.500091327
D03,ZH,ZF,ZH_ZF,0.421897186
D03,ZH,ZF,ZH_ZF,0.443190959
D03,ZH,ZH,ZH_ZH,0.261036596
D03,ZH,ZH,ZH_ZH,0.06251683
D03,ZH,ZR,ZH_ZR,0.297439665
D03,ZH,ZR,ZH_ZR,0.324409915
D03,ZH,ZR,ZH_ZR,0.437458917
D03,ZH,NF,ZH_NF,0.635021997
D03,ZH,NF,ZH_NF,0.559067319
D03,ZH,NF,ZH_NF,0.605814618
D03,ZH,OF,ZH_OF,0.58235553
D03,ZH,OF,ZH_OF,0.546226275
D03,ZH,OF,ZH_OF,0.577021553
D03,ZH,OR,ZH_OR,0.358135978
D03,ZH,OR,ZH_OR,0.44674368
D03,ZH,OR,ZH_OR,0.416877184
D03,ZH,ZF,ZH_ZF,0.509473444
D03,ZH,ZF,ZH_ZF,0.426181873
D03,ZH,ZF,ZH_ZF,0.444328447
D03,ZH,ZH,ZH_ZH,0.279107153
D03,ZH,ZH,ZH_ZH,0.06251683
D03,ZH,ZR,ZH_ZR,0.31665409
D03,ZH,ZR,ZH_ZR,0.343244628
D03,ZH,ZR,ZH_ZR,0.440973384
D03,ZR,NF,ZR_NF,0.532423597
D03,ZR,NF,ZR_NF,0.459812116
D03,ZR,NF,ZR_NF,0.500811837
D03,ZR,OF,ZR_OF,0.493078739
D03,ZR,OF,ZR_OF,0.457293037
D03,ZR,OF,ZR_OF,0.47451556
D03,ZR,OR,ZR_OR,0.316985625
D03,ZR,OR,ZR_OR,0.334971733
D03,ZR,OR,ZR_OR,0.297762446
D03,ZR,ZF,ZR_ZF,0.347674042
D03,ZR,ZF,ZR_ZF,0.293273914
D03,ZR,ZF,ZR_ZF,0.291290791
D03,ZR,ZH,ZR_ZH,0.172314789
D03,ZR,ZH,ZR_ZH,0.297439665
D03,ZR,ZH,ZR_ZH,0.31665409
D03,ZR,ZR,ZR_ZR,0.16576689
D03,ZR,ZR,ZR_ZR,0.284359694
D03,ZR,NF,ZR_NF,0.461096017
D03,ZR,NF,ZR_NF,0.383794894
D03,ZR,NF,ZR_NF,0.425719217
D03,ZR,OF,ZR_OF,0.465841892
D03,ZR,OF,ZR_OF,0.410886344
D03,ZR,OF,ZR_OF,0.420986395
D03,ZR,OR,ZR_OR,0.303762365
D03,ZR,OR,ZR_OR,0.29503435
D03,ZR,OR,ZR_OR,0.285075533
D03,ZR,ZF,ZR_ZF,0.238316625
D03,ZR,ZF,ZR_ZF,0.221569489
D03,ZR,ZF,ZR_ZF,0.202867254
D03,ZR,ZH,ZR_ZH,0.266201076
D03,ZR,ZH,ZR_ZH,0.324409915
D03,ZR,ZH,ZR_ZH,0.343244628
D03,ZR,ZR,ZR_ZR,0.16576689
D03,ZR,ZR,ZR_ZR,0.183670198
D03,ZR,NF,ZR_NF,0.302518691
D03,ZR,NF,ZR_NF,0.217482326
D03,ZR,NF,ZR_NF,0.266049256
D03,ZR,OF,ZR_OF,0.365915329
D03,ZR,OF,ZR_OF,0.347683646
D03,ZR,OF,ZR_OF,0.331493846
D03,ZR,OR,ZR_OR,0.347727898
D03,ZR,OR,ZR_OR,0.28861185
D03,ZR,OR,ZR_OR,0.311211841
D03,ZR,ZF,ZR_ZF,0.108406072
D03,ZR,ZF,ZR_ZF,0.106800054
D03,ZR,ZF,ZR_ZF,0.051454252
D03,ZR,ZH,ZR_ZH,0.408085797
D03,ZR,ZH,ZR_ZH,0.437458917
D03,ZR,ZH,ZR_ZH,0.440973384
D03,ZR,ZR,ZR_ZR,0.284359694
D03,ZR,ZR,ZR_ZR,0.183670198
D04,NF,NF,NF_NF,0.072912181
D04,NF,NF,NF_NF,0.0865422
D04,NF,OF,NF_OF,0.35160288
D04,NF,OF,NF_OF,0.17791825
D04,NF,OF,NF_OF,0.1773472
D04,NF,OR,NF_OR,0.353859917
D04,NF,OR,NF_OR,0.364646648
D04,NF,ZF,NF_ZF,0.281630723
D04,NF,ZF,NF_ZF,0.308349772
D04,NF,ZF,NF_ZF,0.301731963
D04,NF,ZH,NF_ZH,0.466904042
D04,NF,ZH,NF_ZH,0.487894393
D04,NF,ZH,NF_ZH,0.494409467
D04,NF,ZR,NF_ZR,0.387095749
D04,NF,ZR,NF_ZR,0.386014596
D04,NF,ZR,NF_ZR,0.558878607
D04,NF,NF,NF_NF,0.072912181
D04,NF,NF,NF_NF,0.127941459
D04,NF,OF,NF_OF,0.393998024
D04,NF,OF,NF_OF,0.207322205
D04,NF,OF,NF_OF,0.179296696
D04,NF,OR,NF_OR,0.386613323
D04,NF,OR,NF_OR,0.398081699
D04,NF,ZF,NF_ZF,0.308952315
D04,NF,ZF,NF_ZF,0.309058297
D04,NF,ZF,NF_ZF,0.316890302
D04,NF,ZH,NF_ZH,0.458977637
D04,NF,ZH,NF_ZH,0.480482799
D04,NF,ZH,NF_ZH,0.481532625
D04,NF,ZR,NF_ZR,0.428440297
D04,NF,ZR,NF_ZR,0.384358306
D04,NF,ZR,NF_ZR,0.592050791
D04,NF,NF,NF_NF,0.0865422
D04,NF,NF,NF_NF,0.127941459
D04,NF,OF,NF_OF,0.278502181
D04,NF,OF,NF_OF,0.157368389
D04,NF,OF,NF_OF,0.205308898
D04,NF,OR,NF_OR,0.285622294
D04,NF,OR,NF_OR,0.291646051
D04,NF,ZF,NF_ZF,0.30231376
D04,NF,ZF,NF_ZF,0.329343131
D04,NF,ZF,NF_ZF,0.315864975
D04,NF,ZH,NF_ZH,0.476729638
D04,NF,ZH,NF_ZH,0.49396565
D04,NF,ZH,NF_ZH,0.501041176
D04,NF,ZR,NF_ZR,0.3198493
D04,NF,ZR,NF_ZR,0.396879612
D04,NF,ZR,NF_ZR,0.479058837
D04,OF,NF,OF_NF,0.35160288
D04,OF,NF,OF_NF,0.393998024
D04,OF,NF,OF_NF,0.278502181
D04,OF,OF,OF_OF,0.277666511
D04,OF,OF,OF_OF,0.342421435
D04,OF,OR,OF_OR,0.20115108
D04,OF,OR,OF_OR,0.222327904
D04,OF,ZF,OF_ZF,0.354822799
D04,OF,ZF,OF_ZF,0.374634648
D04,OF,ZF,OF_ZF,0.35861373
D04,OF,ZH,OF_ZH,0.480453013
D04,OF,ZH,OF_ZH,0.497199852
D04,OF,ZH,OF_ZH,0.492358394
D04,OF,ZR,OF_ZR,0.328696059
D04,OF,ZR,OF_ZR,0.414428681
D04,OF,ZR,OF_ZR,0.395250591
D04,OF,NF,OF_NF,0.17791825
D04,OF,NF,OF_NF,0.207322205
D04,OF,NF,OF_NF,0.157368389
D04,OF,OF,OF_OF,0.277666511
D04,OF,OF,OF_OF,0.082832106
D04,OF,OR,OF_OR,0.299308074
D04,OF,OR,OF_OR,0.297186065
D04,OF,ZF,OF_ZF,0.267255707
D04,OF,ZF,OF_ZF,0.279352761
D04,OF,ZF,OF_ZF,0.268305676
D04,OF,ZH,OF_ZH,0.412627644
D04,OF,ZH,OF_ZH,0.431305227
D04,OF,ZH,OF_ZH,0.425239364
D04,OF,ZR,OF_ZR,0.313971473
D04,OF,ZR,OF_ZR,0.34969695
D04,OF,ZR,OF_ZR,0.463869883
D04,OF,NF,OF_NF,0.1773472
D04,OF,NF,OF_NF,0.179296696
D04,OF,NF,OF_NF,0.205308898
D04,OF,OF,OF_OF,0.342421435
D04,OF,OF,OF_OF,0.082832106
D04,OF,OR,OF_OR,0.350950599
D04,OF,OR,OF_OR,0.347572912
D04,OF,ZF,OF_ZF,0.274890523
D04,OF,ZF,OF_ZF,0.268953681
D04,OF,ZF,OF_ZF,0.270258344
D04,OF,ZH,OF_ZH,0.399066245
D04,OF,ZH,OF_ZH,0.419583726
D04,OF,ZH,OF_ZH,0.414848302
D04,OF,ZR,OF_ZR,0.3811019
D04,OF,ZR,OF_ZR,0.352943235
D04,OF,ZR,OF_ZR,0.538305187
D04,OR,NF,OR_NF,0.353859917
D04,OR,NF,OR_NF,0.386613323
D04,OR,NF,OR_NF,0.285622294
D04,OR,OF,OR_OF,0.20115108
D04,OR,OF,OR_OF,0.299308074
D04,OR,OF,OR_OF,0.350950599
D04,OR,OR,OR_OR,0.071850167
D04,OR,ZF,OR_ZF,0.401238061
D04,OR,ZF,OR_ZF,0.43067665
D04,OR,ZF,OR_ZF,0.420617736
D04,OR,ZH,OR_ZH,0.540930378
D04,OR,ZH,OR_ZH,0.538306763
D04,OR,ZH,OR_ZH,0.55840858
D04,OR,ZR,OR_ZR,0.385921473
D04,OR,ZR,OR_ZR,0.469538541
D04,OR,ZR,OR_ZR,0.424626094
D04,OR,NF,OR_NF,0.364646648
D04,OR,NF,OR_NF,0.398081699
D04,OR,NF,OR_NF,0.291646051
D04,OR,OF,OR_OF,0.222327904
D04,OR,OF,OR_OF,0.297186065
D04,OR,OF,OR_OF,0.347572912
D04,OR,OR,OR_OR,0.071850167
D04,OR,ZF,OR_ZF,0.418180911
D04,OR,ZF,OR_ZF,0.446363589
D04,OR,ZF,OR_ZF,0.435067607
D04,OR,ZH,OR_ZH,0.54010963
D04,OR,ZH,OR_ZH,0.546268493
D04,OR,ZH,OR_ZH,0.553219782
D04,OR,ZR,OR_ZR,0.395398589
D04,OR,ZR,OR_ZR,0.477841814
D04,OR,ZR,OR_ZR,0.425724853
D04,ZF,NF,ZF_NF,0.281630723
D04,ZF,NF,ZF_NF,0.308952315
D04,ZF,NF,ZF_NF,0.30231376
D04,ZF,OF,ZF_OF,0.354822799
D04,ZF,OF,ZF_OF,0.267255707
D04,ZF,OF,ZF_OF,0.274890523
D04,ZF,OR,ZF_OR,0.401238061
D04,ZF,OR,ZF_OR,0.418180911
D04,ZF,ZF,ZF_ZF,0.070287194
D04,ZF,ZF,ZF_ZF,0.046372079
D04,ZF,ZH,ZF_ZH,0.344790183
D04,ZF,ZH,ZF_ZH,0.356288885
D04,ZF,ZH,ZF_ZH,0.367139647
D04,ZF,ZR,ZF_ZR,0.190152284
D04,ZF,ZR,ZF_ZR,0.154233923
D04,ZF,ZR,ZF_ZR,0.358086013
D04,ZF,NF,ZF_NF,0.308349772
D04,ZF,NF,ZF_NF,0.309058297
D04,ZF,NF,ZF_NF,0.329343131
D04,ZF,OF,ZF_OF,0.374634648
D04,ZF,OF,ZF_OF,0.279352761
D04,ZF,OF,ZF_OF,0.268953681
D04,ZF,OR,ZF_OR,0.43067665
D04,ZF,OR,ZF_OR,0.446363589
D04,ZF,ZF,ZF_ZF,0.070287194
D04,ZF,ZF,ZF_ZF,0.047634821
D04,ZF,ZH,ZF_ZH,0.314275825
D04,ZF,ZH,ZF_ZH,0.317149165
D04,ZF,ZH,ZF_ZH,0.332044717
D04,ZF,ZR,ZF_ZR,0.19535556
D04,ZF,ZR,ZF_ZR,0.13155413
D04,ZF,ZR,ZF_ZR,0.360523163
D04,ZF,NF,ZF_NF,0.301731963
D04,ZF,NF,ZF_NF,0.316890302
D04,ZF,NF,ZF_NF,0.315864975
D04,ZF,OF,ZF_OF,0.35861373
D04,ZF,OF,ZF_OF,0.268305676
D04,ZF,OF,ZF_OF,0.270258344
D04,ZF,OR,ZF_OR,0.420617736
D04,ZF,OR,ZF_OR,0.435067607
D04,ZF,ZF,ZF_ZF,0.046372079
D04,ZF,ZF,ZF_ZF,0.047634821
D04,ZF,ZH,ZF_ZH,0.337762946
D04,ZF,ZH,ZF_ZH,0.344709975
D04,ZF,ZH,ZF_ZH,0.35584804
D04,ZF,ZR,ZF_ZR,0.181563865
D04,ZF,ZR,ZF_ZR,0.141787432
D04,ZF,ZR,ZF_ZR,0.348719107
D04,ZH,NF,ZH_NF,0.466904042
D04,ZH,NF,ZH_NF,0.458977637
D04,ZH,NF,ZH_NF,0.476729638
D04,ZH,OF,ZH_OF,0.480453013
D04,ZH,OF,ZH_OF,0.412627644
D04,ZH,OF,ZH_OF,0.399066245
D04,ZH,OR,ZH_OR,0.540930378
D04,ZH,OR,ZH_OR,0.54010963
D04,ZH,ZF,ZH_ZF,0.344790183
D04,ZH,ZF,ZH_ZF,0.314275825
D04,ZH,ZF,ZH_ZF,0.337762946
D04,ZH,ZH,ZH_ZH,0.071903572
D04,ZH,ZH,ZH_ZH,0.063487404
D04,ZH,ZR,ZH_ZR,0.306871877
D04,ZH,ZR,ZH_ZR,0.290763564
D04,ZH,ZR,ZH_ZR,0.332348454
D04,ZH,NF,ZH_NF,0.487894393
D04,ZH,NF,ZH_NF,0.480482799
D04,ZH,NF,ZH_NF,0.49396565
D04,ZH,OF,ZH_OF,0.497199852
D04,ZH,OF,ZH_OF,0.431305227
D04,ZH,OF,ZH_OF,0.419583726
D04,ZH,OR,ZH_OR,0.538306763
D04,ZH,OR,ZH_OR,0.546268493
D04,ZH,ZF,ZH_ZF,0.356288885
D04,ZH,ZF,ZH_ZF,0.317149165
D04,ZH,ZF,ZH_ZF,0.344709975
D04,ZH,ZH,ZH_ZH,0.071903572
D04,ZH,ZH,ZH_ZH,0.081858008
D04,ZH,ZR,ZH_ZR,0.317813778
D04,ZH,ZR,ZH_ZR,0.300415986
D04,ZH,ZR,ZH_ZR,0.348202261
D04,ZH,NF,ZH_NF,0.494409467
D04,ZH,NF,ZH_NF,0.481532625
D04,ZH,NF,ZH_NF,0.501041176
D04,ZH,OF,ZH_OF,0.492358394
D04,ZH,OF,ZH_OF,0.425239364
D04,ZH,OF,ZH_OF,0.414848302
D04,ZH,OR,ZH_OR,0.55840858
D04,ZH,OR,ZH_OR,0.553219782
D04,ZH,ZF,ZH_ZF,0.367139647
D04,ZH,ZF,ZH_ZF,0.332044717
D04,ZH,ZF,ZH_ZF,0.35584804
D04,ZH,ZH,ZH_ZH,0.063487404
D04,ZH,ZH,ZH_ZH,0.081858008
D04,ZH,ZR,ZH_ZR,0.299997897
D04,ZH,ZR,ZH_ZR,0.305160114
D04,ZH,ZR,ZH_ZR,0.327487558
D04,ZR,NF,ZR_NF,0.387095749
D04,ZR,NF,ZR_NF,0.428440297
D04,ZR,NF,ZR_NF,0.3198493
D04,ZR,OF,ZR_OF,0.328696059
D04,ZR,OF,ZR_OF,0.313971473
D04,ZR,OF,ZR_OF,0.3811019
D04,ZR,OR,ZR_OR,0.385921473
D04,ZR,OR,ZR_OR,0.395398589
D04,ZR,ZF,ZR_ZF,0.190152284
D04,ZR,ZF,ZR_ZF,0.19535556
D04,ZR,ZF,ZR_ZF,0.181563865
D04,ZR,ZH,ZR_ZH,0.306871877
D04,ZR,ZH,ZR_ZH,0.317813778
D04,ZR,ZH,ZR_ZH,0.299997897
D04,ZR,ZR,ZR_ZR,0.174905595
D04,ZR,ZR,ZR_ZR,0.179597217
D04,ZR,NF,ZR_NF,0.386014596
D04,ZR,NF,ZR_NF,0.384358306
D04,ZR,NF,ZR_NF,0.396879612
D04,ZR,OF,ZR_OF,0.414428681
D04,ZR,OF,ZR_OF,0.34969695
D04,ZR,OF,ZR_OF,0.352943235
D04,ZR,OR,ZR_OR,0.469538541
D04,ZR,OR,ZR_OR,0.477841814
D04,ZR,ZF,ZR_ZF,0.154233923
D04,ZR,ZF,ZR_ZF,0.13155413
D04,ZR,ZF,ZR_ZF,0.141787432
D04,ZR,ZH,ZR_ZH,0.290763564
D04,ZR,ZH,ZR_ZH,0.300415986
D04,ZR,ZH,ZR_ZH,0.305160114
D04,ZR,ZR,ZR_ZR,0.174905595
D04,ZR,ZR,ZR_ZR,0.325669066
D04,ZR,NF,ZR_NF,0.558878607
D04,ZR,NF,ZR_NF,0.592050791
D04,ZR,NF,ZR_NF,0.479058837
D04,ZR,OF,ZR_OF,0.395250591
D04,ZR,OF,ZR_OF,0.463869883
D04,ZR,OF,ZR_OF,0.538305187
D04,ZR,OR,ZR_OR,0.424626094
D04,ZR,OR,ZR_OR,0.425724853
D04,ZR,ZF,ZR_ZF,0.358086013
D04,ZR,ZF,ZR_ZF,0.360523163
D04,ZR,ZF,ZR_ZF,0.348719107
D04,ZR,ZH,ZR_ZH,0.332348454
D04,ZR,ZH,ZR_ZH,0.348202261
D04,ZR,ZH,ZR_ZH,0.327487558
D04,ZR,ZR,ZR_ZR,0.179597217
D04,ZR,ZR,ZR_ZR,0.325669066
D05,NF,NF,NF_NF,0.246353252
D05,NF,NF,NF_NF,0.177068498
D05,NF,OF,NF_OF,0.366505642
D05,NF,OF,NF_OF,0.352935364
D05,NF,OF,NF_OF,0.367799467
D05,NF,ZF,NF_ZF,0.444229433
D05,NF,ZF,NF_ZF,0.365811237
D05,NF,ZF,NF_ZF,0.449692977
D05,NF,ZH,NF_ZH,0.533119443
D05,NF,ZH,NF_ZH,0.4882163
D05,NF,ZH,NF_ZH,0.586556851
D05,NF,ZR,NF_ZR,0.411309954
D05,NF,ZR,NF_ZR,0.433836477
D05,NF,ZR,NF_ZR,0.446687447
D05,NF,NF,NF_NF,0.246353252
D05,NF,NF,NF_NF,0.144317015
D05,NF,OF,NF_OF,0.359665378
D05,NF,OF,NF_OF,0.334049925
D05,NF,OF,NF_OF,0.280645141
D05,NF,ZF,NF_ZF,0.434839179
D05,NF,ZF,NF_ZF,0.263668619
D05,NF,ZF,NF_ZF,0.40371514
D05,NF,ZH,NF_ZH,0.595298649
D05,NF,ZH,NF_ZH,0.533365486
D05,NF,ZH,NF_ZH,0.645254475
D05,NF,ZR,NF_ZR,0.337702892
D05,NF,ZR,NF_ZR,0.38682344
D05,NF,ZR,NF_ZR,0.382434614
D05,NF,NF,NF_NF,0.177068498
D05,NF,NF,NF_NF,0.144317015
D05,NF,OF,NF_OF,0.363088173
D05,NF,OF,NF_OF,0.343357568
D05,NF,OF,NF_OF,0.340289526
D05,NF,ZF,NF_ZF,0.444984286
D05,NF,ZF,NF_ZF,0.327826297
D05,NF,ZF,NF_ZF,0.438691325
D05,NF,ZH,NF_ZH,0.618389249
D05,NF,ZH,NF_ZH,0.571717119
D05,NF,ZH,NF_ZH,0.671440377
D05,NF,ZR,NF_ZR,0.384721567
D05,NF,ZR,NF_ZR,0.424292659
D05,NF,ZR,NF_ZR,0.429080286
D05,OF,NF,OF_NF,0.366505642
D05,OF,NF,OF_NF,0.359665378
D05,OF,NF,OF_NF,0.363088173
D05,OF,OF,OF_OF,0.08122483
D05,OF,OF,OF_OF,0.165110148
D05,OF,ZF,OF_ZF,0.287467399
D05,OF,ZF,OF_ZF,0.274711549
D05,OF,ZF,OF_ZF,0.223410236
D05,OF,ZH,OF_ZH,0.403370972
D05,OF,ZH,OF_ZH,0.393249752
