Sample	Sample_Type	Patient	Relative Abundance: Firmicutes	Relative Abundance: Bacteroidetes
D07-OR-R2	NF_OF_OR_ZF_ZR	D07	0.410041519	0.407385248
D07-ZR-R1	NF_OF_OR_ZF_ZR	D07	0.500739393	0.341320914
D07-ZR-R3	NF_OF_OR_ZF_ZR	D07	0.605290607	0.24951602
D07-NF-R3	NF_OF_OR_ZF_ZR	D07	0.649695612	0.191036394
D07-OF-R1	NF_OF_OR_ZF_ZR	D07	0.6109369	0.246188211
D07-ZF-R3	NF_OF_OR_ZF_ZR	D07	0.625206683	0.238098003
D07-OF-R3	NF_OF_OR_ZF_ZR	D07	0.620606966	0.240290971
D07-ZF-R1	NF_OF_OR_ZF_ZR	D07	0.573357403	0.277114793
D07-NF-R1	NF_OF_ZF	D07	0.675113591	0.202615478
D07-NF-R2	NF_OF_ZF	D07	0.587144525	0.249830466
D07-OF-R2	NF_OF_ZF	D07	0.493127106	0.34174336
D07-ZF-R2	NF_OF_ZF	D07	0.515925087	0.327428605
D07-NF-R3	NF_OF_ZF	D07	0.649695612	0.191036394
D07-OF-R1	NF_OF_ZF	D07	0.6109369	0.246188211
D07-ZF-R3	NF_OF_ZF	D07	0.625206683	0.238098003
D07-OF-R3	NF_OF_ZF	D07	0.620606966	0.240290971
D07-ZF-R1	NF_OF_ZF	D07	0.573357403	0.277114793
D08-NF-R1	NF	D08	0.509325195	0.360622362
D08-NF-R3	NF	D08	0.605315509	0.26130863
D08-NF-R2	NF	D08	0.504415554	0.368253538
D08-OH-R3	NF_OF_OR_OH_ZF_ZR_ZH	D08	0.362564009	0.520386491
D08-ZR-R1	NF_OF_OR_OH_ZF_ZR_ZH	D08	0.330297503	0.558993261
D08-ZF-R2	NF_OF_OR_OH_ZF_ZR_ZH	D08	0.558571019	0.30697169
D08-ZF-R3	NF_OF_OR_OH_ZF_ZR_ZH	D08	0.553606218	0.331013242
D08-ZR-R2	NF_OF_OR_OH_ZF_ZR_ZH	D08	0.514226497	0.353257626
D08-OH-R1	NF_OF_OR_OH_ZF_ZR_ZH	D08	0.356883601	0.525223916
D08-NF-R1	NF_OF_OR_OH_ZF_ZR_ZH	D08	0.509325195	0.360622362
D08-ZH-R3	NF_OF_OR_OH_ZF_ZR_ZH	D08	0.356168261	0.486531017
D08-ZR-R3	NF_OF_OR_OH_ZF_ZR_ZH	D08	0.407215193	0.471172399
D08-OF-R2	NF_OF_OR_OH_ZF_ZR_ZH	D08	0.456352386	0.430388413
D08-OH-R2	NF_OF_OR_OH_ZF_ZR_ZH	D08	0.436092428	0.439546636
D08-ZH-R2	NF_OF_OR_OH_ZF_ZR_ZH	D08	0.35644292	0.509908888
D08-OR-R2	NF_OF_OR_OH_ZF_ZR_ZH	D08	0.423725455	0.451336232
D08-NF-R3	NF_OF_OR_OH_ZF_ZR_ZH	D08	0.605315509	0.26130863
D08-OR-R1	NF_OF_OR_OH_ZF_ZR_ZH	D08	0.40650818	0.475590928
D08-OR-R3	NF_OF_OR_OH_ZF_ZR_ZH	D08	0.383800517	0.49579767
D08-NF-R2	NF_OF_OR_OH_ZF_ZR_ZH	D08	0.504415554	0.368253538
D08-OF-R1	NF_OF_OR_OH_ZF_ZR_ZH	D08	0.49662609	0.385487814
D08-ZH-R1	NF_OF_OR_OH_ZF_ZR_ZH	D08	0.413635656	0.44015069
D08-ZF-R1	NF_OF_OR_OH_ZF_ZR_ZH	D08	0.452383225	0.44127358
D08-OF-R3	NF_OF_OR_OH_ZF_ZR_ZH	D08	0.429316101	0.455939866
D08-ZR-R1	NF_OF_OR_ZF_ZR	D08	0.330297503	0.558993261
D08-ZF-R2	NF_OF_OR_ZF_ZR	D08	0.558571019	0.30697169
D08-ZF-R3	NF_OF_OR_ZF_ZR	D08	0.553606218	0.331013242
D08-ZR-R2	NF_OF_OR_ZF_ZR	D08	0.514226497	0.353257626
D08-NF-R1	NF_OF_OR_ZF_ZR	D08	0.509325195	0.360622362
D08-ZR-R3	NF_OF_OR_ZF_ZR	D08	0.407215193	0.471172399
D08-OF-R2	NF_OF_OR_ZF_ZR	D08	0.456352386	0.430388413
D08-OR-R2	NF_OF_OR_ZF_ZR	D08	0.423725455	0.451336232
D08-NF-R3	NF_OF_OR_ZF_ZR	D08	0.605315509	0.26130863
D08-OR-R1	NF_OF_OR_ZF_ZR	D08	0.40650818	0.475590928
D08-OR-R3	NF_OF_OR_ZF_ZR	D08	0.383800517	0.49579767
D08-NF-R2	NF_OF_OR_ZF_ZR	D08	0.504415554	0.368253538
D08-OF-R1	NF_OF_OR_ZF_ZR	D08	0.49662609	0.385487814
D08-ZF-R1	NF_OF_OR_ZF_ZR	D08	0.452383225	0.44127358
D08-OF-R3	NF_OF_OR_ZF_ZR	D08	0.429316101	0.455939866
D08-ZF-R2	NF_OF_ZF	D08	0.558571019	0.30697169
D08-ZF-R3	NF_OF_ZF	D08	0.553606218	0.331013242
D08-NF-R1	NF_OF_ZF	D08	0.509325195	0.360622362
D08-OF-R2	NF_OF_ZF	D08	0.456352386	0.430388413
D08-NF-R3	NF_OF_ZF	D08	0.605315509	0.26130863
D08-NF-R2	NF_OF_ZF	D08	0.504415554	0.368253538
D08-OF-R1	NF_OF_ZF	D08	0.49662609	0.385487814
D08-ZF-R1	NF_OF_ZF	D08	0.452383225	0.44127358
D08-OF-R3	NF_OF_ZF	D08	0.429316101	0.455939866
D09-NF-R3	NF	D09	0.546125181	0.231496621
D09-NF-R1	NF	D09	0.594233161	0.204458888
D09-NF-R2	NF	D09	0.569514938	0.220222242
D09-ZH-R2	NF_OF_OR_OH_ZF_ZR_ZH	D09	0.399195841	0.385914432
D09-OF-R2	NF_OF_OR_OH_ZF_ZR_ZH	D09	0.274461687	0.525605805
D09-ZF-R2	NF_OF_OR_OH_ZF_ZR_ZH	D09	0.504086531	0.294469674
D09-ZR-R1	NF_OF_OR_OH_ZF_ZR_ZH	D09	0.34954435	0.451560704
D09-ZF-R1	NF_OF_OR_OH_ZF_ZR_ZH	D09	0.51839463	0.276225442
D09-OF-R3	NF_OF_OR_OH_ZF_ZR_ZH	D09	0.509085606	0.297711722
D09-NF-R3	NF_OF_OR_OH_ZF_ZR_ZH	D09	0.546125181	0.231496621
D09-OR-R3	NF_OF_OR_OH_ZF_ZR_ZH	D09	0.463613381	0.333392439
D09-OH-R3	NF_OF_OR_OH_ZF_ZR_ZH	D09	0.498487797	0.304246154
D09-ZR-R2	NF_OF_OR_OH_ZF_ZR_ZH	D09	0.469325272	0.331699517
D09-NF-R1	NF_OF_OR_OH_ZF_ZR_ZH	D09	0.594233161	0.204458888
D09-OH-R1	NF_OF_OR_OH_ZF_ZR_ZH	D09	0.485216729	0.325014549
D09-ZH-R1	NF_OF_OR_OH_ZF_ZR_ZH	D09	0.423547913	0.378543676
D09-OR-R1	NF_OF_OR_OH_ZF_ZR_ZH	D09	0.371113284	0.425038957
D09-OR-R2	NF_OF_OR_OH_ZF_ZR_ZH	D09	0.458892166	0.323298786
D09-ZH-R3	NF_OF_OR_OH_ZF_ZR_ZH	D09	0.349740426	0.44552662
D09-ZF-R3	NF_OF_OR_OH_ZF_ZR_ZH	D09	0.458427556	0.337484495
D09-OF-R1	NF_OF_OR_OH_ZF_ZR_ZH	D09	0.353622444	0.441714806
D09-OH-R2	NF_OF_OR_OH_ZF_ZR_ZH	D09	0.501312643	0.307252443
D09-ZR-R3	NF_OF_OR_OH_ZF_ZR_ZH	D09	0.423339654	0.375180857
D09-NF-R2	NF_OF_OR_OH_ZF_ZR_ZH	D09	0.569514938	0.220222242
D09-OF-R2	NF_OF_OR_ZF_ZR	D09	0.274461687	0.525605805
D09-ZF-R2	NF_OF_OR_ZF_ZR	D09	0.504086531	0.294469674
D09-ZR-R1	NF_OF_OR_ZF_ZR	D09	0.34954435	0.451560704
D09-ZF-R1	NF_OF_OR_ZF_ZR	D09	0.51839463	0.276225442
D09-OF-R3	NF_OF_OR_ZF_ZR	D09	0.509085606	0.297711722
D09-NF-R3	NF_OF_OR_ZF_ZR	D09	0.546125181	0.231496621
D09-OR-R3	NF_OF_OR_ZF_ZR	D09	0.463613381	0.333392439
D09-ZR-R2	NF_OF_OR_ZF_ZR	D09	0.469325272	0.331699517
D09-NF-R1	NF_OF_OR_ZF_ZR	D09	0.594233161	0.204458888
D09-OR-R1	NF_OF_OR_ZF_ZR	D09	0.371113284	0.425038957
D09-OR-R2	NF_OF_OR_ZF_ZR	D09	0.458892166	0.323298786
D09-ZF-R3	NF_OF_OR_ZF_ZR	D09	0.458427556	0.337484495
D09-OF-R1	NF_OF_OR_ZF_ZR	D09	0.353622444	0.441714806
D09-ZR-R3	NF_OF_OR_ZF_ZR	D09	0.423339654	0.375180857
D09-NF-R2	NF_OF_OR_ZF_ZR	D09	0.569514938	0.220222242
D09-OF-R2	NF_OF_ZF	D09	0.274461687	0.525605805
D09-ZF-R2	NF_OF_ZF	D09	0.504086531	0.294469674
D09-ZF-R1	NF_OF_ZF	D09	0.51839463	0.276225442
D09-OF-R3	NF_OF_ZF	D09	0.509085606	0.297711722
D09-NF-R3	NF_OF_ZF	D09	0.546125181	0.231496621
D09-NF-R1	NF_OF_ZF	D09	0.594233161	0.204458888
D09-ZF-R3	NF_OF_ZF	D09	0.458427556	0.337484495
D09-OF-R1	NF_OF_ZF	D09	0.353622444	0.441714806
D09-NF-R2	NF_OF_ZF	D09	0.569514938	0.220222242
D10-NF-R1	NF	D10	0.512432335	0.320658359
D10-NF-R3	NF	D10	0.471272621	0.364116373
D10-NF-R2	NF	D10	0.399846686	0.429529168
D10-NF-R1	NF_OF_OR_OH_ZF_ZR_ZH	D10	0.512432335	0.320658359
D10-OH-R1	NF_OF_OR_OH_ZF_ZR_ZH	D10	0.428745183	0.420271125
D10-NF-R3	NF_OF_OR_OH_ZF_ZR_ZH	D10	0.471272621	0.364116373
D10-OH-R2	NF_OF_OR_OH_ZF_ZR_ZH	D10	0.358841346	0.494469424
D10-OF-R1	NF_OF_OR_OH_ZF_ZR_ZH	D10	0.277156813	0.586878485
D10-ZF-R2	NF_OF_OR_OH_ZF_ZR_ZH	D10	0.423188274	0.437473889
D10-OF-R2	NF_OF_OR_OH_ZF_ZR_ZH	D10	0.401772552	0.438133815
D10-OH-R3	NF_OF_OR_OH_ZF_ZR_ZH	D10	0.33416377	0.524748957
D10-ZF-R1	NF_OF_OR_OH_ZF_ZR_ZH	D10	0.376251419	0.492696397
D10-ZH-R2	NF_OF_OR_OH_ZF_ZR_ZH	D10	0.295487024	0.56348127
D10-OR-R2	NF_OF_OR_OH_ZF_ZR_ZH	D10	0.334772984	0.523977128
D10-OR-R3	NF_OF_OR_OH_ZF_ZR_ZH	D10	0.380711199	0.47617542
D10-ZF-R3	NF_OF_OR_OH_ZF_ZR_ZH	D10	0.508594356	0.340489646
D10-OR-R1	NF_OF_OR_OH_ZF_ZR_ZH	D10	0.367478056	0.486953105
D10-NF-R2	NF_OF_OR_OH_ZF_ZR_ZH	D10	0.399846686	0.429529168
D10-ZR-R2	NF_OF_OR_OH_ZF_ZR_ZH	D10	0.303585942	0.577246429
D10-ZR-R1	NF_OF_OR_OH_ZF_ZR_ZH	D10	0.358518736	0.493317448
D10-ZH-R1	NF_OF_OR_OH_ZF_ZR_ZH	D10	0.295860167	0.577079524
D10-ZR-R3	NF_OF_OR_OH_ZF_ZR_ZH	D10	0.394500453	0.464627999
D10-ZH-R3	NF_OF_OR_OH_ZF_ZR_ZH	D10	0.295901998	0.579146439
D10-OF-R3	NF_OF_OR_OH_ZF_ZR_ZH	D10	0.374938504	0.47890009
D10-NF-R1	NF_OF_OR_ZF_ZR	D10	0.512432335	0.320658359
D10-NF-R3	NF_OF_OR_ZF_ZR	D10	0.471272621	0.364116373
D10-OF-R1	NF_OF_OR_ZF_ZR	D10	0.277156813	0.586878485
D10-ZF-R2	NF_OF_OR_ZF_ZR	D10	0.423188274	0.437473889
D10-OF-R2	NF_OF_OR_ZF_ZR	D10	0.401772552	0.438133815
D10-ZF-R1	NF_OF_OR_ZF_ZR	D10	0.376251419	0.492696397
D10-OR-R2	NF_OF_OR_ZF_ZR	D10	0.334772984	0.523977128
D10-OR-R3	NF_OF_OR_ZF_ZR	D10	0.380711199	0.47617542
D10-ZF-R3	NF_OF_OR_ZF_ZR	D10	0.508594356	0.340489646
D10-OR-R1	NF_OF_OR_ZF_ZR	D10	0.367478056	0.486953105
D10-NF-R2	NF_OF_OR_ZF_ZR	D10	0.399846686	0.429529168
D10-ZR-R2	NF_OF_OR_ZF_ZR	D10	0.303585942	0.577246429
D10-ZR-R1	NF_OF_OR_ZF_ZR	D10	0.358518736	0.493317448
D10-ZR-R3	NF_OF_OR_ZF_ZR	D10	0.394500453	0.464627999
D10-OF-R3	NF_OF_OR_ZF_ZR	D10	0.374938504	0.47890009
D10-NF-R1	NF_OF_ZF	D10	0.512432335	0.320658359
D10-NF-R3	NF_OF_ZF	D10	0.471272621	0.364116373
D10-OF-R1	NF_OF_ZF	D10	0.277156813	0.586878485
D10-ZF-R2	NF_OF_ZF	D10	0.423188274	0.437473889
D10-OF-R2	NF_OF_ZF	D10	0.401772552	0.438133815
D10-ZF-R1	NF_OF_ZF	D10	0.376251419	0.492696397
D10-ZF-R3	NF_OF_ZF	D10	0.508594356	0.340489646
D10-NF-R2	NF_OF_ZF	D10	0.399846686	0.429529168
D10-OF-R3	NF_OF_ZF	D10	0.374938504	0.47890009
