XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
Xylonomycetes	4	12	5	3	6	48	59	75	5	7	6	6	5	26	9	2	9	6	3	6	7	2	8	2	6	7	22	4	10	26	4	12	6	31	8	30	1	13	22	17
Arthoniomycetes	8	2	3	1	0	1	4	8	8	2	0	1	2	2	5	1	0	0	0	1	0	3	5	3	0	0	2	0	1	2	1	6	12	107	3	5	0	3	0	44
Dothideomycetes	1845	904	467	581	408	1181	1504	1542	537	1262	741	1173	763	1394	1644	372	891	623	485	1383	1211	1170	1640	441	698	1185	1383	665	705	1128	757	2942	994	3689	2207	3499	1204	1261	1306	4961
Leotiomycetes	1114	1264	368	815	207	444	528	529	436	921	892	738	400	639	878	244	1044	258	314	798	782	631	917	336	834	831	652	915	377	532	734	2803	939	1955	2596	2135	970	862	1154	5337
Sordariomycetes	10019	5377	2904	3479	2110	7365	9487	9231	3341	6898	4279	6546	4374	7763	8604	2216	4970	3208	2675	7990	6578	6652	9088	2634	3900	6184	7677	3880	3840	6455	5225	20074	6935	19963	12214	14290	7914	7674	7634	34097
Laboulbeniomycetes	11	1	0	4	0	1	0	0	2	1	1	8	11	0	14	0	0	7	0	10	0	3	12	1	3	0	0	2	5	2	0	10	0	7	0	3	2	0	2	19
Tremellomycetes	788	244	171	255	126	435	527	510	186	371	282	295	250	425	737	112	236	210	122	373	369	309	720	140	177	357	406	312	204	384	123	857	293	882	380	548	229	302	332	1433
Agaricomycetes	2709	1129	650	755	463	1517	1882	1898	777	1947	1012	1390	793	2030	2352	464	1042	639	611	1757	1875	1428	2410	580	787	1788	1982	915	779	1534	896	3654	1239	3795	2460	2202	1228	1557	1664	6647
Dacrymycetes	37	13	3	5	6	13	20	12	10	8	11	11	21	10	40	5	11	15	8	8	12	16	33	10	10	10	13	5	14	6	5	20	6	29	8	37	5	7	15	72
Agaricostilbomycetes	4	2	1	3	0	0	4	4	1	1	7	3	0	2	2	1	0	1	0	0	0	1	4	2	2	0	2	4	4	3	0	7	4	2	2	12	0	2	0	14
